date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,2.6,2.78,2.52,2.679,3682.0
2020-03-27,2.71,2.785,2.55,2.63,7152.0
2020-03-26,2.7,2.74,2.6139,2.72,13268.0
2020-03-25,2.65,2.901,2.5226,2.55,23289.0
2020-03-24,2.65,2.7471,2.5125,2.6,7335.0
2020-03-23,2.64,2.64,2.51,2.54,6460.0
2020-03-20,2.66,2.695,2.6,2.6,7869.0
2020-03-19,2.21,2.5824,2.21,2.5824,11386.0
2020-03-18,2.5,2.5888,2.3,2.32,12508.0
2020-03-17,2.7,2.7,2.46,2.5,10313.0
2020-03-16,2.71,2.71,2.45,2.45,27838.0
2020-03-13,3.0,3.1369,2.7,2.7,43801.0
2020-03-12,3.12,3.13,3.0,3.01,41801.0
2020-03-11,3.25,3.42,3.12,3.19,11091.0
2020-03-10,3.45,3.4566,3.15,3.305,20017.0
2020-03-09,4.0,4.0,3.38,3.39,32060.0
2020-03-06,4.03,4.03,3.6884,3.8,36783.0
2020-03-05,3.8,3.8,3.67,3.67,8985.0
2020-03-04,3.89,3.89,3.7,3.83,25635.0
2020-03-03,3.79,3.79,3.4001,3.7,23620.0
2020-03-02,3.83,3.9,3.51,3.84,37783.0
2020-02-28,3.26,3.74,3.26,3.74,73375.0
2020-02-27,3.55,3.55,3.105,3.255,131415.0
2020-02-26,4.21,4.3624,4.08,4.13,22403.0
2020-02-25,4.5,4.5045,4.14,4.14,19865.0
2020-02-24,4.15,4.49,4.07,4.36,32731.0
2020-02-21,4.8,4.8,3.9338,4.26,181144.0
2020-02-20,5.21,5.21,4.7999,4.9,62686.0
2020-02-19,5.55,5.55,4.92,5.2,86075.0
2020-02-18,5.4578,5.5207,5.35,5.35,14745.0
2020-02-14,5.4497,5.53,5.4497,5.53,4311.0
2020-02-13,5.36,5.5,5.35,5.48,10746.0
2020-02-12,5.55,5.55,5.37,5.49,17972.0
2020-02-11,5.45,5.733,5.27,5.35,11848.0
2020-02-10,5.65,5.79,5.5,5.52,18372.0
2020-02-07,5.7,5.79,5.48,5.67,26869.0
2020-02-06,5.71,5.71,5.4006,5.55,7179.0
2020-02-05,5.7407,5.7407,5.47,5.64,24194.0
2020-02-04,5.77,5.83,5.52,5.62,19938.0
2020-02-03,5.26,5.94,5.1421,5.73,150041.0
2020-01-31,5.26,5.2699,5.0,5.2421,26681.0
2020-01-30,5.45,5.5,5.26,5.27,15840.0
2020-01-29,5.54,5.6637,5.4987,5.5,4871.0
2020-01-28,5.4,5.57,5.4,5.55,5415.0
2020-01-27,5.39,5.8,5.39,5.41,47197.0
2020-01-24,5.72,5.72,5.59,5.62,10511.0
2020-01-23,5.82,5.826,5.62,5.62,12553.0
2020-01-22,5.94,5.94,5.7,5.82,20270.0
2020-01-21,5.78,5.96,5.72,5.86,61412.0
2020-01-17,5.51,5.79,5.49,5.72,46893.0
2020-01-16,5.79,5.8,5.47,5.5,31986.0
2020-01-15,6.0,6.1,5.7,5.73,40026.0
2020-01-14,6.15,6.34,5.85,5.95,42633.0
2020-01-13,6.31,6.387,5.91,6.11,50317.0
2020-01-10,6.47,6.47,6.08,6.31,38568.0
2020-01-09,6.15,6.5095,6.05,6.415,71743.0
2020-01-08,5.73,6.4384,5.73,6.07,256245.0
2020-01-07,5.6234,5.77,5.6234,5.67,12336.0
2020-01-06,5.57,5.8,5.48,5.63,33884.0
2020-01-03,5.569,5.71,5.5219,5.56,11224.0
2020-01-02,5.88,5.9897,5.6405,5.68,35407.0
2019-12-31,5.7,5.77,5.5301,5.7107,38291.0
2019-12-30,5.62,5.77,5.5,5.65,28767.0
2019-12-27,5.7,5.87,5.48,5.68,35246.0
2019-12-26,6.0474,6.0474,5.67,5.69,46533.0
2019-12-24,6.02,6.2,5.8901,5.91,38167.0
2019-12-23,5.83,6.25,5.64,5.96,208269.0
2019-12-20,5.59,5.75,5.46,5.75,105701.0
2019-12-19,5.53,5.65,5.41,5.49,39661.0
2019-12-18,5.69,5.9,5.53,5.53,122455.0
2019-12-17,5.39,5.7,5.29,5.7,59852.0
2019-12-16,5.26,5.45,5.2,5.45,43217.0
2019-12-13,5.27,5.5207,5.23,5.3,67059.0
2019-12-12,5.29,5.5,5.25,5.35,65991.0
2019-12-11,5.27,5.45,5.22,5.39,65578.0
2019-12-10,5.35,5.55,5.24,5.34,56656.0
2019-12-09,5.35,5.6,5.24,5.34,38742.0
2019-12-06,5.45,5.75,5.3,5.3,34160.0
2019-12-05,5.38,5.5,5.25,5.42,36342.0
2019-12-04,5.5542,5.66,5.31,5.33,24908.0
2019-12-03,5.25,5.51,5.25,5.47,10633.0
2019-12-02,5.53,5.66,5.5,5.6,9160.0
2019-11-29,5.67,5.75,5.45,5.6,28697.0
2019-11-27,5.3358,5.99,5.3358,5.574,151888.0
2019-11-26,5.42,5.48,5.2201,5.39,14505.0
2019-11-25,5.23,5.42,5.18,5.42,51531.0
2019-11-22,5.1809,5.25,5.11,5.11,5528.0
2019-11-21,5.2075,5.32,5.14,5.17,16057.0
2019-11-20,5.25,5.3,5.1275,5.25,14572.0
2019-11-19,5.27,5.29,5.1677,5.19,9216.0
2019-11-18,5.3538,5.3538,5.11,5.28,12991.0
2019-11-15,5.16,5.325,5.06,5.11,57105.0
2019-11-14,5.2,5.2,5.0311,5.0752,11646.0
2019-11-13,5.083,5.23,5.02,5.15,42475.0
2019-11-12,5.1,5.39,5.07,5.16,50558.0
2019-11-11,5.26,5.43,5.1,5.1,30076.0
2019-11-08,5.3,5.47,5.099,5.1,87119.0
2019-11-07,5.35,6.0,5.18,5.21,237769.0
2019-11-06,5.22,5.47,5.05,5.06,38064.0
2019-11-05,5.09,6.0,5.09,5.2,213160.0
2019-11-04,5.17,5.24,5.09,5.14,8815.0
2019-11-01,5.26,5.26,5.08,5.12,9600.0
2019-10-31,5.19,5.29,4.95,4.95,22977.0
2019-10-30,5.31,5.32,5.15,5.28,11778.0
2019-10-29,5.1648,5.44,5.14,5.21,23558.0
2019-10-28,5.46,5.55,5.14,5.14,31857.0
2019-10-25,5.42,5.42,5.135,5.33,17285.0
2019-10-24,5.62,5.64,5.21,5.3,31249.0
2019-10-23,5.22,5.57,5.21,5.57,51482.0
2019-10-22,5.201,5.35,5.1457,5.3,11714.0
2019-10-21,5.38,5.42,5.22,5.39,9465.0
2019-10-18,5.33,5.479,5.26,5.36,8875.0
2019-10-17,5.35,5.65,5.3,5.32,21937.0
2019-10-16,5.12,5.65,5.055,5.32,54573.0
2019-10-15,5.1444,5.74,5.06,5.06,54436.0
2019-10-14,5.1975,5.1975,5.01,5.01,21363.0
2019-10-11,5.3001,5.4199,5.1103,5.14,19600.0
2019-10-10,5.08,5.3,4.99,5.3,35002.0
2019-10-09,5.15,5.28,5.05,5.09,28418.0
2019-10-08,5.035,5.3699,5.035,5.32,6216.0
2019-10-07,5.24,5.39,5.05,5.39,15439.0
2019-10-04,5.2327,5.6,5.02,5.12,57082.0
2019-10-03,5.04,5.34,4.9025,5.34,47449.0
2019-10-02,5.19,5.3273,5.06,5.06,19332.0
2019-10-01,5.0857,5.5,5.0857,5.36,10850.0
2019-09-30,5.35,5.41,5.15,5.3499,19864.0
2019-09-27,5.51,5.51,5.1962,5.36,11908.0
2019-09-26,5.6025,5.6025,5.24,5.29,17840.0
2019-09-25,5.4486,5.52,5.37,5.4,11937.0
2019-09-24,5.63,5.66,5.41,5.5,38787.0
2019-09-23,5.52,5.7243,5.41,5.67,56763.0
2019-09-20,5.64,5.78,5.51,5.63,41601.0
2019-09-19,5.77,5.8339,5.51,5.74,62450.0
2019-09-18,5.91,6.13,5.6504,5.79,76367.0
2019-09-17,6.1201,6.4,5.93,5.93,67253.0
2019-09-16,6.06,6.47,6.01,6.43,55485.0
2019-09-13,6.1445,6.2902,5.95,6.08,44398.0
2019-09-12,6.06,6.3,5.81,6.18,180745.0
2019-09-11,7.0,7.4351,6.16,6.45,2259757.0
2019-09-10,5.58,5.79,5.41,5.7,63568.0
2019-09-09,5.28,5.65,5.23,5.57,37974.0
2019-09-06,5.2091,5.44,5.2,5.36,17342.0
2019-09-05,5.35,5.439,5.192,5.22,39559.0
2019-09-04,5.3,5.53,5.23,5.35,16915.0
2019-09-03,5.5028,5.8018,5.2,5.26,40381.0
2019-08-30,5.58,5.82,5.39,5.62,32407.0
2019-08-29,5.37,5.7499,5.327,5.6792,62459.0
2019-08-28,5.31,5.46,5.15,5.22,24858.0
2019-08-27,5.52,5.52,5.23,5.3,24016.0
2019-08-26,5.4,5.6699,5.25,5.59,30614.0
2019-08-23,5.82,5.88,5.3675,5.49,90150.0
2019-08-22,5.35,5.89,5.06,5.8464,156417.0
2019-08-21,5.09,5.38,4.96,5.35,102655.0
2019-08-20,5.28,5.31,4.89,4.95,89421.0
2019-08-19,5.63,5.69,5.25,5.25,55663.0
2019-08-16,5.605,6.29,5.3801,5.64,231079.0
2019-08-15,5.742,5.765,5.55,5.55,26692.0
2019-08-14,5.89,6.0364,5.64,5.67,40209.0
2019-08-13,5.92,6.13,5.8,6.11,26737.0
2019-08-12,6.08,6.13,5.86,5.88,29507.0
2019-08-09,6.08,6.14,5.82,6.14,9232.0
2019-08-08,6.14,6.37,5.8,6.0,28514.0
2019-08-07,6.15,6.33,6.0,6.14,28333.0
2019-08-06,6.53,6.53,6.0,6.06,20205.0
2019-08-05,6.2,6.62,6.0567,6.54,50998.0
2019-08-02,6.79,6.79,6.0,6.12,51469.0
2019-08-01,6.9,6.92,6.1757,6.35,59600.0
2019-07-31,6.8,6.9567,6.6,6.85,34146.0
2019-07-30,6.64,6.88,6.6,6.88,30802.0
2019-07-29,6.9512,6.9512,6.6,6.61,43078.0
2019-07-26,6.91,6.95,6.76,6.8,12412.0
2019-07-25,6.8766,7.01,6.67,6.98,49491.0
2019-07-24,6.84,6.95,6.72,6.91,16031.0
2019-07-23,7.05,7.17,6.79,6.84,58865.0
2019-07-22,6.85,7.14,6.79,7.14,55863.0
2019-07-19,6.98,7.1656,6.9,6.9,20554.0
2019-07-18,7.15,7.27,6.8657,6.92,17842.0
2019-07-17,7.2642,7.34,6.88,7.2,77788.0
2019-07-16,6.9,7.5,6.82,7.2,223176.0
2019-07-15,6.85,6.96,6.7,6.96,22002.0
2019-07-12,6.9212,7.04,6.83,6.84,49398.0
2019-07-11,6.95,7.1,6.85,6.87,100497.0
2019-07-10,6.9021,7.1,6.8231,6.9,13735.0
2019-07-09,6.75,6.97,6.656,6.86,21046.0
2019-07-08,6.94,7.07,6.63,6.79,45638.0
2019-07-05,7.05,7.32,6.9,6.94,66073.0
2019-07-03,7.15,7.15,6.88,6.98,29681.0
2019-07-02,7.06,7.66,6.8705,7.1,82125.0
2019-07-01,7.32,7.56,7.0,7.12,94867.0
2019-06-28,7.2,7.38,6.85,7.32,277709.0
2019-06-27,6.81,7.35,6.81,7.07,54226.0
2019-06-26,7.27,7.7654,6.79,6.81,123304.0
2019-06-25,6.72,7.71,6.72,7.42,463760.0
2019-06-24,6.46,6.81,6.46,6.67,83023.0
2019-06-21,6.3,6.57,6.3,6.46,63501.0
2019-06-20,6.386,6.63,6.17,6.33,190503.0
2019-06-19,6.18,6.98,6.07,6.13,238683.0
2019-06-18,6.43,6.74,6.1,6.24,105929.0
2019-06-17,6.53,7.0826,6.4,6.4,69995.0
2019-06-14,6.68,6.68,6.2505,6.49,71015.0
2019-06-13,6.33,6.79,6.26,6.68,76424.0
2019-06-12,6.58,6.65,6.3344,6.34,56386.0
2019-06-11,6.53,7.0,6.51,6.65,107057.0
2019-06-10,7.26,7.5,6.5,6.52,229330.0
2019-06-07,7.6,8.25,7.19,7.3,186146.0
2019-06-06,7.14,7.63,7.05,7.6,91306.0
2019-06-05,7.23,8.3994,7.0531,7.21,400035.0
2019-06-04,6.92,7.4208,6.63,7.3,401053.0
2019-06-03,5.75,8.88,5.53,7.36,4093016.0
2019-05-31,6.0,6.1305,5.755,5.79,99562.0
2019-05-30,6.2,6.45,6.016,6.15,175681.0
2019-05-29,6.5,6.78,6.04,6.25,544357.0
2019-05-28,6.87,6.9967,6.5,6.51,190213.0
2019-05-24,6.98,7.1456,6.7805,6.97,65209.0
2019-05-23,7.07,7.3199,6.777,7.01,98951.0
2019-05-22,7.83,7.95,7.17,7.17,90567.0
2019-05-21,8.24,8.3362,7.7,7.95,129750.0
2019-05-20,9.13,9.38,8.21,8.27,141619.0
2019-05-17,9.13,9.69,9.0,9.41,84709.0
2019-05-16,10.21,10.77,9.28,9.3,156807.0
2019-05-15,10.7,10.99,10.18,10.18,209668.0
2019-05-14,12.46,12.46,10.68,10.99,200773.0
2019-05-13,13.4,13.48,11.56,11.7,204778.0
2019-05-10,13.8,13.8,12.575,13.0,322360.0
2019-05-09,16.59,17.6,14.03,15.1,1397117.0
2019-05-08,13.5,15.15,12.701,15.1,1171121.0
2019-05-07,11.34,15.3829,11.0052,12.58,1671234.0
2019-05-06,10.56,11.5,10.02,11.38,382182.0
2019-05-03,12.85,12.88,10.25,10.9,985676.0
2019-05-02,18.55,20.4499,12.03,12.65,10935889.0
2019-05-01,5.21,12.88,5.21,10.25,22162180.0
2019-04-30,5.15,5.2679,5.0101,5.16,18740.0
2019-04-29,5.3,5.32,5.03,5.15,28686.0
2019-04-26,5.43,5.73,5.33,5.4,22980.0
2019-04-25,5.62,5.75,5.355,5.48,32546.0
2019-04-24,5.6,6.0,5.5882,5.69,47774.0
2019-04-23,5.65,5.8,5.6,5.635,26843.0
2019-04-22,5.67,5.68,5.5758,5.68,15430.0
2019-04-18,5.77,5.88,5.59,5.73,26649.0
2019-04-17,6.04,6.04,5.73,5.81,49315.0
2019-04-16,5.77,6.8697,5.7284,6.1,364112.0
2019-04-15,5.91,5.95,5.655,5.73,41258.0
2019-04-12,5.78,5.96,5.6439,5.96,49882.0
2019-04-11,5.86,6.27,5.6883,5.72,126164.0
2019-04-10,5.71,6.35,5.5611,5.92,243577.0
2019-04-09,5.49,5.945,5.46,5.75,137659.0
2019-04-08,5.76,5.85,5.3,5.4,344908.0
2019-04-05,5.56,5.98,5.25,5.71,334772.0
2019-04-04,5.71,6.85,5.23,5.62,780758.0
2019-04-03,0.34,0.346,0.29,0.3333,1091729.0
2019-04-02,0.3618,0.3618,0.3233,0.336,1459235.0
2019-04-01,0.36,0.377,0.359,0.3675,213632.0
2019-03-29,0.37,0.377,0.3628,0.3736,213545.0
2019-03-28,0.3751,0.3848,0.37,0.3748,179526.0
2019-03-27,0.39,0.4201,0.38,0.3818,594017.0
2019-03-26,0.3765,0.39,0.3616,0.387,610123.0
2019-03-25,0.3831,0.3949,0.37,0.3765,198446.0
2019-03-22,0.4001,0.4099,0.37,0.39,392080.0
2019-03-21,0.4068,0.419,0.3951,0.4114,249620.0
2019-03-20,0.3827,0.43,0.3827,0.42,644572.0
2019-03-19,0.391,0.405,0.38,0.4,765998.0
2019-03-18,0.41,0.435,0.385,0.4,2045872.0
2019-03-15,0.412,0.4149,0.38,0.389,753574.0
2019-03-14,0.4029,0.4297,0.4,0.415,2167170.0
2019-03-13,0.4029,0.422,0.4,0.409,583829.0
2019-03-12,0.42,0.445,0.41,0.44,542543.0
2019-03-11,0.4201,0.45,0.42,0.4265,187304.0
2019-03-08,0.441,0.4499,0.4201,0.4299,428960.0
2019-03-07,0.47,0.4798,0.44,0.4474,686036.0
2019-03-06,0.44,0.55,0.44,0.4568,2632114.0
2019-03-05,0.45,0.47,0.441,0.462,238072.0
2019-03-04,0.4589,0.48,0.4425,0.46,524180.0
2019-03-01,0.4622,0.5,0.46,0.468,390478.0
2019-02-28,0.4384,0.63,0.4075,0.4737,2527792.0
2019-02-27,0.48,0.48,0.431,0.4576,637914.0
2019-02-26,0.428,0.468,0.4033,0.468,2044356.0
