date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,9.9,9.9,9.9,9.9,16000.0
2020-04-08,10.03,10.03,10.03,10.03,900.0
2020-04-06,10.03,10.03,10.03,10.03,22620.0
2020-04-03,9.9,9.9,9.9,9.9,2.0
2020-04-01,9.9,9.9,9.9,9.9,3000.0
2020-03-27,9.98,9.98,9.9,9.9,776.0
2020-03-24,9.66,9.66,9.66,9.66,240.0
2020-03-23,9.8,9.8,9.8,9.8,18517.0
2020-03-20,9.7,9.85,9.7,9.7,103302.0
2020-03-18,9.83,9.83,9.8,9.8,2199.0
2020-03-17,9.8,10.02,9.8,10.01,206000.0
2020-03-12,10.25,10.25,10.25,10.25,660.0
2020-03-04,10.34,10.34,10.34,10.34,200.0
2020-02-28,10.34,10.34,10.34,10.34,542.0
2020-02-26,10.32,10.32,10.32,10.32,1.0
2020-02-24,10.32,10.32,10.32,10.32,100.0
2020-02-20,10.32,10.32,10.32,10.32,100.0
2020-02-19,10.74,10.74,10.32,10.32,700.0
2020-02-18,10.4,10.75,10.39,10.75,1158.0
2020-02-14,10.4,10.4,10.4,10.4,8200.0
2020-02-13,10.4,10.4,10.4,10.4,201.0
2020-02-12,10.4,10.4,10.4,10.4,200.0
2020-02-10,10.33,10.345,10.33,10.345,1929.0
2020-02-06,10.75,11.0,10.33,10.33,5134.0
2020-02-04,10.45,10.45,10.27,10.27,3204.0
2020-02-03,10.44,10.45,10.43,10.45,2900.0
2020-01-31,10.44,10.44,10.42,10.44,98684.0
2020-01-30,10.44,10.44,10.44,10.44,2.0
2020-01-24,10.44,10.44,10.44,10.44,310.0
2020-01-21,10.35,10.4,10.34,10.4,10878.0
2020-01-17,10.32,10.32,10.32,10.32,310.0
2020-01-16,10.25,10.25,10.25,10.25,1.0
2020-01-13,10.25,10.25,10.25,10.25,10.0
2020-01-10,10.25,10.25,10.25,10.25,2.0
2020-01-09,10.245,10.25,10.245,10.25,5201.0
2020-01-08,10.23,10.23,10.21,10.21,1850.0
2020-01-07,10.24,10.24,10.24,10.24,200.0
2019-12-23,10.1789,10.1789,10.1789,10.1789,300.0
2019-12-19,10.1978,10.22,10.1978,10.22,1300.0
2019-12-18,10.19,10.19,10.19,10.19,1562.0
2019-12-17,10.18,10.2,10.18,10.2,158627.0
2019-12-13,10.16,10.16,10.16,10.16,1000.0
2019-12-12,10.15,10.15,10.15,10.15,1000.0
2019-12-10,10.15,10.15,10.15,10.15,100.0
2019-12-06,10.13,10.13,10.1,10.13,1113.0
2019-12-05,10.15,10.15,10.15,10.15,58.0
2019-12-04,10.15,10.15,10.15,10.15,58.0
2019-12-02,10.12,10.2,10.12,10.15,2200.0
2019-11-29,10.15,10.15,10.119,10.119,5900.0
2019-11-27,10.09,10.1,10.08,10.08,3028.0
2019-11-26,10.13,10.13,10.07,10.08,5680.0
2019-11-25,10.07,10.18,10.07,10.1496,8512.0
2019-11-22,10.08,10.18,10.08,10.18,364.0
2019-11-18,10.1,10.18,10.1,10.18,624.0
2019-11-15,10.1515,10.1515,10.1515,10.1515,325.0
2019-11-14,10.18,10.18,10.18,10.18,48.0
