date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,11.41,12.61,11.41,12.48,129309.0
2020-04-08,11.2,11.49,11.01,11.16,140028.0
2020-04-07,11.81,12.0,10.93,11.07,98382.0
2020-04-06,11.04,11.62,11.04,11.48,96237.0
2020-04-03,10.66,12.28,10.26,10.55,62361.0
2020-04-02,10.48,11.24,10.14,10.82,73575.0
2020-04-01,11.55,12.19,10.47,10.59,94833.0
2020-03-31,12.05,12.51,11.36,11.87,123732.0
2020-03-30,11.69,12.16,11.1076,12.15,98916.0
2020-03-27,11.5,12.07,11.15,11.67,73209.0
2020-03-26,10.62,12.07,10.62,11.97,81692.0
2020-03-25,10.75,10.81,10.18,10.48,88208.0
2020-03-24,10.08,10.71,9.86,10.67,87024.0
2020-03-23,9.76,9.76,8.89,9.51,96904.0
2020-03-20,10.88,11.01,9.4,9.72,166939.0
2020-03-19,9.92,11.26,9.5601,10.96,141481.0
2020-03-18,12.99,13.0354,9.9,9.91,156516.0
2020-03-17,12.76,13.81,12.305,13.78,124723.0
2020-03-16,14.95,14.95,12.52,12.53,95520.0
2020-03-13,14.44,14.9,13.71,14.62,107207.0
2020-03-12,13.79,14.62,12.73,13.74,104344.0
2020-03-11,15.26,15.26,14.41,14.59,110346.0
2020-03-10,15.28,15.7,14.685,15.69,93322.0
2020-03-09,15.85,15.85,14.7201,14.9,90103.0
2020-03-06,16.78,17.15,16.4,16.88,129109.0
2020-03-05,18.5,18.5,17.44,17.67,70614.0
2020-03-04,18.36,18.52,17.95,18.48,63817.0
2020-03-03,18.67,18.67,18.01,18.25,77213.0
2020-03-02,18.06,18.81,17.89,18.75,82827.0
2020-02-28,18.11,18.35,17.715,18.13,149699.0
2020-02-27,18.82,19.24,18.31,18.535,135549.0
2020-02-26,19.19,19.33,18.94,19.07,68345.0
2020-02-25,19.53,19.61,18.98,19.15,117500.0
2020-02-24,19.29,19.69,19.29,19.62,60392.0
2020-02-21,19.97,19.97,19.66,19.74,65464.0
2020-02-20,19.88,20.1,19.85,19.965,53060.0
2020-02-19,19.84,20.13,19.84,20.0,38703.0
2020-02-18,19.92,20.03,19.745,19.87,49368.0
2020-02-14,20.0,20.21,19.88,19.94,106623.0
2020-02-13,19.59,20.0,19.5243,20.0,50849.0
2020-02-12,19.49,19.65,19.405,19.6,53524.0
2020-02-11,19.18,19.56,19.18,19.38,72795.0
2020-02-10,18.87,19.17,18.79,19.12,70747.0
2020-02-07,19.07,19.125,18.92,18.98,47903.0
2020-02-06,19.5,19.62,19.12,19.13,67607.0
2020-02-05,18.95,19.42,18.95,19.38,113578.0
2020-02-04,18.95,19.01,18.71,18.84,113323.0
2020-02-03,18.87,19.01,18.64,18.74,96172.0
2020-01-31,17.99,19.0,17.99,18.87,212463.0
2020-01-30,17.41,17.71,17.41,17.69,64626.0
2020-01-29,17.65,17.86,17.535,17.57,44833.0
2020-01-28,17.66,17.85,17.495,17.68,162223.0
2020-01-27,17.45,17.65,17.42,17.6,87123.0
2020-01-24,17.81,17.87,17.61,17.74,103663.0
2020-01-23,17.8,17.9,17.675,17.83,70522.0
2020-01-22,17.83,17.95,17.8,17.85,45961.0
2020-01-21,17.9,17.98,17.8,17.86,61404.0
2020-01-17,18.11,18.23,17.85,17.92,54271.0
2020-01-16,18.01,18.21,17.91,18.01,47795.0
2020-01-15,17.81,17.95,17.81,17.9,52201.0
2020-01-14,18.02,18.1,17.91,17.95,48941.0
2020-01-13,17.91,18.07,17.77,17.98,75200.0
2020-01-10,17.87,17.97,17.79,17.9,50675.0
2020-01-09,17.81,17.94,17.7,17.9,125499.0
2020-01-08,17.56,17.79,17.56,17.74,96362.0
2020-01-07,17.63,17.63,17.42,17.57,50130.0
2020-01-06,17.86,17.98,17.62,17.69,66486.0
2020-01-03,18.11,18.22,17.977,18.06,56634.0
2020-01-02,18.58,18.58,18.12,18.255,70894.0
2019-12-31,18.25,18.48,18.25,18.35,81207.0
2019-12-30,18.29,18.71,18.27,18.35,60706.0
2019-12-27,18.6,18.61,18.33,18.36,53920.0
2019-12-26,18.67,18.72,18.57,18.62,22988.0
2019-12-24,18.59,18.77,18.52,18.72,23513.0
2019-12-23,18.92,19.04,18.51,18.6,58379.0
2019-12-20,18.95,19.07,18.9,18.98,423419.0
2019-12-19,18.92,19.0,18.75,19.0,51647.0
2019-12-18,18.99,18.99,18.74,18.86,84816.0
2019-12-17,18.97,19.0,18.81,18.92,72513.0
2019-12-16,19.11,19.11,18.86,18.92,76786.0
2019-12-13,18.92,19.03,18.73,18.9,56564.0
2019-12-12,18.93,19.26,18.92,19.01,71527.0
2019-12-11,18.81,19.0,18.76,18.93,51865.0
2019-12-10,18.76,18.86,18.76,18.85,60474.0
2019-12-09,18.73,18.9,18.68,18.76,77055.0
2019-12-06,18.87,18.99,18.67,18.73,80333.0
2019-12-05,18.71,18.78,18.55,18.7,63354.0
2019-12-04,18.47,18.83,18.39,18.64,69130.0
2019-12-03,18.56,18.6,18.33,18.45,55365.0
2019-12-02,19.01,19.05,18.66,18.72,61440.0
2019-11-29,18.86,19.08,18.83,18.92,23193.0
2019-11-27,18.98,19.02,18.81,18.95,47540.0
2019-11-26,19.03,19.16,18.81,18.87,80288.0
2019-11-25,18.69,19.12,18.64,19.05,62512.0
2019-11-22,18.75,18.76,18.59,18.71,28884.0
2019-11-21,18.76,18.76,18.56,18.65,45282.0
2019-11-20,18.7,18.925,18.51,18.67,93944.0
2019-11-19,18.71,18.9,18.665,18.82,39581.0
2019-11-18,18.82,18.9,18.5,18.65,51181.0
2019-11-15,18.97,19.02,18.76,18.82,46400.0
2019-11-14,18.69,18.98,18.66,18.82,57664.0
2019-11-13,18.78,18.86,18.67,18.79,43219.0
2019-11-12,18.91,19.15,18.79,18.975,38714.0
2019-11-11,18.78,19.0,18.64,18.95,52483.0
2019-11-08,18.96,19.02,18.795,18.85,35710.0
2019-11-07,19.16,19.28,18.9,18.98,44389.0
2019-11-06,18.99,19.17,18.9,18.99,49216.0
2019-11-05,19.11,19.27,18.97,19.02,70916.0
2019-11-04,18.96,19.09,18.86,19.01,77354.0
2019-11-01,18.72,18.97,18.59,18.83,79152.0
2019-10-31,18.92,18.92,18.345,18.65,79733.0
2019-10-30,18.87,19.07,18.8,18.94,66128.0
2019-10-29,18.76,19.01,18.76,19.0,131066.0
2019-10-28,18.36,19.075,18.36,18.89,220409.0
2019-10-25,18.5,18.63,17.72,18.13,103689.0
2019-10-24,17.79,17.96,17.61,17.93,83219.0
2019-10-23,17.77,17.92,17.7,17.85,44677.0
2019-10-22,17.67,18.02,17.54,17.8,50785.0
2019-10-21,17.54,17.86,17.54,17.745,67426.0
2019-10-18,17.16,17.47,17.16,17.39,61617.0
2019-10-17,17.22,17.41,17.1,17.28,73263.0
2019-10-16,17.19,17.3,17.095,17.15,51279.0
2019-10-15,17.04,17.25,16.97,17.16,56045.0
2019-10-14,16.97,17.19,16.9,16.99,54488.0
2019-10-11,17.26,17.38,17.03,17.04,98102.0
2019-10-10,16.95,17.11,16.89,16.96,57914.0
2019-10-09,16.87,16.99,16.76,16.91,58748.0
2019-10-08,16.93,17.0,16.77,16.77,94124.0
2019-10-07,17.13,17.26,17.05,17.08,78133.0
2019-10-04,16.93,17.2,16.86,17.15,59387.0
2019-10-03,16.9,16.94,16.57,16.89,93499.0
2019-10-02,17.02,17.09,16.75,16.92,88094.0
2019-10-01,17.44,17.625,17.02,17.1,100347.0
2019-09-30,17.77,17.8,17.33,17.34,109712.0
2019-09-27,17.9,18.05,17.57,17.7,90144.0
2019-09-26,17.91,18.13,17.75,17.8,56100.0
2019-09-25,17.75,18.02,17.75,17.98,98996.0
2019-09-24,17.87,18.06,17.68,17.76,179839.0
2019-09-23,17.87,18.1,17.83,17.99,143160.0
2019-09-20,18.01,18.12,17.81,18.02,441264.0
2019-09-19,18.08,18.34,17.86,18.03,130174.0
2019-09-18,17.94,18.21,17.89,18.13,86375.0
2019-09-17,17.84,18.08,17.695,18.01,66791.0
2019-09-16,17.86,18.26,17.86,17.98,106710.0
2019-09-13,17.74,18.13,17.73,18.08,111876.0
2019-09-12,17.5,17.83,17.24,17.71,116128.0
2019-09-11,17.06,17.63,16.82,17.61,119717.0
2019-09-10,16.56,17.105,16.56,17.07,93504.0
2019-09-09,16.04,16.65,16.03,16.57,97104.0
2019-09-06,15.11,16.35,15.11,15.97,127429.0
2019-09-05,16.15,16.78,16.15,16.52,178459.0
2019-09-04,16.24,16.35,16.0,16.03,85214.0
2019-09-03,16.16,16.27,15.77,16.16,113924.0
2019-08-30,16.48,16.62,16.2,16.3,69485.0
2019-08-29,16.18,16.62,16.18,16.44,69998.0
2019-08-28,16.05,16.35,16.05,16.12,73523.0
2019-08-27,16.75,16.77,16.13,16.14,103186.0
2019-08-26,16.9,16.95,16.69,16.79,107596.0
2019-08-23,17.35,17.43,16.74,16.84,168045.0
2019-08-22,17.42,17.49,17.3,17.41,94734.0
2019-08-21,17.39,17.5,17.25,17.4,73936.0
2019-08-20,17.58,17.605,17.32,17.35,61292.0
2019-08-19,17.73,17.88,17.66,17.68,71814.0
2019-08-16,17.26,17.69,17.16,17.56,131169.0
2019-08-15,17.29,17.44,17.21,17.23,83929.0
2019-08-14,17.13,17.44,17.13,17.28,114554.0
2019-08-13,17.22,17.6,17.22,17.44,96770.0
2019-08-12,17.47,17.55,17.23,17.25,131346.0
2019-08-09,17.52,17.73,17.37,17.6,214865.0
2019-08-08,17.39,17.63,17.39,17.51,157674.0
2019-08-07,17.16,17.43,17.16,17.28,130388.0
2019-08-06,17.48,17.81,17.2,17.53,128374.0
2019-08-05,17.69,18.12,17.25,17.49,151311.0
2019-08-02,17.83,18.01,17.68,17.95,102430.0
2019-08-01,18.35,18.68,17.85,17.87,145720.0
2019-07-31,18.41,18.7,18.39,18.39,181680.0
2019-07-30,18.16,18.47,18.16,18.46,222665.0
2019-07-29,18.21,18.66,18.21,18.25,213577.0
2019-07-26,17.22,18.38,17.22,18.29,345886.0
2019-07-25,17.66,17.68,17.19,17.22,131522.0
2019-07-24,17.02,17.6,16.99,17.57,179058.0
2019-07-23,17.07,17.13,16.95,17.05,125239.0
2019-07-22,17.03,17.16,16.955,17.05,104950.0
2019-07-19,16.96,17.15,16.96,17.08,132596.0
2019-07-18,17.01,17.23,17.01,17.05,113852.0
2019-07-17,17.05,17.12,16.99,17.05,87953.0
2019-07-16,17.13,17.15,16.99,17.09,97993.0
2019-07-15,17.42,17.44,17.05,17.13,81988.0
2019-07-12,17.68,17.68,17.39,17.41,111822.0
2019-07-11,17.27,17.49,17.26,17.47,121601.0
2019-07-10,17.48,17.5,17.21,17.27,72043.0
2019-07-09,17.36,17.51,17.32,17.46,119692.0
2019-07-08,17.61,17.61,17.38,17.47,121292.0
2019-07-05,17.31,17.81,17.25,17.69,129271.0
2019-07-03,17.25,17.37,17.2,17.23,105872.0
2019-07-02,17.24,17.288,17.12,17.2,120303.0
2019-07-01,17.28,17.36,17.1,17.25,157375.0
2019-06-28,16.68,17.26,16.68,17.12,640739.0
2019-06-27,16.6,16.68,16.49,16.67,146052.0
2019-06-26,16.57,16.84,16.57,16.62,62560.0
2019-06-25,16.5,16.67,16.31,16.6,64305.0
2019-06-24,16.69,16.71,16.08,16.51,92996.0
2019-06-21,16.75,16.91,16.63,16.66,177512.0
2019-06-20,16.96,16.96,16.72,16.9,54091.0
2019-06-19,17.2,17.3,16.92,16.95,79827.0
2019-06-18,17.04,17.36,17.02,17.22,132229.0
2019-06-17,17.15,17.22,17.01,17.1,104956.0
2019-06-14,17.24,17.33,17.07,17.22,81301.0
2019-06-13,17.17,17.41,17.17,17.24,90289.0
2019-06-12,17.21,17.31,17.05,17.12,75080.0
2019-06-11,17.19,17.39,17.1,17.3,58424.0
2019-06-10,16.95,17.23,16.95,17.06,85471.0
2019-06-07,16.81,16.975,16.7087,16.78,65760.0
2019-06-06,16.97,17.07,16.68,16.81,54123.0
2019-06-05,17.1,17.18,16.47,17.0,60747.0
2019-06-04,16.62,17.19,16.41,17.12,77082.0
2019-06-03,16.26,16.7,16.22,16.51,102811.0
2019-05-31,16.76,16.77,16.15,16.36,130013.0
2019-05-30,17.29,17.4,16.765,16.91,74602.0
2019-05-29,17.04,17.34,16.92,17.3,120777.0
2019-05-28,17.15,17.305,17.1,17.15,90714.0
2019-05-24,17.0,17.3,17.0,17.23,72080.0
2019-05-23,16.98,17.1,16.79,16.92,86594.0
2019-05-22,17.44,17.4743,17.04,17.12,60530.0
2019-05-21,17.51,17.71,17.41,17.48,61493.0
2019-05-20,17.49,17.78,17.46,17.5,46258.0
2019-05-17,17.63,17.82,17.57,17.58,74274.0
2019-05-16,17.44,17.87,17.44,17.76,71981.0
2019-05-15,17.36,17.53,17.13,17.41,124737.0
2019-05-14,17.32,17.61,17.27,17.48,77252.0
2019-05-13,17.44,17.49,17.315,17.34,172427.0
2019-05-10,17.5,17.74,17.42,17.61,128168.0
2019-05-09,17.41,17.61,17.255,17.55,162853.0
2019-05-08,17.38,17.69,17.26,17.49,123013.0
2019-05-07,17.51,17.63,17.38,17.42,102515.0
2019-05-06,17.29,17.71,17.22,17.68,181405.0
2019-05-03,17.39,17.46,17.34,17.44,188702.0
2019-05-02,17.29,17.57,17.29,17.38,67489.0
2019-05-01,17.45,17.63,17.23,17.26,95551.0
2019-04-30,17.92,18.051,17.4,17.44,184150.0
2019-04-29,16.71,18.01,16.71,18.0,191289.0
2019-04-26,17.14,17.76,16.26,17.7,307220.0
2019-04-25,18.37,18.39,17.98,18.03,72979.0
2019-04-24,18.17,18.44,18.135,18.38,59967.0
