date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,9.31,9.62,9.3,9.57,271814.0
2020-04-23,8.87,9.56,8.87,9.28,253518.0
2020-04-22,8.87,9.29,8.66,8.84,339829.0
2020-04-21,9.42,9.569,8.64,8.67,258722.0
2020-04-20,9.31,9.7813,8.8706,9.69,619392.0
2020-04-17,9.56,10.11,9.27,9.49,732301.0
2020-04-16,8.22,8.43,8.01,8.29,295682.0
2020-04-15,8.34,8.43,8.13,8.25,252749.0
2020-04-14,9.11,9.17,8.5,8.63,419840.0
2020-04-13,9.23,9.335,8.77,8.95,276966.0
2020-04-09,9.38,9.48,8.55,9.24,424146.0
2020-04-08,8.82,9.27,8.72,9.21,437228.0
2020-04-07,8.9,9.33,8.51,8.76,494071.0
2020-04-06,8.65,8.81,8.15,8.73,352030.0
2020-04-03,7.91,8.35,7.85,8.26,509357.0
2020-04-02,7.68,8.105,7.49,7.95,318964.0
2020-04-01,7.56,7.85,7.55,7.68,641898.0
2020-03-31,8.03,8.27,7.12,7.68,559031.0
2020-03-30,8.19,8.25,7.6,8.03,410657.0
2020-03-27,7.7,8.14,7.1397,8.05,588794.0
2020-03-26,6.62,7.87,6.31,7.78,482892.0
2020-03-25,6.35,6.95,6.15,6.2,482341.0
2020-03-24,5.82,6.38,5.75,6.35,318335.0
2020-03-23,5.79,5.8,5.3667,5.57,306278.0
2020-03-20,6.26,6.5263,5.58,5.8,545302.0
2020-03-19,5.2,6.54,5.2,6.2,694973.0
2020-03-18,4.98,5.21,4.8,5.15,423689.0
2020-03-17,6.04,6.12,5.1,5.12,1152992.0
2020-03-16,5.78,6.24,5.75,5.9,445404.0
2020-03-13,6.65,6.67,5.99,6.39,354309.0
2020-03-12,6.28,6.69,6.09,6.285,368885.0
2020-03-11,7.12,7.18,6.67,6.84,450677.0
2020-03-10,7.36,7.43,6.96,7.34,423560.0
2020-03-09,7.35,7.39,6.9,7.07,210148.0
2020-03-06,7.85,8.23,7.71,7.87,261124.0
2020-03-05,8.14,8.2,7.92,8.07,682221.0
2020-03-04,8.19,8.35,7.98,8.35,182074.0
2020-03-03,8.11,8.32,7.85,8.08,325430.0
2020-03-02,8.08,8.16,7.9,8.14,326443.0
2020-02-28,7.83,8.16,7.65,8.045,583359.0
2020-02-27,8.31,8.4399,8.03,8.03,307072.0
2020-02-26,8.68,8.74,8.42,8.5,214715.0
2020-02-25,9.07,9.135,8.53,8.63,784262.0
2020-02-24,9.0,9.23,8.9,9.09,227769.0
2020-02-21,9.14,9.4,9.02,9.36,352762.0
2020-02-20,9.06,9.36,9.02,9.17,306343.0
2020-02-19,8.56,8.73,8.51,8.61,229513.0
2020-02-18,8.94,9.05,8.48,8.6,276229.0
2020-02-14,9.02,9.1,8.78,9.02,182083.0
2020-02-13,9.02,9.15,8.92,9.055,219675.0
2020-02-12,9.01,9.39,8.88,9.12,363143.0
2020-02-11,8.66,8.99,8.63,8.89,377205.0
2020-02-10,8.58,8.725,8.4,8.61,304256.0
2020-02-07,9.54,9.605,8.45,8.63,591013.0
2020-02-06,10.3,10.85,9.53,9.61,415891.0
2020-02-05,9.65,9.94,9.6,9.93,244928.0
2020-02-04,9.42,9.69,9.42,9.58,156549.0
2020-02-03,9.12,9.3,9.1,9.29,228824.0
2020-01-31,9.35,9.36,9.03,9.05,229255.0
2020-01-30,9.38,9.48,9.31,9.41,220800.0
2020-01-29,9.63,9.75,9.44,9.47,210569.0
2020-01-28,9.6,9.81,9.6,9.65,161267.0
2020-01-27,9.73,9.73,9.565,9.575,381474.0
2020-01-24,10.06,10.1,9.86,9.89,175822.0
2020-01-23,10.15,10.15,9.965,10.06,358045.0
2020-01-22,10.31,10.37,10.07,10.17,143009.0
