date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,0.06,0.06,0.06,0.06,333.0
2020-04-03,0.0567,0.0567,0.0567,0.0567,333.0
2020-03-31,0.06,0.06,0.06,0.06,12531.0
2020-03-27,0.0599,0.0599,0.0599,0.0599,68.0
2020-03-26,0.0599,0.0599,0.0599,0.0599,36.0
2020-03-24,0.06,0.06,0.0599,0.0599,492.0
2020-03-12,0.06,0.06,0.06,0.06,1000.0
2020-03-11,0.051,0.051,0.051,0.051,28039.0
2020-03-02,0.0601,0.0601,0.06,0.0601,26736.0
2020-02-19,0.0701,0.0701,0.0701,0.0701,20.0
2020-02-10,0.0701,0.0701,0.0701,0.0701,100.0
2020-02-06,0.0997,0.0997,0.0997,0.0997,10.0
2020-02-05,0.1,0.1,0.0997,0.0997,500.0
2020-01-07,0.08,0.08,0.0501,0.0501,200.0
2019-12-30,0.1,0.1,0.06,0.06,21002.0
2019-12-10,0.07,0.07,0.07,0.07,1000.0
2019-12-02,0.07,0.07,0.07,0.07,1000.0
2019-11-08,0.08,0.08,0.08,0.08,500.0
2019-11-07,0.08,0.08,0.08,0.08,25000.0
2019-11-06,0.09,0.09,0.07,0.07,500.0
2019-11-01,0.09,0.09,0.09,0.09,5000.0
2019-09-24,0.08,0.08,0.0796,0.0796,3000.0
2019-09-23,0.08,0.08,0.08,0.08,7809.0
2019-09-13,0.08,0.08,0.0701,0.0701,10200.0
2019-09-06,0.1113,0.1113,0.1,0.1,2000.0
2019-09-04,0.156,0.17,0.12,0.12,12000.0
2019-09-03,0.2277,0.2277,0.12,0.12,800.0
2019-08-29,0.105,0.2967,0.1,0.15,1500.0
2019-07-30,0.15,0.15,0.15,0.15,1000.0
