date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,10.5,10.5,10.5,10.5,6.0
2020-04-23,10.5,10.5,10.5,10.5,286.0
2020-04-22,10.5,10.5,10.5,10.5,150015.0
2020-04-21,10.5,10.5,10.5,10.5,151.0
2020-04-20,10.47,10.47,10.47,10.47,11080.0
2020-04-17,10.55,10.55,10.55,10.55,0.0
2020-04-16,10.5,10.55,10.48,10.55,1247.0
2020-04-15,10.55,10.55,10.55,10.55,3.0
2020-04-14,10.55,10.55,10.5002,10.55,1671.0
2020-04-13,10.5,10.5,10.5,10.5,1061.0
2020-04-09,10.5,10.5,10.48,10.49,119068.0
2020-04-08,10.5,10.55,10.5,10.52,392319.0
2020-04-07,10.5,10.5,10.5,10.5,550000.0
2020-04-06,10.49,10.49,10.4821,10.49,22402.0
2020-04-03,10.49,10.49,10.48,10.48,623564.0
2020-04-02,10.5,10.5,10.5,10.5,10.0
2020-04-01,10.5,10.5,10.5,10.5,1.0
2020-03-31,10.5,10.5,10.4998,10.5,10373.0
2020-03-30,10.39,10.46,10.39,10.46,253.0
2020-03-27,10.4,10.4,10.4,10.4,200.0
2020-03-26,10.4,10.44,10.4,10.44,228.0
2020-03-25,10.4254,10.45,10.4254,10.45,871.0
2020-03-24,10.3302,10.4,10.3302,10.38,560218.0
2020-03-23,10.35,10.35,10.335,10.35,1800.0
2020-03-20,10.31,10.31,10.31,10.31,4332.0
2020-03-19,10.26,10.3,10.26,10.28,31300.0
2020-03-18,10.31,10.31,10.25,10.28,325858.0
2020-03-17,10.36,10.36,10.31,10.31,300000.0
2020-03-16,10.38,10.38,10.38,10.38,6000.0
2020-03-13,10.41,10.41,10.4,10.4,102095.0
2020-03-12,10.44,10.44,10.44,10.44,200.0
2020-03-11,10.45,10.45,10.45,10.45,0.0
2020-03-10,10.45,10.45,10.45,10.45,0.0
2020-03-09,10.45,10.45,10.45,10.45,0.0
2020-03-06,10.46,10.46,10.45,10.45,50400.0
2020-03-05,10.46,10.46,10.46,10.46,105704.0
2020-03-04,10.46,10.46,10.46,10.46,0.0
2020-03-03,10.4601,10.4601,10.4601,10.4601,1638.0
2020-03-02,10.4601,10.4601,10.4601,10.4601,20.0
2020-02-28,10.4601,10.4601,10.4601,10.4601,22.0
2020-02-27,10.4601,10.4601,10.4601,10.4601,306.0
2020-02-26,10.46,10.46,10.46,10.46,0.0
2020-02-25,10.46,10.46,10.46,10.46,0.0
2020-02-24,10.46,10.46,10.46,10.46,21.0
2020-02-21,10.46,10.46,10.46,10.46,0.0
2020-02-20,10.46,10.46,10.46,10.46,65.0
2020-02-19,10.46,10.46,10.46,10.46,3.0
2020-02-18,10.46,10.46,10.46,10.46,3.0
2020-02-14,10.46,10.46,10.46,10.46,0.0
2020-02-13,10.48,10.48,10.41,10.46,304003.0
2020-02-12,10.5,10.5,10.5,10.5,6476.0
2020-02-11,10.5,10.5,10.49,10.5,105252.0
2020-02-10,10.49,10.5,10.48,10.49,109457.0
