date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,9.15,10.06,9.15,9.7,23466.0
2020-04-08,8.41,9.18,8.41,9.109,10253.0
2020-04-07,8.19,8.9287,8.19,8.595,33231.0
2020-04-06,8.0,8.38,8.0,8.18,5800.0
2020-04-03,8.14,8.14,7.61,7.74,8851.0
2020-04-02,8.21,8.355,8.1297,8.1989,4315.0
2020-04-01,8.6,8.6,8.12,8.1216,11505.0
2020-03-31,8.9866,8.9866,8.76,8.7887,16954.0
2020-03-30,9.09,9.09,8.2702,8.73,9475.0
2020-03-27,9.1,9.11,8.8022,8.98,8143.0
2020-03-26,8.4,9.449,8.4,8.991,8090.0
2020-03-25,8.16,8.8955,7.7301,8.37,23975.0
2020-03-24,7.78,8.13,7.61,7.8917,29343.0
2020-03-23,7.75,7.7886,6.7,7.32,32808.0
2020-03-20,8.4999,8.82,7.92,8.125,19005.0
2020-03-19,6.98,8.18,6.79,7.8787,38713.0
2020-03-18,8.88,8.88,6.81,7.25,48927.0
2020-03-17,9.02,9.6225,8.75,8.97,124631.0
2020-03-16,10.11,10.77,9.28,9.28,52571.0
2020-03-13,10.665,10.665,10.1,10.5,22729.0
2020-03-12,11.84,11.84,10.19,10.2126,33189.0
2020-03-11,12.29,12.29,11.65,11.65,28040.0
2020-03-10,12.66,12.66,12.0,12.29,15098.0
2020-03-09,12.76,13.0,12.03,12.2571,72529.0
2020-03-06,13.26,13.52,13.2592,13.33,8193.0
2020-03-05,13.855,13.855,13.66,13.7,13862.0
2020-03-04,13.6,14.03,13.6,13.98,13536.0
2020-03-03,14.05,14.08,13.745,13.775,16300.0
2020-03-02,13.3,13.8353,13.3,13.81,32460.0
2020-02-28,13.45,13.45,13.06,13.3208,32998.0
2020-02-27,14.17,14.17,13.7,13.725,36178.0
2020-02-26,14.27,14.4334,14.23,14.245,13708.0
2020-02-25,14.8,14.8,14.2,14.26,34687.0
2020-02-24,14.84,14.84,14.685,14.73,52999.0
2020-02-21,14.97,15.0137,14.93,14.9674,16214.0
2020-02-20,15.03,15.045,15.0,15.045,6997.0
