date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.711,1.74,1.71,1.74,1374.0
2020-04-23,1.7001,1.73,1.7,1.71,3081.0
2020-04-22,1.74,1.74,1.74,1.74,1565.0
2020-04-21,1.686,1.74,1.686,1.74,711.0
2020-04-20,1.78,1.78,1.78,1.78,970.0
2020-04-17,1.76,1.77,1.74,1.74,1455.0
2020-04-16,1.7356,1.8,1.7356,1.8,1885.0
2020-04-15,1.77,1.79,1.68,1.7,6759.0
2020-04-14,1.7,1.79,1.7,1.79,14911.0
2020-04-13,1.72,1.75,1.65,1.75,26729.0
2020-04-09,1.75,1.77,1.71,1.72,15716.0
2020-04-08,1.6493,1.75,1.625,1.75,6210.0
2020-04-07,1.75,1.75,1.74,1.74,597.0
2020-04-06,1.77,1.77,1.53,1.6,13401.0
2020-04-03,1.68,1.69,1.62,1.66,25928.0
2020-04-02,1.61,1.63,1.54,1.56,8743.0
2020-04-01,1.63,1.73,1.63,1.64,6352.0
2020-03-31,1.75,1.76,1.74,1.74,6899.0
2020-03-30,1.83,1.83,1.72,1.75,9911.0
2020-03-27,1.75,1.81,1.72,1.7648,11700.0
2020-03-26,1.71,1.7499,1.71,1.74,760.0
2020-03-25,1.73,1.8432,1.69,1.75,4966.0
2020-03-24,1.5301,1.79,1.5301,1.61,3836.0
2020-03-23,1.99,1.99,1.4527,1.63,5347.0
2020-03-20,1.76,1.98,1.76,1.86,5010.0
2020-03-19,1.2,1.78,1.2,1.61,5021.0
2020-03-18,1.67,1.67,0.9615,1.23,28404.0
2020-03-17,1.79,1.8,1.61,1.61,10467.0
2020-03-16,2.12,2.12,1.53,1.88,16994.0
2020-03-13,2.05,2.25,1.87,2.25,10118.0
2020-03-12,2.2,2.2,1.82,1.97,13628.0
2020-03-11,2.304,2.47,2.17,2.21,18793.0
2020-03-10,2.5,2.5,2.29,2.29,2586.0
2020-03-09,2.46,2.64,2.28,2.45,25669.0
2020-03-06,2.6117,2.65,2.46,2.64,1280.0
2020-03-05,2.63,2.63,2.48,2.48,2687.0
2020-03-04,2.72,2.72,2.56,2.57,1332.0
2020-03-03,2.57,2.8,2.57,2.8,1899.0
2020-03-02,2.52,2.58,2.52,2.5721,1046.0
2020-02-28,2.54,2.57,2.45,2.54,4761.0
2020-02-27,2.5527,2.6,2.5,2.6,11742.0
2020-02-26,2.78,2.79,2.63,2.63,2924.0
2020-02-25,2.6301,2.75,2.58,2.74,23787.0
2020-02-24,2.8,2.8,2.68,2.79,3482.0
2020-02-21,2.68,2.82,2.68,2.82,3602.0
2020-02-20,2.87,2.87,2.75,2.75,3231.0
2020-02-19,2.67,2.85,2.6326,2.85,5680.0
2020-02-18,2.92,2.92,2.62,2.62,36295.0
2020-02-14,2.92,3.0,2.92,2.92,1801.0
2020-02-13,3.05,3.066,2.71,2.96,9070.0
2020-02-12,3.1,3.15,3.06,3.15,11404.0
2020-02-11,3.1,3.15,3.061,3.13,4467.0
2020-02-10,3.14,3.14,3.0496,3.1,2076.0
2020-02-07,3.09,3.09,2.9801,3.08,4219.0
2020-02-06,3.13,3.17,3.05,3.08,11400.0
2020-02-05,2.93,3.12,2.905,3.08,29225.0
2020-02-04,2.81,2.92,2.81,2.88,4095.0
2020-02-03,2.89,2.89,2.76,2.82,728.0
2020-01-31,2.8428,2.8428,2.77,2.825,2390.0
2020-01-30,2.85,2.9,2.79,2.89,5559.0
2020-01-29,2.66,2.8,2.66,2.8,2016.0
2020-01-28,2.65,2.68,2.65,2.68,1821.0
2020-01-27,2.65,2.66,2.55,2.62,4779.0
2020-01-24,2.52,2.67,2.52,2.67,2149.0
2020-01-23,2.6707,2.6707,2.53,2.53,1496.0
2020-01-22,2.75,2.77,2.64,2.75,10599.0
2020-01-21,2.76,2.79,2.71,2.79,21951.0
