date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,9.6493,9.6493,9.6493,9.6493,9.0
2020-04-23,9.75,9.7695,9.63,9.6493,9200.0
2020-04-22,9.8,9.8,9.8,9.8,0.0
2020-04-21,9.8,9.8,9.8,9.8,0.0
2020-04-20,9.8,9.8,9.8,9.8,0.0
2020-04-17,9.8,9.8,9.8,9.8,0.0
2020-04-16,9.8,9.8,9.8,9.8,0.0
2020-04-15,9.8,9.8,9.8,9.8,0.0
2020-04-14,9.8,9.8,9.8,9.8,0.0
2020-04-13,9.8,9.8,9.8,9.8,0.0
2020-04-09,9.8,9.8,9.8,9.8,0.0
2020-04-08,9.8,9.8,9.8,9.8,0.0
2020-04-07,9.8,9.8,9.8,9.8,0.0
2020-04-06,9.8,9.8,9.8,9.8,20808.0
2020-04-03,9.5,9.5,9.5,9.5,1.0
2020-04-02,9.5,9.5,9.5,9.5,0.0
2020-04-01,9.5,9.5,9.5,9.5,0.0
2020-03-31,9.5,9.5,9.5,9.5,0.0
2020-03-30,9.5,9.5,9.5,9.5,0.0
2020-03-27,9.5,9.5,9.5,9.5,5.0
2020-03-26,9.5,9.5,9.5,9.5,0.0
2020-03-25,9.5,9.5,9.5,9.5,0.0
2020-03-24,9.5,9.5,9.5,9.5,250000.0
2020-03-23,9.7,9.7,9.7,9.7,0.0
2020-03-20,9.7,9.7,9.7,9.7,897.0
2020-03-19,9.7,9.7,9.7,9.7,1003.0
2020-03-18,9.75,9.75,9.75,9.75,600.0
2020-03-17,10.3,10.3,10.3,10.3,0.0
2020-03-16,10.3,10.3,10.3,10.3,0.0
2020-03-13,10.3,10.3,10.3,10.3,0.0
2020-03-12,10.3,10.3,10.3,10.3,50.0
2020-03-11,10.3,10.3,10.3,10.3,0.0
2020-03-10,10.3,10.3,10.3,10.3,0.0
2020-03-09,10.3,10.3,10.3,10.3,1.0
2020-03-06,10.3,10.3,10.3,10.3,0.0
2020-03-05,10.3,10.3,10.3,10.3,0.0
2020-03-04,10.3,10.3,10.3,10.3,200.0
2020-03-03,10.35,10.35,10.35,10.35,0.0
2020-03-02,10.35,10.35,10.35,10.35,1200.0
2020-02-28,10.21,10.4,10.2,10.4,10104.0
2020-02-27,10.3,10.3,10.3,10.3,1.0
2020-02-26,10.3,10.3,10.3,10.3,0.0
