date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.0,0.0,0.0,0.5,0.0
2020-04-23,0.5,0.5,0.5,0.5,30000.0
2020-04-17,0.5,0.5,0.5,0.5,60.0
2020-04-13,0.5,0.5,0.5,0.5,63058.0
2020-04-09,0.5,0.5,0.4706,0.5,61800.0
2020-04-08,0.58,0.58,0.58,0.58,100.0
2020-04-03,0.47,0.47,0.45,0.45,6658.0
2020-04-02,0.55,0.55,0.55,0.55,10100.0
2020-03-31,0.65,0.65,0.65,0.65,16000.0
2020-03-20,0.55,0.65,0.55,0.65,548.0
2020-03-13,0.7,0.7,0.7,0.7,40.0
2020-03-10,0.7,0.7,0.7,0.7,481.0
2020-03-09,0.75,0.75,0.75,0.75,1.0
2020-03-05,0.75,0.75,0.75,0.75,103750.0
2020-03-04,0.75,0.75,0.75,0.75,10100.0
2020-03-03,0.74,0.74,0.74,0.74,15800.0
2020-03-02,0.77,0.77,0.72,0.73,313600.0
2020-02-28,0.77,0.77,0.77,0.77,10000.0
2020-02-21,0.8,0.8,0.8,0.8,37500.0
2020-02-19,0.84,0.84,0.84,0.84,100.0
2020-02-14,0.89,0.89,0.89,0.89,100.0
2020-01-27,0.9,0.9,0.9,0.9,3300.0
2020-01-21,0.85,0.85,0.85,0.85,118300.0
2020-01-17,0.85,0.85,0.85,0.85,20000.0
2020-01-13,0.85,0.85,0.85,0.85,150000.0
2020-01-10,0.85,0.85,0.85,0.85,1000.0
