date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,10.1728,10.1728,10.1728,10.1728,300.0
2020-03-27,10.27,10.27,10.2242,10.2242,1200.0
2020-03-26,10.28,10.29,10.26,10.26,1500.0
2020-03-25,10.01,10.01,10.01,10.01,0.0
2020-03-24,10.01,10.01,10.01,10.01,0.0
2020-03-23,10.01,10.01,10.01,10.01,0.0
2020-03-20,10.01,10.01,10.01,10.01,0.0
2020-03-19,10.01,10.01,10.01,10.01,0.0
2020-03-18,10.01,10.01,10.01,10.01,1001.0
2020-03-17,10.24,10.24,10.24,10.24,0.0
2020-03-16,10.24,10.24,10.24,10.24,120.0
2020-03-13,10.27,10.27,10.27,10.27,0.0
2020-03-12,10.27,10.27,10.27,10.27,240.0
2020-03-11,10.755,10.755,10.755,10.755,0.0
2020-03-10,10.755,10.755,10.755,10.755,0.0
2020-03-09,10.755,10.755,10.755,10.755,49.0
2020-03-06,10.755,10.755,10.755,10.755,178.0
2020-03-05,10.603,10.603,10.603,10.603,0.0
2020-03-04,10.603,10.603,10.603,10.603,0.0
2020-03-03,10.6028,10.6028,10.6028,10.6028,5.0
2020-03-02,10.6028,10.6028,10.6028,10.6028,1001.0
2020-02-28,10.6028,10.6028,10.6028,10.6028,2.0
2020-02-27,10.58,10.6251,10.55,10.6028,7901.0
2020-02-26,10.58,10.58,10.58,10.58,0.0
2020-02-25,10.58,10.58,10.58,10.58,0.0
2020-02-24,10.58,10.58,10.58,10.58,0.0
2020-02-21,10.58,10.58,10.58,10.58,0.0
2020-02-20,10.58,10.58,10.58,10.58,100.0
2020-02-19,10.7,10.7,10.7,10.7,0.0
2020-02-18,10.7,10.7,10.7,10.7,0.0
2020-02-14,10.7,10.7,10.7,10.7,5700.0
2020-02-13,10.7,10.7,10.7,10.7,0.0
2020-02-12,10.7,10.7,10.7,10.7,0.0
2020-02-11,10.7,10.7,10.7,10.7,0.0
2020-02-10,10.7,10.7,10.7,10.7,258.0
2020-02-07,10.6,10.6,10.6,10.6,0.0
2020-02-06,10.6,10.6,10.6,10.6,0.0
2020-02-04,10.6,10.6,10.6,10.6,0.0
2020-02-03,10.6,10.6,10.6,10.6,1000.0
2020-01-31,10.619,10.619,10.619,10.619,0.0
2020-01-29,10.6194,10.6194,10.6194,10.6194,400.0
2020-01-28,10.46,10.46,10.46,10.46,0.0
2020-01-27,10.46,10.46,10.46,10.46,0.0
2020-01-24,10.46,10.46,10.46,10.46,5.0
2020-01-23,10.46,10.46,10.46,10.46,0.0
2020-01-22,10.46,10.46,10.46,10.46,0.0
2020-01-21,10.46,10.46,10.46,10.46,0.0
2020-01-17,10.46,10.46,10.46,10.46,0.0
2020-01-16,10.46,10.46,10.46,10.46,0.0
2020-01-15,10.46,10.46,10.46,10.46,0.0
2020-01-14,10.46,10.46,10.46,10.46,0.0
2020-01-13,10.46,10.46,10.46,10.46,0.0
2020-01-10,10.46,10.46,10.46,10.46,0.0
2020-01-09,10.46,10.46,10.46,10.46,211274.0
2020-01-08,11.03,11.03,10.46,10.46,9200.0
2020-01-07,10.46,10.46,10.46,10.46,0.0
2020-01-06,10.46,10.46,10.46,10.46,0.0
2020-01-03,10.46,10.46,10.46,10.46,0.0
2020-01-02,10.48,10.56,10.46,10.46,1314.0
2019-12-31,10.56,10.56,10.56,10.56,0.0
2019-12-30,10.56,10.56,10.56,10.56,504.0
2019-12-27,10.56,10.56,10.56,10.56,0.0
2019-12-26,10.56,10.56,10.56,10.56,0.0
2019-12-24,10.56,10.56,10.56,10.56,0.0
2019-12-23,10.56,10.56,10.56,10.56,0.0
2019-12-20,10.56,10.56,10.56,10.56,0.0
2019-12-19,10.56,10.56,10.56,10.56,5.0
2019-12-18,11.18,11.18,10.51,10.56,1800.0
2019-12-17,10.61,10.61,10.61,10.61,0.0
2019-12-16,10.61,10.61,10.61,10.61,0.0
2019-12-13,10.61,10.61,10.61,10.61,0.0
2019-12-12,10.61,10.61,10.61,10.61,0.0
2019-12-11,10.61,10.61,10.61,10.61,0.0
2019-12-10,10.61,10.61,10.61,10.61,100.0
2019-12-09,10.79,10.79,10.79,10.79,109.0
2019-12-06,10.59,10.59,10.59,10.59,0.0
2019-12-05,10.59,10.59,10.59,10.59,400.0
2019-12-04,10.59,10.59,10.59,10.59,100.0
2019-12-03,10.54,10.54,10.54,10.54,0.0
2019-12-02,10.5,10.54,10.5,10.54,900.0
2019-11-29,10.46,10.46,10.46,10.46,0.0
2019-11-27,10.46,10.46,10.46,10.46,0.0
2019-11-26,10.46,10.46,10.46,10.46,0.0
