date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,1.5,1.68,1.45,1.62,81449.0
2020-03-27,1.65,1.69,1.33,1.35,99622.0
2020-03-26,1.61,1.7,1.6,1.63,64595.0
2020-03-25,1.72,1.79,1.5,1.6,130162.0
2020-03-24,1.75,1.75,1.67,1.685,68862.0
2020-03-23,1.91,1.91,1.59,1.64,82073.0
2020-03-20,1.87,1.9684,1.8291,1.85,56037.0
2020-03-19,1.81,1.92,1.6386,1.85,58991.0
2020-03-18,1.91,1.96,1.7,1.79,161233.0
2020-03-17,1.9,2.12,1.9,2.03,89675.0
2020-03-16,2.05,2.05,1.9,1.92,74647.0
2020-03-13,1.9,2.12,1.9,2.12,103680.0
2020-03-12,2.0,2.01,1.8,1.83,296206.0
2020-03-11,2.2,2.2,2.01,2.07,117935.0
2020-03-10,2.36,2.4296,2.2,2.2,150089.0
2020-03-09,2.47,2.535,2.2613,2.34,163941.0
2020-03-06,2.82,2.865,2.6,2.6,111502.0
2020-03-05,2.81,3.0,2.805,2.81,32568.0
2020-03-04,2.96,2.99,2.79,2.93,43987.0
2020-03-03,3.05,3.05,2.78,2.91,58893.0
2020-03-02,3.0,3.06,2.89,3.02,46051.0
2020-02-28,3.0193,3.0193,2.8607,2.99,69822.0
2020-02-27,3.24,3.28,3.02,3.1,61896.0
2020-02-26,3.2,3.27,3.1262,3.27,32012.0
2020-02-25,3.3,3.3,3.1,3.23,61524.0
2020-02-24,3.36,3.36,3.2647,3.31,25008.0
2020-02-21,3.472,3.472,3.33,3.38,38562.0
2020-02-20,3.52,3.52,3.365,3.42,49241.0
2020-02-19,3.6,3.65,3.4,3.41,37557.0
2020-02-18,3.39,3.75,3.383,3.57,74986.0
2020-02-14,3.4271,3.47,3.31,3.45,33255.0
2020-02-13,3.45,3.45,3.27,3.41,22673.0
2020-02-12,3.65,3.7496,3.39,3.45,58106.0
2020-02-11,3.5,3.6101,3.42,3.5,35390.0
2020-02-10,3.34,3.49,3.305,3.42,40305.0
2020-02-07,3.49,3.5,3.4,3.4,31161.0
2020-02-06,3.62,3.62,3.38,3.48,29339.0
2020-02-05,3.65,3.66,3.51,3.56,23774.0
2020-02-04,3.58,3.62,3.5,3.5,34592.0
2020-02-03,3.55,3.81,3.55,3.57,38194.0
2020-01-31,3.61,3.65,3.54,3.55,21349.0
2020-01-30,3.68,3.73,3.544,3.61,37328.0
2020-01-29,3.8,3.92,3.73,3.75,55072.0
2020-01-28,3.93,4.0243,3.85,3.96,23814.0
2020-01-27,3.8,4.05,3.75,3.97,46720.0
2020-01-24,3.99,3.99,3.77,3.86,33765.0
2020-01-23,4.1,4.1001,3.73,3.95,96217.0
2020-01-22,3.93,4.13,3.85,4.06,138700.0
2020-01-21,3.51,3.79,3.43,3.73,68802.0
2020-01-17,3.55,3.59,3.3636,3.48,93777.0
2020-01-16,3.32,3.59,3.1505,3.55,98672.0
2020-01-15,3.32,3.39,3.16,3.3,139697.0
2020-01-14,2.77,3.5,2.77,3.32,286194.0
2020-01-13,2.8625,2.887,2.74,2.77,51482.0
2020-01-10,2.95,2.96,2.85,2.87,47628.0
2020-01-09,3.03,3.06,2.93,2.93,32619.0
2020-01-08,2.95,3.027,2.93,3.0,41129.0
2020-01-07,3.24,3.24,2.9,2.97,75924.0
2020-01-06,3.16,3.16,3.04,3.16,33736.0
2020-01-03,3.0263,3.18,3.0263,3.16,23463.0
2020-01-02,3.29,3.32,2.879,3.0,80201.0
2019-12-31,3.24,3.35,3.22,3.28,58714.0
2019-12-30,2.9,3.25,2.9,3.23,114048.0
2019-12-27,2.92,2.95,2.85,2.89,71941.0
2019-12-26,2.91,2.94,2.85,2.94,57472.0
2019-12-24,2.93,2.9776,2.87,2.88,29819.0
2019-12-23,2.91,3.02,2.8628,2.87,131324.0
2019-12-20,2.87,2.9782,2.78,2.78,90675.0
2019-12-19,2.98,2.98,2.78,2.87,159411.0
2019-12-18,3.3,3.372,2.85,2.97,388865.0
2019-12-17,3.31,3.41,3.25,3.26,50531.0
2019-12-16,3.54,3.54,3.26,3.26,110999.0
2019-12-13,3.3,3.439,2.92,3.26,375245.0
2019-12-12,3.86,3.87,3.814,3.84,17257.0
2019-12-11,3.82,3.89,3.73,3.86,37993.0
2019-12-10,3.84,3.9,3.77,3.88,56951.0
2019-12-09,3.73,3.84,3.69,3.81,112124.0
2019-12-06,3.76,3.84,3.72,3.74,36365.0
2019-12-05,3.81,3.81,3.74,3.77,17061.0
2019-12-04,3.79,3.81,3.73,3.78,45917.0
2019-12-03,3.7242,3.78,3.72,3.76,40090.0
2019-12-02,3.8,3.84,3.73,3.78,25043.0
2019-11-29,3.89,3.92,3.8,3.83,16616.0
2019-11-27,3.89,3.9296,3.86,3.89,47590.0
2019-11-26,3.63,3.9,3.63,3.9,142813.0
2019-11-25,3.6,3.6621,3.57,3.635,61907.0
2019-11-22,3.5,3.58,3.46,3.55,91725.0
2019-11-21,3.517,3.63,3.2,3.46,91009.0
2019-11-20,3.6,3.67,3.5,3.53,98187.0
2019-11-19,3.71,3.8,3.58,3.58,66249.0
2019-11-18,3.8,3.84,3.71,3.74,71122.0
2019-11-15,3.85,3.9,3.75,3.84,29719.0
2019-11-14,3.9,3.91,3.7566,3.85,42028.0
