date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,0.5565,0.56,0.4306,0.4402,73231.0
2020-04-08,0.45,0.565,0.45,0.52,148801.0
2020-04-07,0.478,0.478,0.43,0.458,14808.0
2020-04-06,0.4132,0.486,0.4128,0.441,7024.0
2020-04-03,0.4426,0.4426,0.39,0.3936,24211.0
2020-04-02,0.4308,0.446,0.4,0.4,7157.0
2020-04-01,0.4101,0.49,0.405,0.41,39817.0
2020-03-31,0.4915,0.4915,0.4149,0.42,22499.0
2020-03-30,0.4085,0.5,0.4085,0.4363,80214.0
2020-03-27,0.45,0.45,0.3883,0.3892,27079.0
2020-03-26,0.4,0.4039,0.3601,0.388,79941.0
2020-03-25,0.37,0.38,0.33,0.3465,27421.0
2020-03-24,0.3561,0.38,0.328,0.3427,28519.0
2020-03-23,0.33,0.36,0.33,0.3392,31399.0
2020-03-20,0.3465,0.3713,0.33,0.357,21071.0
2020-03-19,0.28,0.38,0.26,0.35,39393.0
2020-03-18,0.315,0.3325,0.28,0.2809,20523.0
2020-03-17,0.3395,0.3395,0.28,0.3,15596.0
2020-03-16,0.32,0.3628,0.31,0.3628,6058.0
2020-03-13,0.35,0.39,0.32,0.38,45571.0
2020-03-12,0.353,0.36,0.3201,0.348,79942.0
2020-03-11,0.445,0.4851,0.36,0.36,128320.0
2020-03-10,0.48,0.5,0.44,0.44,87045.0
2020-03-09,0.5011,0.5011,0.4602,0.4804,52761.0
2020-03-06,0.5499,0.57,0.527,0.53,26014.0
2020-03-05,0.62,0.62,0.5201,0.5369,34102.0
2020-03-04,0.5586,0.6037,0.5352,0.5902,66228.0
2020-03-03,0.54,0.5824,0.52,0.54,115529.0
2020-03-02,0.58,0.5895,0.5325,0.56,95340.0
2020-02-28,0.601,0.62,0.5157,0.57,298924.0
2020-02-27,0.665,0.6699,0.601,0.62,274504.0
2020-02-26,0.7,0.7,0.665,0.6851,19648.0
2020-02-25,0.68,0.69,0.668,0.67,77207.0
2020-02-24,0.69,0.69,0.67,0.6793,52492.0
2020-02-21,0.6996,0.7,0.6584,0.6957,129660.0
2020-02-20,0.72,0.7212,0.6701,0.7044,114876.0
2020-02-19,0.6955,0.6955,0.66,0.6908,116974.0
2020-02-18,0.7028,0.7299,0.7,0.7061,65086.0
2020-02-14,0.709,0.745,0.69,0.71,130143.0
2020-02-13,0.7232,0.75,0.7041,0.72,92977.0
2020-02-12,0.7189,0.7599,0.69,0.7458,172309.0
2020-02-11,0.705,0.73,0.68,0.7258,238940.0
2020-02-10,0.7402,0.7402,0.7,0.7094,115194.0
2020-02-07,0.76,0.7666,0.69,0.7184,313408.0
2020-02-06,0.67,0.79,0.67,0.7369,933383.0
2020-02-05,0.6474,0.68,0.6301,0.6699,94203.0
2020-02-04,0.645,0.68,0.6251,0.6422,162339.0
2020-02-03,0.6816,0.6816,0.63,0.6417,204226.0
2020-01-31,0.7185,0.7298,0.6801,0.6816,172172.0
2020-01-30,0.6801,0.79,0.6801,0.735,701022.0
2020-01-29,0.735,0.735,0.68,0.6951,121962.0
2020-01-28,0.73,0.73,0.68,0.7,243263.0
2020-01-27,0.735,0.795,0.7,0.72,399106.0
2020-01-24,0.7426,0.77,0.72,0.7349,191054.0
2020-01-23,0.7451,0.82,0.73,0.7529,362114.0
2020-01-22,0.7507,0.78,0.74,0.7694,250358.0
2020-01-21,0.825,0.825,0.75,0.75,346897.0
2020-01-17,0.86,0.89,0.8,0.8225,714478.0
2020-01-16,0.95,1.25,0.8115,0.94,7363727.0
2020-01-15,0.72,0.82,0.71,0.74,619372.0
2020-01-14,0.7332,0.9002,0.695,0.73,1371060.0
