date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,10.0,10.0,10.0,10.0,305000.0
2020-03-27,10.0,10.01,10.0,10.0,5000.0
2020-03-26,9.8562,10.05,9.8562,10.0,203000.0
2020-03-25,10.05,10.12,10.05,10.12,300.0
2020-03-24,10.09,10.09,10.09,10.09,6.0
2020-03-23,9.9,10.09,9.9,10.09,881.0
2020-03-20,10.05,10.11,10.05,10.1,1301.0
2020-03-19,9.8001,10.0,9.8001,9.99,2474.0
2020-03-18,10.15,10.15,9.6,10.11,1395.0
2020-03-17,10.15,10.15,10.15,10.15,100.0
2020-03-16,10.176,10.176,10.176,10.176,0.0
2020-03-13,10.36,10.49,10.176,10.176,599202.0
2020-03-12,10.4,10.59,10.36,10.58,151000.0
2020-03-11,10.563,10.563,10.563,10.563,0.0
2020-03-10,10.61,10.61,10.55,10.563,78060.0
2020-03-09,10.55,10.69,10.44,10.4503,5800.0
2020-03-06,10.6,10.65,10.56,10.56,4701.0
2020-03-05,10.63,10.63,10.56,10.5601,93724.0
2020-03-04,10.64,10.64,10.6,10.64,3680.0
2020-03-03,10.65,10.65,10.6,10.6027,14880.0
2020-03-02,10.65,10.71,10.56,10.65,5725.0
2020-02-28,10.6,10.75,10.5,10.6,43702.0
2020-02-27,10.6845,10.7,10.65,10.7,12702.0
2020-02-26,10.72,10.74,10.72,10.74,1545.0
2020-02-25,10.7,10.72,10.69,10.69,33998.0
2020-02-24,10.75,10.75,10.75,10.75,148.0
2020-02-21,10.7,10.7,10.7,10.7,1000.0
2020-02-20,10.7,10.75,10.6509,10.73,52593.0
2020-02-19,10.6971,10.8382,10.6971,10.8382,400.0
2020-02-18,10.592,10.592,10.592,10.592,0.0
2020-02-14,10.65,10.65,10.5923,10.5923,8800.0
2020-02-13,10.58,10.66,10.57,10.66,501.0
2020-02-12,10.6002,10.6002,10.6002,10.6002,1.0
2020-02-11,10.6,10.6,10.6,10.6,0.0
2020-02-10,10.6,10.6,10.6,10.6,0.0
2020-02-07,10.64,10.65,10.6002,10.6002,51400.0
2020-02-06,10.6,10.65,10.6,10.6,9091.0
2020-02-05,10.6,10.65,10.55,10.65,223704.0
2020-02-04,10.7,10.75,10.55,10.7,36300.0
2020-02-03,10.64,10.701,10.5856,10.7,28700.0
2020-01-31,10.675,10.68,10.55,10.68,37300.0
2020-01-30,10.65,10.7,10.65,10.7,1700.0
2020-01-29,10.56,10.7,10.56,10.7,50850.0
2020-01-28,10.8,10.8,10.6398,10.7,9705.0
2020-01-27,10.64,10.805,10.63,10.805,3375.0
2020-01-24,10.63,10.63,10.63,10.63,184.0
2020-01-23,10.43,10.65,10.43,10.65,176381.0
2020-01-22,10.64,10.65,10.576,10.6,4505.0
2020-01-21,10.6,11.89,10.5,11.89,56900.0
2020-01-17,10.6,10.6,10.6,10.6,0.0
2020-01-16,10.45,10.76,10.45,10.6,237300.0
2020-01-15,10.6,10.6,10.6,10.6,0.0
2020-01-14,10.6,10.6,10.6,10.6,10.0
2020-01-13,10.6,10.6,10.6,10.6,213800.0
2020-01-10,10.5,10.6,10.5,10.6,111100.0
2020-01-09,10.5,10.5,10.5,10.5,40840.0
2020-01-08,10.5,10.62,10.5,10.5,33615.0
2020-01-07,10.5507,10.5507,10.5507,10.5507,1.0
2020-01-06,10.5507,10.5507,10.5507,10.5507,100.0
2020-01-03,10.48,10.55,10.47,10.55,95100.0
2020-01-02,10.46,10.46,10.46,10.46,3198.0
2019-12-31,10.47,10.48,10.47,10.47,173565.0
2019-12-30,10.5,10.5,10.5,10.5,457.0
2019-12-27,10.47,10.5,10.47,10.5,5100.0
2019-12-26,10.55,10.55,10.55,10.55,0.0
2019-12-24,11.2,11.2,10.32,10.55,502.0
