date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.94,0.95,0.8,0.948,28141.0
2020-04-23,0.99,0.99,0.8528,0.95,75498.0
2020-04-22,1.03,1.04,0.99,0.99,18188.0
2020-04-21,0.95,0.99,0.803,0.99,14973.0
2020-04-20,1.05,1.09,0.9401,0.9899,32110.0
2020-04-17,1.01,1.09,0.9002,1.07,46705.0
2020-04-16,0.93,1.09,0.93,0.97,30373.0
2020-04-15,1.03,1.05,0.9181,0.95,23881.0
2020-04-14,0.97,1.07,0.97,1.02,6183.0
2020-04-13,1.03,1.043,0.9231,1.0,54431.0
2020-04-09,1.0903,1.115,1.06,1.09,14291.0
2020-04-08,1.14,1.14,1.05,1.13,55151.0
2020-04-07,1.142,1.17,1.05,1.13,30459.0
2020-04-06,1.16,1.21,1.0959,1.14,90070.0
2020-04-03,1.09,1.19,1.07,1.19,89850.0
2020-04-02,1.04,1.1,0.995,1.08,47236.0
2020-04-01,1.04,1.07,0.96,1.07,43281.0
2020-03-31,1.0219,1.04,1.0,1.04,15728.0
2020-03-30,0.99,1.05,0.99,1.05,25904.0
2020-03-27,0.95,1.06,0.93,1.06,43191.0
2020-03-26,1.01,1.0101,0.96,0.998,43237.0
2020-03-25,1.03,1.03,0.81,1.02,51563.0
2020-03-24,1.0,1.03,0.78,1.03,53082.0
2020-03-23,0.935,0.98,0.88,0.9699,62004.0
2020-03-20,0.989,0.99,0.8501,0.9353,99311.0
2020-03-19,0.95,1.0,0.91,1.0,42058.0
2020-03-18,0.91,0.966,0.88,0.9183,17690.0
2020-03-17,0.8979,0.9911,0.8801,0.9911,34112.0
2020-03-16,1.02,1.03,0.5716,0.85,180080.0
2020-03-13,1.01,1.11,0.9377,1.02,250686.0
2020-03-12,0.95,1.0,0.72,1.0,252046.0
2020-03-11,1.0,1.0,0.9003,0.95,61345.0
2020-03-10,0.88,0.96,0.8,0.96,159660.0
2020-03-09,0.835,1.02,0.8001,0.88,107547.0
2020-03-06,0.788,0.835,0.65,0.835,86287.0
2020-03-05,0.7849,0.799,0.7707,0.799,70104.0
2020-03-04,0.77,0.83,0.77,0.82,80224.0
2020-03-03,0.8,0.82,0.71,0.75,73965.0
2020-03-02,0.8,0.8,0.62,0.77,238992.0
2020-02-28,0.5146,0.6888,0.4599,0.6888,256826.0
2020-02-27,0.44,0.55,0.38,0.4901,218405.0
2020-02-26,0.46,0.46,0.42,0.46,25443.0
2020-02-25,0.4377,0.4797,0.422,0.46,14975.0
2020-02-24,0.46,0.553,0.364,0.49,148106.0
2020-02-21,0.59,0.7826,0.48,0.51,1733943.0
2020-02-20,0.57,0.57,0.512,0.57,14029.0
2020-02-19,0.5508,0.5994,0.532,0.56,18484.0
2020-02-18,0.5985,0.5985,0.51,0.57,33875.0
2020-02-14,0.51,0.57,0.4951,0.57,96339.0
2020-02-13,0.4801,0.52,0.4653,0.506,19858.0
2020-02-12,0.51,0.52,0.5,0.51,9670.0
2020-02-11,0.52,0.52,0.49,0.4999,10991.0
2020-02-10,0.5216,0.5476,0.47,0.528,55229.0
2020-02-07,0.48,0.54,0.48,0.5,52282.0
2020-02-06,0.54,0.56,0.48,0.55,102885.0
2020-02-05,0.56,0.56,0.52,0.54,32504.0
2020-02-04,0.6,0.6,0.55,0.57,20447.0
2020-02-03,0.5994,0.5994,0.523,0.57,34427.0
2020-01-31,0.5736,0.5994,0.502,0.5994,66174.0
2020-01-30,0.59,0.59,0.56,0.59,11157.0
2020-01-29,0.52,0.5994,0.5,0.5994,67961.0
2020-01-28,0.49,0.5803,0.4499,0.58,175501.0
2020-01-27,0.5,0.5,0.4722,0.48,38909.0
2020-01-24,0.55,0.55,0.32,0.49,74465.0
2020-01-23,0.5377,0.55,0.536,0.55,8073.0
2020-01-22,0.57,0.57,0.532,0.555,20554.0
2020-01-21,0.57,0.57,0.5429,0.57,10274.0
2020-01-17,0.5699,0.57,0.5532,0.57,19179.0
2020-01-16,0.57,0.57,0.5368,0.5699,37362.0
2020-01-15,0.64,0.6432,0.5494,0.57,120967.0
2020-01-14,0.6789,0.6789,0.6315,0.65,10275.0
2020-01-13,0.67,0.71,0.6549,0.6799,78141.0
2020-01-10,0.686,0.686,0.6307,0.6598,43221.0
2020-01-09,0.6529,0.685,0.6342,0.685,33672.0
2020-01-08,0.686,0.686,0.6363,0.685,54988.0
2020-01-07,0.6643,0.6827,0.66,0.67,22175.0
2020-01-06,0.6889,0.6889,0.66,0.6639,10217.0
2020-01-03,0.67,0.68,0.6307,0.679,53043.0
2020-01-02,0.63,0.66,0.63,0.66,30672.0
2019-12-31,0.63,0.63,0.5572,0.63,80742.0
2019-12-30,0.58,0.625,0.5791,0.625,80610.0
2019-12-27,0.55,0.595,0.55,0.58,104535.0
2019-12-26,0.58,0.6,0.51,0.6,59313.0
2019-12-24,0.5,0.567,0.4724,0.567,114556.0
2019-12-23,0.5809,0.5972,0.51,0.5392,97342.0
2019-12-20,0.62,0.62,0.52,0.5701,38287.0
2019-12-19,0.59,0.62,0.52,0.604,86760.0
2019-12-18,0.62,0.62,0.5795,0.6,39026.0
2019-12-17,0.64,0.64,0.5899,0.63,42243.0
2019-12-16,0.68,0.68,0.58,0.6299,91769.0
2019-12-13,0.6706,0.68,0.6002,0.68,63605.0
2019-12-12,0.68,0.68,0.62,0.64,37705.0
2019-12-11,0.68,0.68,0.62,0.668,15647.0
2019-12-10,0.6659,0.69,0.622,0.67,45312.0
2019-12-09,0.676,0.676,0.6205,0.66,38964.0
2019-12-06,0.69,0.69,0.627,0.6401,36060.0
2019-12-05,0.6867,0.695,0.6506,0.69,33718.0
2019-12-04,0.66,0.6957,0.6001,0.654,47215.0
2019-12-03,0.71,0.87,0.5505,0.7,624680.0
2019-12-02,0.7,0.7118,0.6678,0.71,8449.0
2019-11-29,0.69,0.72,0.632,0.7,36286.0
2019-11-27,0.62,0.72,0.61,0.69,38662.0
2019-11-26,0.53,0.615,0.53,0.59,14636.0
2019-11-25,0.6077,0.615,0.5201,0.5749,59148.0
2019-11-22,0.5714,0.68,0.5714,0.6166,88122.0
2019-11-21,0.5243,0.59,0.5243,0.57,45513.0
2019-11-20,0.5922,0.6138,0.4704,0.543,63404.0
2019-11-19,0.5233,0.615,0.5,0.5999,51442.0
2019-11-18,0.5529,0.5529,0.5,0.5195,86474.0
2019-11-15,0.5808,0.628,0.56,0.594,13673.0
2019-11-14,0.6,0.63,0.58,0.59,28312.0
2019-11-13,0.68,0.68,0.5827,0.615,65572.0
2019-11-12,0.7067,0.7067,0.652,0.685,5276.0
2019-11-11,0.66,0.6758,0.65,0.6595,44586.0
2019-11-08,0.6615,0.7249,0.6615,0.668,37776.0
2019-11-07,0.72,0.72,0.67,0.6819,60744.0
2019-11-06,0.67,0.71,0.67,0.71,34853.0
2019-11-05,0.75,0.75,0.673,0.69,66130.0
2019-11-04,0.7299,0.7299,0.684,0.7,16988.0
2019-11-01,0.75,0.7536,0.6988,0.7379,69524.0
2019-10-31,0.7332,0.79,0.7,0.74,75429.0
2019-10-30,0.7498,0.82,0.73,0.762,84126.0
2019-10-29,0.69,0.75,0.69,0.7261,22543.0
2019-10-28,0.7106,0.76,0.7,0.7198,36390.0
2019-10-25,0.6905,0.72,0.67,0.7178,77973.0
2019-10-24,0.7,0.71,0.64,0.71,70219.0
2019-10-23,0.645,0.71,0.645,0.7,86957.0
