date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,142.12,144.5199,139.21,143.58,41200.0
2020-04-08,141.83,144.38,140.14,140.28,98793.0
2020-04-07,141.35,142.58,137.0,138.15,65819.0
2020-04-06,139.8,140.0,136.92,137.0,84117.0
2020-04-03,131.21,132.48,129.2637,132.11,37498.0
2020-04-02,128.35,134.69,127.23,133.31,54143.0
2020-04-01,128.7,133.51,127.41,127.44,104834.0
2020-03-31,133.17,135.0,129.96,131.73,47111.0
2020-03-30,132.6,133.86,131.55,133.0,67948.0
2020-03-27,128.75,136.43,127.42,130.68,99046.0
2020-03-26,128.15,133.08,126.37,132.68,231564.0
2020-03-25,134.8,135.97,128.61,128.71,140932.0
2020-03-24,132.88,134.35,121.54,130.92,180052.0
2020-03-23,121.82,129.49,119.59,129.0,160890.0
2020-03-20,127.12,128.98,118.03,118.84,134683.0
2020-03-19,126.87,126.945,118.99,121.0,200089.0
2020-03-18,113.58,119.09,110.03,110.87,136568.0
2020-03-17,111.9,116.51,110.05,112.92,284472.0
2020-03-16,104.0,116.8,103.75,108.83,321549.0
2020-03-13,127.88,127.98,111.36,123.33,272423.0
2020-03-12,119.45,121.37,114.6901,114.7,320087.0
2020-03-11,138.71,140.36,131.115,133.81,238379.0
2020-03-10,149.79,150.76,140.39,147.0,249971.0
2020-03-09,141.87,146.33,137.34,142.3,271812.0
2020-03-06,148.52,154.01,147.52,150.11,237560.0
2020-03-05,150.66,153.93,150.66,153.41,130732.0
2020-03-04,149.94,157.14,149.21,156.82,153398.0
2020-03-03,148.23,151.9,146.555,147.36,156451.0
2020-03-02,140.8,148.58,138.88,147.99,152388.0
2020-02-28,134.02,141.38,134.02,141.38,368177.0
2020-02-27,144.29,150.55,142.1,143.54,207660.0
2020-02-26,153.69,155.92,149.04,150.51,207576.0
2020-02-25,155.41,156.2,152.5,153.49,160695.0
2020-02-24,157.1,158.51,155.4575,156.3,146923.0
2020-02-21,162.16,162.88,160.8,161.1,210329.0
2020-02-20,162.94,164.86,158.68,161.17,183902.0
2020-02-19,163.3,163.6,161.365,161.88,134496.0
2020-02-18,159.26,160.49,158.58,160.12,73502.0
2020-02-14,162.58,163.0,158.96,160.19,96333.0
2020-02-13,158.97,161.62,158.83,161.04,134903.0
2020-02-12,157.95,160.22,156.63,160.2,95786.0
2020-02-11,157.91,158.41,156.29,157.56,63595.0
2020-02-10,155.12,158.525,155.04,157.46,67092.0
2020-02-07,154.36,154.97,153.755,154.49,87416.0
2020-02-06,155.83,157.17,154.76,155.5,104542.0
2020-02-05,157.26,157.97,154.8,155.85,164340.0
2020-02-04,152.45,155.87,151.98,155.06,158555.0
2020-02-03,144.89,152.06,144.88,150.79,231356.0
2020-01-31,147.3,147.45,144.04,144.29,141572.0
2020-01-30,145.17,147.42,144.7,147.23,189010.0
2020-01-29,146.25,148.31,145.97,148.19,94230.0
2020-01-28,143.34,146.37,143.02,143.58,78449.0
2020-01-27,143.13,144.26,141.84,143.32,91249.0
2020-01-24,149.6,149.91,144.0,144.75,90260.0
2020-01-23,151.9,152.115,149.14,149.23,91685.0
2020-01-22,154.04,156.37,153.08,153.51,116144.0
2020-01-21,151.24,153.51,151.11,153.35,83141.0
2020-01-17,152.0,155.03,151.9843,154.39,257175.0
2020-01-16,151.75,152.88,149.3,150.04,224964.0
2020-01-15,153.17,153.695,151.275,152.6,156110.0
2020-01-14,155.45,155.617,153.31,153.6,199081.0
2020-01-13,161.93,162.37,155.3,156.75,189696.0
2020-01-10,165.67,166.96,163.52,163.74,116319.0
2020-01-09,167.54,169.5,164.02,165.23,512192.0
2020-01-08,155.28,157.8083,155.04,156.5,107594.0
2020-01-07,157.09,157.27,154.09,155.26,141064.0
2020-01-06,157.27,157.49,155.7,156.42,167180.0
2020-01-03,158.5,160.4,156.4015,158.58,143638.0
2020-01-02,160.3,161.24,158.74,160.46,122547.0
2019-12-31,161.26,161.48,159.88,160.52,55807.0
2019-12-30,162.43,162.43,160.52,161.8,97588.0
2019-12-27,162.86,162.86,159.99,160.8,97898.0
2019-12-26,161.41,162.09,160.04,161.19,95654.0
2019-12-24,161.37,162.9,161.35,161.82,30112.0
2019-12-23,162.25,163.53,161.03,161.65,103619.0
2019-12-20,164.5,165.22,160.76,162.0,192385.0
2019-12-19,164.5,166.29,163.36,163.59,217455.0
2019-12-18,161.81,162.11,160.57,160.9,94741.0
2019-12-17,167.62,167.64,159.93,161.27,220394.0
2019-12-16,165.0,166.885,164.13,164.21,338288.0
2019-12-13,158.41,159.08,156.49,157.11,177542.0
2019-12-12,155.74,156.6,153.55,155.94,230611.0
2019-12-11,158.04,159.0,155.62,156.42,167808.0
2019-12-10,152.32,156.22,151.82,155.52,198572.0
2019-12-09,150.02,153.015,150.02,152.76,195175.0
2019-12-06,149.05,149.38,146.52,147.42,178710.0
2019-12-05,151.35,151.38,149.22,149.62,106680.0
2019-12-04,152.01,152.01,149.05,150.99,183907.0
2019-12-03,148.01,148.88,146.035,147.17,143986.0
2019-12-02,148.72,149.63,146.96,147.72,108931.0
2019-11-29,148.62,148.64,147.71,148.05,88178.0
2019-11-27,146.92,147.985,145.44,145.66,86518.0
2019-11-26,146.28,147.91,145.5,146.51,136632.0
2019-11-25,143.84,146.865,143.42,146.56,89937.0
2019-11-22,143.49,143.82,140.435,141.76,106088.0
2019-11-21,143.71,145.02,142.04,143.31,106206.0
2019-11-20,145.77,148.98,139.22,141.25,433832.0
2019-11-19,139.84,146.77,139.84,146.63,256993.0
2019-11-18,139.27,142.07,138.9,141.49,83499.0
2019-11-15,137.64,139.55,137.28,139.37,99830.0
2019-11-14,135.97,137.96,135.0,137.38,175360.0
2019-11-13,131.43,136.75,130.97,136.59,309655.0
2019-11-12,127.56,129.5,126.87,127.42,124585.0
2019-11-11,128.75,129.93,126.5,127.09,143238.0
2019-11-08,126.12,127.77,124.71,127.55,307666.0
2019-11-07,128.0,130.0,124.58,125.0,708439.0
2019-11-06,128.34,129.05,125.89,126.15,164880.0
2019-11-05,126.38,128.54,126.37,128.35,94353.0
2019-11-04,128.78,128.84,125.88,127.65,148362.0
2019-11-01,124.97,126.37,124.26,125.73,103879.0
2019-10-31,121.52,122.84,120.258,122.46,113299.0
2019-10-30,120.22,121.34,119.38,121.03,102902.0
2019-10-29,116.58,120.01,115.9,119.14,118403.0
2019-10-28,115.5,116.85,114.95,115.33,133096.0
2019-10-25,113.545,115.21,113.45,114.0,132710.0
2019-10-24,119.49,121.81,115.83,116.5,315323.0
2019-10-23,117.85,118.865,112.16,113.58,246499.0
2019-10-22,116.23,118.225,115.72,117.72,356665.0
2019-10-21,113.58,115.26,112.84,114.86,97660.0
2019-10-18,117.72,117.85,113.58,115.25,120018.0
2019-10-17,117.09,118.36,116.87,117.91,76557.0
2019-10-16,114.24,115.85,114.24,114.97,207305.0
2019-10-15,111.48,116.67,111.35,116.46,194298.0
2019-10-14,110.1,112.93,109.87,111.59,175975.0
2019-10-11,111.22,113.05,110.7,111.97,170634.0
2019-10-10,107.91,110.49,107.62,110.3,139830.0
2019-10-09,109.09,109.18,107.69,108.24,92666.0
2019-10-08,109.39,109.91,106.49,106.59,120461.0
2019-10-07,112.33,112.4,110.78,111.05,143902.0
2019-10-04,112.86,113.46,111.69,112.67,146742.0
2019-10-03,112.33,113.61,111.09,111.88,223176.0
2019-10-02,108.44,113.58,106.9306,113.42,425686.0
2019-10-01,112.99,113.38,108.13,108.95,304087.0
2019-09-30,114.09,114.33,112.87,113.96,236611.0
2019-09-27,116.63,116.65,112.56,113.31,142152.0
2019-09-26,118.98,119.27,115.55,116.16,177469.0
2019-09-25,120.26,120.69,116.55,116.62,162816.0
2019-09-24,124.37,124.48,121.0,121.12,129638.0
2019-09-23,124.49,124.66,122.595,122.93,66775.0
2019-09-20,124.93,125.8,124.15,125.37,134520.0
2019-09-19,127.59,128.09,125.77,126.39,98950.0
2019-09-18,129.25,129.39,127.115,128.3,174137.0
2019-09-17,128.02,129.47,128.02,128.96,103107.0
2019-09-16,125.59,128.5,125.59,128.42,192095.0
2019-09-13,124.3,125.52,124.18,124.89,107401.0
2019-09-12,122.68,125.53,122.61,125.21,77241.0
2019-09-11,122.02,125.385,121.52,124.07,397419.0
2019-09-10,124.36,124.89,122.52,122.89,460510.0
2019-09-09,129.49,130.21,128.02,129.0,314738.0
2019-09-06,131.7,132.34,131.0,131.25,128771.0
2019-09-05,131.26,132.64,130.495,132.53,134248.0
2019-09-04,130.13,131.02,129.29,130.65,104030.0
2019-09-03,130.52,131.83,127.19,128.2,218362.0
2019-08-30,131.07,131.69,129.52,131.45,99348.0
2019-08-29,132.61,132.92,130.85,132.27,80098.0
2019-08-28,131.97,134.0,130.0218,131.91,151039.0
2019-08-27,135.14,135.65,133.2,134.37,109883.0
2019-08-26,136.48,136.795,134.48,135.41,95522.0
2019-08-23,135.22,137.82,133.77,134.28,82547.0
2019-08-22,138.05,138.05,133.71,136.34,96621.0
2019-08-21,139.32,140.0,138.09,138.65,59952.0
2019-08-20,138.58,139.43,136.82,137.13,94290.0
2019-08-19,140.17,140.17,136.435,137.35,108371.0
2019-08-16,135.86,137.09,135.68,136.12,88579.0
2019-08-15,133.0,136.1,132.6238,134.74,59726.0
2019-08-14,134.68,135.48,133.38,133.91,145425.0
2019-08-13,139.84,141.63,136.99,140.19,134513.0
2019-08-12,142.04,142.99,139.315,139.77,132738.0
2019-08-09,143.9,144.95,141.41,142.25,99462.0
2019-08-08,142.7,143.28,141.3492,142.36,66852.0
2019-08-07,136.91,140.64,135.96,140.24,187717.0
2019-08-06,135.74,137.17,133.3,134.32,153058.0
2019-08-05,137.84,138.815,131.41,133.0,203524.0
2019-08-02,144.56,144.93,141.01,142.61,125354.0
2019-08-01,146.69,148.77,143.65,144.58,197303.0
2019-07-31,140.3,143.11,138.575,140.46,149838.0
2019-07-30,140.77,142.8,139.69,142.7,143763.0
2019-07-29,144.2,145.84,142.24,145.59,160587.0
2019-07-26,141.5,142.59,140.25,142.5,111381.0
2019-07-25,143.12,143.32,140.26,140.26,159490.0
2019-07-24,143.28,145.049,142.36,143.1,217328.0
2019-07-23,146.9,147.48,145.59,145.94,81509.0
2019-07-22,149.92,150.54,148.86,148.86,58148.0
2019-07-19,150.2,150.41,146.71,148.02,94457.0
2019-07-18,148.74,150.92,148.57,150.51,121197.0
2019-07-17,146.8,149.47,146.72,148.78,101964.0
2019-07-16,147.17,148.5,145.66,146.69,100448.0
2019-07-15,142.32,144.25,141.88,143.48,73232.0
2019-07-12,137.96,139.8,137.1,139.24,171134.0
2019-07-11,139.71,139.82,137.2,138.79,74628.0
2019-07-10,140.9,141.08,138.5,138.63,77663.0
2019-07-09,138.14,139.04,137.045,137.86,109487.0
2019-07-08,141.14,141.14,137.76,138.02,178709.0
2019-07-05,142.39,142.845,140.01,140.42,76378.0
2019-07-03,143.34,144.34,143.08,143.36,57316.0
2019-07-02,140.92,143.52,139.27,143.19,134794.0
2019-07-01,141.98,143.56,141.79,142.84,224657.0
