date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,11.37,11.37,11.3045,11.32,1590.0
2020-04-23,11.35,11.37,11.35,11.37,6204.0
2020-04-22,11.25,11.4,11.25,11.35,52478.0
2020-04-21,11.21,11.25,11.2,11.25,2165.0
2020-04-20,11.3,11.3,11.21,11.2239,5561.0
2020-04-17,11.23,11.26,11.22,11.25,20044.0
2020-04-16,11.24,11.24,11.1896,11.22,11548.0
2020-04-15,11.21,11.25,11.1453,11.24,18270.0
2020-04-14,11.1,11.38,11.1,11.24,118614.0
2020-04-13,11.05,11.1655,11.03,11.11,77140.0
2020-04-09,10.75,11.14,10.75,11.03,288501.0
2020-04-08,8.69,8.73,8.545,8.73,6468.0
2020-04-07,8.65,8.65,8.65,8.65,159.0
2020-04-06,8.66,8.66,8.63,8.66,1047.0
2020-04-03,8.67,8.67,8.1,8.1793,9784.0
2020-04-02,8.16,8.7,8.16,8.16,10504.0
2020-04-01,8.05,8.92,8.02,8.07,19746.0
2020-03-31,8.05,8.05,8.05,8.05,109.0
2020-03-30,8.02,8.62,7.7,8.05,4750.0
2020-03-27,8.08,8.1,7.61,7.66,12373.0
2020-03-26,7.91,8.03,7.7641,7.85,13756.0
2020-03-25,7.613,7.613,7.613,7.613,429.0
2020-03-24,7.292,7.81,7.292,7.81,8102.0
2020-03-23,7.66,7.66,7.2682,7.59,4967.0
2020-03-20,7.94,7.94,7.59,7.65,11790.0
2020-03-19,8.24,8.24,8.24,8.24,377.0
2020-03-18,8.79,8.97,6.91,8.24,13387.0
2020-03-17,8.82,8.99,8.65,8.98,3228.0
2020-03-16,8.86,8.9349,8.7,8.71,22489.0
2020-03-13,9.47,9.47,9.0,9.23,2004.0
2020-03-12,9.12,9.1203,8.53,9.0296,10889.0
2020-03-11,9.4614,9.53,9.4,9.53,26868.0
2020-03-10,9.65,9.65,9.4,9.62,5609.0
2020-03-09,9.76,9.84,9.15,9.4,27503.0
2020-03-06,9.99,9.99,9.8007,9.85,16224.0
2020-03-05,9.9692,9.99,9.95,9.97,8991.0
2020-03-04,9.9998,10.0,9.95,9.99,2258.0
2020-03-03,9.87,10.0858,9.7601,10.03,5861.0
2020-03-02,10.01,10.01,9.875,9.875,1403.0
2020-02-28,10.0,10.0,9.48,9.9073,6305.0
2020-02-27,10.1,10.1,9.99,10.01,6984.0
2020-02-26,10.2465,10.27,10.1288,10.1288,1202.0
2020-02-25,10.11,10.29,10.0687,10.26,3622.0
2020-02-24,10.23,10.31,9.92,10.05,13646.0
2020-02-21,10.2407,10.3,10.2407,10.3,415.0
2020-02-20,10.23,10.29,10.23,10.29,1979.0
2020-02-19,10.22,10.3099,10.22,10.22,4491.0
2020-02-18,10.2527,10.31,10.21,10.2494,4106.0
2020-02-14,10.3035,10.3035,10.3035,10.3035,23.0
2020-02-13,10.3035,10.3035,10.3035,10.3035,159.0
2020-02-12,10.25,10.3127,10.25,10.3127,1671.0
2020-02-11,10.3135,10.3135,10.3135,10.3135,177.0
2020-02-10,10.25,10.35,10.22,10.3139,2425.0
2020-02-07,10.27,10.29,10.22,10.248,30720.0
2020-02-06,10.2965,10.3,10.25,10.29,6964.0
2020-02-05,10.254,10.254,10.254,10.254,17.0
2020-02-04,10.27,10.2908,10.25,10.254,3176.0
2020-02-03,10.27,10.315,10.27,10.28,1130.0
2020-01-31,10.27,10.3,10.27,10.2992,962.0
2020-01-30,10.29,10.2993,10.27,10.27,961.0
2020-01-29,10.32,10.35,10.3,10.3,1376.0
2020-01-28,10.2879,10.31,10.2879,10.31,304.0
2020-01-27,10.2,10.3045,10.2,10.25,643.0
2020-01-24,10.23,10.27,10.2,10.2,7004.0
2020-01-23,10.26,10.2907,10.23,10.27,1301.0
2020-01-22,10.27,10.31,10.27,10.31,658.0
2020-01-21,10.23,10.3083,10.23,10.26,2729.0
2020-01-17,10.26,10.28,10.26,10.2606,2513.0
2020-01-16,10.33,10.36,10.2755,10.2755,796.0
2020-01-15,10.2727,10.2758,10.27,10.2758,2020.0
2020-01-14,10.3296,10.3296,10.3296,10.3296,93.0
2020-01-13,10.25,10.34,10.24,10.3296,4504.0
2020-01-10,10.23,10.27,10.23,10.25,4619.0
2020-01-09,10.265,10.3,10.2345,10.3,2644.0
2020-01-08,10.25,10.3,10.22,10.3,5443.0
2020-01-07,10.3013,10.3013,10.25,10.2575,2572.0
2020-01-06,10.2336,10.2336,10.2336,10.2336,464.0
2020-01-03,10.25,10.27,10.23,10.26,2866.0
2020-01-02,10.33,10.4,10.2405,10.25,9218.0
2019-12-31,10.34,10.34,10.33,10.33,850.0
2019-12-30,10.36,10.36,10.3,10.3347,1366.0
2019-12-27,10.39,10.41,10.39,10.41,1156.0
2019-12-26,10.3,10.347,10.3,10.347,881.0
2019-12-24,10.31,10.41,10.31,10.41,1646.0
2019-12-23,10.39,10.4059,10.3054,10.403,10165.0
2019-12-20,10.33,10.38,10.25,10.38,2439.0
2019-12-19,10.22,10.39,10.22,10.39,1460.0
2019-12-18,10.25,10.4,10.211,10.4,1526.0
2019-12-17,10.32,10.4,10.32,10.4,1563.0
2019-12-16,10.42,10.42,10.26,10.3,4058.0
2019-12-13,10.36,10.4,10.36,10.4,739.0
2019-12-12,10.36,10.3994,10.36,10.3994,750.0
2019-12-11,10.4,10.42,10.36,10.37,2074.0
2019-12-10,10.4,10.4,10.4,10.4,448.0
2019-12-09,10.36,10.36,10.36,10.36,308.0
2019-12-06,10.38,10.4127,10.36,10.36,7774.0
2019-12-05,10.37,10.4,10.37,10.3927,4584.0
2019-12-04,10.3602,10.4,10.36,10.36,1843.0
2019-12-03,10.34,10.4,10.29,10.39,8061.0
2019-12-02,10.3701,10.4,10.34,10.34,2242.0
2019-11-29,10.4273,10.44,10.4273,10.43,4317.0
2019-11-27,10.43,10.43,10.365,10.365,455.0
