date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,8.53,9.48,8.4583,9.48,8122.0
2020-04-23,9.05,9.3,8.6937,8.6937,7336.0
2020-04-22,8.865,9.5,8.6,9.5,5557.0
2020-04-21,8.57,9.5,8.4056,8.85,9053.0
2020-04-20,8.22,9.0,8.19,8.515,6608.0
2020-04-17,8.22,8.8,8.1502,8.7,5305.0
2020-04-16,9.0,9.0,8.15,8.99,10301.0
2020-04-15,8.3484,8.7,8.0,8.7,2610.0
2020-04-14,8.43,8.69,8.0,8.69,16487.0
2020-04-13,8.575,8.7,8.32,8.7,6456.0
2020-04-09,9.13,9.13,8.26,9.0,2568.0
2020-04-08,9.15,9.15,8.3,8.8,8066.0
2020-04-07,9.59,9.59,8.51,9.14,4485.0
2020-04-06,9.0411,9.52,7.92,9.14,2974.0
2020-04-03,8.4,8.82,8.02,8.2,25397.0
2020-04-02,7.08,8.47,7.08,7.12,2324.0
2020-04-01,8.04,8.39,6.86,7.0518,16252.0
2020-03-31,8.1,8.6,8.1,8.59,2586.0
2020-03-30,8.27,8.935,6.8701,8.14,15486.0
2020-03-27,9.4,9.4,8.1,9.2,3868.0
2020-03-26,7.985,9.48,7.5,8.8,5637.0
2020-03-25,6.2623,7.79,6.2,7.0801,7768.0
2020-03-24,5.45,6.15,5.4442,6.15,4430.0
2020-03-23,5.54,5.95,5.4,5.4,2806.0
2020-03-20,6.03,6.3542,5.01,5.01,13581.0
2020-03-19,5.375,6.33,5.375,6.14,12057.0
2020-03-18,5.5,5.81,5.0,5.81,30892.0
2020-03-17,5.4403,5.4403,5.0629,5.27,24845.0
2020-03-16,5.51,5.55,5.0,5.3,50215.0
2020-03-13,6.0,6.0,5.6,5.605,13805.0
2020-03-12,8.25,8.25,5.27,5.28,22930.0
2020-03-11,8.43,8.43,8.2,8.35,18466.0
2020-03-10,8.39,9.0,8.21,8.44,26314.0
2020-03-09,8.49,8.49,8.0,8.0,14935.0
2020-03-06,8.48,9.14,8.45,9.0,12021.0
2020-03-05,8.9992,9.198,8.8001,9.09,8858.0
2020-03-04,9.66,9.66,9.1219,9.35,16949.0
2020-03-03,9.34,10.03,9.2639,10.03,4281.0
2020-03-02,9.75,9.8261,8.78,9.34,38489.0
2020-02-28,9.45,10.44,9.45,9.9,39635.0
2020-02-27,9.37,9.96,9.28,9.96,26213.0
2020-02-26,9.3,10.07,9.3,9.65,43647.0
2020-02-25,9.32,9.7441,9.32,9.5,11166.0
2020-02-24,9.26,10.29,9.26,9.66,18474.0
2020-02-21,9.62,10.2556,9.26,9.7194,49572.0
2020-02-20,11.41,11.41,9.1,9.62,159085.0
2020-02-19,13.0,13.0,11.07,11.95,58457.0
2020-02-18,10.4767,14.1445,10.4767,13.0,120742.0
2020-02-14,10.46,10.55,9.9,10.0756,2240317.0
2020-02-13,10.65,10.92,10.17,10.33,47597.0
2020-02-12,10.98,10.98,10.1119,10.42,56598.0
2020-02-11,10.22,11.375,9.79,10.75,46556.0
2020-02-10,10.15,10.3,9.8,10.1047,96778.0
2020-02-07,9.92,10.065,9.63,10.0572,64251.0
2020-02-06,9.36,10.01,9.36,9.89,93342.0
2020-02-05,10.24,10.24,8.44,9.3,72331.0
2020-02-04,10.22,10.22,10.19,10.22,16923.0
2020-02-03,10.2,10.22,10.16,10.205,24546.0
2020-01-31,10.22,10.22,10.1865,10.205,43033.0
2020-01-30,10.18,10.22,10.15,10.1501,12737.0
2020-01-29,10.1878,10.2078,10.1873,10.2,2503.0
2020-01-28,10.2,10.235,10.18,10.23,239634.0
2020-01-27,10.2,10.2,10.18,10.2,105283.0
2020-01-24,10.22,10.22,10.19,10.19,326461.0
2020-01-23,10.2,10.21,10.19,10.19,186115.0
2020-01-22,10.16,10.16,10.12,10.16,106408.0
2020-01-21,10.18,10.183,10.15,10.15,36546.0
2020-01-17,10.15,10.19,10.15,10.1816,7258.0
2020-01-16,10.16,10.172,10.1599,10.17,1933.0
2020-01-15,10.182,10.19,10.15,10.15,9802.0
2020-01-14,10.1788,10.1788,10.15,10.15,1445.0
2020-01-13,10.16,10.19,10.15,10.1785,17576.0
2020-01-10,10.18,10.19,10.15,10.155,12108.0
2020-01-09,10.17,10.19,10.15,10.18,28054.0
2020-01-08,10.14,10.165,10.13,10.15,13173.0
2020-01-07,10.1201,10.19,10.1002,10.1002,34211.0
2020-01-06,10.2,10.2,10.14,10.16,1208.0
2020-01-03,10.19,10.19,10.11,10.1225,5531.0
2020-01-02,10.2,10.2,10.1,10.1814,4863.0
2019-12-31,10.1605,10.17,10.1583,10.16,1273.0
2019-12-30,10.12,10.17,10.12,10.16,5860.0
2019-12-27,10.1962,10.1962,10.1962,10.1962,560.0
2019-12-26,10.14,10.15,10.132,10.132,868.0
2019-12-24,10.1227,10.13,10.1227,10.13,1159.0
2019-12-23,10.15,10.15,10.12,10.1498,1025.0
2019-12-20,10.13,10.1462,10.1012,10.1409,8551.0
2019-12-19,10.05,10.09,10.05,10.09,1543.0
2019-12-18,10.11,10.11,10.071,10.09,1218.0
2019-12-17,10.06,10.11,10.06,10.07,5097.0
2019-12-16,10.1193,10.12,10.08,10.12,125791.0
2019-12-13,10.12,10.12,10.07,10.08,18297.0
2019-12-12,10.08,10.12,10.08,10.09,49549.0
2019-12-11,10.05,10.07,10.02,10.04,68356.0
2019-12-10,10.11,10.11,10.05,10.0791,26561.0
2019-12-09,10.06,10.06,8.42,8.6,83209.0
2019-12-06,10.14,10.14,10.08,10.12,9814.0
2019-12-05,10.06,10.067,10.06,10.067,964.0
2019-12-04,10.13,10.1339,10.08,10.08,7954.0
2019-12-03,10.1146,10.1146,10.1,10.1,6431.0
2019-12-02,10.09,10.1341,10.05,10.0768,61805.0
2019-11-29,10.1477,10.1477,10.07,10.07,14765.0
2019-11-27,10.07,10.15,10.06,10.08,387547.0
2019-11-26,10.1,10.1387,10.08,10.08,19513.0
2019-11-25,10.12,10.12,10.1,10.11,456447.0
2019-11-22,10.1279,10.1287,10.1129,10.1129,2306.0
2019-11-21,10.1323,10.1323,10.1133,10.1152,2680.0
2019-11-20,10.1026,10.114,10.1,10.1,95352.0
2019-11-19,10.1,10.1098,10.0912,10.1,33441.0
2019-11-18,10.13,10.13,10.08,10.1,348122.0
2019-11-15,10.12,10.12,10.08,10.12,6873.0
2019-11-14,10.1,10.12,10.038,10.1129,274643.0
2019-11-13,10.12,10.12,10.09,10.1,945674.0
2019-11-12,10.12,10.13,10.11,10.11,249029.0
2019-11-11,10.1,10.1,10.08,10.1,281222.0
2019-11-08,10.11,10.11,10.0837,10.105,231322.0
2019-11-07,10.0952,10.0952,10.0952,10.0952,232.0
2019-11-06,10.11,10.11,10.093,10.0952,370487.0
2019-11-05,10.0916,10.0916,10.0916,10.0916,161.0
2019-11-04,10.11,10.11,10.08,10.0948,1131.0
2019-11-01,10.09,10.09,10.07,10.0801,12341.0
2019-10-31,10.12,10.12,10.1,10.1019,6295.0
2019-10-30,10.09,10.11,10.0864,10.0906,6938.0
2019-10-29,10.0859,10.11,10.079,10.081,78951.0
2019-10-28,10.1,10.1,10.06,10.07,2407.0
2019-10-25,10.08,10.09,10.0727,10.09,18953.0
2019-10-24,10.07,10.0735,10.0584,10.0601,214317.0
2019-10-23,10.087,10.0879,10.0725,10.0748,1570.0
2019-10-22,10.0427,10.08,10.0427,10.0751,13143.0
2019-10-21,10.1,10.1,10.06,10.06,650377.0
2019-10-18,10.075,10.0774,10.075,10.0766,3038.0
2019-10-17,10.09,10.09,10.07,10.075,2077.0
2019-10-16,10.0817,10.0902,10.0817,10.088,1023.0
2019-10-15,10.0701,10.09,10.0701,10.0824,312874.0
2019-10-14,10.09,10.09,10.09,10.09,297.0
2019-10-11,10.075,10.09,10.06,10.09,11757.0
2019-10-10,10.0815,10.0815,10.071,10.071,705.0
2019-10-09,10.07,10.0734,10.0643,10.0663,2555.0
2019-10-08,10.08,10.09,10.07,10.0725,2043.0
2019-10-07,10.08,10.09,10.07,10.0834,9470.0
2019-10-04,10.08,10.08,10.06,10.077,55052.0
2019-10-03,10.07,10.08,10.06,10.0745,18314.0
2019-10-02,10.05,10.07,10.05,10.07,2010.0
2019-10-01,10.08,10.08,10.06,10.0691,2451.0
2019-09-30,10.08,10.08,10.05,10.075,21865.0
2019-09-27,10.04,10.07,10.0364,10.07,13213.0
2019-09-26,10.07,10.07,10.0546,10.0611,14374.0
2019-09-25,10.06,10.07,10.05,10.06,50060.0
2019-09-24,10.04,10.07,10.03,10.0599,293601.0
2019-09-23,10.03,10.03,10.03,10.03,110.0
2019-09-20,10.05,10.05,10.05,10.05,0.0
2019-09-19,10.05,10.05,10.05,10.05,601.0
2019-09-18,10.04,10.04,10.04,10.04,100.0
2019-09-17,10.05,10.05,10.04,10.04,26146.0
2019-09-16,10.04,10.04,10.02,10.02,204325.0
2019-09-13,10.06,10.06,10.04,10.04,4350.0
