date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,0.43,0.43,0.3951,0.415,448501.0
2020-04-08,0.5075,0.52,0.41,0.44,995727.0
2020-04-07,0.5,0.5299,0.49,0.5086,98587.0
2020-04-06,0.5,0.5468,0.4588,0.49,337711.0
2020-04-03,0.56,0.56,0.4644,0.4644,424633.0
2020-04-02,0.4327,0.4659,0.4327,0.4482,336756.0
2020-04-01,0.4374,0.465,0.4101,0.418,59411.0
2020-03-31,0.459,0.4673,0.4101,0.415,136487.0
2020-03-30,0.43,0.48,0.4201,0.4387,130366.0
2020-03-27,0.5,0.5,0.45,0.46,117209.0
2020-03-26,0.5106,0.5264,0.4312,0.4753,333375.0
2020-03-25,0.42,0.4999,0.4,0.4611,340214.0
2020-03-24,0.4,0.41,0.37,0.409,148002.0
2020-03-23,0.4,0.4,0.36,0.3836,82695.0
2020-03-20,0.352,0.4,0.3301,0.385,178359.0
2020-03-19,0.33,0.3933,0.31,0.351,272474.0
2020-03-18,0.3962,0.41,0.31,0.322,228261.0
2020-03-17,0.41,0.41,0.3744,0.3901,136191.0
2020-03-16,0.37,0.42,0.3155,0.4099,163353.0
2020-03-13,0.41,0.4195,0.37,0.3809,134491.0
2020-03-12,0.327,0.4531,0.3155,0.3707,418037.0
2020-03-11,0.45,0.4598,0.4005,0.4267,245997.0
2020-03-10,0.4961,0.51,0.4505,0.4579,178599.0
2020-03-09,0.52,0.533,0.4505,0.464,549974.0
2020-03-06,0.62,0.6399,0.517,0.534,479345.0
2020-03-05,0.584,0.67,0.55,0.669,421863.0
2020-03-04,0.62,0.62,0.5308,0.5838,225734.0
2020-03-03,0.608,0.63,0.5608,0.5796,216012.0
2020-03-02,0.63,0.63,0.5805,0.5822,133230.0
2020-02-28,0.54,0.62,0.513,0.6103,354334.0
2020-02-27,0.57,0.5728,0.5,0.5152,438731.0
2020-02-26,0.609,0.6254,0.5223,0.58,335395.0
2020-02-25,0.6408,0.65,0.6,0.6038,383810.0
2020-02-24,0.65,0.68,0.621,0.6465,217908.0
2020-02-21,0.64,0.6721,0.6384,0.67,277520.0
2020-02-20,0.655,0.655,0.6177,0.6399,199544.0
2020-02-19,0.6196,0.66,0.61,0.652,203440.0
2020-02-18,0.6126,0.6295,0.6,0.613,267551.0
2020-02-14,0.61,0.63,0.61,0.619,120105.0
2020-02-13,0.655,0.6568,0.6,0.61,462594.0
2020-02-12,0.6495,0.69,0.63,0.636,507402.0
2020-02-11,0.6191,0.645,0.61,0.6397,421820.0
2020-02-10,0.63,0.63,0.6019,0.6285,235187.0
2020-02-07,0.61,0.6213,0.6,0.6,343564.0
2020-02-06,0.617,0.617,0.6,0.61,183816.0
2020-02-05,0.6147,0.6289,0.6,0.607,396681.0
2020-02-04,0.628,0.6348,0.5975,0.6095,563979.0
2020-02-03,0.62,0.645,0.6002,0.625,510158.0
2020-01-31,0.6,0.6135,0.59,0.61,453128.0
2020-01-30,0.64,0.649,0.6032,0.6139,954017.0
2020-01-29,0.675,0.68,0.63,0.6329,4371891.0
2020-01-28,0.906,0.9299,0.83,0.8667,374264.0
2020-01-27,0.95,1.0,0.8669,0.876,549059.0
2020-01-24,1.05,1.1296,1.0,1.0,188505.0
2020-01-23,1.14,1.14,1.02,1.07,203209.0
2020-01-22,1.21,1.2104,1.12,1.12,134876.0
2020-01-21,1.14,1.26,1.1385,1.21,273080.0
2020-01-17,1.07,1.19,1.07,1.14,132800.0
2020-01-16,1.08,1.09,1.03,1.07,159280.0
2020-01-15,1.06,1.078,1.05,1.05,218672.0
2020-01-14,1.07,1.15,1.04,1.08,437094.0
2020-01-13,1.18,1.23,1.16,1.185,140064.0
2020-01-10,1.23,1.2679,1.195,1.2,95941.0
2020-01-09,1.27,1.3203,1.2201,1.25,133510.0
2020-01-08,1.22,1.29,1.21,1.25,70982.0
2020-01-07,1.22,1.27,1.1901,1.22,68073.0
2020-01-06,1.18,1.23,1.1732,1.22,102129.0
2020-01-03,1.19,1.19,1.15,1.17,51476.0
2020-01-02,1.17,1.22,1.11,1.19,136232.0
2019-12-31,1.13,1.21,1.13,1.14,111177.0
2019-12-30,1.15,1.15,1.13,1.13,118582.0
2019-12-27,1.21,1.2499,1.06,1.14,312996.0
2019-12-26,1.3,1.3,1.19,1.24,133368.0
2019-12-24,1.31,1.32,1.21,1.26,83077.0
2019-12-23,1.29,1.3258,1.26,1.3059,75786.0
2019-12-20,1.2,1.29,1.2,1.29,101496.0
2019-12-19,1.23,1.3,1.17,1.21,54409.0
2019-12-18,1.24,1.2932,1.15,1.26,135126.0
2019-12-17,1.17,1.28,1.16,1.2,160187.0
2019-12-16,1.22,1.25,1.13,1.17,247255.0
2019-12-13,1.27,1.2882,1.2,1.26,65937.0
2019-12-12,1.32,1.36,1.22,1.29,169290.0
2019-12-11,1.33,1.3399,1.28,1.32,67348.0
2019-12-10,1.34,1.4,1.26,1.345,150111.0
2019-12-09,1.44,1.44,1.33,1.4,144820.0
2019-12-06,1.4,1.48,1.37,1.42,113234.0
2019-12-05,1.5,1.51,1.41,1.43,112354.0
2019-12-04,1.34,1.54,1.3302,1.5,230792.0
2019-12-03,1.33,1.38,1.32,1.34,124558.0
2019-12-02,1.45,1.48,1.35,1.41,295040.0
2019-11-29,1.54,1.55,1.5,1.51,77438.0
2019-11-27,1.43,1.55,1.43,1.54,257636.0
2019-11-26,1.55,1.55,1.42,1.46,213032.0
2019-11-25,1.43,1.55,1.39,1.51,240122.0
2019-11-22,1.47,1.53,1.33,1.47,396805.0
2019-11-21,1.35,1.63,1.28,1.45,1005874.0
2019-11-20,1.26,1.4,1.12,1.37,973953.0
2019-11-19,1.07,1.32,1.0,1.28,1209887.0
2019-11-18,0.95,1.03,0.9349,1.02,345135.0
2019-11-15,0.9134,0.94,0.882,0.9349,187943.0
2019-11-14,0.9616,0.9616,0.8651,0.8899,555803.0
2019-11-13,0.9602,1.02,0.9311,0.9845,355102.0
2019-11-12,1.03,1.05,0.96,0.98,322243.0
2019-11-11,1.09,1.09,0.9193,1.03,418443.0
2019-11-08,1.06,1.14,1.05,1.09,212993.0
2019-11-07,1.17,1.18,1.05,1.07,363232.0
2019-11-06,1.35,1.35,1.04,1.16,1151783.0
2019-11-05,1.42,1.48,1.38,1.4213,507454.0
2019-11-04,1.36,1.47,1.35,1.4237,518212.0
2019-11-01,1.28,1.3406,1.27,1.32,229734.0
2019-10-31,1.35,1.35,1.2138,1.2599,343844.0
2019-10-30,1.27,1.36,1.27,1.35,515290.0
2019-10-29,1.45,1.4699,1.26,1.26,998240.0
2019-10-28,1.15,1.55,1.11,1.47,2653358.0
2019-10-25,1.13,1.2,1.11,1.13,668542.0
2019-10-24,1.07,1.2,1.03,1.13,1457617.0
2019-10-23,1.01,1.14,0.95,1.07,531021.0
2019-10-22,1.07,1.09,0.95,0.97,395526.0
2019-10-21,1.15,1.15,1.0,1.09,1005198.0
2019-10-18,0.94,1.15,0.8501,1.11,1434333.0
2019-10-17,0.8472,0.93,0.8,0.91,808376.0
2019-10-16,0.8,0.85,0.8,0.82,98591.0
2019-10-15,0.8,0.8059,0.78,0.7998,90150.0
2019-10-14,0.83,0.83,0.79,0.8099,62191.0
2019-10-11,0.7901,0.83,0.79,0.8099,62114.0
2019-10-10,0.806,0.806,0.77,0.79,50669.0
2019-10-09,0.88,0.88,0.78,0.8064,486004.0
2019-10-08,0.8344,0.85,0.82,0.8436,48177.0
2019-10-07,0.84,0.85,0.8,0.81,106107.0
2019-10-04,0.814,0.8498,0.78,0.7958,93297.0
2019-10-03,0.7867,0.825,0.7701,0.79,194446.0
2019-10-02,0.81,0.8312,0.77,0.7781,233618.0
2019-10-01,0.85,0.8699,0.8216,0.8306,91475.0
2019-09-30,0.8733,0.8999,0.811,0.8301,170740.0
2019-09-27,0.93,0.93,0.8521,0.87,233853.0
2019-09-26,0.95,0.95,0.8507,0.8927,351819.0
2019-09-25,1.02,1.03,0.92,0.93,360994.0
2019-09-24,1.07,1.07,1.01,1.01,408042.0
2019-09-23,1.09,1.09,1.04,1.07,371214.0
2019-09-20,1.07,1.09,1.05,1.08,256778.0
2019-09-19,1.16,1.16,1.06,1.07,868713.0
2019-09-18,1.13,1.22,1.1,1.15,2847705.0
2019-09-17,1.1,1.12,1.08,1.1,289316.0
2019-09-16,1.13,1.13,1.1,1.11,235498.0
2019-09-13,1.13,1.14,1.08,1.13,427337.0
2019-09-12,1.14,1.24,1.11,1.13,2411415.0
2019-09-11,1.14,1.1601,1.1091,1.14,231557.0
2019-09-10,1.14,1.1559,1.12,1.15,187054.0
2019-09-09,1.16,1.17,1.1,1.13,154906.0
