date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,15.7,16.25,14.7751,15.81,18555.0
2020-03-27,15.64,16.1165,14.3814,15.75,9488.0
2020-03-26,14.01,17.0024,14.01,16.14,50084.0
2020-03-25,15.51,16.46,13.96,15.8,31652.0
2020-03-24,11.5,14.35,11.5,14.03,54610.0
2020-03-23,11.17,11.48,10.01,11.0,63423.0
2020-03-20,13.21,15.0,11.67,12.09,41071.0
2020-03-19,10.0,13.62,9.43,13.2,114013.0
2020-03-18,12.75,12.8,9.25,10.11,109646.0
2020-03-17,15.23,15.23,12.75,13.1,52180.0
2020-03-16,15.69,16.0399,15.0,15.42,52795.0
2020-03-13,16.84,17.3286,16.287,16.95,43635.0
2020-03-12,17.45,17.4845,15.6179,16.82,56146.0
2020-03-11,19.49,20.0,17.76,18.0,48463.0
2020-03-10,20.0,20.0,19.25,19.9,25377.0
2020-03-09,19.8,19.97,19.4,19.73,41314.0
2020-03-06,20.5,21.48,20.3,20.51,14962.0
2020-03-05,20.98,22.1028,20.52,20.98,16054.0
2020-03-04,20.28,20.93,20.24,20.93,16708.0
2020-03-03,20.75,20.75,20.205,20.36,22248.0
2020-03-02,20.0,20.97,19.8857,20.97,40050.0
2020-02-28,20.79,20.9186,19.8838,20.0,59108.0
2020-02-27,21.32,21.32,21.14,21.29,15103.0
2020-02-26,21.58,21.59,21.3,21.59,16563.0
2020-02-25,21.5,21.51,21.3,21.3484,12621.0
2020-02-24,21.42,21.6724,21.195,21.5,13954.0
2020-02-21,21.51,21.8,21.51,21.72,17186.0
2020-02-20,21.75,21.8,21.5,21.59,32724.0
2020-02-19,21.81,21.82,21.7501,21.795,21404.0
2020-02-18,21.69,21.86,21.69,21.835,24689.0
2020-02-14,21.66,21.8,21.65,21.7809,8176.0
2020-02-13,21.61,21.7,21.52,21.65,20622.0
2020-02-12,21.72,21.8,21.6001,21.8,14600.0
2020-02-11,21.7423,21.81,21.7423,21.8,16311.0
2020-02-10,21.95,21.95,21.745,21.745,20105.0
2020-02-07,21.9159,21.95,21.85,21.85,12930.0
2020-02-06,21.94,21.94,21.75,21.92,10408.0
2020-02-05,21.94,21.94,21.75,21.86,17907.0
2020-02-04,22.0,22.0,21.87,21.87,13315.0
2020-02-03,21.965,22.36,21.85,22.0,31097.0
2020-01-31,21.8,21.97,21.7316,21.97,18763.0
2020-01-30,21.91,21.95,21.65,21.8436,20674.0
2020-01-29,22.1253,22.1253,21.88,21.9061,18904.0
2020-01-28,22.0,22.02,21.99,22.02,16834.0
2020-01-27,21.84,22.0,21.84,21.99,7697.0
2020-01-24,22.02,22.02,21.8996,21.95,20518.0
2020-01-23,22.337,22.337,21.945,22.0688,90619.0
2020-01-22,22.35,22.35,22.05,22.09,62823.0
2020-01-21,22.42,22.55,22.26,22.27,10073.0
2020-01-17,22.7692,22.7692,22.36,22.4821,30987.0
2020-01-16,22.3018,22.76,22.3,22.68,66693.0
2020-01-15,22.55,22.55,22.35,22.535,30654.0
2020-01-14,22.1825,22.855,22.0529,22.52,21061.0
2020-01-13,22.23,22.3419,22.05,22.22,39717.0
2020-01-10,22.23,22.48,22.15,22.34,10578.0
2020-01-09,22.21,22.3,22.201,22.3,10506.0
2020-01-08,22.08,22.28,22.052,22.17,11205.0
2020-01-07,22.52,22.6,22.01,22.215,31848.0
2020-01-06,22.41,22.9592,22.4,22.45,27172.0
2020-01-03,22.64,22.64,22.401,22.49,22737.0
2020-01-02,22.507,22.8,22.27,22.45,13856.0
2019-12-31,22.11,22.5,22.11,22.3,15330.0
2019-12-30,22.41,22.99,22.08,22.16,28093.0
2019-12-27,22.3415,22.615,22.12,22.4,18300.0
2019-12-26,22.35,22.5,22.14,22.1995,19974.0
2019-12-24,22.24,22.63,22.13,22.62,18071.0
2019-12-23,22.66,22.7577,22.28,22.36,28480.0
2019-12-20,22.9,23.0,22.37,22.79,32891.0
2019-12-19,23.15,23.26,22.898,23.106,35559.0
2019-12-18,22.9816,23.92,22.8515,23.0226,32476.0
2019-12-17,23.02,23.25,22.9,22.95,26103.0
2019-12-16,23.4,23.5376,23.01,23.05,17595.0
2019-12-13,23.31,23.415,23.0,23.38,24966.0
2019-12-12,23.54,23.55,23.22,23.45,13474.0
2019-12-11,23.3,23.55,23.21,23.4,29974.0
2019-12-10,23.0942,23.3,22.72,23.29,26860.0
2019-12-09,22.89,23.26,22.805,23.26,17691.0
2019-12-06,22.74,22.9,22.71,22.89,13783.0
2019-12-05,22.96,23.1499,22.74,22.75,9978.0
2019-12-04,22.8865,23.145,22.78,22.78,7277.0
2019-12-03,23.1447,23.3,22.84,22.955,6494.0
2019-12-02,23.28,23.4,23.0,23.0,10806.0
2019-11-29,23.51,23.51,23.05,23.14,13676.0
2019-11-27,23.34,23.62,23.0105,23.3203,19791.0
2019-11-26,23.1,23.5,23.04,23.25,22862.0
2019-11-25,22.825,23.09,22.77,23.0,11755.0
2019-11-22,22.7784,22.84,22.7784,22.8156,11806.0
2019-11-21,22.85,22.8933,22.73,22.8472,9034.0
2019-11-20,22.88,22.88,22.71,22.74,10833.0
2019-11-19,22.9,23.0,22.8,22.85,13849.0
