date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.0,1.0,1.0,1.0,1.0
2020-04-21,1.0,1.0,1.0,1.0,43.0
2020-04-16,1.0,1.0,1.0,1.0,8.0
2020-04-02,1.0,1.0,1.0,1.0,500.0
2020-03-31,1.0,1.0,1.0,1.0,200.0
2020-03-30,0.98,1.0,0.98,1.0,701.0
2020-03-27,1.0012,1.0012,1.0012,1.0012,119.0
2020-03-20,1.04,1.04,1.0,1.0012,1434.0
2020-03-18,0.8654,1.08,0.8654,1.0,765.0
2020-03-12,1.15,1.15,1.15,1.15,95.0
2020-03-11,1.24,1.24,1.15,1.15,800.0
2020-03-06,0.9,0.9,0.896,0.896,1010.0
2020-03-05,0.85,0.85,0.8459,0.8459,5342.0
2020-03-04,0.85,0.85,0.85,0.85,300.0
2020-02-26,0.85,0.85,0.85,0.85,16.0
2020-02-25,0.85,0.85,0.85,0.85,500.0
2020-02-24,0.8543,0.8543,0.85,0.85,300.0
2020-02-11,1.0,1.0,1.0,1.0,25.0
2020-01-31,1.0,1.0,1.0,1.0,100.0
2020-01-30,1.0,1.0,1.0,1.0,100.0
2020-01-28,0.84,0.85,0.8,0.81,3550.0
2020-01-24,0.96,0.96,0.96,0.96,76.0
2020-01-22,0.95,0.96,0.95,0.96,564.0
2020-01-17,1.39,1.39,1.39,1.39,700.0
2020-01-13,1.17,1.46,1.17,1.4582,29297.0
2020-01-03,1.04,1.04,1.04,1.04,100.0
2019-12-27,0.83,1.04,0.83,1.04,1486.0
2019-12-17,1.4,1.4,1.4,1.4,1.0
2019-12-04,1.4,1.4,1.4,1.4,16.0
2019-11-29,1.4,1.4,1.4,1.4,200.0
2019-11-27,0.9,1.4,0.8,1.39,10439.0
2019-11-26,1.46,1.47,1.0335,1.38,1987.0
2019-11-22,0.8899,0.8899,0.8899,0.8899,82.0
2019-11-21,0.9,0.9,0.8899,0.8899,10883.0
2019-11-14,0.9,0.9,0.9,0.9,53.0
2019-11-12,0.9,0.9,0.9,0.9,51.0
2019-11-06,0.91,0.9436,0.9,0.9,1703.0
2019-11-04,1.26,1.26,0.9,0.9,25100.0
2019-11-01,1.44,1.44,1.25,1.25,25900.0
2019-10-31,1.47,1.47,1.47,1.47,100.0
2019-10-28,1.26,1.26,1.26,1.26,52.0
2019-10-18,1.26,1.26,1.26,1.26,83610.0
2019-10-17,1.07,1.26,0.9999,1.26,7670.0
2019-10-15,0.86,0.86,0.86,0.86,202.0
2019-10-10,1.18,1.18,1.18,1.18,100.0
2019-10-08,0.91,0.91,0.889,0.889,302.0
2019-09-25,1.18,1.47,0.7,1.3,5938.0
2019-09-24,0.7803,0.975,0.7803,0.945,700.0
2019-09-20,0.95,0.96,0.75,0.75,1000.0
2019-09-19,1.2,1.3,1.08,1.2999,14774.0
2019-09-18,1.4,1.4,1.25,1.2999,17067.0
2019-09-17,0.9003,1.575,0.7503,1.38,88463.0
2019-09-16,0.75,0.75,0.75,0.75,17.0
2019-09-13,0.7003,0.7003,0.7003,0.7003,542.0
2019-09-12,0.75,0.75,0.75,0.75,65.0
2019-09-10,0.766,0.8,0.75,0.75,7200.0
2019-09-09,0.99,0.991,0.9864,0.991,5042.0
2019-09-06,0.99,0.99,0.99,0.99,33.0
2019-09-05,0.99,0.99,0.99,0.99,2.0
2019-09-04,0.99,0.99,0.99,0.99,1.0
2019-09-03,0.975,0.99,0.9715,0.99,3033.0
2019-08-30,0.75,0.75,0.75,0.75,1001.0
2019-08-29,0.6994,0.6994,0.6994,0.6994,199.0
2019-08-28,0.99,0.99,0.99,0.99,55.0
2019-08-27,0.99,0.99,0.99,0.99,5000.0
2019-08-23,0.99,0.99,0.9866,0.9866,4084.0
2019-08-21,0.8815,0.99,0.879,0.95,5441.0
2019-08-20,0.665,0.6789,0.665,0.6789,1925.0
2019-08-19,0.665,0.67,0.665,0.67,6590.0
2019-08-15,0.67,0.67,0.67,0.67,161.0
2019-08-14,0.665,0.67,0.665,0.67,1361.0
2019-08-12,0.665,0.7315,0.665,0.73,1874.0
2019-08-09,0.99,0.99,0.675,0.99,3218.0
2019-08-08,0.8,0.8,0.8,0.8,222.0
2019-08-07,0.9,0.9,0.8,0.8,12377.0
2019-08-06,0.98,1.0,0.901,0.901,2000.0
2019-08-02,0.65,1.2,0.65,1.0,157597.0
