date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,0.8737,0.8949,0.87,0.8949,2848.0
2020-03-27,0.7858,0.8715,0.7858,0.8715,823.0
2020-03-26,0.8289,0.91,0.8289,0.9077,7153.0
2020-03-25,0.85,0.8543,0.8111,0.8225,13754.0
2020-03-24,0.8088,1.05,0.8088,0.85,19451.0
2020-03-23,0.79,0.8487,0.7001,0.7755,8102.0
2020-03-20,0.89,0.89,0.7545,0.7559,2521.0
2020-03-19,0.6852,0.8,0.6852,0.8,2379.0
2020-03-18,0.8091,0.8091,0.71,0.7101,3610.0
2020-03-17,0.586,0.81,0.586,0.7114,6281.0
2020-03-16,0.81,0.8239,0.52,0.52,15070.0
2020-03-13,0.85,0.85,0.81,0.85,12072.0
2020-03-12,0.8396,0.8734,0.81,0.81,8087.0
2020-03-11,0.9798,0.9798,0.95,0.9776,1303.0
2020-03-10,0.9045,1.02,0.9045,1.02,1524.0
2020-03-09,0.8444,0.9899,0.8444,0.9,19293.0
2020-03-06,1.0296,1.0296,1.0202,1.0202,946.0
2020-03-05,1.12,1.12,1.07,1.0879,3148.0
2020-03-04,1.18,1.2109,1.1558,1.21,5792.0
2020-03-03,1.27,1.2711,1.26,1.26,585.0
2020-03-02,1.29,1.4343,1.29,1.34,2342.0
2020-02-28,1.23,1.23,1.23,1.23,105.0
2020-02-27,1.27,1.301,1.2,1.23,2151.0
2020-02-26,1.31,1.31,1.31,1.31,364.0
2020-02-25,1.33,1.3826,1.3,1.3,1225.0
2020-02-24,1.38,1.4,1.3,1.31,7284.0
2020-02-21,1.48,1.48,1.4309,1.4309,715.0
2020-02-20,1.41,1.46,1.41,1.46,533.0
2020-02-19,1.43,1.43,1.43,1.43,191.0
2020-02-18,1.5,1.54,1.498,1.498,9659.0
2020-02-14,1.5014,1.5014,1.5014,1.5014,339.0
2020-02-13,1.5,1.5125,1.5,1.5125,2742.0
2020-02-12,1.54,1.54,1.5319,1.5319,411.0
2020-02-11,1.46,1.514,1.46,1.514,3589.0
2020-02-10,1.42,1.42,1.41,1.41,593.0
2020-02-07,1.39,1.47,1.385,1.397,11471.0
2020-02-06,1.4459,1.4459,1.39,1.435,2319.0
2020-02-05,1.46,1.5,1.39,1.44,1763.0
2020-02-04,1.39,1.45,1.39,1.445,12296.0
2020-02-03,1.55,1.55,1.44,1.4504,15290.0
2020-01-31,1.5614,1.585,1.55,1.585,4662.0
2020-01-30,1.56,1.631,1.55,1.5988,12368.0
2020-01-29,1.639,1.6474,1.6347,1.6347,652.0
2020-01-28,1.58,1.6089,1.5674,1.5674,7279.0
2020-01-27,1.61,1.61,1.54,1.58,9301.0
2020-01-24,1.72,1.72,1.6473,1.6473,501.0
2020-01-23,1.63,1.689,1.63,1.64,3078.0
2020-01-22,1.66,1.68,1.64,1.64,1919.0
2020-01-21,1.58,1.6999,1.58,1.6787,18176.0
2020-01-17,1.6,1.61,1.5949,1.61,740.0
