date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,22.4,23.25,22.15,22.96,3993546.0
2020-03-27,22.17,22.8,22.05,22.11,3315404.0
2020-03-26,23.07,23.84,22.66,23.04,3567159.0
2020-03-25,22.62,23.98,22.5,22.87,6298054.0
2020-03-24,21.32,22.815,21.1301,22.2,7557709.0
2020-03-23,20.0,20.56,19.45,20.26,5392548.0
2020-03-20,21.8,21.9297,20.0,20.19,5956952.0
2020-03-19,21.3,21.95,20.0,20.84,7021868.0
2020-03-18,22.04,23.9,19.25,21.01,13824863.0
2020-03-17,23.05,24.76,21.295,24.35,7198780.0
2020-03-16,21.11,23.16,20.0,22.16,4817733.0
2020-03-13,25.0,25.4,22.23,23.37,6556819.0
2020-03-12,23.98,24.25,22.84,23.8,8105217.0
2020-03-11,25.45,26.71,25.16,25.67,4809088.0
2020-03-10,26.21,26.6,25.115,26.0,4025345.0
2020-03-09,24.76,25.98,23.7,25.12,6248248.0
2020-03-06,27.25,27.87,25.93,26.68,6600677.0
2020-03-05,27.11,28.27,27.07,28.11,5839160.0
2020-03-04,26.77,27.57,26.72,27.55,4342836.0
2020-03-03,27.42,27.57,25.85,26.24,5497062.0
2020-03-02,26.48,27.25,25.86,27.23,6444504.0
2020-02-28,25.5,26.15,24.56,25.68,8621063.0
2020-02-27,27.0,27.29,25.755,26.63,5991125.0
2020-02-26,27.6,29.28,27.07,27.57,11280883.0
2020-02-25,27.6,27.98,26.5806,26.72,8947230.0
2020-02-24,25.705,27.142,25.28,26.92,6715292.0
2020-02-21,27.99,27.99,26.72,26.88,5897269.0
2020-02-20,27.98,28.413,27.0,27.94,4955163.0
2020-02-19,27.37,27.95,27.37,27.72,3682453.0
2020-02-18,29.0,29.005,26.6458,27.13,11446657.0
2020-02-14,28.28,28.95,27.83,28.69,5146999.0
2020-02-13,27.44,28.54,27.36,27.76,6367192.0
2020-02-12,27.55,28.16,27.06,27.53,7957293.0
2020-02-11,25.76,27.55,25.76,26.55,9339288.0
2020-02-10,25.89,26.17,24.83,25.46,8481162.0
2020-02-07,26.02,26.22,24.52,24.99,7705227.0
2020-02-06,23.66,26.72,23.16,26.34,11637499.0
2020-02-05,24.1,24.17,22.7581,23.26,5373666.0
2020-02-04,23.78,23.98,23.2575,23.58,4123154.0
2020-02-03,21.55,23.3,21.51,23.04,6806653.0
2020-01-31,21.28,21.7,21.13,21.55,4057972.0
2020-01-30,22.08,22.24,20.78,21.26,4479859.0
2020-01-29,22.59,22.61,22.04,22.38,2125557.0
2020-01-28,22.61,22.78,21.99,22.41,3137768.0
2020-01-27,20.85,22.47,20.61,22.3,4487865.0
2020-01-24,22.87,23.083,21.59,21.82,4052933.0
2020-01-23,22.0,22.66,21.75,22.51,3872401.0
2020-01-22,22.8,23.06,22.52,22.53,4416419.0
2020-01-21,22.51,23.25,22.14,22.61,6796539.0
2020-01-17,23.11,23.16,22.41,22.8,6592487.0
2020-01-16,23.58,23.6,22.76,22.97,3052817.0
2020-01-15,22.93,23.27,22.76,23.03,4048414.0
2020-01-14,21.9997,23.015,21.98,22.87,5566389.0
2020-01-13,22.35,22.8327,21.85,21.99,7063364.0
2020-01-10,22.57,22.59,20.83,21.55,11029149.0
2020-01-09,24.29,24.47,22.87,23.16,8428564.0
2020-01-08,22.92,23.91,22.19,23.84,7888430.0
2020-01-07,23.17,23.205,22.42,23.13,7433638.0
2020-01-06,21.46,23.45,21.41,23.21,10697725.0
