date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.11,1.22,0.97,1.0,417874.0
2020-04-23,1.08,1.0889,0.96,1.05,87884.0
2020-04-22,1.07,1.13,1.05,1.08,69025.0
2020-04-21,1.13,1.18,1.05,1.1,185132.0
2020-04-20,0.99,1.16,0.9151,1.075,298376.0
2020-04-17,0.939,0.9979,0.8904,0.95,205418.0
2020-04-16,0.8611,1.36,0.81,0.9989,3512741.0
2020-04-15,0.88,0.9,0.81,0.8673,62492.0
2020-04-14,0.8,0.9,0.79,0.8757,93344.0
2020-04-13,0.75,0.8,0.7395,0.7941,42015.0
2020-04-09,0.72,0.779,0.69,0.7424,51977.0
2020-04-08,0.73,0.8062,0.7101,0.74,39155.0
2020-04-07,0.79,0.88,0.71,0.727,110580.0
2020-04-06,0.78,0.79,0.7221,0.748,85516.0
2020-04-03,0.7047,0.7484,0.65,0.7,106794.0
2020-04-02,0.68,0.72,0.65,0.6986,48300.0
2020-04-01,0.7035,0.74,0.6317,0.6672,43958.0
2020-03-31,0.7,0.79,0.6657,0.6657,70280.0
2020-03-30,0.77,0.7828,0.6788,0.6999,44402.0
2020-03-27,0.73,0.78,0.7087,0.78,51992.0
2020-03-26,0.7122,0.7753,0.675,0.675,65961.0
2020-03-25,0.6724,0.789,0.6212,0.7068,74194.0
2020-03-24,0.652,0.76,0.6212,0.6513,119548.0
2020-03-23,0.65,0.66,0.6,0.636,27280.0
2020-03-20,0.6788,0.7399,0.6,0.6769,86486.0
2020-03-19,0.58,0.8359,0.58,0.6587,255088.0
2020-03-18,0.65,0.7,0.5323,0.6293,101620.0
2020-03-17,0.7075,0.7749,0.652,0.7386,18942.0
2020-03-16,0.77,0.77,0.59,0.73,51981.0
2020-03-13,0.78,0.9361,0.65,0.7899,76802.0
2020-03-12,0.81,0.81,0.7,0.7642,92215.0
2020-03-11,0.8935,1.19,0.81,0.8165,508182.0
2020-03-10,1.0358,1.08,0.89,0.9145,43240.0
2020-03-09,1.04,1.04,0.8,0.8891,80916.0
2020-03-06,1.05,1.1,1.05,1.05,100361.0
2020-03-05,1.09,1.13,1.04,1.0697,47058.0
2020-03-04,1.07,1.16,1.05,1.1,104268.0
2020-03-03,1.1,1.1165,1.04,1.04,54357.0
2020-03-02,1.07,1.15,1.04,1.0985,57969.0
2020-02-28,1.08,1.1086,1.01,1.04,179857.0
2020-02-27,1.3,1.3,1.07,1.12,249393.0
2020-02-26,1.37,1.4,1.3,1.31,188853.0
2020-02-25,1.39,1.42,1.36,1.38,114399.0
2020-02-24,1.41,1.45,1.37,1.39,164663.0
2020-02-21,1.45,1.49,1.43,1.4536,109098.0
2020-02-20,1.51,1.51,1.43,1.45,209883.0
2020-02-19,1.49,1.57,1.395,1.495,670057.0
2020-02-18,1.55,1.579,1.41,1.45,333318.0
2020-02-14,1.82,1.85,1.55,1.6,848361.0
2020-02-13,1.56,1.72,1.54,1.69,1436488.0
2020-02-12,1.68,1.68,1.52,1.54,152303.0
2020-02-11,1.67,1.75,1.55,1.61,387534.0
2020-02-10,1.55,1.74,1.52,1.6777,361451.0
2020-02-07,1.51,1.57,1.5,1.55,57518.0
2020-02-06,1.5,1.57,1.4552,1.51,107584.0
2020-02-05,1.5,1.5,1.44,1.49,54374.0
2020-02-04,1.52,1.52,1.49,1.49,34102.0
2020-02-03,1.5,1.52,1.48,1.5002,13099.0
2020-01-31,1.52,1.5683,1.49,1.49,144420.0
2020-01-30,1.51,1.5488,1.51,1.5201,70872.0
2020-01-29,1.56,1.57,1.51,1.51,44840.0
2020-01-28,1.54,1.63,1.5,1.5599,200771.0
2020-01-27,1.53,1.61,1.46,1.46,117109.0
2020-01-24,1.61,1.7,1.55,1.56,125151.0
2020-01-23,1.57,1.78,1.5697,1.6,253363.0
2020-01-22,1.63,1.63,1.52,1.56,74988.0
2020-01-21,1.68,1.68,1.53,1.63,102163.0
2020-01-17,1.51,1.776,1.51,1.667,318775.0
2020-01-16,1.52,1.53,1.46,1.53,72518.0
2020-01-15,1.51,1.53,1.45,1.46,33897.0
2020-01-14,1.45,1.52,1.43,1.51,41458.0
2020-01-13,1.48,1.49,1.4109,1.4701,82637.0
2020-01-10,1.52,1.57,1.5,1.52,76054.0
2020-01-09,1.58,1.58,1.52,1.55,134832.0
2020-01-08,1.56,1.59,1.54,1.55,97883.0
2020-01-07,1.6,1.63,1.55,1.58,49195.0
2020-01-06,1.61,1.67,1.55,1.62,120696.0
2020-01-03,1.61,1.6975,1.53,1.66,177936.0
2020-01-02,1.52,1.65,1.51,1.58,132912.0
2019-12-31,1.63,1.6552,1.45,1.54,250885.0
2019-12-30,2.2,2.24,1.71,1.75,783143.0
2019-12-27,1.86,1.95,1.78,1.8999,426451.0
2019-12-26,1.66,1.8413,1.6,1.786,200178.0
2019-12-24,1.66,1.66,1.6,1.6485,32942.0
2019-12-23,1.49,1.67,1.4574,1.56,80870.0
2019-12-20,1.57,1.59,1.48,1.52,32677.0
2019-12-19,1.6,1.7,1.48,1.575,87048.0
2019-12-18,1.4902,1.65,1.45,1.65,48150.0
2019-12-17,1.5,1.5,1.44,1.44,5089.0
2019-12-16,1.47,1.48,1.41,1.48,20810.0
2019-12-13,1.43,1.49,1.43,1.47,15856.0
2019-12-12,1.45,1.457,1.4,1.45,33006.0
2019-12-11,1.46,1.48,1.3568,1.4598,20518.0
2019-12-10,1.4905,1.494,1.41,1.47,22037.0
2019-12-09,1.6,1.6,1.45,1.5198,19289.0
2019-12-06,1.56,1.58,1.54,1.56,30701.0
2019-12-05,1.6,1.6,1.5783,1.58,4715.0
2019-12-04,1.55,1.6202,1.53,1.61,53442.0
2019-12-03,1.5632,1.65,1.5632,1.6,29740.0
2019-12-02,1.57,1.6299,1.53,1.61,47867.0
2019-11-29,1.5969,1.5969,1.5126,1.5438,18563.0
2019-11-27,1.5138,1.5698,1.51,1.52,8990.0
2019-11-26,1.53,1.6,1.48,1.52,50886.0
2019-11-25,1.55,1.65,1.48,1.51,65770.0
2019-11-22,1.49,1.55,1.4502,1.52,50637.0
2019-11-21,1.52,1.55,1.43,1.46,34683.0
2019-11-20,1.3765,1.55,1.35,1.43,117693.0
2019-11-19,1.4,1.4,1.35,1.4,6694.0
2019-11-18,1.38,1.44,1.38,1.4201,12576.0
2019-11-15,1.3502,1.47,1.3502,1.4112,27602.0
2019-11-14,1.4252,1.45,1.33,1.34,34470.0
2019-11-13,1.41,1.44,1.4,1.43,19722.0
2019-11-12,1.4428,1.48,1.42,1.48,11887.0
2019-11-11,1.49,1.53,1.41,1.43,31981.0
2019-11-08,1.42,1.56,1.42,1.53,66362.0
2019-11-07,1.51,1.53,1.41,1.41,37118.0
2019-11-06,1.56,1.58,1.5,1.52,18243.0
2019-11-05,1.5788,1.5788,1.55,1.5539,16687.0
2019-11-04,1.57,1.61,1.55,1.57,14719.0
2019-11-01,1.56,1.6274,1.55,1.57,26283.0
2019-10-31,1.55,1.56,1.53,1.5597,8167.0
2019-10-30,1.5,1.56,1.5,1.535,24336.0
2019-10-29,1.56,1.6,1.46,1.48,63999.0
2019-10-28,1.63,1.695,1.54,1.54,59419.0
2019-10-25,1.7,1.7,1.51,1.55,79830.0
2019-10-24,1.78,1.78,1.65,1.71,11975.0
2019-10-23,1.75,1.8,1.7,1.71,31620.0
2019-10-22,1.79,1.79,1.75,1.78,33366.0
2019-10-21,1.77,1.9011,1.75,1.75,35456.0
2019-10-18,1.73,1.89,1.73,1.7588,86534.0
2019-10-17,1.81,1.84,1.72,1.75,67207.0
2019-10-16,1.77,2.19,1.77,1.78,608782.0
2019-10-15,1.71,1.78,1.6,1.75,74482.0
2019-10-14,1.75,1.8,1.67,1.7,32072.0
2019-10-11,1.76,1.7947,1.73,1.7599,22617.0
2019-10-10,1.83,1.8438,1.75,1.79,32895.0
2019-10-09,1.84,1.9209,1.8106,1.8508,19262.0
2019-10-08,1.91,1.94,1.83,1.83,47985.0
2019-10-07,1.82,1.99,1.82,1.85,105525.0
2019-10-04,1.87,1.87,1.8,1.8,30882.0
2019-10-03,1.79,1.94,1.7376,1.85,118877.0
2019-10-02,1.92,2.07,1.78,1.78,106405.0
2019-10-01,1.9,1.98,1.8,1.94,112992.0
2019-09-30,1.9,1.95,1.87,1.905,24790.0
2019-09-27,1.95,1.9605,1.91,1.91,9552.0
2019-09-26,1.96,1.99,1.95,1.95,22093.0
2019-09-25,1.9348,1.99,1.92,1.99,19866.0
2019-09-24,2.09,2.1,1.78,1.89,146210.0
2019-09-23,2.12,2.1209,2.0,2.04,55069.0
2019-09-20,2.16,2.2799,2.07,2.12,222864.0
2019-09-19,2.046,2.15,1.96,2.101,208626.0
2019-09-18,2.13,2.18,2.05,2.05,65606.0
2019-09-17,2.14,2.3,2.1,2.11,56499.0
2019-09-16,2.19,2.255,2.06,2.14,27400.0
2019-09-13,2.2,2.29,2.11,2.17,58743.0
2019-09-12,2.2214,2.2214,2.1,2.17,31089.0
2019-09-11,2.3,2.5399,2.2,2.22,280060.0
2019-09-10,2.12,2.29,2.11,2.28,164483.0
2019-09-09,2.05,2.16,2.0,2.14,85309.0
2019-09-06,2.065,2.07,2.01,2.05,33589.0
2019-09-05,1.99,2.11,1.96,2.08,72323.0
2019-09-04,2.03,2.06,1.96,1.99,63510.0
2019-09-03,2.05,2.19,1.95,2.0,258668.0
2019-08-30,2.05,2.05,1.95,1.95,62690.0
2019-08-29,2.14,2.17,2.02,2.06,144103.0
2019-08-28,1.96,2.0933,1.9,2.06,83347.0
2019-08-27,2.07,2.1299,1.9403,1.98,96089.0
2019-08-26,2.18,2.3199,2.06,2.06,178585.0
2019-08-23,2.2,2.2199,2.12,2.18,69868.0
2019-08-22,2.24,2.29,2.15,2.19,65652.0
2019-08-21,2.38,2.48,2.2,2.25,197961.0
2019-08-20,2.39,2.4499,2.22,2.4,128355.0
2019-08-19,2.16,2.43,2.1,2.4,250566.0
2019-08-16,2.02,2.27,1.97,2.18,778607.0
2019-08-15,2.26,3.11,2.07,2.22,6834751.0
2019-08-14,1.9,2.03,1.87,1.98,370917.0
2019-08-13,1.91,1.95,1.86,1.92,52747.0
2019-08-12,1.99,2.0294,1.85,1.91,56989.0
2019-08-09,2.04,2.04,1.93,1.96,39998.0
2019-08-08,1.95,2.0499,1.93,2.02,16272.0
2019-08-07,1.96,2.06,1.9201,1.95,76585.0
2019-08-06,2.05,2.05,1.91,1.97,50545.0
2019-08-05,1.97,2.07,1.8295,2.07,108581.0
2019-08-02,1.79,2.18,1.76,1.97,448959.0
2019-08-01,1.89,1.9299,1.81,1.8199,116318.0
2019-07-31,1.94,1.94,1.82,1.87,70013.0
2019-07-30,2.08,2.1,1.88,1.93,133843.0
2019-07-29,1.99,2.1,1.97,2.0,69219.0
2019-07-26,2.09,2.11,1.94,2.09,107724.0
2019-07-25,2.1499,2.1499,2.02,2.08,57344.0
2019-07-24,2.17,2.19,2.08,2.13,122969.0
2019-07-23,2.2,2.23,2.14,2.19,62729.0
2019-07-22,2.22,2.26,2.18,2.19,37078.0
2019-07-19,2.211,2.25,2.1701,2.22,43425.0
2019-07-18,2.27,2.28,2.18,2.2,80216.0
2019-07-17,2.2,2.3099,2.16,2.24,184281.0
2019-07-16,2.24,2.3089,2.17,2.19,99828.0
2019-07-15,2.4,2.44,2.2,2.28,134482.0
2019-07-12,2.38,2.42,2.3001,2.33,63664.0
2019-07-11,2.41,2.4221,2.33,2.34,113798.0
2019-07-10,2.47,2.47,2.35,2.43,139550.0
2019-07-09,2.36,2.51,2.3,2.43,251129.0
2019-07-08,2.44,2.4599,2.26,2.38,89940.0
2019-07-05,2.46,2.46,2.36,2.43,51203.0
2019-07-03,2.48,2.49,2.41,2.43,86448.0
2019-07-02,2.46,2.48,2.35,2.47,91710.0
2019-07-01,2.5,2.53,2.42,2.44,105717.0
2019-06-28,2.4,2.55,2.31,2.45,514486.0
2019-06-27,2.46,2.54,2.33,2.37,454194.0
2019-06-26,2.4,2.42,2.3,2.31,131285.0
2019-06-25,2.4,2.58,2.25,2.42,494514.0
2019-06-24,2.51,2.6199,2.38,2.38,150392.0
2019-06-21,2.53,2.63,2.49,2.51,164480.0
2019-06-20,2.48,2.62,2.35,2.55,252950.0
2019-06-19,2.61,2.617,2.43,2.5,297754.0
2019-06-18,2.64,2.65,2.56,2.63,241888.0
2019-06-17,2.75,2.78,2.6,2.66,277411.0
2019-06-14,2.71,2.76,2.56,2.75,293149.0
2019-06-13,2.92,2.92,2.5813,2.73,1030607.0
2019-06-12,3.9,4.0,2.85,2.95,11279796.0
2019-06-11,3.0,3.25,2.81,2.91,757927.0
2019-06-10,2.92,3.12,2.87,2.95,419594.0
2019-06-07,3.01,3.2899,2.83,2.96,917383.0
2019-06-06,2.99,3.15,2.75,3.04,408023.0
2019-06-05,3.19,3.2399,2.96,2.98,437275.0
2019-06-04,3.67,4.1,3.0398,3.24,2343885.0
2019-06-03,3.25,3.3,2.93,3.2,478556.0
2019-05-31,3.5,3.5069,3.15,3.31,938143.0
2019-05-30,3.3,4.15,3.14,3.96,1661682.0
2019-05-29,3.86,3.86,3.24,3.27,380427.0
2019-05-28,4.03,4.1799,3.74,3.99,220313.0
2019-05-24,4.05,4.25,3.9,4.07,352521.0
2019-05-23,4.99,5.0,4.15,4.19,422721.0
2019-05-22,5.15,5.199,4.5701,4.96,503952.0
2019-05-21,5.06,5.29,5.0,5.2,378002.0
2019-05-20,5.3,5.6999,5.05,5.12,522976.0
2019-05-17,5.12,6.0,5.1,5.39,1453057.0
2019-05-16,5.25,5.3105,5.01,5.05,283275.0
2019-05-15,5.7,5.82,5.0,5.47,393217.0
2019-05-14,5.65,5.98,5.15,5.61,403440.0
2019-05-13,5.9,6.05,5.55,5.7,249986.0
2019-05-10,5.97,6.2,5.6152,5.97,444353.0
2019-05-09,6.34,6.3999,5.51,5.8,676093.0
2019-05-08,7.63,8.05,6.51,6.61,1797249.0
2019-05-07,9.03,10.1,7.01,7.2,10423667.0
2019-05-06,5.31,8.834,4.8875,6.18,5220850.0
2019-05-03,6.31,6.46,5.28,5.31,304721.0
2019-05-02,7.25,8.1715,5.5,6.12,611324.0
2019-05-01,0.1641,0.1648,0.1335,0.14,8488381.0
2019-04-30,0.1794,0.18,0.16,0.162,3745282.0
2019-04-29,0.155,0.188,0.153,0.178,3004714.0
2019-04-26,0.1716,0.1718,0.158,0.1615,1044264.0
2019-04-25,0.171,0.1745,0.1625,0.1721,830809.0
2019-04-24,0.1795,0.1795,0.1622,0.1714,1041957.0
2019-04-23,0.1943,0.1943,0.1617,0.174,1541907.0
2019-04-22,0.198,0.2,0.18,0.188,771154.0
2019-04-18,0.2,0.2,0.186,0.1901,736143.0
2019-04-17,0.2088,0.21,0.19,0.198,1310291.0
2019-04-16,0.2094,0.27,0.2,0.205,9099816.0
2019-04-15,0.19,0.202,0.1801,0.19,1397614.0
2019-04-12,0.211,0.22,0.178,0.189,4976400.0
2019-04-11,0.22,0.32,0.2199,0.239,27220376.0
2019-04-10,0.2,0.2117,0.19,0.1999,581017.0
2019-04-09,0.19,0.1985,0.1837,0.1945,412195.0
2019-04-08,0.1966,0.201,0.18,0.1821,526180.0
2019-04-05,0.18,0.19,0.172,0.1873,419256.0
2019-04-04,0.18,0.1835,0.1605,0.173,494824.0
2019-04-03,0.168,0.19,0.1587,0.1784,574615.0
2019-04-02,0.17,0.17,0.1575,0.1666,324185.0
2019-04-01,0.165,0.1699,0.1613,0.1661,170166.0
2019-03-29,0.1897,0.1897,0.154,0.16,630443.0
2019-03-28,0.1947,0.1947,0.1718,0.1846,292518.0
2019-03-27,0.208,0.208,0.17,0.19,941729.0
2019-03-26,0.2071,0.2094,0.2,0.2003,454546.0
2019-03-25,0.215,0.215,0.2,0.2065,436154.0
2019-03-22,0.2165,0.2165,0.206,0.209,206799.0
2019-03-21,0.21,0.2196,0.206,0.2101,627445.0
2019-03-20,0.215,0.2199,0.21,0.2158,291781.0
2019-03-19,0.215,0.2199,0.2106,0.215,295571.0
2019-03-18,0.21,0.2239,0.2065,0.211,670452.0
2019-03-15,0.2287,0.2295,0.2007,0.205,917990.0
2019-03-14,0.23,0.2486,0.215,0.2213,3253252.0
2019-03-13,0.245,0.2695,0.2199,0.226,2654276.0
2019-03-12,0.2788,0.2799,0.222,0.2495,752268.0
2019-03-11,0.29,0.29,0.2633,0.271,638868.0
2019-03-08,0.2362,0.308,0.225,0.295,3267249.0
2019-03-07,0.235,0.2495,0.222,0.239,888968.0
2019-03-06,0.222,0.23,0.222,0.2241,69987.0
2019-03-05,0.235,0.235,0.222,0.2288,100075.0
2019-03-04,0.24,0.24,0.222,0.2298,151263.0
2019-03-01,0.2375,0.2375,0.222,0.235,122630.0
2019-02-28,0.2375,0.24,0.221,0.2278,232208.0
2019-02-27,0.2345,0.2384,0.226,0.23,111947.0
2019-02-26,0.237,0.2499,0.22,0.2262,504237.0
2019-02-25,0.239,0.2399,0.2235,0.2298,384313.0
2019-02-22,0.25,0.25,0.2295,0.232,707941.0
2019-02-21,0.2575,0.2575,0.2425,0.249,184297.0
2019-02-20,0.2555,0.2825,0.24,0.2451,1162302.0
2019-02-19,0.26,0.26,0.241,0.25,273495.0
2019-02-15,0.24,0.2566,0.24,0.24,261455.0
2019-02-14,0.23,0.28,0.23,0.255,1034814.0
2019-02-13,0.25,0.25,0.2326,0.2369,199135.0
2019-02-12,0.246,0.2525,0.2324,0.2438,167291.0
2019-02-11,0.232,0.2466,0.232,0.2343,118437.0
2019-02-08,0.2412,0.2465,0.22,0.2375,244541.0
2019-02-07,0.243,0.2483,0.23,0.235,243468.0
2019-02-06,0.2598,0.2598,0.243,0.25,196784.0
2019-02-05,0.28,0.28,0.25,0.2599,171497.0
2019-02-04,0.27,0.2746,0.2601,0.2699,137264.0
2019-02-01,0.25,0.28,0.248,0.2685,593095.0
2019-01-31,0.276,0.276,0.2601,0.263,410224.0
2019-01-30,0.275,0.275,0.2481,0.2696,151686.0
2019-01-29,0.2583,0.28,0.24,0.26,287657.0
2019-01-28,0.2625,0.265,0.238,0.2499,301245.0
2019-01-25,0.2471,0.2594,0.245,0.25,76967.0
2019-01-24,0.2429,0.2585,0.23,0.2425,120614.0
2019-01-23,0.255,0.2699,0.24,0.2572,182916.0
2019-01-22,0.278,0.2799,0.25,0.2502,133085.0
2019-01-18,0.2799,0.28,0.2615,0.265,48800.0
2019-01-17,0.29,0.29,0.2574,0.2641,198326.0
2019-01-16,0.256,0.27,0.2403,0.2587,166385.0
2019-01-15,0.275,0.284,0.24,0.257,162284.0
2019-01-14,0.29,0.29,0.27,0.272,262992.0
2019-01-11,0.3,0.3011,0.271,0.28,316127.0
2019-01-10,0.268,0.3099,0.268,0.2925,1582895.0
2019-01-09,0.267,0.27,0.25,0.268,146549.0
2019-01-08,0.265,0.27,0.24,0.26,232724.0
2019-01-07,0.25,0.275,0.23,0.27,612352.0
2019-01-04,0.246,0.2588,0.2353,0.247,292133.0
2019-01-03,0.241,0.25,0.2315,0.24,114915.0
2019-01-02,0.24,0.2489,0.2201,0.2411,366713.0
2018-12-31,0.23,0.269,0.22,0.231,797146.0
2018-12-28,0.29,0.3,0.27,0.2892,690060.0
2018-12-27,0.309,0.309,0.271,0.2778,151496.0
2018-12-26,0.3,0.3135,0.28,0.29,166746.0
2018-12-24,0.29,0.297,0.28,0.29,263929.0
2018-12-21,0.24,0.2801,0.22,0.2751,554516.0
2018-12-20,0.26,0.2693,0.24,0.244,430712.0
2018-12-19,0.2892,0.3,0.24,0.2579,474564.0
2018-12-18,0.29,0.32,0.2705,0.2899,436721.0
2018-12-17,0.29,0.29,0.263,0.2704,224375.0
2018-12-14,0.3,0.32,0.26,0.292,210486.0
2018-12-13,0.33,0.33,0.29,0.3,254797.0
2018-12-12,0.315,0.324,0.2858,0.302,75757.0
2018-12-11,0.3155,0.3176,0.285,0.291,370997.0
2018-12-10,0.36,0.36,0.282,0.3102,664221.0
2018-12-07,0.33,0.36,0.3202,0.351,559037.0
2018-12-06,0.3467,0.3499,0.33,0.335,221162.0
2018-12-04,0.3642,0.3649,0.34,0.3467,219229.0
2018-12-03,0.36,0.385,0.34,0.351,492309.0
2018-11-30,0.3447,0.3699,0.34,0.35,247965.0
2018-11-29,0.35,0.355,0.3351,0.336,282754.0
2018-11-28,0.3749,0.3749,0.33,0.35,256007.0
2018-11-27,0.3361,0.375,0.321,0.3596,854154.0
2018-11-26,0.34,0.3544,0.32,0.3361,230055.0
2018-11-23,0.347,0.37,0.3,0.3403,234730.0
2018-11-21,0.3564,0.36,0.34,0.3402,245689.0
2018-11-20,0.39,0.39,0.346,0.36,374418.0
2018-11-19,0.3769,0.3814,0.3459,0.351,135687.0
2018-11-16,0.381,0.39,0.36,0.367,271265.0
2018-11-15,0.375,0.3975,0.335,0.38,232909.0
2018-11-14,0.3675,0.38,0.36,0.3775,278386.0
2018-11-13,0.3871,0.4,0.35,0.366,745923.0
2018-11-12,0.3982,0.3982,0.335,0.3615,724614.0
2018-11-09,0.3938,0.41,0.385,0.39,374109.0
2018-11-08,0.4,0.4139,0.38,0.405,800740.0
2018-11-07,0.395,0.4055,0.39,0.395,534945.0
2018-11-06,0.395,0.415,0.381,0.3926,1307361.0
2018-11-05,0.465,0.4787,0.39,0.41,3475517.0
2018-11-02,0.43,0.47,0.41,0.4536,4425810.0
2018-11-01,0.3938,0.4446,0.3938,0.4302,3060501.0
2018-10-31,0.4008,0.4099,0.3933,0.395,540569.0
2018-10-30,0.3941,0.4197,0.3811,0.4,941573.0
2018-10-29,0.393,0.42,0.38,0.3941,939184.0
2018-10-26,0.42,0.425,0.382,0.39,1406261.0
2018-10-25,0.4001,0.44,0.38,0.415,2789924.0
2018-10-24,0.4199,0.4289,0.4004,0.404,1664268.0
2018-10-23,0.423,0.44,0.4117,0.4177,795562.0
2018-10-22,0.46,0.46,0.4117,0.4175,452497.0
2018-10-19,0.45,0.45,0.44,0.446,281837.0
2018-10-18,0.485,0.49,0.42,0.4475,1337796.0
2018-10-17,0.47,0.49,0.4672,0.4721,2998346.0
2018-10-16,0.7601,0.799,0.68,0.6968,970569.0
2018-10-15,0.82,0.88,0.7601,0.7801,239614.0
2018-10-12,0.87,0.8931,0.8203,0.86,61450.0
2018-10-11,0.91,0.9498,0.7901,0.8301,169600.0
2018-10-10,0.93,0.97,0.86,0.88,164594.0
2018-10-09,0.9429,0.999,0.9,0.9301,314406.0
2018-10-08,1.02,1.06,0.99,1.0479,128160.0
2018-10-05,0.98,1.05,0.98,0.995,322732.0
2018-10-04,1.0,1.03,0.963,0.98,144520.0
2018-10-03,1.02,1.18,1.0,1.0,1006595.0
2018-10-02,0.985,1.05,0.985,1.04,239520.0
2018-10-01,0.98,1.005,0.98,0.9801,55442.0
2018-09-28,1.0,1.02,0.98,0.98,52748.0
2018-09-27,1.0,1.04,0.98,1.02,88806.0
2018-09-26,0.9839,1.13,0.9801,1.01,775180.0
2018-09-25,1.0,1.0,0.98,0.9827,48343.0
2018-09-24,0.98,1.0,0.97,1.0,78068.0
2018-09-21,1.0,1.0134,0.97,0.99,58029.0
2018-09-20,1.06,1.06,0.95,1.0,182503.0
2018-09-19,1.01,1.035,1.01,1.02,92088.0
2018-09-18,1.01,1.06,1.01,1.02,65106.0
2018-09-17,1.04,1.04,1.0,1.024,52008.0
2018-09-14,1.05,1.05,1.01,1.01,214430.0
2018-09-13,1.18,1.22,1.0,1.06,1072934.0
2018-09-12,1.0,1.02,0.96,0.9701,145895.0
2018-09-11,1.04,1.05,1.0,1.0,234315.0
2018-09-10,1.0,1.08,1.0,1.04,107567.0
2018-09-07,0.9777,1.0999,0.96,1.0,123631.0
2018-09-06,1.04,1.07,0.99,1.019,208170.0
2018-09-05,1.03,1.15,0.95,1.03,916183.0
2018-09-04,1.15,1.1635,0.97,1.04,455607.0
2018-08-31,1.35,1.35,1.16,1.16,793802.0
2018-08-30,1.1,1.78,1.1,1.38,14975122.0
