date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.6,0.65,0.58,0.58,25242.0
2020-04-23,0.7,0.74,0.62,0.6501,43174.0
2020-04-22,0.68,0.69,0.6567,0.6697,11337.0
2020-04-21,0.76,0.76,0.65,0.65,20853.0
2020-04-20,0.65,0.75,0.6202,0.75,22899.0
2020-04-17,0.6,0.64,0.58,0.6269,38717.0
2020-04-16,0.55,0.58,0.55,0.5798,5540.0
2020-04-15,0.56,0.56,0.525,0.5277,6292.0
2020-04-14,0.5578,0.58,0.55,0.55,7157.0
2020-04-13,0.58,0.59,0.5037,0.59,23206.0
2020-04-09,0.5401,0.6,0.5401,0.59,6245.0
2020-04-08,0.4901,0.6,0.4901,0.6,2471.0
2020-04-07,0.524,0.6,0.524,0.5401,42671.0
2020-04-06,0.545,0.55,0.54,0.5473,5216.0
2020-04-03,0.575,0.59,0.52,0.52,14824.0
2020-04-02,0.578,0.59,0.57,0.57,7010.0
2020-04-01,0.6,0.6,0.56,0.56,13815.0
2020-03-31,0.55,0.6,0.55,0.6,4114.0
2020-03-30,0.58,0.6,0.53,0.6,16515.0
2020-03-27,0.6101,0.65,0.58,0.58,27233.0
2020-03-26,0.62,0.63,0.57,0.595,62334.0
2020-03-25,0.65,0.65,0.5502,0.6102,34095.0
2020-03-24,0.5,0.65,0.5,0.535,27990.0
2020-03-23,0.5225,0.5225,0.45,0.4803,23852.0
2020-03-20,0.443,0.66,0.443,0.4503,40203.0
2020-03-19,0.4,0.5,0.4,0.4484,22513.0
2020-03-18,0.45,0.5586,0.42,0.42,40330.0
2020-03-17,0.45,0.54,0.44,0.5374,32460.0
2020-03-16,0.51,0.63,0.45,0.4558,48408.0
2020-03-13,0.48,0.7,0.48,0.5872,91463.0
2020-03-12,0.76,0.76,0.6,0.6,77393.0
2020-03-11,0.7,0.8,0.7,0.77,45695.0
2020-03-10,0.68,0.7,0.68,0.7,9262.0
2020-03-09,0.75,0.76,0.6401,0.68,55433.0
2020-03-06,0.87,0.8753,0.75,0.78,68185.0
2020-03-05,0.86,0.89,0.82,0.86,13080.0
2020-03-04,0.9,0.9,0.78,0.9,45271.0
2020-03-03,0.88,0.9,0.82,0.9,32503.0
2020-03-02,0.9,0.9,0.77,0.8899,38377.0
2020-02-28,0.85,0.85,0.72,0.8,72818.0
2020-02-27,0.9,0.9,0.71,0.86,97197.0
2020-02-26,1.0,1.0693,0.92,0.92,60244.0
2020-02-25,1.03,1.08,1.0162,1.03,64882.0
2020-02-24,1.05,1.06,0.99,1.024,90145.0
2020-02-21,1.11,1.1265,1.0,1.0654,72184.0
2020-02-20,1.15,1.191,1.0,1.1,114501.0
2020-02-19,1.07,1.1698,1.0642,1.1692,118279.0
2020-02-18,1.0,1.13,0.9982,1.03,110272.0
2020-02-14,0.89,1.15,0.89,0.99,277295.0
2020-02-13,0.87,0.956,0.87,0.89,55018.0
2020-02-12,1.0,1.0,0.95,0.96,63178.0
2020-02-11,0.95,0.9879,0.9,0.9675,81316.0
2020-02-10,0.95,0.95,0.8602,0.8988,179658.0
2020-02-07,0.94,0.97,0.873,0.92,205901.0
2020-02-06,0.76,1.05,0.74,0.92,481088.0
2020-02-05,0.6525,0.66,0.61,0.6264,34311.0
2020-02-04,0.54,0.7,0.54,0.7,50814.0
2020-02-03,0.45,0.54,0.45,0.5256,23010.0
2020-01-31,0.5401,0.5711,0.43,0.45,21349.0
2020-01-30,0.5261,0.5261,0.5,0.5,6125.0
2020-01-29,0.55,0.5528,0.5,0.5527,6882.0
2020-01-28,0.5,0.6,0.5,0.5675,11224.0
2020-01-27,0.6,0.6,0.5,0.51,47567.0
2020-01-24,0.625,0.625,0.5898,0.6,5855.0
2020-01-23,0.6101,0.63,0.6038,0.6153,12822.0
2020-01-22,0.68,0.68,0.61,0.61,10704.0
2020-01-21,0.63,0.69,0.63,0.6865,20038.0
2020-01-17,0.62,0.7,0.62,0.63,17729.0
2020-01-16,0.66,0.7,0.61,0.62,29707.0
2020-01-15,0.61,0.6481,0.6,0.6481,20364.0
2020-01-14,0.55,0.62,0.5476,0.5706,50989.0
2020-01-13,0.55,0.55,0.5102,0.53,5401.0
2020-01-10,0.5,0.59,0.46,0.55,37792.0
2020-01-09,0.515,0.5306,0.481,0.4818,27165.0
2020-01-08,0.54,0.54,0.51,0.5374,2416.0
2020-01-07,0.5101,0.57,0.4986,0.54,53096.0
2020-01-06,0.6,0.6,0.48,0.51,33609.0
2020-01-03,0.5,0.53,0.48,0.52,39766.0
2020-01-02,0.47,0.49,0.45,0.4601,39589.0
2019-12-31,0.44,0.48,0.4,0.43,29355.0
2019-12-30,0.49,0.49,0.4,0.4208,35757.0
2019-12-27,0.5,0.5,0.4501,0.4501,42230.0
2019-12-26,0.49,0.495,0.4504,0.495,32035.0
2019-12-24,0.49,0.5,0.4896,0.49,9150.0
2019-12-23,0.41,0.47,0.3003,0.47,70743.0
2019-12-20,0.46,0.4789,0.4088,0.41,169036.0
2019-12-19,0.42,0.43,0.42,0.42,6183.0
2019-12-18,0.38,0.38,0.3723,0.3799,16771.0
2019-12-17,0.41,0.42,0.38,0.4,11300.0
2019-12-16,0.42,0.42,0.38,0.3801,37834.0
2019-12-13,0.4002,0.4237,0.4002,0.4237,1511.0
2019-12-12,0.44,0.4601,0.4,0.41,18662.0
2019-12-11,0.45,0.46,0.3914,0.3914,15029.0
2019-12-10,0.4279,0.45,0.4279,0.435,4250.0
2019-12-09,0.3764,0.455,0.3764,0.4,47162.0
2019-12-06,0.3902,0.3902,0.32,0.3764,35950.0
2019-12-05,0.4633,0.4633,0.3521,0.3754,17468.0
2019-12-04,0.34,0.36,0.34,0.3582,9353.0
2019-12-03,0.34,0.34,0.3,0.34,11944.0
2019-12-02,0.3,0.355,0.3,0.32,35897.0
2019-11-29,0.31,0.34,0.3013,0.3013,17778.0
2019-11-27,0.271,0.34,0.271,0.3139,12850.0
2019-11-26,0.27,0.3199,0.2502,0.3199,86970.0
2019-11-25,0.235,0.29,0.225,0.26,118369.0
2019-11-22,0.23,0.235,0.215,0.225,28163.0
2019-11-21,0.235,0.235,0.21,0.21,10834.0
2019-11-20,0.22,0.22,0.2,0.21,25278.0
2019-11-19,0.2,0.2188,0.2,0.2,1871.0
2019-11-18,0.23,0.23,0.2,0.22,42197.0
2019-11-15,0.2,0.22,0.2,0.22,13658.0
2019-11-14,0.23,0.25,0.2,0.2007,16230.0
2019-11-13,0.2045,0.2297,0.2,0.21,36690.0
2019-11-12,0.2,0.24,0.1692,0.2001,43255.0
2019-11-11,0.17,0.2,0.17,0.2,968.0
2019-11-08,0.21,0.25,0.16,0.17,60445.0
2019-11-07,0.25,0.25,0.24,0.24,7422.0
2019-11-06,0.2242,0.295,0.2242,0.25,1518.0
2019-11-05,0.275,0.275,0.25,0.25,4364.0
2019-11-04,0.28,0.28,0.28,0.28,700.0
2019-11-01,0.2604,0.2702,0.26,0.27,2572.0
2019-10-31,0.35,0.35,0.35,0.35,300.0
2019-10-30,0.29,0.2938,0.29,0.2938,999.0
2019-10-29,0.31,0.31,0.31,0.31,309.0
2019-10-28,0.33,0.35,0.31,0.345,9800.0
2019-10-25,0.37,0.37,0.31,0.3104,10415.0
2019-10-24,0.31,0.3417,0.29,0.34,27225.0
2019-10-23,0.31,0.3116,0.31,0.31,13622.0
2019-10-22,0.27,0.3,0.2588,0.3,23838.0
2019-10-21,0.29,0.3798,0.2625,0.275,17768.0
2019-10-18,0.29,0.3085,0.28,0.28,7866.0
2019-10-17,0.2814,0.2815,0.2814,0.2815,9610.0
2019-10-16,0.28,0.2814,0.28,0.2814,410.0
2019-10-15,0.28,0.28,0.28,0.28,920.0
2019-10-14,0.31,0.31,0.26,0.2606,20252.0
2019-10-11,0.26,0.35,0.2504,0.35,4775.0
