date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,86.02,86.57,86.02,86.15,6030732.0
2020-03-27,85.37,86.1441,85.21,86.06,4975473.0
2020-03-26,85.05,85.69,85.04,85.6,10803957.0
2020-03-25,84.14,85.65,84.14,85.21,9655590.0
2020-03-24,82.95,84.24,82.74,84.08,9371362.0
2020-03-23,81.21,83.99,81.2,83.99,10973270.0
2020-03-20,80.7,82.55,80.69,82.17,8864563.0
2020-03-19,79.74,81.5817,79.58,80.8,11007159.0
2020-03-18,81.44,82.67,80.31,80.85,10076802.0
2020-03-17,83.55,84.72,82.79,82.85,13629756.0
2020-03-16,81.32,84.6482,79.51,84.6,8411022.0
2020-03-13,81.69,84.45,81.5,83.72,14137618.0
2020-03-12,83.48,84.885,76.49,80.33,16986883.0
2020-03-11,86.78,87.24,84.87,84.95,10512436.0
2020-03-10,87.44,87.69,86.59,86.59,14177551.0
2020-03-09,89.26,89.32,87.715,87.77,12445580.0
2020-03-06,88.2,88.26,87.66,87.96,10176610.0
2020-03-05,87.38,87.5,87.28,87.36,5385160.0
2020-03-04,87.26,87.4,87.0,87.03,7445933.0
2020-03-03,86.57,87.515,86.5401,87.05,9324080.0
2020-03-02,86.82,86.91,86.5,86.53,10154412.0
2020-02-28,86.52,86.865,86.4,86.76,16377254.0
2020-02-27,86.26,86.38,86.1242,86.19,9514568.0
2020-02-26,86.08,86.29,86.0,86.09,8016017.0
2020-02-25,86.09,86.25,86.07,86.14,7928867.0
2020-02-24,86.17,86.186,86.06,86.07,6314531.0
2020-02-21,85.76,85.9268,85.73,85.8,6561515.0
2020-02-20,85.48,85.59,85.45,85.59,8404029.0
2020-02-19,85.36,85.43,85.32,85.38,3109554.0
2020-02-18,85.43,85.47,85.324,85.39,3645200.0
2020-02-14,85.32,85.34,85.25,85.26,3069003.0
2020-02-13,85.14,85.2267,85.1,85.17,2852549.0
2020-02-12,85.1,85.13,85.05,85.09,4127518.0
2020-02-11,85.29,85.3162,85.18,85.19,3799723.0
2020-02-10,85.35,85.39,85.27,85.33,2785507.0
2020-02-07,85.17,85.23,85.105,85.2,4169654.0
2020-02-06,84.91,84.96,84.85,84.94,3435712.0
2020-02-05,84.89,84.935,84.83,84.86,3537490.0
2020-02-04,85.03,85.04,84.92,85.0,4180876.0
2020-02-03,85.22,85.3,85.09,85.26,6030807.0
2020-01-31,85.4,85.575,85.38,85.52,6264189.0
2020-01-30,85.36,85.45,85.2334,85.3,4795873.0
2020-01-29,85.17,85.33,85.14,85.28,4177530.0
2020-01-28,85.13,85.135,84.9833,85.04,3993448.0
2020-01-27,85.17,85.2,85.1,85.19,3208585.0
2020-01-24,84.83,85.0,84.8,84.91,4548422.0
2020-01-23,84.78,84.83,84.72,84.78,3104791.0
2020-01-22,84.59,84.63,84.56,84.63,4192095.0
2020-01-21,84.49,84.59,84.42,84.56,2910543.0
2020-01-17,84.27,84.36,84.25,84.35,3090581.0
2020-01-16,84.37,84.425,84.31,84.36,4784127.0
2020-01-15,84.4,84.41,84.31,84.41,2594286.0
2020-01-14,84.2,84.285,84.18,84.28,3492308.0
2020-01-13,84.18,84.18,84.1,84.16,3735617.0
2020-01-10,84.16,84.2376,84.1,84.21,4525741.0
2020-01-09,83.91,84.1,83.86,84.07,5886584.0
2020-01-08,84.13,84.1971,83.9,83.97,3674359.0
2020-01-07,84.2,84.2,84.07,84.1,3030363.0
2020-01-06,84.3,84.3099,84.11,84.17,3710404.0
2020-01-03,84.18,84.29,84.1,84.27,5368262.0
2020-01-02,83.98,84.11,83.93,83.97,5511031.0
2019-12-31,83.85,83.92,83.765,83.86,5931296.0
2019-12-30,83.76,83.95,83.73,83.95,2561955.0
2019-12-27,83.96,83.99,83.93,83.98,1940289.0
2019-12-26,83.82,83.86,83.72,83.86,2036389.0
2019-12-24,83.63,83.8,83.61,83.78,1682767.0
2019-12-23,83.79,83.8,83.63,83.7,4192514.0
2019-12-20,83.87,83.955,83.82,83.94,3646272.0
2019-12-19,83.88,83.99,83.83,83.92,3240593.0
2019-12-18,83.99,83.99,83.8,83.86,3786078.0
2019-12-17,84.08,84.1,83.935,83.97,3282674.0
2019-12-16,84.05,84.07,83.94,83.96,2876493.0
2019-12-13,84.03,84.2259,83.86,84.19,3877675.0
2019-12-12,84.15,84.155,83.705,83.81,4646034.0
2019-12-11,84.07,84.25,84.04,84.21,2581846.0
2019-12-10,84.04,84.05,83.9,83.93,2700549.0
2019-12-09,84.08,84.09,83.98,83.99,2807026.0
2019-12-06,83.91,84.098,83.87,83.97,4121694.0
2019-12-05,84.04,84.13,83.98,84.08,2849979.0
2019-12-04,84.26,84.28,84.06,84.17,3876819.0
2019-12-03,84.17,84.425,84.13,84.34,3393662.0
2019-12-02,83.83,83.89,83.76,83.89,3746184.0
2019-11-29,84.29,84.31,84.19,84.29,2535129.0
2019-11-27,84.31,84.35,84.27,84.29,2293023.0
2019-11-26,84.4,84.44,84.35,84.42,3207485.0
2019-11-25,84.26,84.31,84.23,84.28,3444711.0
2019-11-22,84.24,84.2465,84.1301,84.2,3119670.0
2019-11-21,84.18,84.19,84.07,84.15,2779609.0
2019-11-20,84.21,84.3,84.15,84.29,4924254.0
2019-11-19,83.98,84.1,83.97,84.06,3712606.0
2019-11-18,83.99,84.04,83.95,83.97,3652026.0
2019-11-15,83.82,83.92,83.8,83.85,2342248.0
2019-11-14,83.93,83.96,83.87,83.88,2299695.0
2019-11-13,83.66,83.71,83.592,83.64,2690912.0
2019-11-12,83.47,83.546,83.38,83.49,3072659.0
2019-11-11,83.5,83.53,83.38,83.44,1926194.0
2019-11-08,83.45,83.585,83.38,83.39,2130586.0
2019-11-07,83.62,83.62,83.26,83.47,3767238.0
2019-11-06,83.75,83.94,83.73,83.9,3147064.0
2019-11-05,83.79,83.8,83.62,83.72,2890828.0
2019-11-04,84.05,84.06,83.96,84.01,2444592.0
2019-11-01,84.25,84.36,84.1148,84.25,2771892.0
2019-10-31,84.34,84.52,84.3,84.51,3082058.0
2019-10-30,83.94,84.1247,83.89,84.11,2832272.0
2019-10-29,83.93,83.93,83.8168,83.84,2729810.0
2019-10-28,83.84,83.85,83.76,83.82,2862019.0
2019-10-25,84.19,84.19,83.9501,84.0,2157535.0
2019-10-24,84.18,84.27,84.12,84.14,2354279.0
2019-10-23,84.22,84.25,84.12,84.13,4250429.0
2019-10-22,84.11,84.14,83.965,84.09,4545584.0
2019-10-21,84.05,84.09,83.94,83.94,2329278.0
2019-10-18,84.14,84.24,84.126,84.14,2468662.0
2019-10-17,84.08,84.21,84.02,84.1,2420590.0
2019-10-16,84.05,84.15,84.02,84.1,2550978.0
2019-10-15,84.18,84.23,83.97,84.01,2408673.0
2019-10-14,84.24,84.25,84.17,84.23,1601032.0
2019-10-11,84.15,84.17,83.955,84.09,3398221.0
2019-10-10,84.57,84.59,84.35,84.4,3683380.0
2019-10-09,84.78,84.78,84.59,84.66,3187948.0
2019-10-08,84.91,84.92,84.7,84.76,3877167.0
2019-10-07,84.8,84.8806,84.71,84.72,4701474.0
2019-10-04,84.86,84.98,84.82,84.94,3309736.0
2019-10-03,84.62,84.93,84.61,84.8,3149702.0
2019-10-02,84.5,84.6,84.42,84.52,3741396.0
2019-10-01,84.05,84.517,84.02,84.33,5383945.0
2019-09-30,84.26,84.47,84.23,84.43,5261820.0
2019-09-27,84.27,84.41,84.27,84.37,2778364.0
2019-09-26,84.31,84.37,84.2435,84.28,2909915.0
2019-09-25,84.44,84.45,84.079,84.14,3009534.0
2019-09-24,84.35,84.5642,84.32,84.54,3043485.0
2019-09-23,84.3,84.455,84.235,84.25,2365777.0
2019-09-20,83.99,84.2,83.95,84.19,2437352.0
2019-09-19,83.99,84.005,83.86,83.89,2631118.0
2019-09-18,83.7579,84.04,83.724,83.77,2558377.0
2019-09-17,83.58,83.7757,83.5052,83.71,3016714.0
2019-09-16,83.53,83.6,83.41,83.52,2971000.0
2019-09-13,83.5529,83.6699,83.29,83.3,3111366.0
2019-09-12,84.15,84.1778,83.7338,83.78,3025346.0
2019-09-11,83.92,84.04,83.91,83.94,2030200.0
2019-09-10,84.3058,84.375,83.96,83.99,2425913.0
2019-09-09,84.47,84.55,84.4001,84.42,2618406.0
2019-09-06,84.76,84.85,84.72,84.81,2764600.0
2019-09-05,84.85,84.9,84.58,84.71,3162800.0
2019-09-04,84.97,85.16,84.95,85.15,2864128.0
2019-09-03,84.8717,85.18,84.84,84.99,3345956.0
2019-08-30,85.03,85.17,85.0,85.1,2861835.0
2019-08-29,85.12,85.12,84.95,85.11,2812386.0
2019-08-28,85.29,85.3,85.14,85.16,3352379.0
2019-08-27,84.97,85.14,84.94,85.13,2451712.0
2019-08-26,84.93,84.985,84.78,84.84,2358827.0
2019-08-23,84.55,84.98,84.5192,84.89,3100374.0
2019-08-22,84.65,84.765,84.535,84.58,3233095.0
2019-08-21,84.7,84.89,84.65,84.74,2532252.0
2019-08-20,84.74,84.78,84.675,84.78,2568094.0
2019-08-19,84.54,84.64,84.5,84.56,3640075.0
2019-08-16,84.77,84.86,84.59,84.83,3919586.0
2019-08-15,84.67,85.0199,84.6,84.92,4358242.0
2019-08-14,84.53,84.58,84.45,84.51,3395815.0
2019-08-13,84.38,84.412,84.13,84.21,3299809.0
2019-08-12,84.23,84.405,84.18,84.34,3008003.0
2019-08-09,84.16,84.24,83.95,83.97,2832794.0
2019-08-08,83.9,84.17,83.79,84.12,3244223.0
2019-08-07,84.45,84.4996,84.03,84.05,5516384.0
2019-08-06,83.87,84.07,83.83,84.05,4939661.0
2019-08-05,83.76,83.9,83.695,83.84,4284266.0
2019-08-02,83.44,83.52,83.365,83.48,5392449.0
2019-08-01,82.97,83.44,82.94,83.4,3278473.0
2019-07-31,82.92,83.15,82.78,83.0,2628855.0
2019-07-30,82.94,82.95,82.84,82.9,1968772.0
2019-07-29,82.96,82.97,82.88,82.92,1771919.0
2019-07-26,82.92,82.92,82.83,82.87,2413475.0
2019-07-25,82.93,82.95,82.73,82.87,2199047.0
2019-07-24,82.95,83.026,82.93,82.96,2535785.0
2019-07-23,82.91,82.95,82.8213,82.88,1799585.0
2019-07-22,83.02,83.03,82.92,82.95,1725513.0
2019-07-19,82.85,82.92,82.8123,82.86,2167269.0
2019-07-18,82.77,82.98,82.73,82.95,3323190.0
2019-07-17,82.67,82.81,82.64,82.8,2062285.0
2019-07-16,82.52,82.58,82.455,82.55,2294091.0
2019-07-15,82.53,82.66,82.53,82.66,2245920.0
2019-07-12,82.47,82.57,82.4434,82.54,2265037.0
2019-07-11,82.71,82.77,82.43,82.47,3024150.0
2019-07-10,82.77,82.81,82.68,82.74,2097173.0
2019-07-09,82.79,82.79,82.66,82.67,1839373.0
2019-07-08,82.88,82.915,82.76,82.78,1761500.0
2019-07-05,82.83,82.85,82.62,82.79,2356755.0
2019-07-03,83.11,83.22,83.08,83.18,1720841.0
2019-07-02,82.92,83.06,82.86,83.03,3127148.0
2019-07-01,82.91,82.95,82.75,82.87,2358767.0
2019-06-28,82.96,83.09,82.95,83.07,2554639.0
2019-06-27,82.89,83.025,82.83,83.0,2021365.0
2019-06-26,82.93,82.937,82.75,82.76,2195793.0
2019-06-25,82.99,83.05,82.885,82.95,2699774.0
2019-06-24,82.88,82.97,82.85,82.92,2803793.0
2019-06-21,82.85,82.873,82.71,82.77,2398107.0
2019-06-20,83.02,83.13,82.98,83.0,2171573.0
2019-06-19,82.48,82.87,82.45,82.87,2496930.0
2019-06-18,82.66,82.72,82.5259,82.59,3341999.0
2019-06-17,82.3,82.43,82.3,82.4,2792658.0
2019-06-14,82.31,82.42,82.3,82.4,2260730.0
2019-06-13,82.3,82.429,82.2899,82.39,1946283.0
2019-06-12,82.15,82.25,82.1258,82.25,1904401.0
2019-06-11,82.12,82.1799,82.08,82.11,3362114.0
