date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,16.94,17.99,16.7401,17.99,62825.0
2020-04-08,15.97,17.165,15.66,16.73,85273.0
2020-04-07,17.17,17.2,15.61,15.8,71606.0
2020-04-06,16.65,17.37,16.4,16.78,62675.0
2020-04-03,16.46,17.33,15.8,16.18,61830.0
2020-04-02,16.6,16.96,15.51,16.69,137141.0
2020-04-01,17.57,17.76,16.42,16.61,60015.0
2020-03-31,17.64,18.21,17.33,18.11,83475.0
2020-03-30,17.24,17.73,16.8655,17.69,53472.0
2020-03-27,17.31,17.79,16.73,17.19,64397.0
2020-03-26,16.51,17.85,16.51,17.81,89198.0
2020-03-25,15.52,17.39,15.51,16.43,82420.0
2020-03-24,15.44,15.9642,14.79,15.75,91797.0
2020-03-23,16.25,16.98,14.645,15.08,95311.0
2020-03-20,16.47,16.47,14.75,16.15,111079.0
2020-03-19,14.59,16.54,14.52,16.37,76571.0
2020-03-18,14.87,18.29,13.52,14.87,120312.0
2020-03-17,13.64,15.63,13.0449,15.57,114587.0
2020-03-16,13.5,13.85,13.06,13.32,137575.0
2020-03-13,15.31,16.15,14.17,14.67,96766.0
2020-03-12,16.0,16.565,14.79,15.02,125586.0
2020-03-11,17.13,17.1305,16.53,16.57,156663.0
2020-03-10,17.2,17.68,16.97,17.27,100985.0
2020-03-09,16.28,17.29,16.11,16.81,158800.0
2020-03-06,17.11,18.11,16.8001,17.59,72334.0
2020-03-05,19.09,19.09,16.86,17.06,357954.0
2020-03-04,19.16,19.25,18.88,19.23,38864.0
2020-03-03,19.36,19.53,18.612,18.91,56377.0
2020-03-02,19.42,19.495,19.01,19.37,50568.0
2020-02-28,19.12,19.5093,19.1,19.46,76500.0
2020-02-27,19.78,19.78,19.1379,19.5,66093.0
2020-02-26,19.48,20.11,19.3885,20.07,54349.0
2020-02-25,19.95,19.9855,19.02,19.42,63861.0
2020-02-24,20.13,20.2,19.72,19.88,51379.0
2020-02-21,20.29,20.48,20.1,20.45,41311.0
2020-02-20,20.17,20.29,20.07,20.26,26877.0
2020-02-19,20.04,20.31,20.04,20.18,49472.0
2020-02-18,20.43,20.5,20.0,20.02,38594.0
2020-02-14,20.53,20.65,20.356,20.43,47967.0
2020-02-13,20.65,20.86,20.48,20.52,37808.0
2020-02-12,20.7,20.78,20.34,20.73,61563.0
2020-02-11,20.55,20.68,20.3301,20.65,44502.0
2020-02-10,20.59,20.7085,20.32,20.51,36476.0
2020-02-07,20.39,20.6671,20.39,20.59,33403.0
2020-02-06,20.61,20.8,20.46,20.5,23065.0
2020-02-05,20.56,20.76,20.36,20.56,25534.0
2020-02-04,20.4,20.67,20.32,20.41,38977.0
2020-02-03,20.2,20.52,20.13,20.18,33283.0
2020-01-31,20.36,20.4029,20.05,20.18,45354.0
2020-01-30,20.31,20.37,20.085,20.37,30058.0
2020-01-29,20.33,20.45,20.15,20.31,34673.0
2020-01-28,20.72,20.8697,20.11,20.32,35730.0
2020-01-27,20.67,20.8,20.5,20.55,32799.0
2020-01-24,20.47,20.73,20.4525,20.65,40535.0
2020-01-23,20.46,20.59,20.36,20.47,50159.0
2020-01-22,20.53,20.57,20.405,20.47,26258.0
2020-01-21,20.64,20.7,20.3,20.39,32446.0
2020-01-17,21.38,21.38,20.57,20.71,31838.0
2020-01-16,21.0,21.4,20.98,21.26,42607.0
2020-01-15,20.94,21.5036,20.9,21.0,42335.0
2020-01-14,20.82,21.065,20.81,20.94,41678.0
2020-01-13,20.82,21.08,20.6874,21.0,42715.0
2020-01-10,20.88,21.1924,20.51,20.88,38725.0
2020-01-09,21.72,21.7686,20.51,20.78,97339.0
2020-01-08,21.42,21.85,21.25,21.63,42735.0
2020-01-07,21.55,21.68,21.37,21.42,22531.0
