date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,10.05,10.25,10.0,10.05,12447.0
2020-04-08,10.26,10.26,9.5,9.5,868.0
2020-04-07,9.329,9.329,9.329,9.329,142.0
2020-04-06,10.0,10.0,9.11,9.329,2185.0
2020-04-03,8.7,8.7,8.7,8.7,85.0
2020-04-02,8.75,9.57,8.7,8.7,9987.0
2020-04-01,8.75,8.75,8.56,8.75,8378.0
2020-03-31,8.81,8.8221,8.75,8.75,3698.0
2020-03-30,9.0,9.0,8.76,8.8038,1654.0
2020-03-27,8.95,9.2,8.5,9.2,6984.0
2020-03-26,8.1001,8.78,8.1001,8.78,438.0
2020-03-25,8.9,8.9,8.6,8.6,1859.0
2020-03-24,8.4058,8.4058,8.0,8.26,9474.0
2020-03-23,9.25,9.25,9.25,9.25,252.0
2020-03-20,8.91,10.0972,8.91,9.25,13132.0
2020-03-19,10.41,10.41,8.11,8.95,6134.0
2020-03-18,10.75,11.0512,10.0,10.0508,4358.0
2020-03-17,11.0,11.0,10.8583,10.8583,1085.0
2020-03-16,10.5,10.5,10.5,10.5,56.0
2020-03-13,11.07,11.07,10.5,10.5,440.0
2020-03-12,11.3662,11.3662,10.06,10.15,6628.0
2020-03-11,13.1,13.1,11.7,11.7,2164.0
2020-03-10,13.2,13.2,13.2,13.2,81.0
2020-03-09,13.3,13.5,13.2,13.2,4321.0
2020-03-06,13.31,13.31,13.31,13.31,282.0
2020-03-05,13.9,13.91,13.7,13.7,4297.0
2020-03-04,14.0179,14.0179,13.9,13.9,637.0
2020-03-03,14.3349,14.3349,13.9,13.9417,1296.0
2020-03-02,14.195,14.195,13.9205,13.9205,964.0
2020-02-28,14.36,14.36,13.79,13.79,3292.0
2020-02-27,14.6,14.6,14.37,14.37,1902.0
2020-02-26,14.74,14.74,14.6,14.6,766.0
2020-02-25,14.55,14.55,14.55,14.55,2.0
2020-02-24,15.16,15.2604,14.54,14.55,9174.0
2020-02-21,15.39,15.44,15.15,15.15,12815.0
2020-02-20,15.2,15.37,15.2,15.37,1912.0
2020-02-19,15.25,15.3,15.25,15.25,2043.0
2020-02-18,15.3,15.44,15.25,15.25,3396.0
2020-02-14,15.23,15.38,15.1332,15.3,4583.0
2020-02-13,15.1885,15.1885,15.1885,15.1885,168.0
2020-02-12,15.138,15.25,15.1,15.1885,8496.0
2020-02-11,15.0,15.3,15.0,15.3,4918.0
2020-02-10,15.0,15.296,15.0,15.0,17577.0
2020-02-07,15.0,15.0,14.9,14.9,4134.0
2020-02-06,14.95,15.025,14.95,14.95,18928.0
2020-02-05,14.95,15.0,14.95,14.95,2799.0
2020-02-04,14.9,14.9,14.8,14.9,2185.0
2020-02-03,14.9,15.0,14.9,15.0,960.0
2020-01-31,14.9,14.9,14.7873,14.9,2372.0
2020-01-30,15.0886,15.09,14.9038,14.9038,8868.0
2020-01-29,15.0,15.0825,15.0,15.0825,1478.0
2020-01-28,14.8,14.919,14.8,14.85,1679.0
2020-01-27,14.8,15.0,14.6622,15.0,3255.0
2020-01-24,14.7,15.0,14.7,14.7,6354.0
2020-01-23,14.56,14.56,14.54,14.54,727.0
2020-01-22,14.7736,14.7736,14.7,14.7,1293.0
2020-01-21,14.7885,14.98,14.54,14.98,1629.0
2020-01-17,14.6388,14.6588,14.54,14.54,1026.0
2020-01-16,14.53,14.56,14.5,14.51,2028.0
2020-01-15,15.47,15.49,14.66,14.66,11311.0
2020-01-14,15.0,15.0,15.0,15.0,499.0
2020-01-13,15.42,15.42,15.1554,15.25,1451.0
2020-01-10,15.43,15.52,15.381,15.42,1732.0
2020-01-09,15.6001,15.8564,15.6001,15.8564,690.0
2020-01-08,15.4128,16.15,15.4,16.15,5059.0
2020-01-07,15.6,15.6,15.3,15.3,663.0
2020-01-06,15.43,15.7,15.43,15.7,7310.0
2020-01-03,15.41,15.69,15.16,15.16,3864.0
2020-01-02,15.5,15.7,15.4,15.7,3270.0
2019-12-31,15.36,15.6,15.06,15.27,1633.0
2019-12-30,15.0438,15.9,15.0438,15.9,4012.0
2019-12-27,15.3999,15.4,15.25,15.4,2509.0
2019-12-26,14.99,15.0,14.99,15.0,670.0
2019-12-24,14.8319,14.8319,14.8319,14.8319,209.0
2019-12-23,14.95,15.4,14.73,14.8319,4909.0
2019-12-20,15.01,15.0972,15.0,15.02,1483.0
2019-12-19,14.72,14.72,14.72,14.72,313.0
2019-12-18,15.01,15.04,15.0,15.0,1362.0
