date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,22.17,22.6,22.17,22.5,95578.0
2020-03-27,21.99,22.5,21.99,22.31,171691.0
2020-03-26,21.84,22.39,21.795,22.37,307103.0
2020-03-25,20.83,21.8,20.805,21.45,254740.0
2020-03-24,20.4,21.0071,20.4,20.805,95801.0
2020-03-23,20.72,20.8311,19.98,20.2,218835.0
2020-03-20,21.22,21.5379,20.69,21.05,244372.0
2020-03-19,21.41,21.8695,21.21,21.31,297489.0
2020-03-18,22.24,22.51,21.63,22.05,330647.0
2020-03-17,22.62,22.97,22.44,22.96,174411.0
2020-03-16,21.07,23.2235,21.07,22.74,200962.0
2020-03-13,23.72,24.0897,22.99,24.0897,164756.0
2020-03-12,23.24,23.825,22.38,23.39,468588.0
2020-03-11,24.36,24.53,24.12,24.28,239538.0
2020-03-10,24.81,24.8696,24.45,24.81,209873.0
2020-03-09,24.27,24.63,24.11,24.52,179397.0
2020-03-06,25.48,25.52,25.32,25.52,86959.0
2020-03-05,25.7,25.7984,25.58,25.66,121628.0
2020-03-04,25.79,25.9395,25.77,25.92,254381.0
2020-03-03,25.73,25.89,25.64,25.68,175227.0
2020-03-02,25.63,25.84,25.61,25.79,191835.0
2020-02-28,25.53,25.66,25.4554,25.66,146882.0
2020-02-27,25.78,25.85,25.635,25.68,198781.0
2020-02-26,25.95,26.03,25.84,25.94,110941.0
2020-02-25,26.05,26.1,25.87,25.9,153543.0
2020-02-24,26.04,26.064,25.95,26.03,219788.0
2020-02-21,26.3,26.3,26.22,26.27,214981.0
2020-02-20,26.31,26.32,26.26,26.3,442786.0
2020-02-19,26.27,26.3001,26.248,26.26,137376.0
2020-02-18,26.28,26.28,26.235,26.25,170887.0
2020-02-14,26.29,26.29,26.26,26.26,141836.0
2020-02-13,26.3,26.3,26.2461,26.27,80582.0
2020-02-12,26.26,26.31,26.215,26.27,193087.0
2020-02-11,26.17,26.2,26.17,26.2,108574.0
2020-02-10,26.12,26.16,26.12,26.16,76654.0
2020-02-07,26.14,26.14,26.1,26.12,125479.0
2020-02-06,26.16,26.16,26.08,26.13,192084.0
2020-02-05,26.11,26.15,26.08,26.15,118731.0
2020-02-04,26.09,26.13,26.0236,26.13,114781.0
2020-02-03,26.02,26.04,25.96,26.04,363963.0
2020-01-31,26.03,26.05,25.97,26.0,102138.0
2020-01-30,25.98,26.05,25.98,26.03,125860.0
2020-01-29,26.08,26.1,26.02,26.07,107816.0
2020-01-28,26.04,26.08,26.0,26.08,283316.0
2020-01-27,26.01,26.01,25.88,25.97,117020.0
2020-01-24,26.14,26.15,26.06,26.07,176906.0
2020-01-23,26.15,26.15,26.085,26.13,137572.0
2020-01-22,26.17,26.18,26.1385,26.16,175109.0
2020-01-21,26.18,26.18,26.14,26.145,139539.0
2020-01-17,26.27,26.35,26.2602,26.29,204286.0
2020-01-16,26.28,26.3001,26.26,26.27,135855.0
2020-01-15,26.28,26.28,26.2501,26.275,220912.0
2020-01-14,26.25,26.28,26.23,26.28,121369.0
2020-01-13,26.25,26.25,26.23,26.25,82326.0
2020-01-10,26.24,26.24,26.21,26.22,268710.0
2020-01-09,26.25,26.25,26.2,26.225,166508.0
2020-01-08,26.23,26.23,26.15,26.2,184257.0
2020-01-07,26.18,26.19,26.14,26.19,101972.0
2020-01-06,26.19,26.19,26.14,26.18,136107.0
2020-01-03,26.15,26.24,26.13,26.24,147381.0
2020-01-02,26.17,26.17,26.09,26.17,281167.0
2019-12-31,26.22,26.22,26.11,26.14,137590.0
2019-12-30,26.13,26.15,26.09,26.11,121801.0
2019-12-27,26.13,26.13,26.1,26.11,109886.0
2019-12-26,26.12,26.12,26.104,26.12,88466.0
2019-12-24,26.12,26.12,26.06,26.105,46302.0
2019-12-23,26.1,26.1003,26.0637,26.1,105655.0
2019-12-20,26.21,26.21,26.18,26.18,137549.0
2019-12-19,26.2,26.21,26.148,26.19,385358.0
2019-12-18,26.13,26.16,26.13,26.16,50807.0
2019-12-17,26.12,26.12,26.0757,26.12,71899.0
2019-12-16,26.1,26.1,26.02,26.065,67668.0
2019-12-13,26.09,26.09,26.0,26.02,126211.0
2019-12-12,25.99,26.0,25.96,26.0,146215.0
2019-12-11,25.91,25.9594,25.9,25.95,85763.0
2019-12-10,25.88,25.91,25.87,25.91,144016.0
2019-12-09,25.88,25.9,25.86,25.87,58936.0
2019-12-06,25.84,25.8949,25.83,25.87,104778.0
2019-12-05,25.82,25.82,25.77,25.81,86908.0
2019-12-04,25.8,25.81,25.77,25.81,92890.0
2019-12-03,25.79,25.79,25.7334,25.77,45397.0
2019-12-02,25.77,25.82,25.74,25.8,191151.0
2019-11-29,25.82,25.82,25.75,25.75,52233.0
2019-11-27,25.8,25.81,25.78,25.79,65266.0
2019-11-26,25.79,25.8,25.778,25.79,73099.0
2019-11-25,25.78,25.804,25.7512,25.78,87899.0
2019-11-22,25.7,25.75,25.7,25.73,62653.0
2019-11-21,25.7,25.7,25.63,25.68,96823.0
2019-11-20,25.73,25.7676,25.66,25.67,110553.0
2019-11-19,25.76,25.81,25.715,25.73,54085.0
2019-11-18,25.81,25.81,25.77,25.79,49224.0
2019-11-15,25.88,25.91,25.88,25.91,36209.0
2019-11-14,25.89,25.93,25.88,25.9,94226.0
2019-11-13,25.91,25.9324,25.87,25.88,64768.0
2019-11-12,25.91,25.93,25.9,25.91,54117.0
2019-11-11,25.9,25.9,25.89,25.9,49611.0
2019-11-08,25.95,25.96,25.9,25.91,70700.0
2019-11-07,25.95,26.0395,25.94,25.95,77455.0
2019-11-06,25.95,26.0082,25.945,25.95,39705.0
2019-11-05,25.98,25.98,25.92,25.94,61416.0
2019-11-04,25.97,26.0233,25.95,25.96,100131.0
2019-11-01,25.91,25.92,25.9,25.92,99518.0
2019-10-31,25.93,25.98,25.84,25.91,125252.0
2019-10-30,25.99,25.99,25.925,25.935,69504.0
2019-10-29,26.03,26.03,25.93,25.975,142020.0
2019-10-28,25.99,25.99,25.94,25.98,25582.0
2019-10-25,25.96,25.98,25.93,25.98,94297.0
2019-10-24,26.0,26.0,25.93,25.94,38917.0
2019-10-23,25.91,25.93,25.91,25.92,41811.0
2019-10-22,25.89,25.92,25.89,25.9128,64603.0
2019-10-21,25.97,25.97,25.8701,25.93,38504.0
2019-10-18,26.11,26.11,25.9901,26.055,77592.0
2019-10-17,26.05,26.05,25.98,26.01,187883.0
2019-10-16,26.04,26.04,25.98,26.01,86514.0
2019-10-15,26.01,26.01,25.9429,26.01,37557.0
2019-10-14,26.0,26.0,25.9313,25.965,27012.0
2019-10-11,25.91,26.0393,25.91,25.97,56182.0
2019-10-10,25.94,25.95,25.8781,25.91,123949.0
2019-10-09,25.95,25.95,25.89,25.8905,40944.0
2019-10-08,25.91,25.92,25.84,25.89,64245.0
2019-10-07,25.94,25.94,25.8701,25.91,49142.0
2019-10-04,25.95,25.9744,25.9011,25.9256,86858.0
2019-10-03,25.94,25.9741,25.83,25.946,139816.0
2019-10-02,26.03,26.03,25.9,25.94,39795.0
2019-10-01,26.09,26.09,26.0,26.01,39412.0
2019-09-30,26.04,26.08,26.02,26.07,73581.0
2019-09-27,26.09,26.09,26.0097,26.02,75540.0
2019-09-26,26.11,26.11,26.0,26.0,72844.0
2019-09-25,26.01,26.1,26.01,26.09,72950.0
2019-09-24,26.11,26.13,26.0,26.04,56276.0
2019-09-23,26.05,26.1376,26.05,26.12,71222.0
2019-09-20,26.17,26.24,26.1301,26.23,72133.0
2019-09-19,26.16,26.25,26.16,26.1743,45173.0
2019-09-18,26.18,26.228,26.126,26.16,75216.0
2019-09-17,26.19,26.2249,26.14,26.19,56206.0
2019-09-16,26.14,26.201,26.06,26.15,78700.0
2019-09-13,26.12,26.145,26.06,26.06,69800.0
2019-09-12,26.1,26.1592,26.04,26.04,41097.0
2019-09-11,26.16,26.16,26.04,26.14,66600.0
2019-09-10,26.09,26.13,26.016,26.11,49900.0
2019-09-09,26.06,26.0833,26.0,26.03,43997.0
2019-09-06,26.07,26.1089,25.9865,26.0,66864.0
2019-09-05,26.07,26.1,25.9659,26.07,117374.0
2019-09-04,25.93,26.04,25.89,26.04,33577.0
2019-09-03,25.99,25.99,25.88,25.98,59211.0
2019-08-30,26.04,26.04,25.92,25.94,92141.0
2019-08-29,26.0,26.05,25.9445,26.03,51971.0
2019-08-28,25.97,25.9859,25.9164,25.9507,58876.0
2019-08-27,26.0,26.0,25.8633,25.97,42443.0
2019-08-26,25.94,25.95,25.8201,25.91,43735.0
2019-08-23,25.96,25.96,25.8,25.9,67112.0
2019-08-22,25.96,25.98,25.86,25.96,91918.0
2019-08-21,25.89,25.9141,25.8,25.8,69860.0
2019-08-20,25.85,25.86,25.77,25.84,53694.0
2019-08-19,25.78,25.87,25.74,25.81,60170.0
2019-08-16,25.89,25.91,25.83,25.91,47509.0
2019-08-15,25.75,25.86,25.74,25.86,56864.0
2019-08-14,25.85,25.87,25.69,25.8,70792.0
2019-08-13,25.89,25.99,25.8301,25.98,60682.0
2019-08-12,25.88,25.89,25.8232,25.87,68107.0
2019-08-09,25.95,25.96,25.8501,25.93,98998.0
2019-08-08,25.93,26.01,25.8893,26.0,98145.0
2019-08-07,25.85,25.89,25.8025,25.89,69074.0
2019-08-06,25.92,25.93,25.83,25.91,42826.0
2019-08-05,25.94,25.94,25.78,25.84,80381.0
2019-08-02,26.04,26.06,25.98,26.06,66052.0
2019-08-01,25.98,26.12,25.98,26.01,62846.0
2019-07-31,26.12,26.12,25.99,26.06,45156.0
2019-07-30,26.09,26.09,26.03,26.07,74700.0
2019-07-29,26.02,26.1,26.02,26.1,51946.0
2019-07-26,26.08,26.0999,25.9912,26.07,55813.0
2019-07-25,26.11,26.11,25.9859,26.03,44760.0
2019-07-24,26.08,26.09,26.01,26.09,80207.0
2019-07-23,25.97,26.08,25.97,26.08,74720.0
2019-07-22,25.99,25.99,25.9401,25.97,46325.0
2019-07-19,26.16,26.16,26.07,26.0795,75710.0
2019-07-18,26.12,26.18,26.06,26.18,71132.0
2019-07-17,26.12,26.12,26.07,26.09,70976.0
2019-07-16,26.11,26.2,26.1,26.1,61726.0
2019-07-15,26.18,26.1999,26.11,26.18,59777.0
2019-07-12,26.08,26.163,26.07,26.14,51253.0
2019-07-11,26.19,26.1957,26.07,26.14,83608.0
2019-07-10,26.19,26.21,26.11,26.11,50247.0
2019-07-09,26.17,26.1799,26.1,26.1,72385.0
2019-07-08,26.18,26.1827,26.11,26.1795,49304.0
2019-07-05,26.12,26.1895,26.0701,26.13,32997.0
2019-07-03,26.13,26.236,26.13,26.2203,15374.0
2019-07-02,26.19,26.23,26.0801,26.23,70925.0
2019-07-01,26.12,26.24,26.0701,26.08,76898.0
2019-06-28,26.17,26.17,26.05,26.05,100658.0
2019-06-27,26.12,26.16,26.04,26.1387,32845.0
2019-06-26,26.16,26.16,26.03,26.03,57021.0
2019-06-25,26.17,26.1711,26.08,26.08,39126.0
2019-06-24,26.13,26.1807,26.11,26.15,70436.0
2019-06-21,26.27,26.32,26.21,26.23,41537.0
2019-06-20,26.24,26.39,26.24,26.29,48622.0
2019-06-19,26.18,26.24,26.1,26.24,30586.0
2019-06-18,26.09,26.17,26.05,26.06,91128.0
2019-06-17,26.03,26.11,26.03,26.08,43861.0
2019-06-14,26.06,26.11,26.0301,26.04,82052.0
2019-06-13,26.08,26.11,26.0601,26.07,76317.0
2019-06-12,26.06,26.07,26.03,26.05,100220.0
2019-06-11,26.1,26.13,26.03,26.086,70097.0
2019-06-10,26.05,26.065,26.03,26.04,40609.0
2019-06-07,26.01,26.05,25.9306,26.03,54475.0
2019-06-06,25.83,25.95,25.83,25.93,56274.0
2019-06-05,25.9,25.93,25.8301,25.93,44009.0
2019-06-04,25.81,25.9,25.76,25.9,52620.0
2019-06-03,25.82,25.82,25.69,25.8,59726.0
2019-05-31,25.83,25.85,25.74,25.79,74299.0
2019-05-30,25.87,25.88,25.7801,25.88,59597.0
2019-05-29,25.88,25.89,25.78,25.8349,58034.0
2019-05-28,25.93,25.9499,25.84,25.92,63737.0
2019-05-24,25.94,25.94,25.85,25.89,83564.0
2019-05-23,25.93,25.93,25.8101,25.92,62330.0
2019-05-22,25.9899,26.0095,25.91,25.9941,29111.0
2019-05-21,25.97,25.9896,25.9101,25.97,28113.0
2019-05-20,25.9,25.99,25.89,25.95,73686.0
2019-05-17,26.05,26.1,25.9861,26.04,56658.0
2019-05-16,26.05,26.12,26.0161,26.09,102697.0
2019-05-15,26.0,26.04,25.9001,25.9915,40589.0
2019-05-14,26.01,26.05,25.99,25.995,60522.0
2019-05-13,26.04,26.04,25.95,25.9846,24319.0
2019-05-10,26.07,26.11,25.95,26.03,53565.0
2019-05-09,25.96,26.06,25.95,26.06,33287.0
2019-05-08,26.0591,26.11,26.0341,26.07,86990.0
2019-05-07,26.12,26.12,25.966,26.06,91694.0
2019-05-06,26.1,26.18,26.0901,26.16,51556.0
2019-05-03,26.14,26.1699,26.0701,26.16,74378.0
2019-05-02,26.06,26.13,26.0581,26.08,84758.0
2019-05-01,26.14,26.1796,26.0845,26.12,89968.0
2019-04-30,26.14,26.17,26.12,26.15,75905.0
2019-04-29,26.14,26.16,26.09,26.14,313758.0
2019-04-26,26.14,26.15,26.0963,26.13,43126.0
2019-04-25,26.09,26.12,26.05,26.11,73884.0
2019-04-24,26.1,26.1184,26.08,26.09,30501.0
2019-04-23,26.09,26.11,26.02,26.11,74640.0
2019-04-22,26.1,26.1,26.0146,26.05,90156.0
2019-04-18,26.24,26.24,26.12,26.2,87487.0
2019-04-17,26.25,26.25,26.1467,26.2,84143.0
2019-04-16,26.24,26.2499,26.1838,26.24,58211.0
2019-04-15,26.24,26.26,26.2,26.23,171675.0
2019-04-12,26.24,26.24,26.1601,26.23,55579.0
2019-04-11,26.23,26.23,26.13,26.22,66031.0
2019-04-10,26.16,26.17,26.07,26.17,42128.0
2019-04-09,26.13,26.1395,26.0901,26.1018,135474.0
2019-04-08,26.06,26.14,26.06,26.07,96422.0
2019-04-05,26.11,26.1399,26.02,26.11,44640.0
2019-04-04,26.05,26.1,26.0021,26.03,63381.0
2019-04-03,26.08,26.0862,25.9714,26.02,93426.0
2019-04-02,26.06,26.07,25.96,26.07,94800.0
2019-04-01,26.03,26.08,25.9901,26.06,46941.0
2019-03-29,26.0,26.05,25.9501,26.03,92966.0
2019-03-28,25.96,25.98,25.9101,25.98,58624.0
2019-03-27,25.98,25.99,25.8635,25.96,53847.0
2019-03-26,25.95,25.99,25.91,25.95,81710.0
2019-03-25,25.88,25.94,25.86,25.935,96001.0
2019-03-22,25.96,25.96,25.851,25.8918,39256.0
2019-03-21,25.96,26.01,25.9199,25.99,75768.0
2019-03-20,25.89,26.01,25.8333,25.99,93719.0
2019-03-19,25.93,25.945,25.86,25.86,61639.0
2019-03-18,25.87,25.93,25.8501,25.93,40010.0
2019-03-15,26.01,26.05,25.95,25.95,63233.0
2019-03-14,25.98,25.99,25.93,25.9894,49128.0
2019-03-13,25.96,26.0,25.94,25.97,39309.0
2019-03-12,25.89,25.95,25.85,25.92,143978.0
2019-03-11,25.85,25.92,25.8491,25.91,44710.0
2019-03-08,25.83,25.86,25.76,25.821,46039.0
2019-03-07,25.94,25.94,25.8301,25.8577,75644.0
2019-03-06,25.92,25.96,25.84,25.87,132037.0
2019-03-05,26.0,26.01,25.96,25.9948,35541.0
2019-03-04,26.01,26.0499,25.9297,26.0,102558.0
2019-03-01,26.0,26.03,25.968,25.98,48056.0
2019-02-28,25.96,25.98,25.9,25.97,28764.0
2019-02-27,25.97,25.99,25.9033,25.96,108530.0
2019-02-26,25.95,25.98,25.88,25.96,81567.0
2019-02-25,25.95,25.96,25.8801,25.95,50911.0
2019-02-22,25.88,25.91,25.84,25.91,92571.0
