date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,21.75,21.75,21.51,21.6207,178116.0
2020-04-23,21.8255,21.8851,21.76,21.77,51348.0
2020-04-22,21.7925,21.7979,21.77,21.7979,26387.0
2020-04-21,21.71,21.71,21.2901,21.4893,26629.0
2020-04-20,22.04,22.12,21.96,21.9849,34271.0
2020-04-17,22.97,22.97,22.26,22.43,23293.0
2020-04-16,22.38,22.38,22.0703,22.205,27373.0
2020-04-15,22.11,22.34,22.03,22.34,22166.0
2020-04-14,22.41,22.45,22.0517,22.185,39618.0
2020-04-13,22.446,22.48,22.0,22.0905,90247.0
2020-04-09,21.86,23.3657,21.86,22.6456,245795.0
2020-04-08,20.91,21.375,20.91,21.3478,13535.0
2020-04-07,21.24,21.24,20.83,20.9,54270.0
2020-04-06,20.55,20.8548,20.55,20.8433,29360.0
2020-04-03,20.8522,20.8522,20.22,20.3401,33115.0
2020-04-02,20.55,20.96,20.51,20.6478,20461.0
2020-04-01,20.93,20.95,20.61,20.7363,15097.0
2020-03-31,21.31,21.41,20.83,21.3,24570.0
2020-03-30,20.62,21.3,20.62,21.3,7595.0
2020-03-27,20.3,21.13,20.3,20.8017,42265.0
2020-03-26,20.04,20.91,20.04,20.88,34537.0
2020-03-25,19.29,20.4499,19.0,19.945,34244.0
2020-03-24,18.8,19.29,18.8,19.27,35557.0
2020-03-23,19.09,19.2454,18.3541,18.825,101699.0
2020-03-20,20.13,20.13,19.18,19.4909,66652.0
2020-03-19,20.18,20.3659,19.74,20.13,39762.0
2020-03-18,20.65,20.9,19.97,20.4015,140671.0
2020-03-17,21.07,21.5,19.98,21.3322,165858.0
2020-03-16,20.91,21.58,19.66,21.0101,35073.0
2020-03-13,22.15,22.5,21.9429,22.5,35626.0
2020-03-12,21.78,22.32,21.18,21.7,81084.0
2020-03-11,22.91,22.91,22.5136,22.67,24816.0
2020-03-10,23.22,23.455,23.019,23.4063,28855.0
2020-03-09,22.87,22.89,22.27,22.85,69532.0
2020-03-06,23.94,23.94,23.76,23.87,20017.0
2020-03-05,24.34,24.34,24.1061,24.14,43388.0
2020-03-04,24.37,24.501,24.3579,24.495,125130.0
2020-03-03,24.33,24.4,24.1,24.23,24700.0
2020-03-02,24.06,24.38,24.03,24.38,177662.0
