date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,22.0698,22.07,21.85,21.85,3190.0
2020-03-27,21.05,21.05,21.05,21.05,1256.0
2020-03-26,21.05,21.05,21.05,21.05,44.0
2020-03-25,20.7,21.2,20.66,20.7761,1556.0
2020-03-24,20.08,20.2337,20.08,20.16,655.0
2020-03-23,19.75,19.75,19.6529,19.6783,1098.0
2020-03-20,20.7,20.7,20.3226,20.3226,1782.0
2020-03-19,20.76,20.98,20.41,20.611,21787.0
2020-03-18,21.39,21.39,20.89,21.31,9501.0
2020-03-17,21.68,22.0764,21.68,22.0764,1069.0
2020-03-16,22.0145,22.41,21.8,21.8,1235.0
2020-03-13,22.96,23.4897,22.8198,23.4897,5918.0
2020-03-12,22.93,22.93,22.38,22.4616,1812.0
2020-03-11,23.7531,23.7531,23.5,23.5709,1652.0
2020-03-10,24.0078,24.2144,24.0,24.2144,652.0
2020-03-09,23.3,23.65,23.3,23.64,8185.0
2020-03-06,24.5963,24.7927,24.59,24.7927,3582.0
2020-03-05,25.255,25.255,25.015,25.0925,665.0
2020-03-04,25.25,25.401,25.245,25.401,91567.0
2020-03-03,25.1221,25.1221,25.056,25.056,2239.0
2020-03-02,24.91,25.1641,24.9,25.1641,210488.0
2020-02-28,24.665,25.2,24.665,25.2,3855.0
2020-02-27,25.0095,25.2,24.822,24.822,4829.0
2020-02-26,25.18,25.21,25.1344,25.21,2348.0
2020-02-25,25.33,25.34,25.06,25.0985,106422.0
2020-02-24,25.28,25.3,25.235,25.296,4161.0
2020-02-21,25.585,25.62,25.585,25.62,1831.0
2020-02-20,25.61,25.65,25.56,25.635,117968.0
2020-02-19,25.65,25.65,25.61,25.61,597.0
2020-02-18,25.62,25.62,25.58,25.58,1828.0
2020-02-14,25.6,25.6,25.6,25.6,2.0
2020-02-13,25.61,25.61,25.59,25.6,2021.0
2020-02-12,25.5501,25.6145,25.5501,25.6145,1800.0
2020-02-11,25.68,25.68,25.5413,25.5471,20551.0
2020-02-10,25.53,25.5476,25.525,25.5476,9379.0
2020-02-07,25.4886,25.54,25.4886,25.5138,2759.0
2020-02-06,25.54,25.55,25.515,25.53,9871.0
2020-02-05,25.48,25.5241,25.48,25.5241,69194.0
2020-02-04,25.43,25.45,25.43,25.435,23585.0
2020-02-03,25.37,25.39,25.3492,25.3563,32797.0
2020-01-31,25.3198,25.3198,25.3,25.3,857.0
2020-01-30,25.3495,25.48,25.3495,25.4242,86269.0
2020-01-29,25.43,25.44,25.3664,25.3664,5411.0
2020-01-28,25.31,25.3878,25.31,25.3443,4159.0
2020-01-27,25.24,25.26,25.178,25.178,4718.0
2020-01-24,25.49,25.49,25.39,25.4279,149053.0
2020-01-23,25.48,25.51,25.48,25.485,4402.0
2020-01-22,25.53,25.535,25.5287,25.5287,517.0
2020-01-17,25.655,25.655,25.635,25.635,7895.0
2020-01-16,25.6396,25.65,25.6271,25.645,2258.0
2020-01-15,25.63,25.63,25.61,25.61,3638.0
2020-01-14,25.6,25.6157,25.5777,25.5797,2255.0
2020-01-13,25.5501,25.6,25.5501,25.5747,3273.0
2020-01-10,25.55,25.56,25.5429,25.545,3036.0
2020-01-09,25.66,25.66,25.495,25.535,2767.0
2020-01-08,25.509,25.53,25.4852,25.5,35005.0
2020-01-07,25.51,25.51,25.4617,25.4624,5926.0
2020-01-06,25.44,25.51,25.44,25.485,5261.0
2020-01-03,25.48,25.4968,25.45,25.482,8270.0
2020-01-02,25.5,25.5,25.4824,25.495,13468.0
2019-12-31,25.42,25.445,25.407,25.44,6146.0
2019-12-30,25.4599,25.4599,25.435,25.44,4491.0
2019-12-27,25.4563,25.478,25.4563,25.4671,5785.0
2019-12-26,25.5,25.5,25.4838,25.485,17659.0
2019-12-24,25.44,25.44,25.42,25.435,1748.0
2019-12-23,25.44,25.46,25.4252,25.44,5494.0
2019-12-20,25.5665,25.57,25.527,25.5297,8783.0
2019-12-19,25.57,25.58,25.54,25.5607,31311.0
2019-12-18,25.53,25.5437,25.53,25.54,721.0
2019-12-17,25.48,25.51,25.48,25.51,1303.0
2019-12-16,25.49,25.49,25.49,25.49,4356.0
2019-12-13,25.45,25.45,25.4,25.4,104868.0
2019-12-12,25.38,25.42,25.37,25.3962,13296.0
2019-12-11,25.2917,25.35,25.2917,25.3356,25487.0
2019-12-10,25.263,25.2672,25.263,25.2672,1423.0
2019-12-09,25.26,25.26,25.26,25.26,1630.0
2019-12-06,25.2645,25.28,25.25,25.27,7287.0
2019-12-05,25.23,25.23,25.225,25.2291,3707.0
2019-12-04,25.1745,25.1745,25.1745,25.1745,127.0
2019-12-03,25.12,25.16,25.1,25.16,32746.0
2019-12-02,25.12,25.17,25.11,25.1429,61709.0
2019-11-29,25.21,25.21,25.1577,25.1577,1976.0
2019-11-27,25.16,25.18,25.16,25.18,46432.0
2019-11-26,25.11,25.145,25.11,25.145,26218.0
2019-11-25,25.1,25.1,25.0864,25.1,184719.0
2019-11-22,25.06,25.06,25.01,25.0563,4959.0
2019-11-21,25.04,25.04,25.02,25.04,25404.0
2019-11-20,25.04,25.06,25.0,25.0545,2969.0
2019-11-19,25.02,25.06,25.01,25.03,32870.0
2019-11-18,25.09,25.09,25.0494,25.0695,5028.0
2019-11-15,25.16,25.1664,25.1564,25.16,47327.0
2019-11-14,25.16,25.16,25.14,25.14,72224.0
2019-11-13,25.185,25.19,25.1304,25.1382,18201.0
2019-11-12,25.175,25.175,25.175,25.175,1412.0
2019-11-11,25.16,25.18,25.1446,25.1451,1275.0
2019-11-08,25.15,25.19,25.15,25.18,2080.0
2019-11-07,25.21,25.21,25.1816,25.1816,541.0
2019-11-06,25.2,25.21,25.2,25.2008,3487.0
2019-11-05,25.21,25.2398,25.205,25.2178,6418.0
2019-11-04,25.2646,25.2646,25.2342,25.2342,3118.0
2019-11-01,25.17,25.2152,25.17,25.2152,302.0
2019-10-31,25.18,25.18,25.1001,25.1281,7205.0
2019-10-30,25.1699,25.18,25.12,25.165,1783.0
2019-10-29,25.175,25.175,25.175,25.175,0.0
2019-10-28,25.2167,25.2167,25.2167,25.2167,68.0
2019-10-25,25.1803,25.2,25.1803,25.2,1175.0
