date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,1.6,1.7,1.42,1.63,3932242.0
2020-04-08,1.21,1.85,1.16,1.78,8878618.0
2020-04-07,1.25,1.26,1.14,1.18,2981565.0
2020-04-06,1.18,1.18,1.01,1.1,2330322.0
2020-04-03,1.25,1.33,0.9901,1.0,9146709.0
2020-04-02,1.06,1.08,0.96,1.01,572320.0
2020-04-01,1.19,1.19,1.04,1.08,578680.0
2020-03-31,1.17,1.28,1.09,1.2,1187051.0
2020-03-30,1.31,1.3236,1.15,1.19,462599.0
2020-03-27,1.39,1.39,1.2,1.29,1168711.0
2020-03-26,1.44,1.91,1.3,1.42,4291638.0
2020-03-25,1.62,2.25,1.5,2.02,5418617.0
2020-03-24,1.23,2.17,1.2,1.76,13083827.0
2020-03-23,1.11,1.1999,1.08,1.16,358305.0
2020-03-20,1.18,1.234,1.1,1.11,383446.0
2020-03-19,1.14,1.27,1.03,1.18,510755.0
2020-03-18,1.43,1.45,1.05,1.12,1505497.0
2020-03-17,1.08,1.35,1.013,1.17,275582.0
2020-03-16,1.07,1.0754,0.9301,1.01,107183.0
2020-03-13,1.29,1.29,1.0,1.07,146865.0
2020-03-12,0.9889,1.06,0.88,1.04,145030.0
2020-03-11,1.03,1.0352,0.9402,1.005,137688.0
2020-03-10,1.0,1.15,0.94,0.94,609662.0
2020-03-09,1.07,1.13,0.9483,0.9484,145690.0
2020-03-06,1.18,1.23,1.13,1.13,209177.0
2020-03-05,1.15,1.255,1.14,1.17,95092.0
2020-03-04,1.15,1.2,1.1499,1.18,125413.0
2020-03-03,1.12,1.19,1.115,1.14,146249.0
2020-03-02,1.18,1.3,1.12,1.13,167991.0
2020-02-28,1.19,1.3,1.13,1.18,183504.0
2020-02-27,1.16,1.29,1.12,1.2,200202.0
2020-02-26,1.32,1.37,1.16,1.21,189213.0
2020-02-25,1.4,1.4499,1.3,1.34,191993.0
2020-02-24,1.39,1.4213,1.33,1.39,73963.0
2020-02-21,1.37,1.42,1.33,1.39,150225.0
2020-02-20,1.36,1.43,1.36,1.38,77920.0
2020-02-19,1.41,1.4499,1.33,1.38,104382.0
2020-02-18,1.37,1.43,1.36,1.42,100123.0
2020-02-14,1.38,1.45,1.33,1.34,170737.0
2020-02-13,1.38,1.46,1.37,1.37,139306.0
2020-02-12,1.36,1.48,1.36,1.39,105975.0
