date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,2.0702,2.1369,1.96,2.0099,4504.0
2020-03-27,1.73,1.99,1.73,1.99,781.0
2020-03-26,1.88,2.18,1.88,2.04,8061.0
2020-03-25,1.7424,1.9376,1.67,1.91,8073.0
2020-03-24,1.68,1.8815,1.66,1.81,2106.0
2020-03-23,1.94,1.94,1.94,1.94,557.0
2020-03-20,1.7,1.9282,1.68,1.8125,10701.0
2020-03-19,1.5,1.6771,1.49,1.67,1891.0
2020-03-18,1.55,1.719,1.25,1.37,7173.0
2020-03-17,1.5018,1.51,1.493,1.51,629.0
2020-03-16,1.3,1.52,1.3,1.52,2379.0
2020-03-13,1.71,1.7641,1.53,1.63,6593.0
2020-03-12,1.8828,1.8828,1.5,1.81,13914.0
2020-03-11,2.1417,2.1417,2.1417,2.1417,209.0
2020-03-10,2.003,2.22,2.0,2.22,7581.0
2020-03-09,2.1096,2.2,2.1,2.1,1440.0
2020-03-06,2.33,2.33,2.33,2.33,126.0
2020-03-05,2.176,2.33,2.15,2.33,6423.0
2020-03-04,2.09,2.18,2.08,2.17,3931.0
2020-03-03,2.25,2.25,2.0865,2.14,39889.0
2020-03-02,2.38,2.38,2.27,2.27,764.0
2020-02-28,2.39,2.39,2.1801,2.325,1381.0
2020-02-27,2.3048,2.39,2.3048,2.39,1759.0
2020-02-26,2.3646,2.44,2.3601,2.4075,4429.0
2020-02-25,2.42,2.44,2.3,2.369,11768.0
2020-02-24,2.4595,2.4958,2.4575,2.4839,1540.0
2020-02-21,2.6193,2.6193,2.5,2.5,17817.0
2020-02-20,2.5102,2.58,2.5102,2.58,672.0
2020-02-19,2.5235,2.533,2.499,2.5038,6255.0
2020-02-18,2.6,2.61,2.5,2.5459,18015.0
2020-02-14,2.55,2.56,2.44,2.56,3268.0
2020-02-13,2.505,2.55,2.505,2.55,2948.0
2020-02-12,2.48,2.4858,2.48,2.4858,560.0
2020-02-11,2.4705,2.4823,2.47,2.48,4814.0
2020-02-10,2.46,2.51,2.46,2.4723,9192.0
2020-02-07,2.5581,2.5581,2.46,2.5,9071.0
2020-02-06,2.51,2.5575,2.4508,2.51,13178.0
2020-02-05,2.5,2.5124,2.48,2.5,3463.0
2020-02-04,2.52,2.575,2.44,2.46,6765.0
2020-02-03,2.6085,2.74,2.5,2.6,7841.0
2020-01-31,2.914,2.914,2.61,2.6331,11301.0
2020-01-30,2.9,2.9,2.6427,2.76,24784.0
2020-01-29,2.85,3.112,2.815,2.8502,110868.0
2020-01-28,2.755,2.9,2.56,2.7724,32004.0
2020-01-27,2.5513,2.84,2.541,2.6801,37339.0
2020-01-24,2.4941,2.59,2.4941,2.59,2529.0
2020-01-23,2.4829,2.575,2.4829,2.56,7930.0
2020-01-22,2.5363,2.64,2.48,2.5396,2437.0
2020-01-21,2.64,2.64,2.48,2.59,3356.0
2020-01-17,2.5684,2.59,2.53,2.59,13049.0
2020-01-16,2.47,2.59,2.45,2.52,15825.0
2020-01-15,2.4708,2.6899,2.4554,2.605,34081.0
2020-01-14,2.46,2.4954,2.45,2.4502,10369.0
2020-01-13,2.4746,2.515,2.46,2.46,7794.0
2020-01-10,2.49,2.519,2.45,2.519,4208.0
2020-01-09,2.52,2.52,2.45,2.48,11264.0
2020-01-08,2.3687,2.5304,2.36,2.4001,7498.0
2020-01-07,2.4213,2.64,2.4213,2.44,2724.0
2020-01-06,2.4043,2.6,2.35,2.4907,10736.0
2020-01-03,2.4764,2.53,2.4099,2.4434,14504.0
2020-01-02,2.3501,2.785,2.35,2.5701,105722.0
2019-12-31,2.4,2.49,2.3499,2.431,10685.0
2019-12-30,2.52,2.52,2.31,2.41,15179.0
2019-12-27,2.4658,2.58,2.45,2.4608,37423.0
2019-12-26,2.35,2.56,2.35,2.4502,68279.0
2019-12-24,2.31,2.49,2.31,2.4173,40685.0
2019-12-23,2.533,2.5613,2.4,2.4878,24170.0
2019-12-20,2.605,2.605,2.46,2.4724,18274.0
2019-12-19,2.5,2.62,2.5,2.62,6220.0
2019-12-18,2.7165,2.75,2.54,2.54,17512.0
2019-12-17,2.8,2.8775,2.6,2.62,80694.0
2019-12-16,3.28,3.69,2.79,2.81,424683.0
2019-12-13,2.805,3.28,2.79,3.1556,492004.0
2019-12-12,2.85,2.85,2.7531,2.775,22008.0
2019-12-11,2.73,2.7798,2.73,2.7798,1592.0
2019-12-10,2.73,2.73,2.73,2.73,4.0
2019-12-09,2.751,2.7607,2.73,2.73,1973.0
2019-12-06,2.7,2.7,2.7,2.7,106.0
2019-12-05,2.79,2.79,2.7,2.78,1481.0
2019-12-04,2.9461,2.9506,2.79,2.88,2885.0
2019-12-03,2.66,3.04,2.66,3.0,761.0
2019-12-02,2.7354,2.7354,2.7354,2.7354,39.0
2019-11-29,2.7354,2.7354,2.7354,2.7354,5.0
2019-11-27,2.7354,2.7354,2.7354,2.7354,119.0
2019-11-26,2.6257,2.7354,2.6257,2.7354,501.0
2019-11-25,2.86,2.93,2.86,2.93,4001.0
2019-11-22,2.86,2.86,2.86,2.86,7.0
2019-11-21,2.86,2.86,2.86,2.86,9.0
2019-11-20,2.86,2.86,2.86,2.86,565.0
2019-11-19,2.86,3.0164,2.86,2.8743,3202.0
2019-11-18,2.99,2.99,2.86,2.901,3266.0
2019-11-15,2.9267,2.9374,2.86,2.86,4071.0
2019-11-14,3.15,3.15,3.15,3.15,136.0
2019-11-13,3.02,3.02,3.02,3.02,91.0
2019-11-12,3.02,3.02,3.02,3.02,9.0
2019-11-11,3.02,3.02,3.02,3.02,32.0
2019-11-08,3.02,3.02,3.02,3.02,239.0
2019-11-07,3.01,3.0945,2.7841,3.0,3645.0
2019-11-06,3.1,3.1,3.1,3.1,6.0
2019-11-05,3.23,3.23,3.1,3.1,814.0
2019-11-04,3.0224,3.0224,3.0224,3.0224,49.0
2019-11-01,3.01,3.064,3.01,3.0224,1287.0
2019-10-31,3.01,3.01,3.01,3.01,16.0
2019-10-30,3.01,3.01,3.01,3.01,33.0
2019-10-29,3.01,3.01,3.01,3.01,134.0
2019-10-28,3.09,3.09,3.01,3.01,743.0
2019-10-25,3.1247,3.1247,3.12,3.12,275.0
2019-10-24,3.1069,3.1069,3.1069,3.1069,46.0
2019-10-23,3.01,3.1422,3.01,3.1069,1096.0
2019-10-22,3.32,3.32,3.32,3.32,226.0
2019-10-21,3.1151,3.1339,3.065,3.11,2514.0
2019-10-18,3.0,3.2,3.0,3.2,535.0
2019-10-17,3.2,3.2,2.985,2.99,734.0
2019-10-16,3.1049,3.1049,3.1049,3.1049,167.0
2019-10-15,2.95,3.45,2.95,2.9737,5944.0
2019-10-14,2.93,2.95,2.93,2.93,11691.0
2019-10-11,2.95,2.95,2.61,2.9,2381.0
2019-10-10,3.15,3.4,2.7,2.9554,6165.0
2019-10-09,2.61,3.12,2.61,3.12,7774.0
2019-10-08,2.8,2.8,2.8,2.8,33.0
2019-10-07,2.8,2.8,2.8,2.8,285.0
2019-10-04,2.61,2.85,2.6,2.8,1390.0
2019-10-03,2.8752,2.8752,2.62,2.62,1237.0
