date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,1.77,1.87,1.72,1.8,76202.0
2020-03-27,1.85,1.9149,1.7098,1.79,339977.0
2020-03-26,1.58,1.72,1.56,1.69,133663.0
2020-03-25,1.63,1.69,1.47,1.52,184125.0
2020-03-24,1.82,1.8245,1.6,1.65,169697.0
2020-03-23,1.93,1.99,1.8,1.83,106908.0
2020-03-20,2.1,2.15,1.9,1.92,149797.0
2020-03-19,2.04,2.15,1.99,2.08,115448.0
2020-03-18,1.99,2.17,1.9,1.98,186589.0
2020-03-17,2.21,2.22,1.9921,2.05,174943.0
2020-03-16,2.22,2.28,1.9518,2.01,169732.0
2020-03-13,2.775,2.8299,2.3,2.33,429182.0
2020-03-12,3.28,3.35,2.66,2.82,346464.0
2020-03-11,2.6,3.35,2.56,3.15,754208.0
2020-03-10,2.9,3.1,2.36,2.5,492644.0
2020-03-09,3.69,3.7499,2.9,2.95,1111701.0
2020-03-06,2.94,3.85,2.9,3.6,2930625.0
2020-03-05,2.78,3.0923,2.6,2.89,772551.0
2020-03-04,2.81,2.97,2.52,2.7,558044.0
2020-03-03,2.61,2.9899,2.5,2.92,1130929.0
2020-03-02,3.46,3.53,2.46,2.9,956533.0
2020-02-28,4.09,4.15,2.97,3.34,1488095.0
2020-02-27,4.0,5.0,2.97,3.6,6172768.0
2020-02-26,2.28,3.62,2.2218,3.39,4129086.0
2020-02-25,2.03,2.29,2.02,2.28,381906.0
2020-02-24,2.26,2.37,2.13,2.27,993916.0
2020-02-21,1.91,2.09,1.9,1.99,348512.0
2020-02-20,2.03,2.0692,1.85,1.94,339057.0
2020-02-19,2.05,2.08,2.01,2.07,190909.0
2020-02-18,2.06,2.11,2.01,2.11,194021.0
2020-02-14,2.06,2.1193,2.0019,2.08,259696.0
2020-02-13,2.45,2.45,2.05,2.11,1051782.0
2020-02-12,2.18,2.29,2.0,2.02,401238.0
2020-02-11,2.1,2.39,2.09,2.19,562652.0
2020-02-10,2.22,2.35,1.9207,2.15,701700.0
2020-02-07,2.27,2.34,2.1711,2.22,400061.0
2020-02-06,2.47,2.51,2.13,2.15,552818.0
2020-02-05,2.23,3.13,2.23,2.59,1636610.0
2020-02-04,2.69,2.6913,2.05,2.44,1337511.0
2020-02-03,3.2765,3.5,2.8801,2.91,1515353.0
2020-01-31,3.65,4.65,3.32,4.23,9567241.0
2020-01-30,2.54,3.5,2.4,3.15,4504780.0
2020-01-29,2.7,2.76,2.13,2.23,1442216.0
2020-01-28,3.45,3.8,2.69,2.79,2747197.0
2020-01-27,3.11,4.9,2.72,4.1,14257872.0
2020-01-24,1.09,1.35,1.08,1.32,380649.0
2020-01-23,1.09,1.1198,1.02,1.0932,95590.0
2020-01-22,1.15,1.15,0.93,1.0,71844.0
2020-01-21,1.28,1.28,1.0,1.13,435131.0
2020-01-17,0.9199,1.14,0.87,1.07,118462.0
2020-01-16,1.05,1.05,0.8002,0.842,64131.0
2020-01-15,0.7503,1.0,0.701,0.95,72933.0
2020-01-14,1.02,1.04,0.81,0.835,116553.0
2020-01-13,0.62,1.08,0.62,0.9603,469133.0
2020-01-10,0.6083,0.6793,0.6083,0.62,31989.0
2020-01-09,0.6235,0.67,0.5975,0.605,13643.0
2020-01-08,0.6,0.6987,0.5758,0.65,9047.0
2020-01-07,0.5987,0.64,0.5622,0.598,10834.0
2020-01-06,0.5902,0.5902,0.515,0.5702,14973.0
2020-01-03,0.6,0.615,0.585,0.585,29507.0
2020-01-02,0.6206,0.63,0.5995,0.615,8817.0
2019-12-31,0.57,0.64,0.5639,0.602,29137.0
2019-12-30,0.581,0.63,0.581,0.5903,79495.0
2019-12-27,0.575,0.635,0.575,0.5853,145790.0
2019-12-26,0.67,0.67,0.5506,0.5701,47188.0
2019-12-24,0.7,0.7035,0.6581,0.6585,4985.0
2019-12-23,0.7036,0.7101,0.6577,0.7001,18716.0
2019-12-20,0.71,0.72,0.6676,0.7036,16969.0
2019-12-19,0.7011,0.7351,0.7,0.72,12986.0
2019-12-18,0.7003,0.7143,0.7,0.7143,22739.0
2019-12-17,0.7,0.7744,0.7,0.7005,4484.0
2019-12-16,0.702,0.7345,0.702,0.705,887.0
2019-12-13,0.74,0.7995,0.7012,0.7051,10185.0
2019-12-12,0.6633,0.7184,0.6633,0.7101,14727.0
2019-12-11,0.6633,0.74,0.6633,0.7399,21286.0
2019-12-10,0.74,0.74,0.66,0.7,22794.0
2019-12-09,0.6932,0.74,0.66,0.74,4623.0
2019-12-06,0.74,0.74,0.6601,0.6602,4839.0
2019-12-05,0.69,0.74,0.68,0.74,26333.0
2019-12-04,0.7551,0.78,0.691,0.77,17239.0
2019-12-03,0.8595,0.8977,0.74,0.7801,21283.0
2019-12-02,0.97,1.0182,0.76,0.851,112332.0
2019-11-29,0.8757,0.97,0.8327,0.97,21222.0
2019-11-27,0.91,0.94,0.7512,0.8759,160260.0
2019-11-26,0.71,1.19,0.68,0.9373,1201805.0
2019-11-25,0.5,0.64,0.5,0.6368,93421.0
2019-11-22,0.519,0.53,0.5001,0.5299,13950.0
2019-11-21,0.5699,0.5699,0.5,0.5216,17284.0
2019-11-20,0.57,0.58,0.54,0.54,16893.0
2019-11-19,0.55,0.58,0.5449,0.5548,3281.0
2019-11-18,0.5,0.58,0.5,0.519,11031.0
2019-11-15,0.58,0.62,0.5138,0.5138,19259.0
2019-11-14,0.5938,0.597,0.569,0.569,14502.0
2019-11-13,0.6,0.621,0.6,0.6,8850.0
2019-11-12,0.6432,0.6432,0.62,0.63,3193.0
2019-11-11,0.6495,0.6595,0.6495,0.6595,1584.0
2019-11-08,0.62,0.6499,0.62,0.6499,3544.0
2019-11-07,0.6668,0.6699,0.6315,0.6316,3143.0
2019-11-06,0.6708,0.6791,0.63,0.6416,10727.0
2019-11-05,0.68,0.69,0.655,0.655,4159.0
2019-11-04,0.6347,0.6947,0.62,0.655,6059.0
2019-11-01,0.7,0.7,0.66,0.6681,3713.0
2019-10-31,0.63,0.6976,0.63,0.6701,3192.0
2019-10-30,0.65,0.666,0.65,0.66,1598.0
2019-10-29,0.65,0.7208,0.65,0.68,11429.0
2019-10-28,0.7,0.7,0.68,0.685,8271.0
2019-10-25,0.6985,0.72,0.695,0.7022,11717.0
2019-10-24,0.791,0.8108,0.67,0.7492,20083.0
2019-10-23,0.728,0.7869,0.7,0.7869,2982.0
2019-10-22,0.84,0.84,0.7043,0.76,8851.0
2019-10-21,0.7625,0.85,0.71,0.8153,10276.0
2019-10-18,0.88,0.88,0.6501,0.7852,27980.0
2019-10-17,0.7001,0.875,0.64,0.875,151266.0
2019-10-16,0.85,0.85,0.6501,0.679,64072.0
2019-10-15,0.9554,0.9554,0.8201,0.85,50028.0
2019-10-14,1.04,1.04,0.95,0.9648,7354.0
