date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,45.88,46.14,45.32,45.9864,116129.0
2020-04-23,45.66,46.0,45.3434,45.3978,52103.0
2020-04-22,45.27,45.57,44.98,45.3732,98123.0
2020-04-21,44.8,45.14,44.32,44.5,168676.0
2020-04-20,45.89,46.5558,45.7,45.8723,55953.0
2020-04-17,46.14,46.79,46.01,46.6527,184162.0
2020-04-16,45.04,45.1501,44.5316,45.0928,246828.0
2020-04-15,45.18,45.29,44.7,44.9776,65048.0
2020-04-14,45.93,46.54,45.79,46.3339,50557.0
2020-04-13,46.12,46.12,44.74,45.2675,257150.0
2020-04-09,46.08,46.86,45.805,46.32,231738.0
2020-04-08,43.96,45.48,43.78,45.2825,133271.0
2020-04-07,44.87,45.0891,43.59,43.638,188127.0
2020-04-06,41.76,43.45,41.76,43.3939,239610.0
2020-04-03,40.76,41.22,39.9,40.26,93799.0
2020-04-02,39.95,41.5,39.95,41.15,120113.0
2020-04-01,40.56,41.18,40.0,40.3667,239219.0
2020-03-31,43.19,43.33,42.25,42.405,87189.0
2020-03-30,42.28,43.3364,41.87,43.2276,84049.0
2020-03-27,41.75,42.93,41.62,42.2,142913.0
2020-03-26,41.08,43.5,41.08,43.3559,139785.0
2020-03-25,39.87,42.26,39.3897,40.7911,301120.0
2020-03-24,37.77,39.76,37.77,39.76,105037.0
2020-03-23,37.18,37.18,35.41,36.1933,195325.0
2020-03-20,39.47,39.98,37.27,37.4602,297271.0
2020-03-19,38.55,40.0,37.4253,39.3163,113741.0
2020-03-18,39.23,39.9696,36.9759,38.648,151677.0
2020-03-17,40.28,42.1082,39.0228,41.62,143490.0
2020-03-16,42.55,42.55,39.5,39.51,330030.0
2020-03-13,44.22,44.938,41.65,44.93,158715.0
2020-03-12,42.88,44.42,40.81,41.8475,196559.0
2020-03-11,47.51,47.7329,45.685,46.24,139799.0
2020-03-10,48.49,48.91,46.49,48.91,248456.0
2020-03-09,46.93,48.33,45.56,46.78,266742.0
2020-03-06,49.96,51.06,49.76,50.9385,81923.0
2020-03-05,52.31,52.65,51.3305,51.7626,99838.0
2020-03-04,52.48,53.61,52.09,53.6,103857.0
2020-03-03,52.98,53.57,51.1501,51.6,277351.0
2020-03-02,50.98,52.82,50.6147,52.7612,274682.0
2020-02-28,50.03,50.97,49.471,50.86,347749.0
2020-02-27,52.64,53.55,51.72,51.72,114480.0
2020-02-26,54.58,54.9181,53.7143,53.7188,107086.0
2020-02-25,56.18,56.18,54.09,54.1925,75094.0
2020-02-24,55.98,56.32,55.8005,55.99,71914.0
2020-02-21,57.91,57.91,57.48,57.5934,37021.0
2020-02-20,58.09,58.3545,57.67,58.1731,88414.0
2020-02-19,58.22,58.3239,58.1835,58.24,42321.0
2020-02-18,58.15,58.15,57.82,58.02,29464.0
2020-02-14,58.21,58.21,57.945,58.1269,31223.0
2020-02-13,57.79,58.2027,57.79,58.0789,14066.0
2020-02-12,57.97,58.06,57.785,58.0261,52564.0
