date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,7.15,7.15,7.15,7.15,240.0
2020-04-23,7.13,7.13,7.1105,7.1105,410.0
2020-04-22,7.07,7.1,7.055,7.09,1155.0
2020-04-21,7.15,7.2,6.875,7.16,9974.0
2020-04-20,7.0,7.035,7.0,7.0,1004.0
2020-04-17,6.75,6.7727,6.75,6.75,6164.0
2020-04-16,6.75,7.0,6.5,6.5,4634.0
2020-04-15,6.75,6.9754,6.75,6.9754,3266.0
2020-04-14,6.695,6.889,6.5,6.75,1610.0
2020-04-13,6.84,7.2123,6.5001,7.2123,4952.0
2020-04-09,6.6439,7.29,6.605,7.235,8773.0
2020-04-08,6.33,6.545,6.28,6.545,1409.0
2020-04-07,6.28,6.28,6.28,6.28,145.0
2020-04-06,6.59,6.59,6.25,6.28,1628.0
2020-04-03,6.2,6.5,5.9549,6.5,1579.0
2020-04-02,5.36,6.5,5.36,6.25,2601.0
2020-04-01,7.432,7.432,7.432,7.432,4.0
2020-03-31,7.432,7.432,7.432,7.432,2.0
2020-03-30,6.6,7.432,6.6,7.432,2209.0
2020-03-27,7.3596,7.3596,7.3596,7.3596,520.0
2020-03-26,7.3971,8.0,7.3971,7.8615,3490.0
2020-03-25,8.21,8.21,7.3,7.3,779.0
2020-03-24,7.97,7.97,7.91,7.91,241.0
2020-03-23,7.01,7.0451,6.98,6.99,4737.0
2020-03-20,7.1,7.1,7.1,7.1,10.0
2020-03-19,7.19,7.19,7.05,7.1,7641.0
2020-03-18,7.19,7.19,7.19,7.19,161.0
2020-03-17,8.35,8.35,7.71,7.72,12845.0
2020-03-16,8.21,8.6018,8.21,8.21,783.0
2020-03-13,8.94,9.1,8.35,8.3611,10068.0
2020-03-12,8.55,8.844,8.21,8.75,12282.0
2020-03-11,10.0,10.0,8.77,9.23,14450.0
2020-03-10,10.1,10.3249,10.1,10.1,3994.0
2020-03-09,10.44,10.5,9.995,10.05,8708.0
2020-03-06,10.8693,11.27,10.83,11.27,7758.0
2020-03-05,11.4341,11.4341,10.5101,10.74,27961.0
2020-03-04,10.75,11.0,10.42,10.5,2640.0
2020-03-03,11.2,11.2059,11.074,11.1,1337.0
2020-03-02,10.28,11.39,10.27,10.76,5607.0
2020-02-28,11.2118,11.2118,11.2118,11.2118,9.0
2020-02-27,11.35,11.35,11.2101,11.2118,511.0
2020-02-26,11.38,11.38,11.32,11.32,214.0
2020-02-25,11.352,11.39,11.35,11.35,5526.0
2020-02-24,11.34,11.3599,11.34,11.3599,1925.0
2020-02-21,11.31,11.31,11.31,11.31,5.0
2020-02-20,11.34,11.35,11.31,11.31,910.0
2020-02-19,11.1,11.35,11.1,11.35,963.0
2020-02-18,11.4,11.4,11.12,11.12,7595.0
2020-02-14,11.6,11.6,11.4911,11.57,2816.0
2020-02-13,11.7,11.74,11.6,11.6,4791.0
2020-02-12,11.7328,11.7328,11.7328,11.7328,398.0
2020-02-11,11.7372,11.7372,11.7372,11.7372,202.0
2020-02-10,11.79,11.8,11.79,11.8,399.0
2020-02-07,11.658,11.6691,11.658,11.6691,2526.0
2020-02-06,11.6422,11.71,11.6,11.6001,11327.0
2020-02-05,11.8,11.8,11.55,11.7432,7052.0
2020-02-04,11.9197,11.92,11.9197,11.92,1695.0
2020-02-03,11.9399,11.95,11.8,11.94,3968.0
2020-01-31,11.9097,11.9097,11.6817,11.74,2851.0
2020-01-30,11.9061,11.98,11.8324,11.98,1864.0
2020-01-29,11.99,11.99,11.7764,11.99,5418.0
2020-01-28,11.79,11.9899,11.79,11.9899,1252.0
2020-01-27,11.97,11.97,11.865,11.96,2208.0
2020-01-24,11.93,11.97,11.7952,11.97,1591.0
2020-01-23,11.85,11.85,11.7796,11.7878,2028.0
2020-01-22,12.0,12.0,12.0,12.0,2.0
2020-01-21,11.99,12.0,11.99,12.0,5103.0
2020-01-17,12.01,12.01,12.01,12.01,447.0
2020-01-16,11.83,11.8967,11.83,11.8967,710.0
2020-01-15,12.0,12.05,11.862,11.862,5782.0
2020-01-14,11.84,12.0,11.7404,12.0,3134.0
2020-01-13,12.0,12.0,11.6505,11.8622,4187.0
2020-01-10,11.99,12.0,11.9423,11.9423,1028.0
2020-01-09,11.92,12.0,11.92,12.0,1909.0
2020-01-08,11.52,12.05,11.52,12.0,15474.0
2020-01-07,11.62,12.0,11.3884,11.3884,12418.0
2020-01-06,11.34,11.67,11.14,11.67,1304.0
2020-01-03,11.6,11.6,11.32,11.32,538.0
2020-01-02,11.49,11.69,11.445,11.69,5589.0
2019-12-31,11.42,11.45,11.3565,11.45,9175.0
2019-12-30,11.4,11.4,11.35,11.35,2357.0
2019-12-27,11.35,11.35,11.3,11.3,601.0
2019-12-26,11.33,11.39,11.33,11.39,2336.0
2019-12-24,11.305,11.305,11.21,11.21,3783.0
2019-12-23,11.3473,11.35,11.3473,11.35,1749.0
2019-12-20,11.13,11.5,11.13,11.5,5818.0
2019-12-19,11.0,11.25,11.0,11.231,7991.0
2019-12-18,11.0,11.0,11.0,11.0,41.0
2019-12-17,11.0,11.0,10.8928,11.0,2909.0
2019-12-16,11.1627,11.1627,11.13,11.14,850.0
2019-12-13,11.3499,11.3499,11.2566,11.2566,2402.0
2019-12-12,11.221,11.221,11.1,11.155,2205.0
2019-12-11,11.28,11.35,11.28,11.35,965.0
2019-12-10,11.25,11.35,11.25,11.35,3860.0
2019-12-09,11.34,11.35,11.2933,11.35,1240.0
2019-12-06,11.34,11.48,11.3,11.3,5299.0
2019-12-05,11.14,11.48,11.14,11.38,16964.0
2019-12-04,11.01,11.2,11.01,11.08,6432.0
2019-12-03,10.9,11.18,10.9,11.14,2439.0
2019-12-02,10.95,11.2,10.95,11.2,11965.0
2019-11-29,11.04,11.1,11.04,11.06,5767.0
2019-11-27,11.04,11.1,11.04,11.07,7608.0
2019-11-26,10.96,11.0722,10.96,11.0722,7298.0
2019-11-25,10.94,11.1,10.94,11.09,9213.0
2019-11-22,11.09,11.15,11.015,11.05,11737.0
2019-11-21,11.09,11.15,11.0882,11.15,2453.0
2019-11-20,10.95,11.1,10.95,11.09,15910.0
2019-11-19,10.99,11.18,10.9,11.0328,15314.0
2019-11-18,10.91,11.1,10.91,11.05,12058.0
2019-11-15,10.69,11.011,10.69,10.9982,17185.0
2019-11-14,10.8367,10.84,10.775,10.83,10080.0
2019-11-13,10.68,10.79,10.68,10.79,743.0
2019-11-12,10.6499,10.73,10.6493,10.73,6354.0
2019-11-11,10.6,10.6,10.4949,10.5955,2681.0
2019-11-08,10.56,10.64,10.4,10.56,5300.0
2019-11-07,10.56,10.56,10.56,10.56,17.0
2019-11-06,10.47,10.56,10.32,10.56,17475.0
2019-11-05,10.29,10.45,10.2728,10.45,5449.0
2019-11-04,10.17,10.3,10.17,10.3,9309.0
2019-11-01,10.21,10.29,10.2,10.209,5102.0
2019-10-31,10.26,10.27,10.17,10.1711,3347.0
2019-10-30,10.19,10.2,10.17,10.17,3922.0
2019-10-29,10.3,10.3,10.1744,10.19,2140.0
2019-10-28,10.29,10.29,10.1774,10.1774,4887.0
2019-10-25,10.24,10.26,10.14,10.25,12433.0
2019-10-24,10.2,10.2,10.2,10.2,0.0
2019-10-23,10.23,10.23,10.2,10.2,1443.0
2019-10-22,10.11,10.23,10.11,10.23,1801.0
2019-10-21,10.21,10.21,10.11,10.11,9039.0
2019-10-18,10.15,10.2,10.15,10.2,1300.0
2019-10-17,10.1101,10.1101,10.1101,10.1101,30.0
2019-10-16,10.12,10.196,10.1101,10.1101,3186.0
2019-10-15,10.16,10.18,10.16,10.18,406.0
2019-10-14,10.18,10.18,10.17,10.18,1974.0
2019-10-11,10.24,10.24,10.15,10.17,7012.0
2019-10-10,10.19,10.19,10.19,10.19,1135.0
2019-10-09,10.23,10.23,10.23,10.23,187.0
2019-10-08,10.1,10.1735,10.1,10.1612,2016.0
2019-10-07,10.12,10.12,10.12,10.12,1351.0
2019-10-04,10.07,10.19,10.07,10.18,2637.0
2019-10-03,10.08,10.2,10.06,10.07,17020.0
2019-10-02,10.13,10.21,10.06,10.06,2711.0
2019-10-01,10.11,10.22,10.11,10.14,1821.0
2019-09-30,10.19,10.19,10.19,10.19,0.0
2019-09-27,10.1644,10.21,10.12,10.19,4341.0
2019-09-26,10.19,10.2,10.19,10.2,1359.0
2019-09-25,10.25,10.25,10.12,10.12,5424.0
2019-09-24,10.22,10.22,10.19,10.19,1592.0
2019-09-23,10.21,10.21,10.12,10.12,1053.0
2019-09-20,10.1,10.21,10.1,10.21,1775.0
2019-09-19,10.22,10.22,10.01,10.01,14906.0
2019-09-18,10.2,10.219,10.11,10.11,10683.0
2019-09-17,10.06,10.22,10.06,10.2,6043.0
2019-09-16,10.1,10.2,10.1,10.2,1320.0
2019-09-13,10.07,10.19,10.05,10.19,1641.0
2019-09-12,10.1082,10.12,10.04,10.12,27524.0
2019-09-11,10.11,10.2,10.02,10.1,27015.0
2019-09-10,10.11,10.2,10.11,10.1585,2050.0
2019-09-09,10.11,10.2,10.11,10.18,4967.0
2019-09-06,10.14,10.14,10.13,10.13,1957.0
2019-09-05,10.11,10.2,10.11,10.2,1950.0
2019-09-04,10.02,10.18,10.02,10.1356,10992.0
2019-09-03,10.01,10.17,10.01,10.1,3142.0
2019-08-30,10.09,10.17,10.09,10.17,821.0
2019-08-29,10.02,10.16,10.01,10.16,16029.0
2019-08-28,10.05,10.06,10.02,10.02,14730.0
2019-08-27,10.02,10.06,10.01,10.045,4800.0
2019-08-26,10.01,10.06,10.0,10.06,2650.0
2019-08-23,10.01,10.0556,10.01,10.01,1450.0
2019-08-22,10.02,10.05,10.02,10.03,3750.0
2019-08-21,10.02,10.07,10.02,10.05,23837.0
2019-08-20,9.94,10.1399,9.94,10.0,11490.0
2019-08-19,9.93,10.14,9.93,10.08,807.0
2019-08-16,9.92,10.09,9.92,9.95,3110.0
2019-08-15,9.95,9.95,9.95,9.95,1678.0
2019-08-14,9.95,10.15,9.95,9.95,3926.0
