date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,9.36,9.36,9.0,9.05,16704.0
2020-03-27,8.92,9.4527,8.4038,9.45,18828.0
2020-03-26,9.0,9.9,8.56,9.245,44092.0
2020-03-25,7.82,8.9645,7.82,8.67,43740.0
2020-03-24,7.07,8.5052,7.07,7.82,60584.0
2020-03-23,7.66,7.66,6.25,7.19,62938.0
2020-03-20,7.78,9.07,7.29,7.29,78054.0
2020-03-19,6.44,7.445,6.295,7.205,112969.0
2020-03-18,7.61,7.8599,6.2238,6.56,61100.0
2020-03-17,7.76,8.64,7.75,8.64,49538.0
2020-03-16,8.1,8.3794,7.72,7.93,76613.0
2020-03-13,8.56,9.4759,8.22,8.76,66798.0
2020-03-12,9.37,9.37,8.11,8.11,82887.0
2020-03-11,10.89,11.2035,10.0423,10.21,63227.0
2020-03-10,11.21,11.51,11.0,11.05,33762.0
2020-03-09,11.68,12.301,10.29,11.11,55858.0
2020-03-06,12.01,12.406,11.88,12.11,25730.0
2020-03-05,12.51,12.75,12.195,12.22,58199.0
2020-03-04,12.39,12.65,12.15,12.65,24733.0
2020-03-03,11.94,12.2,11.8,12.18,35379.0
2020-03-02,11.17,11.9241,11.118,11.84,78987.0
2020-02-28,11.66,11.66,10.87,11.25,123073.0
2020-02-27,12.7,12.7864,11.7101,11.86,104244.0
2020-02-26,12.86,12.89,12.7,12.74,48152.0
2020-02-25,13.39,13.39,12.7,12.86,36500.0
2020-02-24,13.37,13.4,13.13,13.39,33665.0
2020-02-21,13.41,13.44,13.4,13.44,8109.0
2020-02-20,13.44,13.49,13.381,13.4,28049.0
2020-02-19,13.39,13.44,13.39,13.44,26441.0
2020-02-18,13.44,13.4608,13.321,13.3602,27394.0
2020-02-14,13.46,13.5039,13.44,13.44,15542.0
2020-02-13,13.45,13.51,13.4,13.49,28467.0
2020-02-12,13.38,13.48,13.38,13.47,20174.0
2020-02-11,13.38,13.49,13.38,13.42,6511.0
2020-02-10,13.35,13.4,13.34,13.38,14042.0
2020-02-07,13.49,13.5,13.37,13.38,37682.0
2020-02-06,13.51,13.51,13.3815,13.5,24267.0
2020-02-05,13.28,13.44,13.28,13.355,33560.0
2020-02-04,13.23,13.23,13.08,13.2,29404.0
2020-02-03,12.97,13.13,12.96,13.05,31434.0
2020-01-31,13.18,13.2499,13.06,13.06,24594.0
2020-01-30,13.25,13.29,13.17,13.17,14733.0
2020-01-29,13.29,13.3,13.2,13.21,14732.0
2020-01-28,13.19,13.3032,13.15,13.2,29042.0
2020-01-27,13.38,13.4499,13.1655,13.19,41968.0
2020-01-24,13.49,13.5526,13.4604,13.5,12471.0
2020-01-23,13.48,13.549,13.38,13.39,33807.0
2020-01-22,13.48,13.6202,13.41,13.49,46720.0
2020-01-21,13.5,13.56,13.46,13.52,56930.0
2020-01-17,13.59,13.59,13.4758,13.56,16538.0
2020-01-16,13.52,13.57,13.4577,13.49,28655.0
2020-01-15,13.56,13.59,13.4507,13.46,25116.0
2020-01-14,13.42,13.58,13.42,13.49,24066.0
2020-01-13,13.4,13.5,13.39,13.48,17903.0
2020-01-10,13.45,13.49,13.35,13.49,10491.0
2020-01-09,13.38,13.5493,13.35,13.37,22564.0
2020-01-08,13.4,13.56,13.35,13.35,35394.0
2020-01-07,13.53,13.65,13.26,13.4,29171.0
2020-01-06,13.48,13.61,13.4,13.41,23209.0
2020-01-03,13.55,13.6243,13.48,13.52,22368.0
2020-01-02,13.47,13.64,13.45,13.55,20308.0
2019-12-31,13.31,13.4,13.24,13.4,15560.0
2019-12-30,13.57,13.6179,13.14,13.39,51690.0
2019-12-27,13.59,13.73,13.5499,13.62,21289.0
2019-12-26,13.5,13.6719,13.45,13.565,25151.0
2019-12-24,13.44,13.49,13.3,13.41,34960.0
2019-12-23,13.42,13.42,13.2017,13.42,24298.0
2019-12-20,13.26,13.4,13.2,13.34,23544.0
2019-12-19,13.22,13.2291,13.1772,13.21,5221.0
2019-12-18,13.08,13.21,13.08,13.21,17049.0
2019-12-17,13.2,13.2,13.0778,13.12,27303.0
2019-12-16,13.21,13.21,12.99,13.2,48044.0
2019-12-13,12.96,13.05,12.9462,13.05,27917.0
2019-12-12,12.69,13.04,12.69,12.85,68346.0
2019-12-11,12.74,12.82,12.67,12.82,29732.0
2019-12-10,12.65,12.8,12.65,12.79,16081.0
2019-12-09,12.85,12.95,12.57,12.64,29332.0
2019-12-06,13.02,13.0291,12.65,12.85,27444.0
2019-12-05,12.74,13.05,12.6968,13.0223,30730.0
2019-12-04,12.69,12.75,12.5838,12.68,13038.0
2019-12-03,12.87,12.878,12.56,12.695,30526.0
2019-12-02,12.85,12.9,12.66,12.9,23482.0
2019-11-29,12.66,12.85,12.66,12.85,7931.0
2019-11-27,12.85,12.8995,12.59,12.65,19926.0
2019-11-26,12.82,12.85,12.77,12.85,9870.0
2019-11-25,12.9,12.95,12.8,12.8,20464.0
2019-11-22,12.79,12.8584,12.69,12.83,17558.0
2019-11-21,12.66,12.81,12.66,12.74,34104.0
2019-11-20,12.82,12.82,12.55,12.65,31492.0
2019-11-19,12.69,12.8,12.6021,12.8,16311.0
2019-11-18,12.69,12.7,12.6,12.7,22397.0
2019-11-15,12.54,12.65,12.519,12.64,11315.0
2019-11-14,12.54,12.54,12.5,12.519,10404.0
2019-11-13,12.68,12.68,12.4,12.5464,22892.0
2019-11-12,12.57,12.65,12.54,12.65,26691.0
2019-11-11,12.4741,12.57,12.4709,12.57,23683.0
2019-11-08,12.47,12.52,12.35,12.52,26773.0
2019-11-07,12.53,12.5971,12.4722,12.54,20552.0
2019-11-06,12.46,12.63,12.44,12.5438,32318.0
2019-11-05,12.34,12.55,12.3347,12.55,18593.0
2019-11-04,12.17,12.44,12.16,12.36,58308.0
2019-11-01,12.14,12.1878,12.09,12.16,24722.0
2019-10-31,12.15,12.189,12.06,12.12,23627.0
2019-10-30,12.15,12.22,12.06,12.19,21915.0
2019-10-29,12.18,12.23,12.15,12.16,19868.0
2019-10-28,12.15,12.22,12.15,12.19,23087.0
2019-10-25,12.19,12.24,12.15,12.19,18946.0
2019-10-24,12.22,12.29,12.15,12.18,19323.0
2019-10-23,12.22,12.25,12.13,12.19,27779.0
2019-10-22,12.17,12.3,12.17,12.21,19575.0
2019-10-21,12.27,12.3,12.11,12.24,32302.0
2019-10-18,12.04,12.2,12.04,12.2,16893.0
2019-10-17,12.0,12.17,12.0,12.09,18369.0
2019-10-16,11.93,12.07,11.93,12.01,16700.0
2019-10-15,11.98,12.14,11.92,11.92,20126.0
2019-10-14,11.97,12.0201,11.97,12.02,28294.0
2019-10-11,12.08,12.1292,11.95,11.975,32444.0
2019-10-10,12.11,12.1799,12.07,12.07,26272.0
2019-10-09,12.17,12.17,12.09,12.11,17656.0
2019-10-08,12.17,12.18,12.07,12.18,17744.0
2019-10-07,12.19,12.26,12.1,12.18,14547.0
2019-10-04,12.06,12.2107,12.06,12.1,24715.0
2019-10-03,11.99,12.19,11.915,12.19,17257.0
2019-10-02,12.26,12.31,11.92,12.0,23990.0
2019-10-01,12.17,12.33,12.01,12.33,27939.0
2019-09-30,12.13,12.24,12.05,12.11,16337.0
2019-09-27,12.34,12.34,12.0,12.09,22670.0
2019-09-26,12.43,12.495,12.3,12.3,11926.0
2019-09-25,12.6,12.71,12.36,12.37,23371.0
2019-09-24,12.57,12.669,12.44,12.6,19358.0
2019-09-23,12.35,12.81,12.29,12.5713,59067.0
2019-09-20,12.33,12.61,12.243,12.45,20861.0
2019-09-19,12.33,12.33,12.15,12.31,16285.0
2019-09-18,12.34,12.4,12.291,12.34,18220.0
2019-09-17,12.36,12.44,12.17,12.35,22970.0
2019-09-16,12.29,12.43,12.2634,12.33,21933.0
2019-09-13,12.44,12.44,12.2301,12.4,15408.0
2019-09-12,12.4,12.54,12.0859,12.54,24477.0
2019-09-11,12.26,12.7,12.23,12.41,35170.0
2019-09-10,12.26,12.31,12.12,12.27,24002.0
2019-09-09,12.36,12.39,12.2,12.26,19138.0
2019-09-06,12.24,12.42,12.1501,12.27,11387.0
2019-09-05,12.04,12.23,12.0001,12.15,20965.0
2019-09-04,11.87,12.09,11.87,12.0,28210.0
2019-09-03,11.76,11.98,11.7301,11.91,21010.0
2019-08-30,11.86,12.05,11.86,11.87,23501.0
2019-08-29,11.79,11.9499,11.79,11.89,47753.0
2019-08-28,11.57,11.86,11.0,11.68,43302.0
2019-08-27,11.8,12.0299,11.61,11.68,35663.0
2019-08-26,11.93,12.16,11.8,11.8,19972.0
2019-08-23,12.15,12.24,11.8578,11.9,36932.0
2019-08-22,12.33,12.395,12.15,12.2,17003.0
2019-08-21,12.29,12.4284,12.11,12.35,13059.0
2019-08-20,12.35,12.5141,12.2,12.35,23893.0
2019-08-19,12.1,12.6,11.81,12.23,21920.0
2019-08-16,12.09,12.25,11.97,12.08,11717.0
2019-08-15,12.01,12.01,11.87,11.96,46970.0
2019-08-14,12.34,12.34,12.0,12.02,21917.0
2019-08-13,12.25,12.49,12.2,12.49,13828.0
2019-08-12,12.44,12.54,12.15,12.25,22798.0
2019-08-09,12.85,12.88,12.5,12.5,21259.0
2019-08-08,12.92,12.92,12.81,12.9,15209.0
2019-08-07,12.75,12.95,12.5,12.95,37082.0
2019-08-06,12.65,12.85,12.6,12.85,16483.0
2019-08-05,12.77,12.8624,12.5,12.55,46151.0
2019-08-02,12.78,13.1,12.78,12.85,21906.0
2019-08-01,13.03,13.07,12.8,12.84,29626.0
2019-07-31,13.03,13.07,12.9565,13.01,16649.0
2019-07-30,12.92,13.04,12.92,12.99,8188.0
2019-07-29,12.99,13.05,12.96,13.04,11309.0
2019-07-26,12.99,13.05,12.9,13.0,12234.0
2019-07-25,13.03,13.03,12.91,13.0,7837.0
2019-07-24,12.89,13.19,12.89,13.08,25077.0
2019-07-23,12.84,12.94,12.84,12.9,15166.0
2019-07-22,12.9,12.91,12.8,12.84,19510.0
2019-07-19,12.83,12.92,12.72,12.83,19938.0
2019-07-18,12.99,13.03,12.83,12.88,21165.0
2019-07-17,13.0,13.014,12.9702,13.01,15755.0
2019-07-16,13.03,13.1,12.97,13.01,14434.0
2019-07-15,12.97,13.13,12.97,13.01,10619.0
2019-07-12,13.0,13.04,12.95,12.97,33474.0
2019-07-11,13.15,13.15,12.94,12.97,18370.0
2019-07-10,13.2,13.27,13.13,13.16,28775.0
2019-07-09,13.14,13.25,13.0501,13.15,14921.0
2019-07-08,13.13,13.1907,13.11,13.16,16054.0
2019-07-05,13.17,13.19,13.1269,13.17,8724.0
2019-07-03,13.06,13.2,13.06,13.18,7844.0
2019-07-02,12.98,13.11,12.87,13.11,23416.0
2019-07-01,13.03,13.11,12.9901,13.03,11528.0
2019-06-28,12.84,12.96,12.7401,12.85,12572.0
2019-06-27,12.76,12.87,12.67,12.8,20553.0
2019-06-26,12.81,12.9,12.75,12.75,20406.0
2019-06-25,12.98,13.06,12.87,12.87,11280.0
2019-06-24,12.9,13.06,12.8901,12.98,21216.0
2019-06-21,12.9,12.95,12.85,12.87,8844.0
2019-06-20,12.86,12.92,12.74,12.85,21055.0
2019-06-19,12.57,12.76,12.57,12.75,8385.0
2019-06-18,12.63,12.68,12.55,12.63,25655.0
2019-06-17,12.93,12.95,12.57,12.6,16920.0
2019-06-14,12.93,12.93,12.85,12.8612,10706.0
2019-06-13,13.03,13.0501,12.86,12.94,31770.0
2019-06-12,13.11,13.11,12.8201,13.04,24404.0
2019-06-11,12.93,13.05,12.8025,13.0,11753.0
2019-06-10,12.71,12.81,12.51,12.81,7699.0
2019-06-07,12.55,12.7475,12.52,12.63,10022.0
2019-06-06,12.34,12.5446,12.3205,12.5,10375.0
2019-06-05,12.29,12.33,12.1952,12.33,13779.0
2019-06-04,12.11,12.25,12.11,12.24,5179.0
2019-06-03,12.19,12.19,12.0,12.0034,36806.0
2019-05-31,12.33,12.48,12.17,12.17,16568.0
2019-05-30,12.52,12.52,12.25,12.33,13562.0
2019-05-29,12.65,12.65,12.4,12.42,8316.0
2019-05-28,12.72,12.8168,12.6,12.61,8580.0
2019-05-24,12.65,12.76,12.61,12.73,16535.0
2019-05-23,12.67,12.8499,12.55,12.55,16277.0
2019-05-22,12.56,12.7836,12.56,12.7301,7185.0
2019-05-21,12.83,12.88,12.6001,12.6599,31112.0
2019-05-20,12.86,12.8982,12.71,12.85,18789.0
2019-05-17,12.8,12.94,12.7111,12.89,33891.0
2019-05-16,12.69,12.81,12.6,12.81,19420.0
2019-05-15,12.49,12.7,12.49,12.66,10854.0
2019-05-14,12.32,12.6,12.32,12.49,26763.0
2019-05-13,12.53,12.5499,12.36,12.37,22704.0
2019-05-10,12.95,12.95,12.5267,12.67,49273.0
2019-05-09,13.1,13.1,12.8076,12.9,18139.0
2019-05-08,12.95,13.0489,12.89,12.91,22495.0
2019-05-07,13.27,13.2975,12.94,13.03,41721.0
2019-05-06,13.16,13.37,13.16,13.26,27880.0
2019-05-03,13.39,13.4,13.2744,13.4,20118.0
2019-05-02,13.25,13.385,13.2301,13.24,14764.0
2019-05-01,13.46,13.46,13.2254,13.25,27079.0
2019-04-30,13.16,13.44,13.15,13.44,25533.0
2019-04-29,13.25,13.25,13.05,13.15,13804.0
2019-04-26,13.42,13.42,13.02,13.25,20669.0
2019-04-25,13.0,13.43,12.82,13.43,20404.0
2019-04-24,13.1,13.1,12.81,12.87,24032.0
2019-04-23,12.98,13.1718,12.9255,13.04,26821.0
2019-04-22,13.01,13.14,12.8556,13.0,39935.0
2019-04-18,12.96,12.99,12.86,12.95,25793.0
2019-04-17,12.89,12.95,12.8012,12.87,23728.0
2019-04-16,12.66,13.14,12.53,12.85,51139.0
2019-04-15,12.41,12.6549,12.41,12.63,23643.0
2019-04-12,12.63,12.65,12.4,12.4,14625.0
2019-04-11,12.7,12.7,12.37,12.69,54418.0
2019-04-10,12.63,12.91,12.5798,12.72,17510.0
2019-04-09,12.47,12.62,12.32,12.62,30241.0
2019-04-08,12.41,12.4899,12.23,12.395,19207.0
2019-04-05,12.4,12.55,12.39,12.4,24491.0
