date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.5,0.51,0.4809,0.5094,1376808.0
2020-04-23,0.515,0.52,0.4625,0.49,2170735.0
2020-04-22,0.525,0.535,0.51,0.52,1938874.0
2020-04-21,0.55,0.55,0.49,0.5294,2559560.0
2020-04-20,0.469,0.59,0.44,0.555,12363381.0
2020-04-17,0.95,1.04,0.9264,1.03,91654.0
2020-04-16,0.9852,1.08,0.87,0.929,79273.0
2020-04-15,0.98,1.16,0.89,1.03,68071.0
2020-04-14,0.9136,0.98,0.87,0.9303,54920.0
2020-04-13,0.92,0.9499,0.86,0.9,32201.0
2020-04-09,0.9,0.95,0.89,0.9001,73310.0
2020-04-08,0.85,0.9,0.85,0.8987,32728.0
2020-04-07,0.9,0.925,0.83,0.85,57158.0
2020-04-06,1.0,1.03,0.8,0.89,274022.0
2020-04-03,1.05,1.09,1.0,1.04,77747.0
2020-04-02,1.15,1.15,1.05,1.09,16987.0
2020-04-01,1.17,1.18,1.09,1.16,2640.0
2020-03-31,1.08,1.19,1.08,1.17,92038.0
2020-03-30,1.15,1.2,1.0676,1.08,20077.0
2020-03-27,1.07,1.15,1.0,1.15,65972.0
2020-03-26,1.06,1.18,1.04,1.0501,16382.0
2020-03-25,1.11,1.11,0.99,1.04,68266.0
2020-03-24,1.05,1.09,0.98,1.04,25471.0
2020-03-23,1.12,1.17,0.9401,1.03,66200.0
2020-03-20,1.01,1.2,1.01,1.14,94900.0
2020-03-19,0.86,0.95,0.85,0.91,49892.0
2020-03-18,1.12,1.12,0.64,0.8602,180432.0
2020-03-17,1.21,1.28,1.05,1.17,185946.0
2020-03-16,1.33,1.33,1.1,1.1967,151042.0
2020-03-13,1.3,1.37,1.28,1.28,36816.0
2020-03-12,1.3,1.3181,1.2,1.3,83292.0
2020-03-11,1.35,1.4464,1.3,1.32,16125.0
2020-03-10,1.4,1.5,1.34,1.38,59774.0
2020-03-09,1.4,1.5499,1.3,1.38,121415.0
2020-03-06,1.5,1.5074,1.41,1.41,74565.0
2020-03-05,1.55,1.59,1.5,1.52,66526.0
2020-03-04,1.55,1.6397,1.5106,1.5699,49893.0
2020-03-03,1.5,1.7,1.5,1.5277,10716.0
2020-03-02,1.55,1.57,1.5002,1.51,29791.0
2020-02-28,1.49,1.5916,1.46,1.48,71992.0
2020-02-27,1.51,1.64,1.46,1.55,142958.0
2020-02-26,1.65,1.65,1.54,1.56,54352.0
2020-02-25,1.7,1.7013,1.56,1.6,73650.0
2020-02-24,1.73,1.73,1.5,1.68,114442.0
2020-02-21,1.92,1.92,1.66,1.72,108089.0
2020-02-20,1.74,1.85,1.69,1.75,32896.0
2020-02-19,1.67,1.7252,1.6625,1.715,26788.0
2020-02-18,1.67,1.7199,1.65,1.66,33084.0
2020-02-14,1.75,1.76,1.66,1.75,28221.0
2020-02-13,1.74,1.7993,1.51,1.64,78040.0
2020-02-12,1.77,1.86,1.71,1.78,28643.0
2020-02-11,1.81,1.9299,1.76,1.78,57566.0
2020-02-10,1.8,1.8754,1.8,1.84,6927.0
2020-02-07,1.9,1.98,1.82,1.84,71535.0
2020-02-06,1.83,1.98,1.77,1.9,81152.0
2020-02-05,1.85,1.9,1.85,1.8607,11570.0
2020-02-04,1.8,1.9283,1.8,1.85,65212.0
2020-02-03,1.87,1.9199,1.81,1.83,43915.0
2020-01-31,2.0,2.13,1.73,1.87,329265.0
2020-01-30,2.14,2.16,2.1,2.1397,23986.0
2020-01-29,2.11,2.24,2.11,2.16,42227.0
2020-01-28,2.08,2.29,2.08,2.15,93366.0
2020-01-27,2.13,2.14,2.05,2.1,48183.0
2020-01-24,2.08,2.18,2.04,2.17,33437.0
2020-01-23,2.11,2.14,2.0205,2.1052,71603.0
2020-01-22,2.05,2.15,2.04,2.11,50772.0
2020-01-21,2.07,2.16,2.03,2.055,101833.0
2020-01-17,1.99,2.09,1.98,2.0302,36490.0
2020-01-16,2.0,2.0,1.98,1.99,57826.0
2020-01-15,1.98,2.0,1.97,1.9987,138695.0
2020-01-14,2.0,2.0,1.92,1.97,57997.0
2020-01-13,2.15,2.29,1.98,1.9999,255549.0
2020-01-10,2.1,2.1,2.0008,2.01,198303.0
2020-01-09,1.85,2.37,1.85,2.24,482046.0
2020-01-08,1.72,1.8298,1.72,1.82,43092.0
2020-01-07,1.71,1.81,1.7,1.75,97052.0
2020-01-06,1.75,1.75,1.7,1.7,23599.0
2020-01-03,1.72,1.76,1.7145,1.73,22998.0
2020-01-02,1.74,1.8027,1.7,1.73,26108.0
2019-12-31,1.71,1.78,1.7,1.72,74036.0
2019-12-30,1.75,1.77,1.61,1.68,312649.0
2019-12-27,1.74,1.8,1.72,1.75,200127.0
2019-12-26,1.73,1.755,1.72,1.7448,69941.0
2019-12-24,1.75,1.75,1.7202,1.7499,62717.0
2019-12-23,1.68,1.74,1.6,1.73,81425.0
2019-12-20,1.75,1.75,1.65,1.6683,69906.0
2019-12-19,1.56,1.78,1.51,1.6957,158680.0
2019-12-18,1.53,1.6,1.47,1.5596,64699.0
2019-12-17,1.43,1.5,1.42,1.42,29191.0
2019-12-16,1.5,1.5506,1.3901,1.46,31903.0
2019-12-13,1.59,1.59,1.51,1.51,10653.0
2019-12-12,1.51,1.58,1.49,1.52,14723.0
2019-12-11,1.48,1.65,1.38,1.54,47411.0
2019-12-10,1.43,1.5,1.39,1.5,31732.0
2019-12-09,1.37,1.44,1.37,1.44,16243.0
2019-12-06,1.36,1.4311,1.36,1.39,18445.0
2019-12-05,1.36,1.43,1.35,1.35,14665.0
2019-12-04,1.44,1.44,1.35,1.3648,40166.0
2019-12-03,1.38,1.4,1.35,1.39,29386.0
2019-12-02,1.38,1.43,1.38,1.38,28040.0
2019-11-29,1.4117,1.4117,1.28,1.34,19558.0
2019-11-27,1.4,1.4,1.28,1.31,78873.0
2019-11-26,1.42,1.455,1.2925,1.36,120188.0
2019-11-25,1.5,1.5,1.44,1.4566,36584.0
2019-11-22,1.46,1.51,1.45,1.4955,41637.0
2019-11-21,1.5,1.55,1.47,1.476,53414.0
2019-11-20,1.5201,1.5605,1.51,1.51,18088.0
2019-11-19,1.47,1.55,1.47,1.51,16913.0
2019-11-18,1.45,1.57,1.45,1.5,41019.0
2019-11-15,1.52,1.61,1.35,1.5096,81563.0
2019-11-14,1.6,1.61,1.52,1.53,38584.0
2019-11-13,1.6,1.62,1.56,1.56,49751.0
2019-11-12,1.68,1.6864,1.61,1.636,54244.0
2019-11-11,1.83,1.83,1.61,1.66,80463.0
2019-11-08,1.86,1.86,1.7,1.7501,18615.0
2019-11-07,1.76,1.87,1.65,1.87,105078.0
2019-11-06,1.74,1.89,1.6601,1.75,34151.0
2019-11-05,1.82,1.82,1.75,1.75,22195.0
2019-11-04,1.8,1.8451,1.7575,1.77,7182.0
2019-11-01,1.72,1.87,1.7,1.797,29852.0
2019-10-31,1.7,1.83,1.7,1.714,56041.0
2019-10-30,1.81,1.86,1.7,1.7,53889.0
2019-10-29,1.87,1.92,1.8211,1.8275,21877.0
2019-10-28,1.92,1.98,1.85,1.87,71347.0
2019-10-25,1.78,2.0775,1.66,1.95,127410.0
2019-10-24,1.78,1.78,1.6556,1.74,28119.0
2019-10-23,1.63,1.72,1.63,1.7,44508.0
2019-10-22,1.73,1.74,1.55,1.7,67863.0
2019-10-21,1.73,1.84,1.7155,1.74,14132.0
2019-10-18,1.72,1.87,1.67,1.74,166284.0
2019-10-17,1.86,1.9304,1.6,1.6,374933.0
2019-10-16,1.9,2.05,1.9,1.9786,88052.0
2019-10-15,1.8601,1.94,1.86,1.93,16927.0
2019-10-14,1.89,1.89,1.86,1.86,19327.0
2019-10-11,1.91,1.95,1.88,1.88,12609.0
2019-10-10,1.9,1.9292,1.88,1.89,16769.0
2019-10-09,1.9,1.9,1.88,1.88,12996.0
2019-10-08,1.88,1.97,1.88,1.93,7004.0
2019-10-07,1.9,1.9,1.87,1.89,16795.0
2019-10-04,1.86,1.9,1.86,1.88,4868.0
2019-10-03,1.86,1.9,1.86,1.875,11449.0
2019-10-02,1.9,1.9,1.86,1.86,38313.0
2019-10-01,1.9,1.95,1.88,1.89,25959.0
2019-09-30,1.92,1.9445,1.88,1.88,33290.0
2019-09-27,1.94,1.96,1.91,1.95,50848.0
2019-09-26,1.95,2.0092,1.92,1.94,25579.0
2019-09-25,1.9664,2.0,1.93,1.97,21591.0
2019-09-24,2.01,2.01,1.92,1.94,48673.0
2019-09-23,1.99,2.01,1.95,1.97,9674.0
2019-09-20,2.01,2.07,1.94,2.02,18443.0
2019-09-19,1.98,2.07,1.965,1.98,40269.0
2019-09-18,2.03,2.03,1.97,2.01,19291.0
2019-09-17,2.08,2.08,2.0299,2.03,25400.0
2019-09-16,2.1,2.1,2.06,2.06,11825.0
2019-09-13,2.03,2.12,2.03,2.1,18185.0
2019-09-12,2.1,2.14,2.02,2.06,32318.0
2019-09-11,2.01,2.12,1.93,2.1062,74567.0
2019-09-10,1.86,1.99,1.86,1.99,36053.0
2019-09-09,1.86,1.8959,1.86,1.88,55177.0
2019-09-06,1.9,1.92,1.86,1.87,59577.0
2019-09-05,1.95,1.95,1.9,1.9,28522.0
2019-09-04,1.97,2.02,1.92,1.935,26658.0
2019-09-03,2.0,2.03,1.89,1.99,106919.0
2019-08-30,2.03,2.0559,2.0,2.02,10299.0
2019-08-29,2.02,2.05,2.0,2.0,23089.0
2019-08-28,2.03,2.03,1.96,2.03,31204.0
2019-08-27,2.01,2.03,2.0,2.0,17049.0
2019-08-26,2.02,2.05,2.0,2.0,12250.0
2019-08-23,2.03,2.11,1.9868,1.99,21520.0
2019-08-22,2.09,2.09,1.99,2.07,18549.0
2019-08-21,2.09,2.1,2.03,2.03,56370.0
2019-08-20,2.0399,2.1,1.98,2.03,24168.0
2019-08-19,2.15,2.15,1.96,1.96,48786.0
2019-08-16,1.92,1.94,1.9,1.94,33405.0
2019-08-15,1.92,1.94,1.9,1.91,107563.0
2019-08-14,1.95,1.98,1.9,1.9199,46749.0
2019-08-13,2.0,2.05,1.95,1.96,25316.0
