date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,10.54,11.335,10.32,10.49,7244835.0
2020-04-08,10.32,10.57,9.95,10.48,4418495.0
2020-04-07,10.15,10.5,9.62,10.11,8608404.0
2020-04-06,9.25,9.63,8.96,9.56,10350537.0
2020-04-03,9.21,9.69,8.72,8.8,5428053.0
2020-04-02,8.93,9.75,8.93,9.25,4768630.0
2020-04-01,9.73,9.76,8.72,9.05,7395966.0
2020-03-31,11.01,11.1,9.99,9.99,5439058.0
2020-03-30,10.24,11.3,9.5,11.12,8201373.0
2020-03-27,9.49,10.49,9.22,10.09,15787886.0
2020-03-26,10.29,10.59,9.42,9.77,10647851.0
2020-03-25,9.49,10.2,8.92,10.04,7635876.0
2020-03-24,8.69,9.47,8.49,9.25,12952965.0
2020-03-23,7.73,8.39,7.6,8.16,8085707.0
2020-03-20,7.71,7.88,7.22,7.82,11263503.0
2020-03-19,6.76,7.61,6.18,7.47,8248485.0
2020-03-18,7.28,7.73,6.43,6.86,12853100.0
2020-03-17,9.07,9.15,6.665,7.78,26433295.0
2020-03-16,9.26,9.28,8.51,8.93,16202899.0
2020-03-13,10.77,11.01,10.29,10.8,22495358.0
2020-03-12,10.26,10.75,9.5,10.11,12817043.0
2020-03-11,12.01,12.71,11.33,11.44,14290860.0
2020-03-10,13.61,13.615,11.94,12.47,30614833.0
2020-03-09,12.25,12.62,11.14,11.76,24556284.0
2020-03-06,13.13,13.4546,12.44,13.1,24926548.0
2020-03-05,13.81,14.47,13.07,13.49,20984148.0
2020-03-04,14.27,14.39,13.84,14.07,16262318.0
2020-03-03,14.3,14.59,13.79,13.89,24825430.0
2020-03-02,13.69,14.42,13.64,14.33,12080874.0
2020-02-28,13.58,13.94,13.22,13.59,11419667.0
2020-02-27,14.64,14.75,14.0,14.0,11647055.0
2020-02-26,15.08,15.32,14.76,14.9,6667977.0
2020-02-25,15.45,15.61,14.91,15.03,6521068.0
2020-02-24,15.59,15.79,15.375,15.42,6317371.0
2020-02-21,15.82,16.07,15.65,16.01,7417153.0
2020-02-20,15.72,15.92,15.53,15.86,6943226.0
2020-02-19,16.04,16.04,15.51,15.75,6192569.0
2020-02-18,16.14,16.14,15.87,15.94,5583906.0
2020-02-14,16.11,16.16,15.85,16.1,8843287.0
2020-02-13,15.68,16.14,15.38,16.03,14586730.0
2020-02-12,15.74,15.94,15.485,15.86,9679972.0
2020-02-11,15.77,15.94,15.44,15.63,6240991.0
2020-02-10,16.09,16.09,15.2,15.7,9944529.0
2020-02-07,16.7,17.09,16.12,16.12,2137370.0
2020-02-06,15.96,16.83,15.94,16.69,5385275.0
2020-02-05,15.97,16.42,15.805,15.87,3794733.0
2020-02-04,15.67,16.065,15.48,15.84,2661379.0
2020-02-03,15.65,16.0,15.45,15.45,546496.0
2020-01-31,15.88,16.12,15.17,15.52,1754910.0
2020-01-30,15.96,16.23,15.64,15.94,2887950.0
2020-01-29,16.0,16.45,15.89,16.0,1301343.0
2020-01-28,16.27,16.4,15.915,16.0,1143316.0
2020-01-27,15.78,16.44,15.41,16.18,805984.0
2020-01-24,16.69,16.9,15.97,16.01,1759074.0
2020-01-23,17.06,17.17,16.46,16.65,1091446.0
2020-01-22,17.11,17.57,17.03,17.06,993471.0
2020-01-21,16.55,17.3,16.261,17.26,2123589.0
2020-01-17,16.4,16.9,16.4,16.77,2435337.0
2020-01-16,16.22,16.48,16.1,16.35,2211294.0
2020-01-15,16.5,17.0,15.85,16.16,3623947.0
2020-01-14,15.73,16.52,15.5385,16.5,2243085.0
2020-01-13,15.56,15.9,15.41,15.73,1456423.0
2020-01-10,15.73,16.06,15.51,15.67,1706362.0
2020-01-09,15.99,15.99,15.45,15.6,1237821.0
2020-01-08,15.73,16.01,15.64,15.86,787231.0
2020-01-07,15.65,15.92,15.55,15.65,783709.0
2020-01-06,15.59,15.74,15.31,15.66,1304123.0
2020-01-03,15.66,15.96,15.52,15.74,935499.0
2020-01-02,16.48,16.68,15.89,16.02,791101.0
2019-12-31,16.15,16.73,16.01,16.39,1328975.0
2019-12-30,16.02,16.28,15.8,16.16,546054.0
2019-12-27,15.87,16.3808,15.76,15.995,1333608.0
2019-12-26,15.64,15.88,15.51,15.66,416123.0
2019-12-24,15.72,15.73,15.45,15.64,184292.0
2019-12-23,15.21,15.73,15.21,15.64,1092322.0
2019-12-20,14.98,15.26,14.75,15.15,1670993.0
2019-12-19,14.75,15.125,14.63,14.69,932070.0
2019-12-18,14.17,15.09,14.14,14.78,2322384.0
2019-12-17,13.7,14.46,13.62,14.2,1365291.0
2019-12-16,13.76,13.9,13.59,13.66,1049146.0
2019-12-13,13.89,13.99,13.6,13.67,717694.0
2019-12-12,14.04,14.22,13.81,13.98,809621.0
2019-12-11,13.85,14.235,13.75,14.07,701693.0
2019-12-10,13.99,14.18,13.69,13.91,1238287.0
2019-12-09,13.91,14.115,13.83,14.05,2427541.0
2019-12-06,13.18,14.2,13.07,14.04,1298111.0
2019-12-05,13.2,13.43,13.09,13.2,1303204.0
2019-12-04,13.29,13.48,13.04,13.16,971124.0
2019-12-03,13.25,13.43,13.21,13.3,1112932.0
2019-12-02,13.33,13.665,13.33,13.38,790339.0
2019-11-29,13.58,13.72,13.295,13.38,743246.0
2019-11-27,13.48,13.7,13.25,13.62,624061.0
2019-11-26,13.11,13.74,13.01,13.44,2028711.0
2019-11-25,13.19,13.2,12.93,13.1,550348.0
2019-11-22,13.42,13.42,13.19,13.22,413899.0
2019-11-21,13.2,13.35,12.86,13.25,2393005.0
2019-11-20,13.19,13.3,12.99,13.2,1043051.0
2019-11-19,13.0,13.34,12.84,13.24,1419846.0
2019-11-18,13.48,13.53,12.85,12.97,735116.0
2019-11-15,14.07,14.08,13.33,13.53,1688445.0
2019-11-14,13.26,14.32,13.26,13.9,1648301.0
2019-11-13,13.16,13.58,13.02,13.18,914496.0
2019-11-12,13.25,13.35,12.9,13.17,712410.0
2019-11-11,12.98,13.43,12.98,13.2,454806.0
2019-11-08,12.78,13.07,12.5,13.07,584878.0
2019-11-07,12.8,12.91,12.585,12.75,499162.0
2019-11-06,12.87,13.04,12.65,12.72,321307.0
2019-11-05,12.95,13.09,12.64,12.89,918332.0
2019-11-04,13.39,13.46,12.83,12.95,315027.0
2019-11-01,13.25,13.57,13.015,13.4,482131.0
2019-10-31,12.95,13.25,12.835,13.22,456683.0
2019-10-30,12.88,13.04,12.74,12.95,375088.0
2019-10-29,12.74,13.1,12.66,12.9,682790.0
2019-10-28,12.73,12.92,12.61,12.75,397271.0
2019-10-25,12.97,13.0,12.55,12.66,482451.0
2019-10-24,12.91,13.14,12.72,13.05,807297.0
2019-10-23,12.81,12.99,12.72,12.93,396099.0
2019-10-22,13.01,13.24,12.73,12.86,578327.0
2019-10-21,12.74,13.02,12.72,13.01,364796.0
2019-10-18,12.92,13.07,12.645,12.71,522747.0
2019-10-17,12.89,13.035,12.81,12.97,279039.0
2019-10-16,12.74,12.94,12.52,12.91,344209.0
2019-10-15,12.41,12.98,12.36,12.74,557427.0
2019-10-14,12.64,12.82,12.125,12.39,692158.0
2019-10-11,12.69,12.9,12.43,12.72,555664.0
2019-10-10,12.06,12.7,12.06,12.68,947028.0
2019-10-09,11.95,12.28,11.925,12.095,626966.0
2019-10-08,12.01,12.15,11.77,11.96,923803.0
2019-10-07,12.13,12.63,11.85,12.09,822274.0
2019-10-04,11.78,12.18,11.69,12.14,983574.0
2019-10-03,11.86,11.89,11.25,11.77,1229905.0
2019-10-02,12.12,12.24,11.7,11.94,1589736.0
2019-10-01,12.18,12.37,11.71,12.18,749328.0
2019-09-30,11.75,12.35,11.6,12.08,1252236.0
2019-09-27,12.41,12.51,11.77,11.78,1401077.0
2019-09-26,12.66,12.92,12.26,12.37,1331662.0
2019-09-25,13.1,13.25,12.55,12.56,2403695.0
2019-09-24,13.14,13.29,13.01,13.05,1225720.0
2019-09-23,13.21,13.23,12.91,13.17,1897332.0
2019-09-20,12.85,13.49,12.69,13.24,6167077.0
2019-09-19,12.78,13.03,12.63,12.85,1212186.0
2019-09-18,13.57,13.71,12.7,12.78,4920583.0
2019-09-17,13.63,13.84,13.41,13.57,1118922.0
2019-09-16,13.61,13.75,13.42,13.69,753087.0
2019-09-13,13.29,13.75,12.94,13.67,1301339.0
2019-09-12,12.33,13.43,12.33,13.32,1562042.0
2019-09-11,11.58,12.41,11.58,12.34,2008494.0
2019-09-10,12.06,12.66,11.24,11.5,2011032.0
2019-09-09,13.0,13.0,11.46,11.99,1971734.0
2019-09-06,13.72,13.89,12.96,12.99,819664.0
2019-09-05,13.92,14.04,13.57,13.75,364757.0
2019-09-04,13.91,14.2,13.73,13.82,682087.0
2019-09-03,13.95,14.27,13.74,13.81,1193239.0
2019-08-30,14.09,14.16,13.75,14.03,661347.0
2019-08-29,13.88,14.18,13.68,14.06,1207704.0
2019-08-28,13.55,13.915,13.11,13.79,1558845.0
2019-08-27,14.3,14.3,13.61,13.64,876356.0
2019-08-26,14.48,14.65,14.2,14.27,761466.0
2019-08-23,14.19,14.71,14.14,14.4,661963.0
2019-08-22,15.22,15.24,14.22,14.23,1615477.0
2019-08-21,15.06,15.31,15.0,15.19,1056356.0
2019-08-20,15.41,15.5,15.0,15.06,1239788.0
2019-08-19,14.8,15.38,14.54,15.2,1688090.0
2019-08-16,14.0,14.79,13.92,14.73,2622092.0
2019-08-15,13.2,14.41,13.2,14.1,2849105.0
2019-08-14,13.24,13.44,12.77,13.16,5299341.0
2019-08-13,13.1,13.2,12.04,12.07,2023930.0
2019-08-12,13.15,13.275,13.01,13.09,784359.0
2019-08-09,13.36,13.41,13.0,13.2,574405.0
2019-08-08,13.23,13.4769,13.07,13.35,700131.0
2019-08-07,13.21,13.35,12.9575,13.15,1443267.0
2019-08-06,13.18,13.47,13.18,13.33,680578.0
2019-08-05,13.03,13.39,12.8647,13.14,1417510.0
2019-08-02,13.52,13.55,12.79,13.16,1406569.0
2019-08-01,13.87,13.94,12.91,13.54,2147221.0
2019-07-31,14.04,14.2928,13.9,13.93,1068967.0
2019-07-30,14.37,14.37,14.0,14.04,1458660.0
2019-07-29,14.42,14.61,14.1501,14.46,895064.0
2019-07-26,14.3,14.7042,14.125,14.48,722224.0
2019-07-25,14.22,14.48,14.085,14.28,521801.0
2019-07-24,14.6,14.75,13.85,14.22,1511619.0
2019-07-23,14.07,14.73,13.9039,14.61,1464949.0
2019-07-22,13.77,14.02,13.2607,14.0,2164576.0
2019-07-19,13.6,13.69,13.41,13.5,686673.0
2019-07-18,13.85,14.0,13.28,13.62,1926988.0
2019-07-17,14.35,14.35,13.55,14.01,963681.0
2019-07-16,14.72,14.72,13.97,14.28,1042797.0
2019-07-15,14.85,15.07,14.46,14.8,364456.0
2019-07-12,14.82,15.05,14.66,14.84,314096.0
2019-07-11,14.7,15.04,14.63,14.87,1643381.0
2019-07-10,14.82,15.22,14.59,14.65,1423953.0
2019-07-09,14.84,14.96,14.7,14.81,2653401.0
2019-07-08,14.9,15.1,14.65,14.77,1740322.0
2019-07-05,14.9,15.15,14.75,14.93,613095.0
2019-07-03,14.5,15.2,14.47,14.88,5208275.0
2019-07-02,14.45,14.8,14.24,14.5,1939723.0
2019-07-01,15.0,15.0,14.08,14.4,2486847.0
2019-06-28,14.72,15.3,14.32,14.6,4175861.0
2019-06-27,14.0,15.19,13.53,15.0,18259463.0
