date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,9.8,9.8,9.8,9.8,5782.0
2020-04-23,9.78,9.78,9.78,9.78,100065.0
2020-04-22,9.8,9.8,9.78,9.78,36455.0
2020-04-21,9.72,9.83,9.72,9.83,8300.0
2020-04-20,9.72,9.72,9.7,9.7,706433.0
2020-04-17,9.7,9.7,9.7,9.7,4.0
2020-04-16,9.7,9.7,9.7,9.7,1078.0
2020-04-15,9.83,9.83,9.83,9.83,0.0
2020-04-14,9.6,9.83,9.6,9.83,11100.0
2020-04-13,9.83,9.83,9.83,9.83,22.0
2020-04-09,9.83,9.83,9.83,9.83,22.0
2020-04-08,9.83,9.83,9.83,9.83,0.0
2020-04-07,9.83,9.83,9.83,9.83,1.0
2020-04-06,9.83,9.83,9.83,9.83,1.0
2020-04-03,9.83,9.83,9.83,9.83,2.0
2020-04-02,9.83,9.83,9.83,9.83,0.0
2020-04-01,9.47,9.83,9.47,9.83,1410.0
2020-03-31,9.7,9.7,9.7,9.7,1860106.0
2020-03-30,9.7,9.7,9.7,9.7,1200.0
2020-03-27,9.77,9.77,9.77,9.77,12.0
2020-03-26,9.49,9.8,9.49,9.77,5416.0
2020-03-25,9.5,9.5,9.5,9.5,5315.0
2020-03-24,9.35,9.75,9.35,9.72,1405.0
2020-03-23,9.4,9.53,9.2,9.53,138301.0
2020-03-20,9.51,9.51,9.4,9.4,154302.0
2020-03-19,9.42,9.5,9.41,9.5,4054.0
2020-03-18,9.45,9.45,9.45,9.45,124.0
2020-03-17,9.5,9.5,9.5,9.5,0.0
2020-03-16,9.51,9.7,9.49,9.5,58812.0
2020-03-13,9.72,9.72,9.63,9.685,1081035.0
2020-03-12,9.8,9.8,9.7,9.795,312705.0
2020-03-11,9.9,9.9,9.81,9.86,574239.0
2020-03-10,9.88,9.92,9.88,9.9,611121.0
2020-03-09,9.9,9.9,9.78,9.78,100387.0
2020-03-06,9.92,9.92,9.8,9.81,53600.0
2020-03-05,9.95,9.95,9.92,9.92,66702.0
2020-03-04,9.95,9.95,9.92,9.95,200338.0
2020-03-03,9.92,9.92,9.92,9.92,36.0
2020-03-02,9.91,9.94,9.9,9.92,113200.0
2020-02-28,9.98,9.98,9.98,9.98,119.0
2020-02-27,9.98,9.98,9.98,9.98,6.0
2020-02-26,9.95,10.0,9.95,9.98,11263.0
2020-02-25,10.0,10.0,10.0,10.0,206.0
2020-02-24,10.01,10.02,10.0,10.0,111501.0
2020-02-21,10.0,10.0,10.0,10.0,450012.0
2020-02-20,10.02,10.02,10.02,10.02,62.0
2020-02-19,9.95,10.02,9.95,10.02,10242.0
2020-02-18,9.96,10.02,9.96,10.02,114698.0
2020-02-14,9.95,9.99,9.95,9.99,39313.0
2020-02-13,9.99,9.99,9.99,9.99,4.0
2020-02-12,9.96,10.0,9.96,9.99,115613.0
2020-02-11,9.99,9.99,9.96,9.96,850103.0
2020-02-10,9.95,9.95,9.95,9.95,100019.0
2020-02-07,9.95,9.95,9.95,9.95,338579.0
2020-02-06,9.94,9.94,9.94,9.94,25.0
2020-02-05,9.94,9.94,9.94,9.94,383702.0
2020-02-04,9.9,9.9,9.9,9.9,4030.0
2020-02-03,9.92,9.92,9.92,9.92,15.0
2020-01-31,9.92,9.92,9.92,9.92,2.0
2020-01-29,9.92,9.92,9.92,9.92,0.0
2020-01-28,9.92,9.92,9.92,9.92,0.0
2020-01-27,9.92,9.92,9.92,9.92,10.0
2020-01-24,9.92,9.92,9.92,9.92,0.0
2020-01-23,9.92,9.92,9.92,9.92,10.0
2020-01-22,9.8,9.95,9.8,9.92,380100.0
2020-01-21,9.98,9.99,9.95,9.99,1610.0
2020-01-17,9.92,9.92,9.92,9.92,25000.0
2020-01-16,9.89,9.9,9.88,9.9,350000.0
2020-01-15,9.87,9.87,9.87,9.87,0.0
2020-01-14,9.87,9.87,9.87,9.87,0.0
2020-01-13,9.87,9.87,9.87,9.87,215000.0
2020-01-10,9.9,9.9,9.9,9.9,140000.0
