date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,24.24,24.86,23.8144,24.64,28660.0
2020-03-27,24.5,24.5,23.5,23.8195,33503.0
2020-03-26,24.76,25.01,24.25,24.8,25222.0
2020-03-25,22.27,25.01,22.27,24.3,28414.0
2020-03-24,19.78,22.64,19.78,21.76,47483.0
2020-03-23,20.97,21.16,17.2,18.54,55239.0
2020-03-20,19.4,23.19,19.4,21.74,48300.0
2020-03-19,15.19,21.7504,15.03,19.09,63840.0
2020-03-18,22.44,22.787,16.02,16.23,96958.0
2020-03-17,23.82,24.35,22.847,23.25,52752.0
2020-03-16,24.6,24.9217,23.86,23.86,52881.0
2020-03-13,25.25,25.6,24.61,25.26,41555.0
2020-03-12,25.36,26.07,24.5,25.0,47202.0
2020-03-11,26.38,26.38,25.2801,26.13,33163.0
2020-03-10,26.68,27.2482,25.65,26.25,51029.0
2020-03-09,26.4,26.65,25.76,26.015,67226.0
2020-03-06,26.65,26.96,26.48,26.7,63275.0
2020-03-05,26.61,26.8112,26.61,26.74,28026.0
2020-03-04,26.87,26.9,26.58,26.77,17880.0
2020-03-03,26.72,27.2987,26.22,26.35,62341.0
2020-03-02,26.47,27.15,26.45,26.45,26407.0
2020-02-28,27.04,27.1581,26.15,26.15,50811.0
2020-02-27,27.24,27.52,27.13,27.13,17153.0
2020-02-26,27.56,28.08,27.0649,27.37,39163.0
2020-02-25,27.8,27.91,27.25,27.25,30923.0
2020-02-24,28.25,28.25,27.67,27.67,8106.0
2020-02-21,28.58,28.59,28.1101,28.14,19922.0
2020-02-20,28.49,28.59,28.0039,28.59,10365.0
2020-02-19,28.59,28.59,28.27,28.41,13146.0
2020-02-18,28.47,28.54,28.38,28.52,11502.0
2020-02-14,28.47,28.47,28.1796,28.36,4667.0
2020-02-13,27.98,28.47,27.98,28.47,22171.0
2020-02-12,28.21,28.21,27.85,27.9073,16707.0
2020-02-11,28.43,28.4642,28.07,28.215,26185.0
2020-02-10,28.26,28.35,28.0,28.33,7358.0
2020-02-07,28.04,28.27,27.99,28.18,27465.0
2020-02-06,28.17,28.17,27.82,27.92,22391.0
2020-02-05,28.17,28.17,27.81,28.05,16611.0
2020-02-04,28.14,28.14,27.9508,27.9508,17839.0
2020-02-03,28.28,28.28,27.9625,28.06,26310.0
2020-01-31,28.34,28.4881,28.01,28.1,20369.0
2020-01-30,28.26,28.3,28.05,28.07,23418.0
2020-01-29,28.19,28.4,28.1,28.29,9850.0
2020-01-28,27.99,28.1,27.7764,27.9916,7912.0
2020-01-27,28.11,28.11,27.832,27.98,9377.0
2020-01-24,27.99,28.2296,27.9,28.0,12070.0
2020-01-23,28.07,28.2061,27.79,27.79,12709.0
2020-01-22,28.0,28.37,27.9,27.95,65682.0
2020-01-21,27.99,28.4232,27.7318,28.1,18233.0
2020-01-17,28.25,28.25,27.76,27.76,13472.0
2020-01-16,28.64,28.672,27.6001,28.3,17510.0
2020-01-15,28.61,28.7,28.51,28.67,14157.0
2020-01-14,28.69,28.7409,28.5718,28.67,18476.0
2020-01-13,28.18,28.94,27.61,28.55,23871.0
2020-01-10,27.85,28.15,27.52,28.0842,14180.0
2020-01-09,28.0,28.0,27.82,27.85,13604.0
2020-01-08,27.63,27.94,27.63,27.94,12672.0
2020-01-07,27.74,27.75,27.5,27.5,15699.0
2020-01-06,27.74,27.8218,27.65,27.74,21520.0
2020-01-03,27.14,27.79,27.14,27.79,16298.0
2020-01-02,27.32,27.62,27.1964,27.62,8648.0
2019-12-31,27.26,27.33,27.0399,27.24,14921.0
2019-12-30,27.15,27.1801,26.97,27.099,10037.0
2019-12-27,27.28,27.28,26.92,27.02,13154.0
2019-12-26,27.25,27.31,27.0762,27.21,5155.0
2019-12-24,27.09,27.15,27.01,27.15,6678.0
2019-12-23,26.99,27.09,26.851,27.04,10903.0
2019-12-20,27.0,27.0,26.91,26.91,11611.0
2019-12-19,27.12,27.14,26.92,26.92,13623.0
2019-12-18,27.11,27.25,26.79,27.25,10775.0
2019-12-17,27.11,27.12,26.8524,27.11,12242.0
2019-12-16,26.94,27.1,26.8601,27.04,12354.0
2019-12-13,27.01,27.13,27.01,27.13,19888.0
2019-12-12,27.13,27.13,26.92,27.0084,13039.0
2019-12-11,26.97,27.14,26.9163,27.12,14889.0
2019-12-10,26.86,26.99,26.8361,26.9531,13496.0
2019-12-09,26.92,27.0,26.77,26.86,14155.0
2019-12-06,26.77,26.946,26.7173,26.855,20707.0
2019-12-05,26.99,26.99,26.7,26.73,23349.0
2019-12-04,27.08,27.08,26.84,26.93,16951.0
2019-12-03,27.1,27.2,26.88,26.88,20045.0
2019-12-02,27.34,27.4,27.0352,27.0851,12637.0
2019-11-29,27.55,27.7657,27.27,27.29,54334.0
2019-11-27,27.96,28.1181,27.519,27.55,36558.0
2019-11-26,28.25,28.28,27.805,27.8322,26418.0
2019-11-25,28.02,28.194,27.99,28.14,7477.0
2019-11-22,28.14,28.25,27.9188,27.99,20640.0
2019-11-21,28.25,28.25,27.695,27.9278,10281.0
2019-11-20,27.98,28.02,27.6387,27.9198,6699.0
2019-11-19,28.04,28.15,27.65,27.82,15986.0
2019-11-18,28.04,28.18,27.96,27.96,57516.0
2019-11-15,27.65,28.25,27.65,27.94,10573.0
2019-11-14,27.7,28.28,27.553,28.28,20883.0
2019-11-13,27.55,27.7,27.55,27.7,6872.0
2019-11-12,27.67,27.67,27.46,27.49,4961.0
2019-11-11,27.51,27.69,27.2492,27.65,10604.0
2019-11-08,27.51,27.52,27.4,27.48,7873.0
2019-11-07,27.45,27.53,27.0967,27.41,13881.0
2019-11-06,27.52,27.58,27.1455,27.58,4035.0
2019-11-05,27.48,27.53,27.385,27.43,11220.0
2019-11-04,27.45,27.5,27.375,27.46,9359.0
2019-11-01,27.61,27.61,27.31,27.43,14886.0
2019-10-31,27.49,27.69,27.28,27.37,118717.0
2019-10-30,27.54,27.66,27.37,27.66,17275.0
2019-10-29,27.49,27.5477,27.41,27.5,6576.0
2019-10-28,27.54,27.54,27.33,27.49,7581.0
2019-10-25,27.38,27.55,27.041,27.55,9653.0
2019-10-24,27.4,27.59,27.4,27.53,13656.0
2019-10-23,27.29,27.39,27.2714,27.33,11938.0
2019-10-22,27.44,27.44,27.1987,27.24,14436.0
2019-10-21,27.04,27.44,27.04,27.12,9708.0
2019-10-18,27.01,27.22,26.85,26.87,10918.0
2019-10-17,27.33,27.33,27.01,27.01,13056.0
2019-10-16,27.09,27.42,27.03,27.26,16510.0
2019-10-15,27.07,27.07,26.925,26.99,10965.0
2019-10-14,26.84,27.09,26.84,26.97,15065.0
2019-10-11,26.9,27.01,26.83,26.8643,4981.0
2019-10-10,26.98,26.98,26.73,26.8,12298.0
2019-10-09,26.95,27.39,26.7998,26.945,11890.0
2019-10-08,27.01,27.01,26.81,26.81,10799.0
2019-10-07,26.81,27.08,26.7138,26.97,15272.0
2019-10-04,26.78,27.06,26.78,26.9743,13060.0
