date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,27.11,27.49,26.81,26.95,312301.0
2020-04-08,26.37,27.022,26.245,26.94,258638.0
2020-04-07,27.03,27.12,26.01,26.2,611820.0
2020-04-06,25.6,26.41,25.4201,26.28,410617.0
2020-04-03,24.86,25.35,24.5797,24.72,355452.0
2020-04-02,24.71,25.4417,24.62,24.99,251817.0
2020-04-01,25.0,25.6,24.71,24.8,228428.0
2020-03-31,26.05,26.589,25.58,25.77,719637.0
2020-03-30,25.84,26.24,25.6571,26.13,580129.0
2020-03-27,25.39,26.1034,25.13,25.75,918654.0
2020-03-26,25.01,26.25,25.01,26.25,846004.0
2020-03-25,25.04,26.28,24.89,25.36,682363.0
2020-03-24,24.22,24.97,24.15,24.89,630792.0
2020-03-23,22.78,23.52,22.27,23.0,1109245.0
2020-03-20,23.02,24.08,22.64,22.64,395997.0
2020-03-19,21.9,23.3699,21.45,22.64,429323.0
2020-03-18,21.45,22.7445,21.11,21.84,758713.0
2020-03-17,22.2,23.345,21.5,22.75,683494.0
2020-03-16,21.52,23.08,20.87,21.89,661089.0
2020-03-13,23.99,24.52,22.6848,24.3,472107.0
2020-03-12,23.69,24.49,22.6,22.78,896240.0
2020-03-11,26.1,26.29,25.03,25.32,428131.0
2020-03-10,26.58,26.88,25.66,26.7,355336.0
2020-03-09,25.72,28.0,23.35,25.61,675300.0
2020-03-06,27.88,28.315,27.35,28.0088,769000.0
2020-03-05,28.67,29.18,28.351,28.6,383271.0
2020-03-04,28.88,29.4468,28.78,29.41,271843.0
2020-03-03,29.23,29.6828,28.14,28.6,755213.0
2020-03-02,28.5,29.3021,28.1,29.27,536038.0
2020-02-28,27.68,28.46,27.41,28.45,689335.0
2020-02-27,28.97,29.5078,28.451,28.57,571818.0
2020-02-26,29.7,30.12,29.45,29.53,551951.0
2020-02-25,30.65,30.9,29.46,29.56,1103327.0
2020-02-24,30.85,31.0,30.5,30.77,453750.0
2020-02-21,32.36,32.431,31.685,31.9,350489.0
2020-02-20,32.63,32.8,32.06,32.59,274870.0
2020-02-19,32.63,32.79,32.6,32.62,327200.0
2020-02-18,32.43,32.565,32.27,32.54,253870.0
2020-02-14,32.51,32.58,32.3091,32.44,364638.0
2020-02-13,32.19,32.5665,32.03,32.44,296581.0
2020-02-12,32.7,32.7,32.2,32.41,329412.0
2020-02-11,32.56,32.7,32.4366,32.51,411366.0
2020-02-10,32.16,32.5,32.04,32.5,287149.0
2020-02-07,32.19,32.2832,32.06,32.11,252638.0
2020-02-06,32.12,32.325,32.0,32.25,234706.0
2020-02-05,32.4,32.47,31.8517,32.0,341940.0
2020-02-04,31.71,32.12,31.6585,32.0626,564679.0
2020-02-03,31.2,31.43,31.148,31.4,238805.0
2020-01-31,31.56,31.63,31.0,31.13,345249.0
