date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,22.2445,22.6299,22.1665,22.5249,12794.0
2020-03-27,22.0463,22.92,22.0463,22.3982,12160.0
2020-03-26,22.8,23.4319,22.8,23.3822,4836.0
2020-03-25,21.89,22.8899,21.75,22.75,25747.0
2020-03-24,21.57,21.57,21.4102,21.54,3273.0
2020-03-23,20.27,20.3458,19.7,19.7417,8384.0
2020-03-20,20.36,20.405,20.21,20.2812,14574.0
2020-03-19,20.39,20.8236,20.39,20.71,3411.0
2020-03-18,20.39,20.7942,19.91,20.28,7622.0
2020-03-17,20.9175,21.63,20.8038,21.5598,12590.0
2020-03-16,20.41,21.71,20.41,20.743,7594.0
2020-03-13,23.2,23.553,22.44,23.553,4763.0
2020-03-12,23.28,23.44,22.07,22.3,7257.0
2020-03-11,25.93,25.93,25.3432,25.3432,44006.0
2020-03-10,26.7025,26.7025,26.0,26.095,2945.0
2020-03-09,25.4801,26.67,25.4801,26.1279,1727.0
2020-03-06,28.6101,28.7551,28.5282,28.7551,13467.0
2020-03-05,29.47,29.53,29.15,29.155,8944.0
2020-03-04,29.72,30.1724,29.65,30.1724,6456.0
2020-03-03,29.8301,29.8501,29.3302,29.3302,7342.0
2020-03-02,29.35,29.7659,29.2955,29.7659,25324.0
2020-02-28,29.0,29.35,28.7412,29.35,82283.0
2020-02-27,30.3028,30.5483,29.9712,29.9712,36184.0
2020-02-26,30.99,31.204,30.8041,30.8041,2668.0
2020-02-25,31.43,31.43,30.8109,30.8109,5316.0
2020-02-24,31.523,31.64,31.481,31.481,1800.0
2020-02-21,32.62,32.72,32.62,32.675,2092.0
2020-02-20,32.93,32.93,32.8539,32.88,7803.0
2020-02-19,33.02,33.0489,33.0122,33.0122,2378.0
2020-02-18,32.9598,32.9899,32.9,32.955,4558.0
2020-02-14,33.1242,33.1242,33.0853,33.0853,3439.0
2020-02-13,33.2011,33.244,33.185,33.185,2688.0
2020-02-12,33.38,33.39,33.3,33.39,10183.0
2020-02-11,33.2155,33.2155,33.0695,33.1284,8131.0
2020-02-10,32.91,32.9826,32.91,32.9826,734.0
2020-02-07,33.11,33.11,32.88,32.9151,7735.0
2020-02-06,33.2825,33.2825,33.2401,33.2401,1459.0
2020-02-05,33.05,33.185,33.05,33.185,1782.0
2020-02-04,32.72,32.93,32.72,32.8702,10829.0
2020-02-03,32.525,32.535,32.3951,32.415,4933.0
2020-01-31,32.79,32.79,32.45,32.5212,2039.0
2020-01-30,32.733,33.0,32.733,32.9909,2934.0
2020-01-29,33.03,33.12,32.99,33.05,3375.0
2020-01-28,33.0311,33.0375,33.0197,33.0197,1719.0
2020-01-27,32.85,32.9099,32.779,32.8073,5038.0
2020-01-24,33.5222,33.5222,33.39,33.4,1833.0
2020-01-23,33.38,33.3999,33.2959,33.395,6565.0
2020-01-22,33.72,33.748,33.66,33.708,3086.0
2020-01-21,33.856,33.86,33.718,33.718,12600.0
2020-01-17,33.94,34.0056,33.92,34.0056,3509.0
2020-01-16,33.716,33.8291,33.7147,33.8262,1925.0
2020-01-15,33.73,33.75,33.6012,33.64,3861.0
2020-01-14,33.82,33.84,33.7501,33.8007,2169.0
2020-01-13,33.75,33.856,33.75,33.856,3400.0
2020-01-10,33.87,33.87,33.7508,33.7508,2024.0
2020-01-09,33.8,33.8942,33.8,33.8942,3743.0
2020-01-08,33.9111,33.9111,33.9111,33.9111,62.0
2020-01-07,34.0,34.0,33.88,33.91,1845.0
2020-01-06,34.02,34.025,34.02,34.025,1991.0
2020-01-03,33.98,34.05,33.89,33.89,27573.0
2020-01-02,34.34,34.34,34.15,34.3,6542.0
2019-12-31,33.8092,33.97,33.8092,33.97,5125.0
2019-12-30,34.065,34.065,34.06,34.06,840.0
2019-12-27,34.0647,34.0649,34.0647,34.0649,313.0
2019-12-26,34.0487,34.0487,33.9342,33.9638,2609.0
2019-12-24,33.83,33.99,33.83,33.845,10389.0
2019-12-23,33.88,33.88,33.83,33.83,555.0
2019-12-20,33.96,33.96,33.81,33.81,6818.0
2019-12-19,33.83,33.879,33.75,33.78,6301.0
2019-12-18,33.92,33.92,33.78,33.8796,11656.0
2019-12-17,34.22,34.22,34.12,34.205,3631.0
2019-12-16,34.409,34.409,34.33,34.36,4230.0
2019-12-13,33.95,34.0212,33.83,33.9696,61800.0
2019-12-12,33.37,33.5,33.2702,33.5,6950.0
2019-12-11,33.0829,33.22,33.0501,33.1816,3712.0
2019-12-10,32.97,33.12,32.96,33.06,34800.0
2019-12-09,33.096,33.1,33.0301,33.045,5768.0
2019-12-06,33.0239,33.08,33.0239,33.05,3267.0
2019-12-05,32.72,32.7835,32.7148,32.7835,10145.0
2019-12-04,32.5643,32.8599,32.5643,32.78,145515.0
2019-12-03,32.22,32.31,32.15,32.305,4351.0
2019-12-02,32.4343,32.4699,32.4343,32.4562,2310.0
2019-11-29,32.86,32.86,32.86,32.86,16.0
2019-11-27,32.8573,32.86,32.8311,32.8311,684.0
2019-11-26,32.718,32.73,32.6602,32.73,3670.0
2019-11-25,32.7736,32.87,32.7511,32.8258,6977.0
2019-11-22,32.59,32.6759,32.59,32.6172,1285.0
2019-11-21,32.53,32.5738,32.53,32.56,617.0
2019-11-20,32.71,32.78,32.5813,32.635,10856.0
2019-11-19,32.84,32.865,32.84,32.865,207756.0
2019-11-18,32.908,32.9306,32.9072,32.9072,2384.0
2019-11-15,32.8374,32.97,32.8374,32.94,2138.0
2019-11-14,32.73,32.73,32.652,32.674,1915.0
2019-11-13,32.7528,32.86,32.7328,32.86,7383.0
2019-11-12,33.07,33.1394,33.06,33.113,5478.0
2019-11-11,32.99,33.0576,32.99,33.0576,3666.0
2019-11-08,33.03,33.05,32.9904,32.9904,1318.0
2019-11-07,33.2394,33.2412,33.2394,33.2394,1600.0
2019-11-06,33.0,33.09,33.0,33.09,497.0
2019-11-05,33.0,33.05,32.93,32.9996,6157.0
2019-11-04,32.96,33.0138,32.96,33.0138,960.0
2019-11-01,32.44,32.44,32.44,32.44,30.0
2019-10-31,32.5,32.5483,32.44,32.44,4969.0
2019-10-30,32.4327,32.63,32.42,32.63,2989.0
2019-10-29,32.65,32.65,32.54,32.5931,1379.0
2019-10-28,32.85,32.85,32.7413,32.7413,1098.0
2019-10-25,32.56,32.6527,32.56,32.6527,3192.0
2019-10-24,32.6693,32.6693,32.565,32.61,1930.0
2019-10-23,32.5735,32.66,32.5735,32.66,1643.0
2019-10-22,32.6074,32.7092,32.6074,32.7092,2431.0
2019-10-21,32.271,32.271,32.271,32.271,90.0
2019-10-18,32.38,32.38,32.24,32.271,1257.0
2019-10-17,32.23,32.3599,32.205,32.24,2817.0
2019-10-16,32.1,32.1999,32.08,32.1919,2492.0
2019-10-15,32.1684,32.1684,32.1684,32.1684,1724.0
2019-10-14,31.82,31.82,31.82,31.82,409.0
2019-10-11,31.0515,31.0515,31.0515,31.0515,3.0
2019-10-10,30.8763,31.1395,30.855,31.0515,2612.0
2019-10-09,30.6501,30.6682,30.64,30.6624,4770.0
2019-10-08,30.75,30.75,30.5,30.5,2566.0
2019-10-07,31.02,31.03,30.9842,30.9842,2592.0
2019-10-04,30.85,30.85,30.78,30.78,2042.0
2019-10-03,30.6901,30.78,30.6,30.7755,3714.0
2019-10-02,31.06,31.06,30.74,30.8069,1686.0
2019-10-01,31.56,31.56,31.49,31.49,1369.0
2019-09-30,31.7281,31.78,31.7114,31.7718,2176.0
2019-09-27,31.6945,31.75,31.6945,31.7331,1019.0
2019-09-26,31.6249,31.6249,31.6,31.6,3006.0
2019-09-25,31.57,31.5782,31.5,31.5181,1676.0
2019-09-24,31.9835,31.9835,31.9835,31.9835,197.0
2019-09-23,31.9,31.9835,31.8999,31.9835,1279.0
2019-09-20,32.18,32.18,32.18,32.18,104.0
2019-09-19,32.1,32.2072,32.1,32.18,738.0
2019-09-18,31.96,32.12,31.94,32.12,6319.0
2019-09-17,31.77,32.066,31.77,32.0322,6470.0
2019-09-16,31.9964,31.9964,31.925,31.9811,2604.0
2019-09-13,32.24,32.24,32.1899,32.1899,285.0
2019-09-12,32.0099,32.0799,32.0099,32.0799,1789.0
2019-09-11,31.8749,31.8749,31.8749,31.8749,925.0
2019-09-10,31.47,31.6574,31.47,31.6574,1360.0
2019-09-09,31.485,31.5299,31.485,31.5299,1355.0
2019-09-06,31.37,31.37,31.34,31.37,37226.0
2019-09-05,31.2924,31.3219,31.2921,31.3219,1151.0
2019-09-04,31.0191,31.0191,30.9997,30.9997,1014.0
2019-09-03,30.5167,30.6199,30.5,30.59,22897.0
2019-08-30,30.62,30.6479,30.54,30.6479,8425.0
2019-08-29,30.51,30.51,30.51,30.51,121.0
2019-08-28,30.2,30.2467,30.1701,30.2463,4881.0
2019-08-27,30.4444,30.4444,30.25,30.31,4355.0
2019-08-26,30.2055,30.2055,30.2055,30.2055,605.0
2019-08-23,30.33,30.33,30.13,30.13,7513.0
2019-08-22,30.43,30.43,30.28,30.29,635.0
2019-08-21,30.44,30.46,30.42,30.46,4482.0
2019-08-20,30.29,30.35,30.2569,30.2569,9041.0
2019-08-19,30.48,30.4828,30.4606,30.4828,1043.0
2019-08-16,29.97,30.2916,29.97,30.26,5334.0
2019-08-15,29.8441,29.8441,29.8299,29.8299,477.0
2019-08-14,30.1022,30.1022,29.9079,29.957,1866.0
2019-08-13,30.71,30.7211,30.71,30.7179,1173.0
2019-08-12,30.5707,30.5707,30.402,30.402,737.0
2019-08-09,30.8021,30.8021,30.68,30.72,581.0
2019-08-08,30.8884,31.04,30.8808,30.9624,5249.0
2019-08-07,30.3,30.71,30.3,30.7,4705.0
2019-08-06,30.6807,30.7399,30.59,30.64,1891.0
2019-08-05,31.18,31.18,30.415,30.415,14734.0
2019-08-02,31.1801,31.204,31.1801,31.204,438.0
2019-08-01,31.5318,31.75,31.3401,31.38,19264.0
2019-07-31,31.8007,31.8044,31.7797,31.8044,1584.0
2019-07-30,31.78,31.83,31.75,31.75,831.0
2019-07-29,32.18,32.2,32.1606,32.1606,2127.0
2019-07-26,32.1,32.1557,32.1,32.155,4526.0
2019-07-25,32.2253,32.2253,32.1226,32.1226,1441.0
2019-07-24,32.44,32.44,32.3793,32.4,5064.0
2019-07-23,32.64,32.64,32.45,32.4858,1488.0
2019-07-22,32.3501,32.36,32.33,32.33,5494.0
2019-07-19,32.32,32.42,32.29,32.29,7443.0
2019-07-18,32.24,32.5,32.1708,32.5,1590698.0
2019-07-17,32.45,32.45,32.3639,32.3639,3951.0
2019-07-16,32.5639,32.5639,32.481,32.49,5443.0
2019-07-15,32.74,32.74,32.63,32.6799,4617.0
2019-07-12,32.66,32.775,32.66,32.68,3818.0
2019-07-11,32.78,32.78,32.5049,32.6377,14011.0
2019-07-10,32.65,32.65,32.49,32.6,1372.0
2019-07-09,32.36,32.55,32.36,32.55,30514.0
2019-07-08,32.75,32.75,32.51,32.51,1562.0
2019-07-05,32.86,32.86,32.5934,32.75,1891.0
2019-07-03,32.9398,33.0292,32.9201,32.9794,2208.0
2019-07-02,32.78,32.78,32.65,32.7301,7123.0
2019-07-01,32.55,32.6692,32.55,32.6692,1583.0
2019-06-28,32.6799,32.6799,32.5,32.54,14177.0
2019-06-27,32.4701,32.5041,32.4401,32.5041,2129.0
2019-06-26,32.36,32.4513,32.33,32.34,10375.0
2019-06-25,32.43,32.5,32.3981,32.5,11403.0
2019-06-24,32.59,32.7,32.45,32.5726,16560.0
2019-06-21,32.62,32.62,32.4201,32.46,3336.0
2019-06-20,32.56,32.61,32.42,32.42,4448.0
2019-06-19,32.27,32.27,32.12,32.2601,5408.0
2019-06-18,32.159,32.2,32.06,32.19,2459.0
2019-06-17,31.74,31.9099,31.7277,31.856,5344.0
2019-06-14,31.75,31.9016,31.73,31.9016,18519.0
2019-06-13,32.13,32.1499,32.06,32.1499,2439.0
2019-06-12,32.65,32.65,32.37,32.37,1622.0
2019-06-11,32.74,32.74,32.65,32.6882,3365.0
2019-06-10,32.6098,32.6379,32.46,32.46,5696.0
2019-06-07,32.5306,32.63,32.5306,32.63,1297.0
2019-06-06,32.1061,32.16,32.1061,32.14,3668.0
2019-06-05,31.8901,31.9641,31.8401,31.8401,2209.0
2019-06-04,31.9699,32.005,31.8509,32.0,7254.0
2019-06-03,31.49,31.49,31.49,31.49,1532.0
2019-05-31,31.36,31.4799,31.2101,31.4799,15396.0
2019-05-30,31.5856,31.6727,31.44,31.44,4909.0
2019-05-29,31.43,31.4446,31.31,31.36,7281.0
2019-05-28,31.8721,31.9178,31.78,31.78,2421.0
2019-05-24,31.9899,32.01,31.8657,31.911,2590.0
2019-05-23,31.62,31.62,31.53,31.53,2307.0
2019-05-22,32.0037,32.0037,31.9185,31.9185,755.0
2019-05-21,32.08,32.23,32.0192,32.23,3642.0
2019-05-20,31.82,31.8201,31.82,31.8201,336.0
2019-05-17,31.99,31.99,31.73,31.73,3641.0
2019-05-16,32.0,32.18,31.98,32.18,1943.0
2019-05-15,31.64,32.0,31.64,32.0,3213.0
2019-05-14,31.8801,32.11,31.8801,32.11,1140.0
2019-05-13,31.69,31.86,31.6,31.66,11091.0
2019-05-10,32.2,32.2,32.16,32.16,21036.0
2019-05-09,31.9429,32.21,31.86,32.21,6768.0
2019-05-08,32.37,32.3811,32.2101,32.24,542.0
2019-05-07,32.5,32.5,32.09,32.09,1712.0
2019-05-06,32.4,32.82,32.4,32.82,343.0
2019-05-03,32.9673,32.9673,32.9,32.95,2916.0
2019-05-02,32.88,32.88,32.58,32.65,6441.0
2019-05-01,33.2779,33.2779,33.0166,33.0166,3500.0
2019-04-30,32.9801,33.2399,32.9801,33.0301,3771.0
2019-04-29,32.9601,33.07,32.9601,33.0,3571.0
2019-04-26,32.88,33.14,32.88,33.14,629.0
2019-04-25,32.82,32.82,32.7501,32.7501,427.0
2019-04-24,33.06,33.06,32.8401,32.8401,801.0
2019-04-23,33.12,33.2765,33.12,33.2765,2575.0
2019-04-22,33.4245,33.53,33.36,33.39,5919.0
2019-04-18,33.3801,33.52,33.37,33.38,16286.0
2019-04-17,33.4013,33.48,33.4013,33.48,1289.0
2019-04-16,33.49,33.54,33.3841,33.4565,6362.0
2019-04-15,33.44,33.74,33.44,33.74,440.0
2019-04-12,33.64,33.725,33.51,33.55,10646.0
2019-04-11,33.23,33.3077,33.23,33.3077,2134.0
2019-04-10,33.3901,33.3901,33.3901,33.3901,545.0
2019-04-09,33.3572,33.3572,33.1701,33.19,3443.0
2019-04-08,33.29,33.29,33.29,33.29,8.0
2019-04-05,33.26,33.2901,33.26,33.29,2590.0
2019-04-04,33.341,33.3455,33.323,33.3455,1717.0
2019-04-03,33.3001,33.3599,33.3001,33.3599,867.0
2019-04-02,33.08,33.08,33.0148,33.075,1111.0
2019-04-01,32.949,32.9935,32.949,32.9935,1161.0
2019-03-29,32.7,32.72,32.5101,32.53,2521.0
2019-03-28,32.63,32.63,32.38,32.4501,16450.0
2019-03-27,32.5297,32.5398,32.5,32.5223,1173.0
2019-03-26,32.7,32.7,32.5,32.5,49637.0
2019-03-25,32.63,32.63,32.4453,32.46,6823.0
2019-03-22,32.5101,32.7004,32.5101,32.59,2423.0
2019-03-21,33.21,33.21,33.09,33.0901,895.0
2019-03-20,32.9801,33.29,32.9801,33.26,16029.0
2019-03-19,33.3,33.3499,33.21,33.24,2593.0
2019-03-18,33.041,33.1,33.041,33.09,730.0
2019-03-15,32.8,32.87,32.78,32.85,20573.0
2019-03-14,32.57,32.6414,32.53,32.53,2448.0
2019-03-13,32.525,32.62,32.525,32.58,1451.0
2019-03-12,32.4,32.4,32.27,32.29,15588.0
2019-03-11,32.25,32.31,32.085,32.3,5475.0
2019-03-08,31.94,31.9617,31.94,31.9617,484.0
2019-03-07,32.0981,32.245,31.9401,32.0101,3031.0
2019-03-06,32.31,32.4363,32.31,32.33,3637.0
2019-03-05,32.48,32.48,32.3981,32.3981,1223.0
2019-03-04,32.4799,32.4799,32.29,32.3,2930.0
2019-03-01,32.67,32.67,32.4901,32.4901,19168.0
2019-02-28,32.5321,32.5593,32.5321,32.5593,761.0
2019-02-27,32.46,32.65,32.46,32.59,4138.0
2019-02-26,32.4949,32.51,32.4949,32.51,1806.0
2019-02-25,32.34,32.3829,32.33,32.34,4607.0
2019-02-22,32.2593,32.2929,32.22,32.22,2439.0
2019-02-21,32.2,32.2,32.0701,32.0701,1833.0
2019-02-20,32.22,32.3299,32.17,32.17,9279.0
2019-02-19,32.21,32.2197,32.002,32.21,10270.0
2019-02-15,31.853,31.853,31.8333,31.835,1259.0
2019-02-14,31.5575,31.5575,31.5401,31.5401,1101.0
2019-02-13,31.7265,31.7265,31.6001,31.6001,1002.0
2019-02-12,31.6585,31.6724,31.6585,31.67,769.0
2019-02-11,31.33,31.4248,31.325,31.3701,3508.0
2019-02-08,31.4501,31.5313,31.4501,31.49,2489.0
2019-02-07,31.842,31.8421,31.62,31.62,79453.0
2019-02-06,32.1,32.1055,32.03,32.03,1599.0
2019-02-05,32.04,32.23,32.04,32.1,3100.0
2019-02-04,31.55,31.84,31.55,31.79,6883.0
2019-02-01,31.76,31.97,31.76,31.8668,9465.0
2019-01-31,31.92,31.9319,31.81,31.9319,3067.0
2019-01-30,31.61,31.8281,31.61,31.82,8086.0
2019-01-29,31.7372,31.82,31.63,31.725,11664.0
2019-01-28,31.4601,31.5499,31.4,31.5,22134.0
2019-01-25,31.6799,31.6799,31.6317,31.6735,7898.0
2019-01-24,31.11,31.312,31.11,31.16,4270.0
2019-01-23,31.3,31.4154,31.17,31.17,3421.0
2019-01-22,31.25,31.29,31.0901,31.0901,9800.0
2019-01-18,31.58,31.64,31.52,31.53,77016.0
2019-01-17,31.4,31.4399,31.4,31.4282,1216.0
