date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,14.46,15.27,14.14,14.98,72562.0
2020-04-08,13.28,13.98,13.28,13.77,49244.0
2020-04-07,14.18,14.96,12.38,13.0,53185.0
2020-04-06,13.43,14.0,13.43,13.98,62862.0
2020-04-03,13.44,13.83,12.3,12.52,52866.0
2020-04-02,13.49,14.3,12.96,13.74,63885.0
2020-04-01,14.13,14.696,13.52,13.66,108120.0
2020-03-31,14.61,15.14,14.07,14.96,71023.0
2020-03-30,14.41,14.95,14.23,14.79,63968.0
2020-03-27,14.81,14.87,14.05,14.07,49528.0
2020-03-26,15.47,15.47,14.29,15.44,53005.0
2020-03-25,13.82,14.7,13.44,13.93,73245.0
2020-03-24,13.08,13.99,12.0,13.8,191992.0
2020-03-23,13.47,14.2,12.22,12.82,101630.0
2020-03-20,14.22,15.78,13.31,13.54,108244.0
2020-03-19,13.41,15.6,13.155,14.18,91811.0
2020-03-18,14.32,15.76,13.48,13.48,68234.0
2020-03-17,13.29,15.53,12.62,15.44,77992.0
2020-03-16,15.24,15.24,12.8,13.06,64052.0
2020-03-13,14.55,15.3397,13.42,14.99,73165.0
2020-03-12,14.24,14.6154,13.1,13.57,161101.0
2020-03-11,16.68,16.91,15.0901,15.37,69069.0
2020-03-10,17.33,18.85,16.1601,17.23,63774.0
2020-03-09,18.41,19.1,16.63,16.8,70990.0
2020-03-06,18.91,20.43,18.91,19.51,54342.0
2020-03-05,20.43,20.72,19.2,19.55,111197.0
2020-03-04,20.21,21.12,19.9,21.0,41446.0
2020-03-03,20.62,21.04,19.76,20.03,53846.0
2020-03-02,19.25,20.74,19.25,20.74,65902.0
2020-02-28,19.7,20.545,18.8647,19.14,138616.0
2020-02-27,21.21,21.2639,20.19,20.24,59543.0
2020-02-26,21.36,21.8146,21.35,21.5,35797.0
2020-02-25,22.06,22.28,21.12,21.26,51873.0
2020-02-24,21.96,22.38,21.96,22.09,45368.0
2020-02-21,22.52,22.69,22.35,22.48,27927.0
2020-02-20,22.4,22.655,22.4,22.47,47536.0
2020-02-19,22.51,22.65,22.39,22.46,34623.0
2020-02-18,22.11,22.48,21.72,22.44,64861.0
2020-02-14,22.55,22.63,22.13,22.13,35338.0
2020-02-13,22.52,22.58,22.365,22.49,35613.0
2020-02-12,22.64,22.64,22.48,22.55,14212.0
2020-02-11,22.17,22.64,21.885,22.55,76956.0
2020-02-10,21.35,21.89,21.35,21.55,51512.0
2020-02-07,21.78,22.37,21.42,21.62,72885.0
2020-02-06,22.65,22.65,22.12,22.22,31945.0
2020-02-05,22.05,22.62,22.0099,22.5,51484.0
2020-02-04,22.23,22.48,21.58,21.91,73449.0
2020-02-03,22.15,22.4737,22.12,22.23,51128.0
2020-01-31,22.48,22.645,21.89,22.01,62887.0
2020-01-30,22.34,22.62,22.3,22.49,34398.0
2020-01-29,22.53,22.61,22.37,22.42,33213.0
2020-01-28,22.6,22.72,22.43,22.5,22414.0
2020-01-27,22.11,22.72,22.11,22.5,31765.0
2020-01-24,22.7,22.705,22.42,22.48,28102.0
2020-01-23,22.41,22.98,22.3,22.69,29794.0
2020-01-22,22.73,22.73,22.44,22.5,14334.0
2020-01-21,23.15,23.15,22.75,22.77,23592.0
2020-01-17,23.73,23.73,23.26,23.32,53606.0
2020-01-16,23.32,23.78,23.32,23.66,21783.0
2020-01-15,23.19,23.46,23.0,23.21,27352.0
2020-01-14,23.13,23.45,23.04,23.32,63523.0
2020-01-13,23.11,23.28,23.08,23.22,41802.0
2020-01-10,23.23,23.525,22.8857,23.12,33786.0
2020-01-09,23.82,23.88,23.23,23.23,19851.0
2020-01-08,23.49,23.8,23.45,23.77,52583.0
2020-01-07,23.22,23.52,22.55,23.49,43342.0
2020-01-06,23.59,23.59,22.9458,23.13,47644.0
2020-01-03,23.8,24.32,23.6,23.73,33610.0
2020-01-02,24.0,24.16,23.49,24.07,37811.0
2019-12-31,24.05,24.305,23.8,24.0,37770.0
2019-12-30,24.0,24.17,23.77,24.05,34814.0
2019-12-27,23.5001,23.97,23.5001,23.93,32357.0
2019-12-26,23.7,23.88,23.45,23.7,19894.0
2019-12-24,23.62,23.76,23.42,23.73,12735.0
2019-12-23,23.7,23.93,23.45,23.6,24789.0
2019-12-20,23.44,23.78,23.4,23.73,138194.0
2019-12-19,23.36,23.45,23.285,23.35,73514.0
2019-12-18,23.18,23.315,22.98,23.2,33996.0
2019-12-17,22.89,23.14,22.665,23.07,40856.0
2019-12-16,22.92,23.28,22.7254,22.94,65295.0
2019-12-13,22.4,22.95,22.4,22.88,38135.0
2019-12-12,21.89,22.58,21.71,22.48,50144.0
2019-12-11,21.9,22.17,21.78,21.9,40685.0
2019-12-10,21.72,21.96,21.54,21.92,35022.0
2019-12-09,21.75,21.87,21.51,21.65,34746.0
2019-12-06,21.62,21.97,21.51,21.69,48283.0
2019-12-05,21.59,21.79,21.4,21.57,17872.0
2019-12-04,21.32,21.635,21.3,21.52,25537.0
2019-12-03,21.08,21.3,21.04,21.22,16400.0
2019-12-02,21.77,21.9,21.2225,21.46,34313.0
2019-11-29,21.62,21.84,21.58,21.68,5056.0
2019-11-27,22.2,22.2,21.59,21.7,25904.0
2019-11-26,22.1,22.34,21.95,22.18,40315.0
2019-11-25,21.8,22.24,21.555,22.12,46537.0
2019-11-22,21.82,21.96,21.61,21.73,20471.0
2019-11-21,21.76,21.97,21.54,21.72,27422.0
2019-11-20,21.88,22.18,21.56,21.66,35962.0
2019-11-19,21.91,22.2,21.86,21.96,32093.0
2019-11-18,22.02,22.13,21.66,21.86,20357.0
2019-11-15,22.38,22.38,22.03,22.05,16295.0
2019-11-14,21.64,22.325,21.64,22.25,18752.0
