date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,25.6847,25.8153,25.53,25.6901,7029.0
2020-04-08,25.22,25.38,25.21,25.31,12743.0
2020-04-07,25.66,25.665,25.17,25.2,10691.0
2020-04-06,25.0,25.32,25.0,25.32,13768.0
2020-04-03,24.6291,24.69,24.51,24.52,12346.0
2020-04-02,24.7961,24.9449,24.5771,24.7,4891.0
2020-04-01,24.8,24.8,24.22,24.258,35071.0
2020-03-31,25.35,25.66,25.31,25.4954,10288.0
2020-03-30,25.0771,25.7,25.0771,25.7,8529.0
2020-03-27,24.66,25.34,24.66,25.025,17535.0
2020-03-26,25.327,25.8231,25.275,25.8231,11556.0
2020-03-25,24.09,25.1199,24.09,24.8718,17042.0
2020-03-24,23.53,24.02,23.41,23.83,31235.0
2020-03-23,22.65,22.65,22.04,22.0635,48679.0
2020-03-20,23.33,23.58,22.4,22.5471,25168.0
2020-03-19,22.44,23.04,22.16,22.891,162567.0
2020-03-18,22.8799,22.89,21.94,22.135,6629.0
2020-03-17,23.09,23.43,22.96,23.365,26591.0
2020-03-16,22.43,23.7199,21.76,22.8455,17885.0
2020-03-13,24.5881,25.5981,24.1983,25.5981,5866.0
2020-03-12,25.09,25.09,23.8,24.1025,37457.0
2020-03-11,27.99,27.99,26.98,27.1767,146116.0
2020-03-10,27.85,28.58,27.7284,28.5194,17809.0
2020-03-09,27.79,28.44,27.623,27.6459,12689.0
2020-03-06,29.85,29.95,29.6262,29.945,39136.0
2020-03-05,30.5299,30.53,30.13,30.2801,41489.0
2020-03-04,30.46,31.07,30.46,31.0246,6511.0
2020-03-03,30.66,30.87,30.23,30.27,9759.0
2020-03-02,29.935,30.47,29.84,30.47,12319.0
2020-02-28,29.48,29.94,29.35,29.72,112623.0
2020-02-27,30.8835,30.99,30.3136,30.3136,22363.0
2020-02-26,31.49,31.5597,31.2015,31.2171,6156.0
2020-02-25,31.77,31.77,31.175,31.175,75266.0
2020-02-24,31.58,31.8259,31.5622,31.69,10202.0
2020-02-21,32.8249,32.8707,32.8222,32.8311,7469.0
2020-02-20,33.04,33.1113,32.85,32.995,9223.0
2020-02-19,33.33,33.33,33.23,33.25,5079.0
2020-02-18,33.12,33.1487,33.08,33.1126,9439.0
2020-02-14,33.3699,33.3699,33.24,33.316,8820.0
2020-02-13,33.3,33.425,33.3,33.345,7970.0
2020-02-12,33.52,33.58,33.505,33.5526,5681.0
2020-02-11,33.47,33.5,33.38,33.4083,9927.0
2020-02-10,33.12,33.2595,33.12,33.255,5432.0
2020-02-07,33.2381,33.2381,33.1427,33.1552,1775.0
2020-02-06,33.475,33.5,33.46,33.486,2077.0
2020-02-05,33.3413,33.4155,33.337,33.4,3958.0
2020-02-04,33.03,33.1394,33.03,33.075,8378.0
2020-02-03,32.69,32.697,32.6,32.6101,7771.0
2020-01-31,32.79,32.79,32.49,32.574,9230.0
2020-01-30,32.82,33.055,32.82,33.055,6525.0
2020-01-29,33.08,33.1802,33.08,33.1,6992.0
2020-01-28,33.05,33.1151,33.0466,33.0954,3370.0
2020-01-27,32.77,32.94,32.77,32.87,3964.0
2020-01-24,33.7174,33.7174,33.4079,33.45,5448.0
2020-01-23,33.49,33.595,33.43,33.595,23045.0
2020-01-22,33.7567,33.7567,33.655,33.66,3619.0
2020-01-21,33.66,33.71,33.58,33.58,22500.0
2020-01-17,33.8637,33.8637,33.805,33.8586,2637.0
2020-01-16,33.6599,33.74,33.6559,33.74,3532.0
2020-01-15,33.53,33.625,33.53,33.565,1965.0
2020-01-14,33.56,33.6364,33.54,33.57,13132.0
2020-01-13,33.39,33.595,33.39,33.595,4600.0
2020-01-10,33.45,33.5197,33.395,33.395,5025.0
2020-01-09,33.44,33.5199,33.42,33.4968,4839.0
