date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,19.44,19.9,18.58,19.9,3261.0
2020-03-27,19.04,19.935,18.04,19.9,2368.0
2020-03-26,19.0,19.22,18.1,18.1,3149.0
2020-03-25,18.64,18.99,18.0,18.98,4333.0
2020-03-24,18.88,18.92,18.0201,18.92,352.0
2020-03-23,18.0,18.945,18.0,18.94,3576.0
2020-03-20,18.0002,18.46,18.0002,18.46,2400.0
2020-03-19,17.4,18.08,16.02,17.255,14802.0
2020-03-18,19.75,19.8451,17.26,18.95,12596.0
2020-03-17,19.5,20.0,19.18,19.5,1460.0
2020-03-16,20.22,20.22,20.22,20.22,103.0
2020-03-13,19.96,20.635,19.33,20.46,4141.0
2020-03-12,19.75,19.95,19.1,19.95,7223.0
2020-03-11,19.9,19.9,19.16,19.16,465.0
2020-03-10,20.02,20.02,20.0,20.0,550.0
2020-03-09,20.11,20.11,20.11,20.11,221.0
2020-03-06,20.11,20.11,20.11,20.11,342.0
2020-03-05,20.25,20.73,20.25,20.48,6886.0
2020-03-04,20.75,20.75,20.5,20.69,2282.0
2020-03-03,20.59,20.9,20.51,20.56,6178.0
2020-03-02,21.15,21.15,21.15,21.15,305.0
2020-02-28,20.55,20.72,20.51,20.72,2394.0
2020-02-27,20.8306,21.15,20.5,21.15,1688.0
2020-02-26,21.26,21.405,20.76,20.76,2773.0
2020-02-25,21.63,21.63,21.63,21.63,3.0
2020-02-24,21.25,21.668,21.25,21.63,601.0
2020-02-21,21.26,21.26,21.26,21.26,22.0
2020-02-20,21.27,21.625,21.26,21.26,5236.0
2020-02-19,21.35,21.35,21.3,21.3,355.0
2020-02-18,21.3,21.3,21.3,21.3,175.0
2020-02-14,21.51,21.51,21.51,21.51,28.0
2020-02-13,21.53,21.53,21.51,21.51,2185.0
2020-02-12,21.74,21.74,21.74,21.74,26.0
2020-02-11,21.74,21.74,21.74,21.74,1.0
2020-02-10,21.71,21.78,21.65,21.74,4797.0
2020-02-07,21.9588,21.9588,21.755,21.9,1278.0
2020-02-06,21.55,21.6555,21.55,21.6555,1295.0
2020-02-05,21.52,21.97,21.5,21.51,7319.0
2020-02-04,21.53,21.7095,21.46,21.7095,2126.0
2020-02-03,21.67,21.67,21.53,21.61,3320.0
2020-01-31,22.2462,22.5795,21.5001,22.11,2033.0
2020-01-30,22.25,22.25,21.26,21.26,2041.0
2020-01-29,21.51,21.51,21.51,21.51,2.0
2020-01-28,21.51,21.51,21.51,21.51,0.0
2020-01-27,21.5548,21.5548,21.51,21.51,1323.0
2020-01-24,21.51,21.51,21.46,21.5,1031.0
2020-01-23,21.75,21.75,21.75,21.75,275.0
2020-01-22,21.93,21.95,21.75,21.75,2280.0
2020-01-21,21.536,21.885,21.52,21.69,6443.0
2020-01-17,21.57,21.57,21.57,21.57,250.0
2020-01-16,21.57,21.57,21.57,21.57,103.0
2020-01-15,21.57,21.57,21.57,21.57,82.0
2020-01-14,21.51,21.83,21.45,21.57,6442.0
2020-01-13,21.68,21.68,21.68,21.68,99.0
2020-01-10,21.68,21.68,21.68,21.68,0.0
2020-01-09,22.18,22.18,21.68,21.68,2715.0
2020-01-08,22.05,22.185,22.04,22.185,1630.0
2020-01-07,21.395,22.09,21.27,22.05,1050.0
2020-01-06,21.77,21.77,21.77,21.77,127.0
2020-01-03,21.77,21.77,21.77,21.77,122.0
2020-01-02,22.5,22.5,21.9481,22.45,951.0
2019-12-31,22.0,22.1663,20.98,21.88,6896.0
2019-12-30,21.55,22.0,21.23,21.3,3529.0
2019-12-27,22.0,22.0,22.0,22.0,765.0
2019-12-26,21.9405,21.9405,21.9405,21.9405,50.0
2019-12-24,21.9405,21.9405,21.9405,21.9405,279.0
2019-12-23,21.94,21.94,21.94,21.94,0.0
2019-12-20,21.9405,21.9405,21.9405,21.9405,312.0
2019-12-19,21.2,21.97,21.2,21.9405,985.0
2019-12-18,22.19,22.19,22.0,22.0,406.0
2019-12-17,20.4189,22.5,20.4189,22.4917,5885.0
2019-12-16,21.1217,21.1217,21.1217,21.1217,408.0
2019-12-13,22.823,22.823,21.99,22.2,3494.0
2019-12-12,22.85,22.9639,22.4497,22.8821,2907.0
2019-12-11,22.48,22.48,22.42,22.4201,966.0
2019-12-10,22.16,22.985,22.08,22.72,2001.0
2019-12-09,21.98,22.895,21.98,22.8,8155.0
2019-12-06,21.74,21.74,21.74,21.74,517.0
2019-12-05,20.5001,22.42,20.5001,22.42,2443.0
2019-12-04,22.25,22.25,21.83,21.83,6159.0
2019-12-03,21.1601,22.43,21.1601,22.25,1441.0
2019-12-02,22.1,22.2206,22.1,22.2105,1582.0
2019-11-29,21.99,22.22,21.99,22.22,4628.0
2019-11-27,21.99,21.99,21.51,21.78,3722.0
2019-11-26,21.0001,21.0001,21.0001,21.0001,1012.0
2019-11-25,21.68,22.28,21.3974,22.28,3603.0
2019-11-22,20.6,21.7,20.505,21.7,18670.0
2019-11-21,20.51,20.6,20.5001,20.55,1575.0
2019-11-20,20.0601,21.35,20.0601,20.5,5761.0
2019-11-19,20.0,21.0,20.0,21.0,11043.0
2019-11-18,20.29,20.73,20.1,20.73,691.0
2019-11-15,20.5,20.52,20.49,20.5,4587.0
2019-11-14,20.583,20.583,20.0,20.405,4962.0
2019-11-13,20.0,20.745,19.97,20.745,7780.0
2019-11-12,20.315,20.5,20.28,20.5,909.0
2019-11-11,20.51,20.55,20.31,20.55,784.0
2019-11-08,21.0,21.0,20.52,20.855,6545.0
2019-11-07,20.9,21.36,20.9,21.3329,4432.0
2019-11-06,20.58,20.9,20.48,20.9,5395.0
2019-11-05,20.4135,20.9,20.4135,20.9,597.0
2019-11-04,20.9,20.9,20.9,20.9,152.0
2019-11-01,20.4522,20.4522,20.4522,20.4522,153.0
2019-10-31,20.23,20.9,20.23,20.9,2092.0
2019-10-30,20.7155,20.755,20.355,20.51,6588.0
2019-10-29,20.71,20.75,20.36,20.61,4758.0
2019-10-28,20.9,20.9,20.27,20.27,1087.0
2019-10-25,20.7577,20.9,20.5,20.9,794.0
2019-10-24,20.45,20.9,20.45,20.9,628.0
2019-10-23,20.82,20.82,20.435,20.435,639.0
2019-10-22,20.7,20.94,20.263,20.835,8995.0
2019-10-21,20.96,20.96,20.96,20.96,1734.0
2019-10-18,20.38,20.95,20.35,20.85,7353.0
2019-10-17,20.425,20.425,20.425,20.425,59.0
2019-10-16,19.95,20.48,19.95,20.425,23199.0
2019-10-15,19.78,19.78,19.78,19.78,1120.0
2019-10-14,19.94,19.94,19.94,19.94,116.0
2019-10-11,19.62,19.62,19.62,19.62,1.0
2019-10-10,20.6754,20.6754,19.62,19.62,445.0
2019-10-09,20.15,20.15,20.15,20.15,1166.0
2019-10-08,19.85,20.45,19.85,20.45,1435.0
2019-10-07,20.12,20.12,20.12,20.12,202.0
2019-10-04,20.1025,20.1025,20.1025,20.1025,312.0
2019-10-03,20.96,20.96,20.96,20.96,74.0
2019-10-02,20.96,20.96,20.96,20.96,58.0
2019-10-01,20.35,20.96,20.35,20.96,816.0
2019-09-30,20.24,20.35,19.4,20.35,7578.0
2019-09-27,20.25,20.25,20.0,20.0,949.0
2019-09-26,20.01,20.01,20.01,20.01,290.0
2019-09-25,20.01,20.01,20.01,20.01,323.0
2019-09-24,20.1201,20.1201,20.1201,20.1201,126.0
2019-09-23,20.25,20.25,20.02,20.1201,1111.0
2019-09-20,20.0,21.0,20.0,21.0,2445.0
2019-09-19,20.0973,20.0973,20.0,20.0,604.0
2019-09-18,19.9,19.9,19.9,19.9,1454.0
2019-09-17,19.7,19.98,19.7,19.9,4195.0
2019-09-16,19.31,19.79,19.05,19.79,2226.0
2019-09-13,19.75,19.77,19.37,19.5,5354.0
2019-09-12,19.87,20.2073,19.85,20.04,1626.0
2019-09-11,19.85,20.383,19.83,19.83,1733.0
2019-09-10,19.97,19.97,19.97,19.97,509.0
2019-09-09,20.0,20.4975,20.0,20.4975,1950.0
2019-09-06,19.89,20.0,19.89,20.0,1799.0
2019-09-05,19.95,20.05,19.95,20.05,653.0
2019-09-04,19.95,19.95,19.95,19.95,1480.0
2019-09-03,19.84,20.5,19.84,20.12,895.0
2019-08-30,19.78,20.1503,19.78,20.1,1091.0
2019-08-29,19.78,19.78,19.75,19.75,912.0
2019-08-28,19.77,19.77,19.77,19.77,546.0
2019-08-27,19.75,19.75,19.75,19.75,1353.0
2019-08-26,20.15,20.15,20.01,20.01,656.0
2019-08-23,20.0,20.7887,20.0,20.7887,1629.0
2019-08-22,20.23,20.23,20.23,20.23,460.0
2019-08-21,20.16,21.0,20.16,20.7,1451.0
2019-08-20,20.22,20.22,20.22,20.22,289.0
2019-08-19,20.45,20.45,20.45,20.45,18.0
2019-08-16,20.66,20.66,20.45,20.45,456.0
2019-08-15,20.3,20.61,20.3,20.45,5155.0
2019-08-14,20.28,20.7915,20.2065,20.7915,992.0
2019-08-13,20.8677,20.8677,20.8677,20.8677,549.0
2019-08-12,20.506,20.506,20.35,20.35,449.0
2019-08-09,20.28,20.83,20.28,20.36,897.0
2019-08-08,20.33,20.78,20.33,20.34,1809.0
2019-08-07,20.3,20.63,20.3,20.58,539.0
2019-08-06,20.27,20.78,20.27,20.6,4596.0
2019-08-05,20.77,20.95,20.5,20.65,4120.0
2019-08-02,20.7641,20.7641,20.7641,20.7641,5.0
2019-08-01,21.0,21.9,20.7641,20.7641,6123.0
2019-07-31,20.76,21.9,20.76,21.21,1855.0
2019-07-30,20.67,21.9,20.67,21.45,3716.0
2019-07-29,21.04,21.9,21.04,21.5,1029.0
2019-07-26,20.28,21.55,20.28,21.55,3173.0
2019-07-25,20.3,20.75,20.3,20.75,905.0
2019-07-24,20.75,20.75,20.75,20.75,106.0
2019-07-23,20.75,20.75,20.6,20.75,645.0
2019-07-22,20.7542,20.7542,20.7542,20.7542,5.0
2019-07-19,20.7542,20.7542,20.7542,20.7542,87.0
2019-07-18,20.6,20.7542,20.6,20.7542,405.0
2019-07-17,21.03,21.03,21.03,21.03,217.0
2019-07-16,21.1,21.1,20.63,21.03,1128.0
2019-07-15,20.95,20.95,20.95,20.95,479.0
2019-07-12,21.51,21.51,20.6,20.6,1212.0
2019-07-11,21.15,21.16,21.15,21.16,511.0
2019-07-10,20.765,20.765,20.765,20.765,1.0
2019-07-09,20.1201,20.765,20.1201,20.765,506.0
2019-07-08,20.41,20.41,20.35,20.35,15643.0
2019-07-05,20.4913,20.514,20.4913,20.514,1309.0
2019-07-03,20.49,20.49,20.49,20.49,304.0
2019-07-02,20.95,21.01,20.23,20.23,15695.0
2019-07-01,21.37,21.37,20.85,20.85,4322.0
2019-06-28,20.96,21.3,20.63,20.63,9947.0
2019-06-27,20.26,21.5,20.25,20.3,7329.0
2019-06-26,21.0,21.495,20.49,20.49,4327.0
2019-06-25,21.2,21.2,21.1,21.2,2552.0
2019-06-24,21.04,21.04,21.04,21.04,1302.0
2019-06-21,21.39,21.39,21.39,21.39,117.0
2019-06-20,22.291,22.291,22.291,22.291,107.0
2019-06-19,21.42,21.5,21.01,21.01,4063.0
2019-06-18,20.95,21.23,20.95,21.19,1619.0
2019-06-17,21.0867,21.0867,21.0867,21.0867,93.0
2019-06-14,21.0867,21.0867,21.0867,21.0867,442.0
2019-06-13,20.8298,20.9,20.8298,20.836,1384.0
2019-06-12,20.52,20.52,20.52,20.52,0.0
2019-06-11,20.52,20.52,20.52,20.52,0.0
2019-06-10,20.52,20.52,20.52,20.52,2.0
2019-06-07,20.5,20.75,20.5,20.52,1978.0
2019-06-06,20.5,20.5,20.5,20.5,50.0
2019-06-05,20.8035,20.8035,20.5,20.5,645.0
2019-06-04,21.06,21.0801,20.2,20.5,9800.0
2019-06-03,21.21,21.3,20.55,20.97,3959.0
2019-05-31,21.75,21.75,20.75,20.75,3050.0
2019-05-30,22.98,22.98,22.98,22.98,33.0
2019-05-29,22.967,22.98,22.967,22.98,1710.0
2019-05-28,21.0,21.0,21.0,21.0,417.0
2019-05-24,21.0,21.0,21.0,21.0,2.0
2019-05-23,21.0,21.0,21.0,21.0,503.0
2019-05-22,22.0,22.0,22.0,22.0,26.0
2019-05-21,20.95,22.0,20.95,22.0,276.0
2019-05-20,20.9,20.9,20.9,20.9,215.0
2019-05-17,20.9,20.9,20.9,20.9,22.0
2019-05-16,20.4,21.2316,20.4,20.9,3992.0
2019-05-15,20.7,20.7,20.45,20.5,772.0
2019-05-14,20.6969,20.6969,20.6969,20.6969,228.0
2019-05-13,20.2,21.145,20.2,21.145,683.0
2019-05-10,21.02,22.8319,20.16,20.16,1593.0
2019-05-09,21.02,21.02,21.02,21.02,10.0
2019-05-08,21.04,21.04,21.02,21.02,397.0
2019-05-07,21.03,21.03,21.03,21.03,235.0
2019-05-06,21.5,21.5,21.19,21.19,1456.0
2019-05-03,21.75,21.75,21.26,21.26,425.0
2019-05-02,21.5,21.53,21.5,21.5,1772.0
2019-05-01,21.55,21.55,21.55,21.55,0.0
2019-04-30,22.372,22.855,21.35,21.55,1156.0
2019-04-29,21.15,21.15,21.15,21.15,302.0
2019-04-26,21.5,21.5,21.15,21.15,728.0
2019-04-25,21.95,22.663,21.5979,21.9109,3186.0
2019-04-24,21.905,22.4608,21.41,21.53,2429.0
2019-04-23,22.55,22.765,22.17,22.31,1390.0
2019-04-22,22.5,22.5,22.5,22.5,14.0
2019-04-18,22.5,22.5,22.5,22.5,214.0
2019-04-17,22.1505,22.95,22.15,22.15,1386.0
2019-04-16,22.1305,22.64,22.1305,22.64,517.0
2019-04-15,22.2959,22.73,22.163,22.73,2179.0
2019-04-12,22.2666,22.2666,22.2,22.2,1251.0
2019-04-11,22.18,22.18,22.14,22.14,341.0
2019-04-10,22.18,22.18,22.18,22.18,266.0
2019-04-09,22.75,22.75,22.75,22.75,135.0
2019-04-08,22.5675,22.5675,22.5675,22.5675,71.0
