date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,11.02,11.24,10.96,11.23,5445.0
2020-04-23,11.5,11.5,11.0,11.335,5297.0
2020-04-22,11.0,11.49,10.83,11.49,6616.0
2020-04-21,10.9,11.0,10.7428,10.75,10276.0
2020-04-20,10.88,11.34,10.5541,11.14,17125.0
2020-04-17,10.459,10.65,10.3287,10.65,1308.0
2020-04-16,11.3,11.3,10.5538,10.57,4259.0
2020-04-15,11.7114,11.7114,10.82,11.25,4016.0
2020-04-14,10.42,11.69,10.3206,11.69,14280.0
2020-04-13,9.84,10.66,9.84,10.16,11885.0
2020-04-09,9.9,10.2,9.9,10.05,7473.0
2020-04-08,9.4,9.74,9.37,9.74,4347.0
2020-04-07,8.9,9.86,8.9,9.05,17581.0
2020-04-06,8.44,9.0,8.44,8.66,6933.0
2020-04-03,8.86,8.86,8.3,8.3,2024.0
2020-04-02,8.5247,8.5247,8.22,8.38,2828.0
2020-04-01,8.91,8.99,8.0,8.6678,18132.0
2020-03-31,9.0,9.2,8.9527,9.2,8113.0
2020-03-30,8.55,9.0,8.45,9.0,2688.0
2020-03-27,8.9,8.9,8.5,8.8,1583.0
2020-03-26,8.8942,8.8942,8.55,8.85,3134.0
2020-03-25,8.2229,8.4399,8.22,8.3,4798.0
2020-03-24,8.3,8.89,8.12,8.12,12972.0
2020-03-23,8.86,9.0,8.3,8.3,7314.0
2020-03-20,9.1,9.1,8.61,8.87,2818.0
2020-03-19,8.4572,9.06,8.16,8.785,27227.0
2020-03-18,8.3207,9.35,8.28,9.3,10396.0
2020-03-17,9.9,9.9,8.9101,9.25,15556.0
2020-03-16,10.0,10.2207,8.36,9.8,32804.0
2020-03-13,9.29,10.6,9.29,10.38,24997.0
2020-03-12,9.5,10.0,9.0,9.55,38613.0
2020-03-11,10.45,10.48,10.2,10.2,12400.0
2020-03-10,11.09,11.09,10.33,10.645,13672.0
2020-03-09,11.03,11.03,10.33,10.33,10360.0
2020-03-06,12.64,12.64,12.025,12.1,18042.0
2020-03-05,12.33,12.985,12.33,12.933,26050.0
2020-03-04,13.28,13.78,12.27,12.4209,5069.0
2020-03-03,11.5,12.7,11.5,12.62,54861.0
2020-03-02,11.0,11.5,10.4994,11.5,36563.0
2020-02-28,10.5,11.243,10.5,10.9999,19829.0
2020-02-27,11.37,11.47,10.02,10.67,50336.0
2020-02-26,11.36,12.33,11.36,11.7,21480.0
2020-02-25,14.2,14.5497,10.94,11.5718,86479.0
