date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,16.56,16.78,16.41,16.74,269087.0
2020-04-23,16.6,16.72,16.47,16.52,226512.0
2020-04-22,16.46,16.7,16.4,16.56,343273.0
2020-04-21,16.8,16.8,15.8942,16.18,456833.0
2020-04-20,16.61,17.07,16.52,16.81,554901.0
2020-04-17,16.58,16.64,16.31,16.64,318409.0
2020-04-16,16.17,16.5,16.16,16.26,421747.0
2020-04-15,15.87,16.21,15.81,16.16,293990.0
2020-04-14,15.73,16.28,15.73,16.2,306795.0
2020-04-13,15.55,15.55,15.21,15.42,266494.0
2020-04-09,15.35,15.69,15.31,15.46,485360.0
2020-04-08,14.71,15.22,14.71,15.2,190889.0
2020-04-07,15.11,15.13,14.57,14.6,295751.0
2020-04-06,14.39,14.78,14.2559,14.75,149603.0
2020-04-03,14.09,14.196,13.75,13.89,84617.0
2020-04-02,14.0,14.27,13.769,14.14,201335.0
2020-04-01,14.16,14.4,14.01,14.03,244683.0
2020-03-31,14.79,15.1,14.5,14.6,358171.0
2020-03-30,14.79,14.99,14.68,14.9599,382183.0
2020-03-27,14.64,14.94,14.51,14.6856,234592.0
2020-03-26,14.38,15.1,14.38,15.04,290669.0
2020-03-25,14.5,14.89,14.1898,14.32,432588.0
2020-03-24,13.92,14.46,13.92,14.35,254922.0
2020-03-23,13.18,13.6,12.88,13.44,399914.0
2020-03-20,13.51,13.9543,13.13,13.2025,344005.0
2020-03-19,12.85,13.45,12.705,13.28,216511.0
2020-03-18,12.69,13.33,12.36,13.03,378786.0
2020-03-17,12.96,13.62,12.55,13.55,285165.0
2020-03-16,12.61,13.4787,12.4301,12.69,187966.0
2020-03-13,13.9,14.19,13.1308,14.165,262086.0
2020-03-12,13.69,13.96,13.0,13.3231,309135.0
2020-03-11,14.9,15.02,14.34,14.56,286188.0
2020-03-10,15.12,15.22,14.6,15.22,394029.0
2020-03-09,15.02,15.16,14.6,14.66,331530.0
2020-03-06,15.95,16.04,15.465,15.85,336195.0
2020-03-05,16.39,16.7,16.227,16.38,288081.0
2020-03-04,16.42,16.76,16.36,16.74,175260.0
2020-03-03,16.62,16.8799,15.95,16.21,210660.0
2020-03-02,16.34,16.6,15.96,16.55,503265.0
2020-02-28,15.6,16.14,15.51,16.14,924572.0
2020-02-27,16.27,16.6263,16.0,16.01,427596.0
2020-02-26,16.75,17.119,16.64,16.7781,390176.0
2020-02-25,17.4,17.4,16.66,16.75,507572.0
2020-02-24,17.03,17.3999,16.89,17.2853,527114.0
2020-02-21,18.15,18.18,17.6801,17.82,332756.0
2020-02-20,18.36,18.43,17.84,18.15,487775.0
2020-02-19,18.31,18.42,18.305,18.33,290833.0
2020-02-18,18.02,18.24,18.02,18.2,342378.0
2020-02-14,17.98,18.129,17.95,18.05,320290.0
2020-02-13,17.78,18.0,17.7343,17.91,221619.0
2020-02-12,17.84,17.95,17.7,17.83,210260.0
2020-02-11,17.78,17.8182,17.6,17.6599,299510.0
2020-02-10,17.47,17.73,17.4,17.7,259158.0
2020-02-07,17.35,17.62,17.35,17.48,195855.0
2020-02-06,17.43,17.5,17.18,17.39,186770.0
2020-02-05,17.92,17.95,17.36,17.43,590937.0
2020-02-04,17.45,17.7919,17.43,17.76,248256.0
2020-02-03,17.1,17.31,17.1,17.31,188546.0
2020-01-31,17.22,17.3279,16.99,17.05,215137.0
2020-01-30,17.16,17.28,17.04,17.275,328872.0
2020-01-29,17.26,17.32,17.13,17.19,259032.0
2020-01-28,17.0,17.2166,16.98,17.21,330613.0
2020-01-27,16.93,17.03,16.72,16.9429,172019.0
2020-01-24,17.38,17.5,17.1,17.22,238302.0
2020-01-23,17.16,17.3167,17.12,17.27,195345.0
2020-01-22,17.25,17.4,17.17,17.1757,288637.0
2020-01-21,17.2,17.3,17.12,17.17,361395.0
2020-01-17,17.27,17.2819,17.14,17.2033,237750.0
2020-01-16,17.1,17.24,17.085,17.2287,287003.0
2020-01-15,16.89,17.22,16.89,17.0459,509141.0
2020-01-14,16.99,17.04,16.83,16.95,387735.0
2020-01-13,16.76,17.07,16.76,17.015,372902.0
2020-01-10,16.73,16.85,16.675,16.76,246210.0
2020-01-09,16.61,16.74,16.6,16.72,234441.0
2020-01-08,16.33,16.65,16.33,16.55,658787.0
2020-01-07,16.31,16.45,16.31,16.38,736021.0
2020-01-06,15.91,16.358,15.91,16.3478,420529.0
2020-01-03,15.87,16.0864,15.8277,16.046,222184.0
2020-01-02,15.83,16.04,15.83,16.035,165194.0
2019-12-31,15.68,15.75,15.65,15.7468,36159.0
2019-12-30,15.83,15.83,15.54,15.68,101840.0
2019-12-27,15.94,15.97,15.7815,15.87,101790.0
2019-12-26,15.82,15.9829,15.82,15.94,170937.0
2019-12-24,15.81,15.84,15.75,15.82,254611.0
2019-12-23,15.89,15.9196,15.81,15.81,173250.0
2019-12-20,15.82,15.92,15.82,15.8964,152870.0
2019-12-19,15.63,15.819,15.6,15.8086,593587.0
2019-12-18,15.51,15.74,15.51,15.7,127392.0
2019-12-17,15.54,15.59,15.48,15.5267,230244.0
2019-12-16,15.43,15.6,15.42,15.54,151529.0
2019-12-13,15.19,15.38,15.18,15.375,155012.0
2019-12-12,15.31,15.4,15.16,15.2,167400.0
2019-12-11,15.39,15.4,15.25,15.3411,106243.0
2019-12-10,15.54,15.57,15.4,15.4121,86083.0
2019-12-09,15.62,15.6899,15.57,15.5731,99232.0
2019-12-06,15.62,15.71,15.62,15.6358,98027.0
2019-12-05,15.68,15.7,15.56,15.59,74362.0
2019-12-04,15.73,15.79,15.611,15.7176,139834.0
2019-12-03,15.41,15.75,15.28,15.75,288387.0
2019-12-02,15.97,16.02,15.43,15.62,264842.0
2019-11-29,15.95,16.02,15.94,15.96,232490.0
2019-11-27,15.93,16.02,15.91,16.0149,273421.0
2019-11-26,15.76,15.93,15.75,15.89,231715.0
2019-11-25,15.6,15.79,15.6,15.75,222907.0
2019-11-22,15.53,15.6,15.45,15.55,219530.0
2019-11-21,15.49,15.6438,15.42,15.5,209707.0
2019-11-20,15.41,15.65,15.35,15.46,348952.0
2019-11-19,15.3,15.47,15.28,15.41,176339.0
2019-11-18,15.22,15.32,15.16,15.26,258185.0
2019-11-15,15.06,15.25,15.0105,15.23,262120.0
2019-11-14,15.06,15.09,14.99,15.01,199268.0
2019-11-13,14.86,15.07,14.86,15.065,126579.0
2019-11-12,14.91,15.01,14.88,14.96,99269.0
2019-11-11,14.74,14.9498,14.72,14.895,317357.0
2019-11-08,14.7,14.87,14.63,14.82,176692.0
2019-11-07,14.8,14.89,14.61,14.69,186104.0
2019-11-06,14.81,14.86,14.7226,14.75,119513.0
2019-11-05,14.88,14.9,14.65,14.8,84850.0
