date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.4,1.59,1.4,1.46,21053.0
2020-04-23,1.45,1.45,1.38,1.4,17766.0
2020-04-22,1.39,1.45,1.3675,1.37,7601.0
2020-04-21,1.52,1.52,1.325,1.3283,67767.0
2020-04-20,1.59,1.65,1.51,1.5163,31772.0
2020-04-17,1.53,1.57,1.5123,1.57,20690.0
2020-04-16,1.69,1.69,1.5,1.5,68743.0
2020-04-15,1.66,1.68,1.5,1.6352,18315.0
2020-04-14,1.53,1.6904,1.53,1.63,41204.0
2020-04-13,1.4,1.4901,1.3568,1.49,41060.0
2020-04-09,1.39,1.48,1.36,1.39,63423.0
2020-04-08,1.35,1.3872,1.3266,1.38,13857.0
2020-04-07,1.3199,1.35,1.25,1.3,16342.0
2020-04-06,1.2,1.45,1.19,1.3,55347.0
2020-04-03,1.25,1.2536,1.15,1.175,23830.0
2020-04-02,1.23,1.31,1.23,1.24,26406.0
2020-04-01,1.24,1.3732,1.24,1.24,8094.0
2020-03-31,1.2754,1.4496,1.26,1.3331,23678.0
2020-03-30,1.43,1.43,1.26,1.4,42414.0
2020-03-27,1.4,1.4,1.3,1.35,34448.0
2020-03-26,1.34,1.4,1.21,1.3701,45069.0
2020-03-25,1.25,1.4,1.2,1.34,39439.0
2020-03-24,1.22,1.28,1.19,1.28,25638.0
2020-03-23,1.15,1.19,1.07,1.19,55880.0
2020-03-20,1.35,1.3999,1.1603,1.1941,61473.0
2020-03-19,1.1,1.39,1.0504,1.3065,73327.0
2020-03-18,1.2,1.25,1.06,1.1007,346995.0
2020-03-17,1.51,1.51,1.21,1.22,205509.0
2020-03-16,1.16,1.7893,1.16,1.53,130333.0
2020-03-13,1.76,2.06,1.5,1.69,140279.0
2020-03-12,1.68,1.69,1.53,1.68,115374.0
2020-03-11,1.96,2.0292,1.79,1.8,43355.0
2020-03-10,2.17,2.1838,1.97,2.01,121811.0
2020-03-09,2.1,2.1,1.78,1.98,128891.0
2020-03-06,2.2,2.22,2.11,2.16,52681.0
2020-03-05,2.27,2.3801,2.23,2.23,68035.0
2020-03-04,2.15,2.32,2.1,2.31,98063.0
2020-03-03,2.15,2.1975,2.0924,2.11,80612.0
2020-03-02,2.1,2.193,2.055,2.15,89701.0
2020-02-28,2.16,2.16,2.02,2.11,133794.0
2020-02-27,2.25,2.2766,2.05,2.18,137815.0
2020-02-26,2.28,2.6,2.23,2.25,180500.0
2020-02-25,2.06,2.3725,2.06,2.31,216677.0
2020-02-24,2.1,2.145,1.95,2.11,191597.0
2020-02-21,2.26,2.456,2.15,2.17,289459.0
2020-02-20,2.59,2.6,2.21,2.29,642511.0
2020-02-19,2.95,3.16,2.5,2.69,1411784.0
2020-02-18,3.0,3.33,2.8202,3.17,836695.0
2020-02-14,2.98,3.0401,2.68,2.93,386596.0
2020-02-13,2.75,3.0598,2.68,2.89,692563.0
2020-02-12,2.7,2.75,2.6701,2.72,110278.0
2020-02-11,2.7,2.75,2.6524,2.7,132034.0
2020-02-10,2.7,2.76,2.69,2.73,91226.0
2020-02-07,2.72,2.72,2.65,2.68,81182.0
2020-02-06,2.73,2.76,2.7,2.72,72422.0
2020-02-05,2.7,2.75,2.65,2.73,76209.0
2020-02-04,2.77,2.77,2.64,2.68,106694.0
2020-02-03,2.68,2.85,2.65,2.71,100761.0
2020-01-31,2.64,2.71,2.56,2.68,88732.0
2020-01-30,2.72,2.78,2.6331,2.65,103695.0
2020-01-29,2.78,2.78,2.7,2.75,101849.0
2020-01-28,2.75,2.88,2.71,2.74,196357.0
2020-01-27,2.62,2.75,2.6,2.66,155942.0
2020-01-24,2.56,2.65,2.56,2.62,104490.0
2020-01-23,2.6,2.68,2.54,2.54,150626.0
2020-01-22,2.75,2.75,2.61,2.635,64127.0
2020-01-21,2.75,2.75,2.59,2.67,188889.0
2020-01-17,2.44,2.555,2.44,2.538,49307.0
2020-01-16,2.55,2.56,2.4,2.48,107153.0
2020-01-15,2.5,2.5819,2.45,2.56,85416.0
2020-01-14,2.52,2.5782,2.4,2.51,99456.0
2020-01-13,2.74,2.75,2.51,2.51,186278.0
2020-01-10,2.51,2.75,2.451,2.68,517659.0
2020-01-09,2.36,2.48,2.265,2.46,104671.0
2020-01-08,2.38,2.45,2.37,2.38,26567.0
2020-01-07,2.45,2.57,2.3797,2.43,161702.0
2020-01-06,2.49,2.49,2.33,2.46,180377.0
2020-01-03,2.48,2.48,2.29,2.3,60679.0
2020-01-02,2.24,2.49,2.2186,2.49,88401.0
2019-12-31,2.26,2.38,2.15,2.25,44835.0
2019-12-30,2.24,2.28,2.13,2.26,81588.0
2019-12-27,2.41,2.415,2.15,2.17,181474.0
2019-12-26,2.28,2.49,2.24,2.41,151682.0
2019-12-24,2.3,2.31,2.2123,2.2266,59223.0
2019-12-23,2.15,2.3337,2.08,2.25,404153.0
2019-12-20,2.14,2.14,2.065,2.09,12503.0
2019-12-19,2.08,2.15,2.0,2.15,30005.0
2019-12-18,2.0707,2.08,2.0,2.03,43431.0
2019-12-17,2.15,2.17,2.05,2.09,46051.0
2019-12-16,2.2,2.24,2.0,2.15,155284.0
2019-12-13,2.18,2.25,2.15,2.16,46772.0
2019-12-12,2.16,2.24,2.1132,2.2,76362.0
2019-12-11,2.16,2.25,2.1,2.14,54187.0
2019-12-10,1.91,2.2,1.91,2.15,169914.0
2019-12-09,1.9,1.95,1.9,1.9259,27065.0
2019-12-06,1.95,2.04,1.89,1.91,86906.0
2019-12-05,1.98,2.0,1.9,1.95,72538.0
2019-12-04,2.14,2.14,1.98,1.995,128099.0
2019-12-03,2.25,2.27,1.86,2.08,124068.0
2019-12-02,1.95,2.29,1.8269,2.21,251977.0
2019-11-29,1.75,1.935,1.72,1.89,63010.0
2019-11-27,1.66,1.75,1.6404,1.75,79864.0
2019-11-26,1.63,1.7,1.62,1.67,59745.0
2019-11-25,1.58,1.66,1.5168,1.64,73588.0
2019-11-22,1.51,1.5806,1.51,1.56,34933.0
2019-11-21,1.56,1.6994,1.51,1.51,195158.0
2019-11-20,1.18,1.65,1.18,1.57,729253.0
2019-11-19,1.1,1.2,1.1,1.1837,80291.0
2019-11-18,1.14,1.15,1.0829,1.1,41372.0
2019-11-15,1.05,1.2,1.05,1.0924,117710.0
2019-11-14,1.12,1.18,1.04,1.06,68089.0
2019-11-13,1.12,1.19,1.1,1.12,82055.0
2019-11-12,1.26,1.28,1.07,1.083,345189.0
2019-11-11,1.39,1.4,1.27,1.28,97933.0
2019-11-08,1.36,1.44,1.36,1.37,43154.0
2019-11-07,1.41,1.42,1.36,1.37,29069.0
2019-11-06,1.46,1.5,1.4,1.42,44715.0
2019-11-05,1.45,1.5,1.4028,1.45,51883.0
2019-11-04,1.51,1.55,1.31,1.42,249906.0
2019-11-01,1.49,1.5247,1.47,1.49,38502.0
2019-10-31,1.54,1.55,1.47,1.48,73396.0
2019-10-30,1.65,1.7394,1.55,1.55,323331.0
2019-10-29,1.57,1.62,1.55,1.57,40995.0
2019-10-28,1.56,1.66,1.56,1.57,71424.0
2019-10-25,1.57,1.6,1.5378,1.5727,46860.0
2019-10-24,1.61,1.632,1.5195,1.58,79008.0
2019-10-23,1.51,1.92,1.51,1.59,286858.0
2019-10-22,1.55,1.5854,1.51,1.51,45924.0
2019-10-21,1.59,1.6,1.512,1.56,31970.0
2019-10-18,1.71,1.71,1.5713,1.59,54582.0
2019-10-17,1.61,1.79,1.55,1.69,299582.0
2019-10-16,1.48,1.75,1.48,1.61,207825.0
2019-10-15,1.77,1.77,1.47,1.49,141453.0
2019-10-14,1.63,1.7,1.56,1.6,84815.0
