date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,4.09,4.29,3.75,3.85,195875.0
2020-04-08,4.02,4.33,3.86,3.95,129838.0
2020-04-07,4.32,4.7,3.8,4.16,128503.0
2020-04-06,3.62,4.52,3.43,3.93,208024.0
2020-04-03,4.1,4.36,3.225,3.35,298143.0
2020-04-02,4.75,5.09,4.34,4.44,232818.0
2020-04-01,5.42,6.56,4.75,4.75,280495.0
2020-03-31,5.08,5.7882,4.77,5.42,219517.0
2020-03-30,5.06,5.14,4.4501,5.13,116591.0
2020-03-27,5.47,5.47,4.58,4.62,100944.0
2020-03-26,6.09,6.46,5.03,5.47,85572.0
2020-03-25,4.93,6.37,4.5,5.98,106873.0
2020-03-24,4.9,5.2,4.48,4.73,177691.0
2020-03-23,5.56,5.73,4.31,4.5,101443.0
2020-03-20,5.25,5.74,4.85,5.27,189765.0
2020-03-19,4.61,5.4,4.38,5.22,128012.0
2020-03-18,5.93,5.98,4.58,4.65,73498.0
2020-03-17,6.28,6.775,5.56,6.59,92317.0
2020-03-16,5.36,6.06,5.36,5.95,100149.0
2020-03-13,5.3,6.5766,5.07,6.39,102796.0
2020-03-12,6.59,6.83,4.95,4.96,201050.0
2020-03-11,7.77,8.514,6.84,6.85,68642.0
2020-03-10,8.33,8.96,7.78,8.01,85047.0
2020-03-09,9.44,9.44,7.6,8.15,91497.0
2020-03-06,10.08,10.375,9.55,9.76,107687.0
2020-03-05,11.21,11.27,10.36,10.6,125401.0
2020-03-04,11.65,11.8443,11.04,11.46,45786.0
2020-03-03,12.12,12.975,11.05,11.415,74856.0
2020-03-02,12.09,12.09,11.575,11.98,63791.0
2020-02-28,11.76,12.26,11.5451,12.05,111880.0
2020-02-27,12.68,13.43,12.0,12.09,101413.0
2020-02-26,13.4,13.47,13.05,13.07,87569.0
2020-02-25,13.98,13.98,13.18,13.32,172562.0
2020-02-24,14.12,14.19,13.5813,14.01,50067.0
2020-02-21,13.95,14.5,13.5,14.24,128053.0
2020-02-20,14.16,14.3,13.91,14.15,78572.0
2020-02-19,14.42,14.47,14.01,14.22,29091.0
2020-02-18,14.61,14.79,14.32,14.43,23018.0
2020-02-14,14.56,14.59,14.27,14.53,29392.0
2020-02-13,14.65,14.82,14.3525,14.64,37024.0
2020-02-12,14.5,14.7,14.41,14.62,53207.0
2020-02-11,14.21,14.42,14.15,14.38,70887.0
2020-02-10,13.99,14.17,13.73,14.1,63815.0
