date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,0.249,0.2739,0.2111,0.235,493675.0
2020-03-27,0.245,0.245,0.2301,0.2309,146309.0
2020-03-26,0.2509,0.2589,0.225,0.2379,142295.0
2020-03-25,0.233,0.2599,0.2205,0.239,341302.0
2020-03-24,0.2199,0.22,0.21,0.2167,141389.0
2020-03-23,0.24,0.24,0.2002,0.2095,256434.0
2020-03-20,0.2195,0.2442,0.2006,0.2033,705468.0
2020-03-19,0.2,0.2179,0.188,0.1989,156758.0
2020-03-18,0.2121,0.2159,0.1839,0.187,192053.0
2020-03-17,0.2341,0.2341,0.21,0.2201,239385.0
2020-03-16,0.252,0.252,0.211,0.223,240077.0
2020-03-13,0.2415,0.2599,0.241,0.2484,261092.0
2020-03-12,0.27,0.27,0.2305,0.238,363961.0
2020-03-11,0.32,0.32,0.26,0.26,295674.0
2020-03-10,0.3356,0.3356,0.3,0.305,263328.0
2020-03-09,0.34,0.34,0.3,0.33,122407.0
2020-03-06,0.34,0.3595,0.3262,0.3495,353584.0
2020-03-05,0.3452,0.35,0.331,0.3401,177586.0
2020-03-04,0.34,0.3748,0.32,0.3546,497135.0
2020-03-03,0.3397,0.34,0.322,0.3344,86372.0
2020-03-02,0.35,0.35,0.32,0.3351,131646.0
2020-02-28,0.36,0.36,0.31,0.335,349981.0
2020-02-27,0.316,0.3898,0.3,0.3279,810973.0
2020-02-26,0.33,0.3399,0.3105,0.316,241433.0
2020-02-25,0.34,0.3495,0.3212,0.3254,255605.0
2020-02-24,0.335,0.35,0.335,0.3401,135676.0
2020-02-21,0.3475,0.3642,0.32,0.3497,464065.0
2020-02-20,0.33,0.3548,0.33,0.335,97575.0
2020-02-19,0.3465,0.35,0.333,0.345,217609.0
2020-02-18,0.355,0.365,0.3412,0.3458,102491.0
2020-02-14,0.39,0.39,0.3503,0.3518,363158.0
2020-02-13,0.34,0.415,0.34,0.395,910653.0
2020-02-12,0.3451,0.359,0.34,0.3493,94093.0
2020-02-11,0.3438,0.3599,0.335,0.3414,101977.0
2020-02-10,0.345,0.3649,0.332,0.34,466064.0
2020-02-07,0.33,0.35,0.3251,0.3369,171487.0
2020-02-06,0.34,0.35,0.33,0.332,139068.0
2020-02-05,0.34,0.348,0.331,0.3397,158010.0
2020-02-04,0.35,0.364,0.334,0.339,143909.0
2020-02-03,0.3618,0.3648,0.34,0.3462,176541.0
2020-01-31,0.34,0.3499,0.3301,0.3493,139084.0
2020-01-30,0.3545,0.3609,0.335,0.3422,95172.0
2020-01-29,0.3643,0.377,0.3412,0.351,399408.0
2020-01-28,0.33,0.4285,0.315,0.359,1655733.0
2020-01-27,0.333,0.345,0.3,0.3313,561810.0
2020-01-24,0.3517,0.3518,0.3079,0.3172,562526.0
2020-01-23,0.34,0.36,0.33,0.335,272508.0
2020-01-22,0.3407,0.358,0.3351,0.3357,264598.0
2020-01-21,0.355,0.3749,0.322,0.3404,540689.0
2020-01-17,0.37,0.3899,0.3529,0.3688,315323.0
2020-01-16,0.37,0.4,0.365,0.3697,464542.0
2020-01-15,0.384,0.41,0.3711,0.3852,753391.0
2020-01-14,0.43,0.47,0.38,0.3901,1013007.0
2020-01-13,0.36,0.435,0.359,0.423,1276171.0
2020-01-10,0.39,0.392,0.3301,0.3541,1268877.0
2020-01-09,0.39,0.42,0.376,0.3761,826381.0
2020-01-08,0.37,0.4455,0.3519,0.4132,1868225.0
2020-01-07,0.35,0.365,0.33,0.36,265429.0
2020-01-06,0.34,0.37,0.33,0.3431,358114.0
2020-01-03,0.329,0.361,0.329,0.3549,844277.0
2020-01-02,0.2866,0.338,0.2866,0.32,1162104.0
2019-12-31,0.281,0.3069,0.275,0.2804,764374.0
2019-12-30,0.262,0.29,0.262,0.276,287069.0
2019-12-27,0.2884,0.2884,0.262,0.2724,254207.0
2019-12-26,0.27,0.288,0.265,0.274,236362.0
2019-12-24,0.2835,0.2849,0.2641,0.2699,164743.0
2019-12-23,0.275,0.29,0.2723,0.2798,268081.0
2019-12-20,0.2855,0.295,0.2782,0.2848,228959.0
2019-12-19,0.2832,0.2976,0.275,0.2879,315836.0
2019-12-18,0.304,0.3046,0.282,0.2833,430775.0
2019-12-17,0.31,0.31,0.2833,0.2952,837162.0
2019-12-16,0.32,0.32,0.2701,0.2943,694959.0
2019-12-13,0.2942,0.36,0.2702,0.2995,3825188.0
2019-12-12,0.24,0.254,0.22,0.24,407820.0
2019-12-11,0.245,0.2584,0.234,0.2494,297115.0
2019-12-10,0.26,0.269,0.2362,0.2481,347573.0
2019-12-09,0.242,0.264,0.235,0.2497,288153.0
2019-12-06,0.2555,0.2695,0.24,0.2448,389221.0
2019-12-05,0.24,0.28,0.226,0.2595,1197403.0
2019-12-04,0.22,0.25,0.213,0.23,896143.0
2019-12-03,0.22,0.22,0.19,0.2111,329324.0
2019-12-02,0.229,0.2319,0.1952,0.217,682999.0
2019-11-29,0.2,0.2105,0.1825,0.2001,465972.0
2019-11-27,0.2,0.2075,0.185,0.193,418663.0
2019-11-26,0.2325,0.2325,0.1905,0.195,879221.0
2019-11-25,0.31,0.31,0.1601,0.211,2687778.0
2019-11-22,0.3242,0.3243,0.3,0.3002,91366.0
2019-11-21,0.301,0.316,0.3,0.3088,284765.0
2019-11-20,0.32,0.32,0.3,0.3,158749.0
2019-11-19,0.34,0.34,0.302,0.3114,274476.0
2019-11-18,0.3465,0.3465,0.3275,0.3301,161812.0
2019-11-15,0.34,0.3581,0.325,0.33,236706.0
2019-11-14,0.33,0.3398,0.3212,0.3234,164218.0
2019-11-13,0.3393,0.3393,0.3205,0.3262,289499.0
2019-11-12,0.3579,0.3645,0.3349,0.3393,351528.0
2019-11-11,0.378,0.378,0.3355,0.35,189403.0
2019-11-08,0.3501,0.3675,0.35,0.3551,142961.0
2019-11-07,0.3511,0.419,0.301,0.3501,917529.0
2019-11-06,0.4,0.4,0.3451,0.3511,309705.0
2019-11-05,0.38,0.4284,0.36,0.39,1111941.0
2019-11-04,0.3677,0.3881,0.341,0.38,252121.0
2019-11-01,0.3509,0.355,0.34,0.3502,132563.0
2019-10-31,0.35,0.35,0.331,0.3342,157423.0
2019-10-30,0.3535,0.3599,0.3331,0.335,116442.0
2019-10-29,0.38,0.38,0.34,0.3525,206013.0
2019-10-28,0.39,0.39,0.36,0.3612,146151.0
2019-10-25,0.3721,0.41,0.3601,0.3901,139477.0
2019-10-24,0.385,0.3881,0.3501,0.3758,101340.0
2019-10-23,0.3758,0.39,0.36,0.3851,67883.0
2019-10-22,0.38,0.39,0.36,0.3799,66179.0
2019-10-21,0.37,0.38,0.3602,0.37,93154.0
2019-10-18,0.38,0.3801,0.35,0.3644,268583.0
2019-10-17,0.4263,0.4449,0.38,0.3864,231118.0
2019-10-16,0.401,0.44,0.401,0.4112,375606.0
2019-10-15,0.3781,0.4999,0.35,0.4477,1868562.0
2019-10-14,0.42,0.42,0.3305,0.3601,881850.0
2019-10-11,0.311,0.3978,0.31,0.365,790740.0
2019-10-10,0.33,0.34,0.3158,0.3257,120273.0
2019-10-09,0.35,0.35,0.31,0.33,35316.0
2019-10-08,0.35,0.35,0.315,0.34,21768.0
2019-10-07,0.3397,0.35,0.3054,0.35,121011.0
2019-10-04,0.3332,0.35,0.3201,0.3398,36377.0
2019-10-03,0.336,0.341,0.32,0.3229,29191.0
2019-10-02,0.33,0.3425,0.31,0.32,98503.0
2019-10-01,0.3403,0.38,0.34,0.343,80354.0
2019-09-30,0.4018,0.4173,0.34,0.3401,136946.0
2019-09-27,0.392,0.4099,0.38,0.3827,115912.0
2019-09-26,0.4189,0.42,0.39,0.404,55529.0
2019-09-25,0.405,0.418,0.4,0.4121,22346.0
2019-09-24,0.42,0.43,0.4,0.4025,72354.0
2019-09-23,0.44,0.45,0.416,0.4278,73958.0
2019-09-20,0.4313,0.45,0.41,0.4388,221336.0
2019-09-19,0.4726,0.4726,0.4301,0.4447,68425.0
2019-09-18,0.5,0.5,0.4311,0.4501,140079.0
2019-09-17,0.4521,0.48,0.4306,0.45,370373.0
2019-09-16,0.4215,0.443,0.4191,0.4306,209601.0
2019-09-13,0.4195,0.4404,0.4111,0.4214,90013.0
2019-09-12,0.43,0.43,0.4103,0.4116,91685.0
2019-09-11,0.41,0.4198,0.3611,0.4113,372357.0
2019-09-10,0.3745,0.5597,0.3745,0.42,2138850.0
2019-09-09,0.39,0.39,0.37,0.3897,127550.0
2019-09-06,0.3938,0.3938,0.37,0.3869,80488.0
2019-09-05,0.395,0.41,0.35,0.3938,210044.0
2019-09-04,0.418,0.42,0.38,0.3946,123918.0
2019-09-03,0.42,0.42,0.4004,0.4069,95556.0
2019-08-30,0.41,0.41,0.39,0.4004,93127.0
2019-08-29,0.4,0.4099,0.375,0.395,164934.0
2019-08-28,0.385,0.4108,0.3701,0.3949,229196.0
2019-08-27,0.44,0.44,0.36,0.3675,740179.0
2019-08-26,0.32,0.51,0.3174,0.482,1795648.0
2019-08-23,0.339,0.34,0.32,0.3201,45520.0
2019-08-22,0.3309,0.34,0.315,0.339,30462.0
2019-08-21,0.339,0.3399,0.31,0.315,39850.0
2019-08-20,0.33,0.33,0.305,0.3249,22433.0
2019-08-19,0.336,0.34,0.305,0.3185,45578.0
2019-08-16,0.31,0.33,0.3,0.3288,65362.0
2019-08-15,0.3399,0.3399,0.3,0.32,32091.0
2019-08-14,0.34,0.34,0.32,0.3259,77250.0
2019-08-13,0.3149,0.34,0.31,0.3251,272369.0
2019-08-12,0.3,0.315,0.3,0.31,39611.0
2019-08-09,0.315,0.3199,0.28,0.299,80144.0
2019-08-08,0.3,0.3093,0.2831,0.3,52702.0
2019-08-07,0.3002,0.309,0.2828,0.3,103890.0
2019-08-06,0.3135,0.314,0.3,0.3097,67236.0
2019-08-05,0.33,0.3317,0.3,0.3135,94416.0
2019-08-02,0.342,0.359,0.33,0.3431,66975.0
2019-08-01,0.367,0.367,0.33,0.3371,154285.0
2019-07-31,0.37,0.37,0.35,0.367,62446.0
2019-07-30,0.37,0.3755,0.35,0.366,69220.0
2019-07-29,0.3552,0.39,0.351,0.3755,329243.0
2019-07-26,0.3673,0.37,0.352,0.356,41908.0
2019-07-25,0.37,0.375,0.3601,0.3673,43764.0
2019-07-24,0.3744,0.3798,0.3515,0.375,75474.0
2019-07-23,0.37,0.378,0.3515,0.375,89450.0
2019-07-22,0.3951,0.3951,0.36,0.3779,92959.0
2019-07-19,0.37,0.4,0.35,0.3807,95494.0
2019-07-18,0.3775,0.39,0.3722,0.3798,77166.0
2019-07-17,0.4,0.4,0.37,0.3721,92069.0
2019-07-16,0.39,0.41,0.3831,0.39,156215.0
2019-07-15,0.4,0.4,0.3823,0.3907,58881.0
2019-07-12,0.38,0.39,0.38,0.39,62180.0
2019-07-11,0.4097,0.41,0.375,0.3793,64406.0
2019-07-10,0.409,0.41,0.36,0.3902,117398.0
2019-07-09,0.4178,0.4178,0.4,0.408,87333.0
2019-07-08,0.42,0.426,0.402,0.4035,67012.0
2019-07-05,0.42,0.42,0.41,0.42,83719.0
2019-07-03,0.42,0.43,0.4,0.4198,35269.0
2019-07-02,0.42,0.42,0.4,0.42,50184.0
2019-07-01,0.44,0.455,0.3925,0.4225,298847.0
2019-06-28,0.42,0.4358,0.42,0.42,65440.0
2019-06-27,0.4017,0.44,0.4017,0.4328,93845.0
2019-06-26,0.405,0.4279,0.405,0.412,141844.0
2019-06-25,0.4121,0.4449,0.4101,0.4127,74789.0
2019-06-24,0.4095,0.43,0.4095,0.4206,40180.0
2019-06-21,0.41,0.435,0.41,0.42,59731.0
2019-06-20,0.4222,0.43,0.41,0.4223,140105.0
2019-06-19,0.4498,0.4498,0.4201,0.4295,81474.0
2019-06-18,0.4132,0.46,0.4012,0.43,574594.0
2019-06-17,0.3945,0.4164,0.3945,0.41,56995.0
