date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,17.51,18.66,16.82,18.27,559486.0
2020-03-27,17.92,18.2,16.88,17.51,345136.0
2020-03-26,16.68,18.54,16.035,18.53,357704.0
2020-03-25,17.05,18.28,15.38,16.38,448120.0
2020-03-24,15.5,17.29,14.76,17.12,314033.0
2020-03-23,15.36,15.6,13.87,14.21,474321.0
2020-03-20,14.69,16.0,14.05,15.6,605896.0
2020-03-19,13.42,15.19,12.51,14.54,555108.0
2020-03-18,15.07,16.24,11.39,13.45,725663.0
2020-03-17,17.05,17.39,15.44,15.77,582131.0
2020-03-16,15.52,17.61,15.0,17.01,518109.0
2020-03-13,17.58,18.0287,15.2001,17.62,617458.0
2020-03-12,17.5,17.5413,15.78,16.51,959449.0
2020-03-11,19.17,19.255,17.84,18.61,597650.0
2020-03-10,18.96,19.84,18.61,19.16,699974.0
2020-03-09,18.98,19.74,17.5,18.22,794341.0
2020-03-06,21.68,22.03,20.5,20.51,628393.0
2020-03-05,24.51,24.965,21.97,22.14,617385.0
2020-03-04,23.82,25.01,23.7,24.89,461559.0
2020-03-03,22.86,24.1483,22.59,23.26,306069.0
2020-03-02,21.91,22.87,20.9,22.86,428278.0
2020-02-28,22.48,22.915,21.49,21.71,593731.0
2020-02-27,23.26,24.3463,21.6,23.18,812054.0
2020-02-26,26.32,26.77,23.94,23.995,1066030.0
2020-02-25,26.76,27.28,26.07,26.46,623633.0
2020-02-24,25.39,26.74,24.645,26.65,769442.0
2020-02-21,25.5,26.81,24.42,26.53,670608.0
2020-02-20,24.36,25.52,24.18,25.51,641813.0
2020-02-19,24.45,24.5,23.6493,24.35,637741.0
2020-02-18,24.33,24.87,22.96,24.3,715620.0
2020-02-14,24.45,24.74,24.18,24.49,418916.0
2020-02-13,23.6,25.24,23.47,24.44,827634.0
2020-02-12,22.49,23.73,22.05,23.7,640214.0
2020-02-11,23.8,23.85,21.81,22.16,938020.0
2020-02-10,22.34,23.13,21.71,23.13,659514.0
2020-02-07,21.55,22.79,21.345,22.34,545076.0
2020-02-06,20.6,21.75,20.375,21.66,410765.0
2020-02-05,20.82,21.09,20.24,20.58,682307.0
2020-02-04,21.44,21.52,20.62,20.88,629801.0
2020-02-03,21.53,22.18,20.9305,21.09,535707.0
2020-01-31,22.15,22.41,21.2001,21.35,445547.0
2020-01-30,23.6,24.08,21.85,22.08,796068.0
2020-01-29,23.6,24.18,23.29,23.72,802059.0
2020-01-28,22.19,23.6,22.005,23.44,932688.0
2020-01-27,22.19,22.32,21.56,22.05,289002.0
2020-01-24,22.75,23.0,22.42,22.58,381587.0
2020-01-23,22.59,22.84,22.39,22.75,394540.0
2020-01-22,21.71,23.04,21.71,22.84,472944.0
2020-01-21,21.57,21.89,21.43,21.7,316071.0
2020-01-17,21.92,21.92,21.36,21.57,431375.0
2020-01-16,21.68,22.0,21.31,21.61,414092.0
2020-01-15,21.7,22.04,21.3128,21.52,371352.0
2020-01-14,20.33,21.89,20.33,21.7,662140.0
2020-01-13,20.01,20.92,19.9223,20.37,337456.0
2020-01-10,20.63,20.8653,19.81,19.99,451229.0
2020-01-09,20.49,21.16,20.09,20.56,465347.0
2020-01-08,20.6,21.8698,20.03,20.32,629074.0
2020-01-07,20.81,21.15,19.3,20.63,1338733.0
2020-01-06,23.25,23.46,21.9,21.98,987558.0
2020-01-03,22.56,23.42,22.4625,22.9,754164.0
2020-01-02,22.47,23.0,22.35,22.7,860178.0
2019-12-31,21.99,23.0099,21.92,22.63,581815.0
2019-12-30,21.0,22.14,21.0,21.93,819345.0
2019-12-27,21.69,22.0,20.85,20.965,462443.0
2019-12-26,21.75,21.95,20.96,21.26,314869.0
2019-12-24,21.56,21.78,21.16,21.44,143242.0
2019-12-23,21.78,22.21,21.28,21.58,568774.0
2019-12-20,20.83,22.19,20.83,21.63,974427.0
2019-12-19,21.0,21.37,19.55,20.73,787804.0
2019-12-18,19.49,20.66,19.02,20.63,1078348.0
2019-12-17,18.07,18.95,17.2664,18.91,1275799.0
2019-12-16,16.5,18.0,16.4977,17.86,1688696.0
2019-12-13,16.0,16.64,15.7,16.52,767107.0
2019-12-12,15.6,16.2099,15.43,15.98,616253.0
2019-12-11,15.65,15.765,15.21,15.6,387416.0
2019-12-10,15.49,16.27,15.27,15.68,589391.0
2019-12-09,15.15,15.5,14.92,15.4,243749.0
2019-12-06,15.43,15.43,15.01,15.21,281294.0
2019-12-05,15.24,15.77,14.93,15.23,202246.0
2019-12-04,16.03,16.03,15.05,15.09,198790.0
2019-12-03,15.36,15.92,15.28,15.74,321881.0
2019-12-02,15.69,15.84,15.39,15.58,299076.0
2019-11-29,14.97,15.69,14.97,15.56,178014.0
