date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,5.52,6.3899,5.39,6.25,14603.0
2020-03-27,5.85,6.5526,5.53,5.72,5708.0
2020-03-26,5.9,6.285,5.8771,5.91,22665.0
2020-03-25,5.5,6.3467,5.4533,5.99,27228.0
2020-03-24,5.1899,5.39,5.0392,5.3723,14227.0
2020-03-23,5.45,5.71,5.0099,5.0099,9761.0
2020-03-20,6.21,6.27,5.1,5.11,26687.0
2020-03-19,5.93,6.398,5.055,5.5,38580.0
2020-03-18,5.9536,5.9536,4.76,5.0936,19993.0
2020-03-17,5.37,6.2318,5.3435,6.07,26009.0
2020-03-16,5.68,6.4181,4.6606,5.37,52100.0
2020-03-13,6.47,7.0257,6.085,6.47,41698.0
2020-03-12,7.246,7.6,6.71,6.72,46292.0
2020-03-11,8.1689,8.1689,7.41,7.43,8148.0
2020-03-10,8.18,8.18,7.8115,8.16,11417.0
2020-03-09,7.47,8.4842,7.47,7.99,8371.0
2020-03-06,8.63,8.63,7.605,8.07,12504.0
2020-03-05,8.21,8.795,8.21,8.689,8983.0
2020-03-04,9.04,9.065,8.2292,8.53,23314.0
2020-03-03,9.65,9.7,8.45,8.56,12588.0
2020-03-02,8.85,9.73,8.3463,9.47,17839.0
2020-02-28,9.5197,9.5197,8.83,8.86,18019.0
2020-02-27,10.2,10.2,9.6,9.6,100880.0
2020-02-26,9.93,10.3,9.78,10.21,111565.0
2020-02-25,9.87,10.24,9.57,10.04,139351.0
2020-02-24,8.81,9.45,8.81,9.4,36979.0
2020-02-21,9.17,9.17,8.74,9.14,20343.0
2020-02-20,9.31,9.31,9.04,9.1,6821.0
2020-02-19,9.0,9.4,8.9,9.25,15506.0
2020-02-18,8.64,9.0,8.64,8.99,26279.0
2020-02-14,8.52,8.67,8.26,8.67,22502.0
2020-02-13,8.55,8.65,8.2167,8.35,8555.0
2020-02-12,8.3,8.49,8.3,8.49,2186.0
2020-02-11,8.49,8.49,8.0903,8.46,12702.0
2020-02-10,8.46,8.56,8.27,8.3,7669.0
2020-02-07,8.44,8.51,8.2,8.36,4053.0
2020-02-06,8.33,8.83,8.2,8.25,21541.0
2020-02-05,8.47,8.47,8.03,8.2,5938.0
2020-02-04,8.68,8.68,8.2,8.2,509.0
2020-02-03,8.0,8.4064,8.0,8.04,7581.0
2020-01-31,8.1,8.125,8.0,8.01,4959.0
2020-01-30,7.9738,8.228,7.9738,8.14,3227.0
2020-01-29,8.3,8.3,8.0178,8.054,2846.0
2020-01-28,8.1655,8.3,7.8259,8.2,28234.0
2020-01-27,8.61,8.6101,8.11,8.2,24495.0
2020-01-24,8.7175,8.8465,8.6533,8.73,18905.0
2020-01-23,8.75,8.75,8.75,8.75,351.0
2020-01-22,8.85,8.85,8.63,8.69,7390.0
2020-01-21,8.63,8.8455,8.61,8.84,4156.0
2020-01-17,8.42,8.74,8.42,8.6,13902.0
2020-01-16,8.2593,8.3893,8.2589,8.34,10703.0
2020-01-15,8.13,8.31,8.11,8.24,5371.0
2020-01-14,8.28,8.3626,8.11,8.29,1835.0
2020-01-13,8.1069,8.2671,8.0695,8.22,4548.0
2020-01-10,8.1,8.235,7.949,8.0502,15276.0
2020-01-09,8.2,8.2,7.7988,8.1,2975.0
2020-01-08,8.23,8.25,8.11,8.11,9247.0
2020-01-07,8.18,8.205,8.18,8.185,2338.0
2020-01-06,8.01,8.05,7.9071,8.03,6464.0
2020-01-03,7.97,8.13,7.9,7.97,7329.0
2020-01-02,8.0,8.0,7.8,7.94,5628.0
2019-12-31,7.76,8.1189,7.76,8.0,12280.0
2019-12-30,7.93,8.1,7.72,7.78,15191.0
2019-12-27,7.9,8.03,7.8412,7.99,9542.0
2019-12-26,8.109,8.11,7.9,7.95,10148.0
2019-12-24,8.09,8.1347,8.0263,8.1347,7829.0
2019-12-23,8.24,8.245,7.97,8.09,13564.0
2019-12-20,8.0601,8.2,7.9201,8.2,18076.0
2019-12-19,8.02,8.15,8.02,8.13,11853.0
2019-12-18,8.15,8.24,8.0,8.09,6279.0
2019-12-17,8.0265,8.2,8.0265,8.15,2712.0
2019-12-16,8.2,8.32,7.91,8.21,13823.0
2019-12-13,8.15,8.35,7.7395,8.35,6739.0
2019-12-12,7.67,8.05,7.67,8.05,9532.0
2019-12-11,7.875,8.015,7.66,7.9,21055.0
2019-12-10,7.39,8.135,7.38,8.1,25626.0
2019-12-09,7.3,7.4991,7.28,7.4,23789.0
2019-12-06,7.64,7.65,7.01,7.03,29226.0
2019-12-05,7.5,7.8,7.5,7.65,6128.0
2019-12-04,7.8,7.8,7.5,7.5,14081.0
2019-12-03,7.86,7.86,7.4605,7.79,9783.0
2019-12-02,7.71,7.93,7.6888,7.91,13602.0
2019-11-29,7.55,7.99,7.5225,7.84,9735.0
2019-11-27,7.8,8.119,7.6,7.6,11973.0
2019-11-26,7.7201,7.73,7.6,7.63,6503.0
2019-11-25,7.5792,7.94,7.54,7.73,18853.0
2019-11-22,8.16,8.16,7.65,7.65,21783.0
2019-11-21,7.772,8.2895,7.772,8.0,16313.0
2019-11-20,8.7,8.7,7.5101,7.95,43863.0
2019-11-19,8.52,8.73,8.5,8.73,9836.0
2019-11-18,8.93,8.93,8.63,8.64,18573.0
2019-11-15,9.4,9.5,8.4401,8.93,82852.0
2019-11-14,9.85,10.189,9.7544,10.14,31163.0
2019-11-13,9.61,9.84,9.61,9.7,3150.0
2019-11-12,9.71,9.71,9.71,9.71,94.0
2019-11-11,9.48,9.785,9.48,9.71,1151.0
2019-11-08,9.646,9.66,9.6,9.6,887.0
2019-11-07,9.8499,9.8499,9.43,9.55,10691.0
2019-11-06,9.66,9.84,9.52,9.75,3391.0
2019-11-05,9.8,9.81,9.47,9.55,7465.0
2019-11-04,9.84,9.85,9.45,9.8,3746.0
2019-11-01,9.3911,9.8,9.315,9.74,10137.0
2019-10-31,9.78,9.78,9.25,9.25,2361.0
2019-10-30,9.3836,9.6982,9.36,9.64,8605.0
2019-10-29,9.263,9.75,9.263,9.5,5211.0
2019-10-28,9.85,9.85,9.59,9.74,8106.0
2019-10-25,9.62,9.85,9.5905,9.85,8287.0
2019-10-24,9.29,10.05,9.25,9.54,33124.0
2019-10-23,9.3607,9.6101,9.12,9.12,9787.0
2019-10-22,8.96,9.32,8.96,9.26,23705.0
2019-10-21,9.0,9.335,8.7993,8.7993,52093.0
2019-10-18,9.1775,9.48,8.8,9.0,36680.0
2019-10-17,9.25,9.25,9.12,9.13,3284.0
2019-10-16,9.249,9.42,9.1933,9.41,4077.0
2019-10-15,9.37,9.37,9.17,9.19,2484.0
2019-10-14,9.44,9.61,9.05,9.48,10178.0
2019-10-11,9.7,9.7,9.25,9.26,9342.0
2019-10-10,9.58,9.829,9.3,9.3,5415.0
2019-10-09,9.47,9.85,9.38,9.85,6254.0
2019-10-08,9.34,9.8,9.34,9.56,6643.0
2019-10-07,9.42,9.82,9.25,9.3,14963.0
2019-10-04,9.42,9.67,9.33,9.46,6666.0
2019-10-03,9.46,9.585,9.25,9.27,10819.0
2019-10-02,9.69,9.84,9.46,9.46,15564.0
2019-10-01,9.45,9.74,9.45,9.74,1466.0
2019-09-30,9.6744,9.7,9.6,9.65,1965.0
2019-09-27,9.61,9.653,9.6,9.6,2526.0
2019-09-26,9.5,9.5,9.5,9.5,748.0
2019-09-25,9.6,9.666,9.6,9.6,3279.0
2019-09-24,9.546,9.61,9.51,9.61,3150.0
2019-09-23,9.51,9.8176,9.48,9.67,9820.0
2019-09-20,9.85,9.85,9.45,9.85,9996.0
2019-09-19,9.71,10.1891,9.33,9.36,9239.0
2019-09-18,9.56,10.0232,9.45,9.78,12698.0
2019-09-17,9.7,9.74,9.45,9.67,9828.0
2019-09-16,9.62,9.71,9.32,9.45,4839.0
2019-09-13,9.785,9.785,9.46,9.52,1826.0
2019-09-12,9.92,9.98,9.48,9.5,14623.0
2019-09-11,9.15,10.6274,9.15,9.83,198466.0
2019-09-10,9.29,9.49,9.0,9.22,8150.0
2019-09-09,9.19,9.24,8.83,9.2,28018.0
2019-09-06,9.05,9.41,9.02,9.28,24181.0
2019-09-05,9.04,9.5349,9.0,9.01,3816.0
2019-09-04,9.5,9.5,9.0,9.0,7896.0
2019-09-03,9.6171,9.6171,9.0,9.01,24754.0
2019-08-30,9.5,9.5,9.12,9.12,8374.0
2019-08-29,9.42,10.0,9.16,9.22,15150.0
2019-08-28,9.4,9.5208,9.14,9.19,16683.0
2019-08-27,9.3808,9.9507,9.05,9.25,39427.0
2019-08-26,9.2,9.31,9.1074,9.3,14857.0
2019-08-23,9.01,9.24,9.0,9.21,10001.0
2019-08-22,9.19,9.485,9.0,9.0,1325.0
2019-08-21,9.06,9.375,9.0,9.02,4336.0
2019-08-20,9.0838,9.125,9.0,9.07,15161.0
2019-08-19,9.31,9.48,9.1,9.2,14429.0
2019-08-16,9.2061,9.35,9.06,9.35,7666.0
2019-08-15,9.05,9.75,9.05,9.2,25362.0
2019-08-14,9.4,9.7937,9.0381,9.37,37865.0
2019-08-13,9.46,9.46,9.0451,9.285,10086.0
2019-08-12,9.05,9.4294,9.0,9.03,16556.0
2019-08-09,9.0,9.239,9.0,9.0,13132.0
2019-08-08,9.39,9.5812,8.75,8.82,28483.0
2019-08-07,9.22,9.7999,9.17,9.3,45334.0
2019-08-06,9.4,9.4642,9.01,9.01,13196.0
2019-08-05,9.4,9.44,8.4311,9.325,21551.0
2019-08-02,9.38,9.45,8.93,9.37,19452.0
2019-08-01,9.4,9.409,9.2221,9.4,38071.0
2019-07-31,9.05,9.5445,9.0,9.28,53231.0
2019-07-30,8.74,9.22,8.65,9.05,30062.0
2019-07-29,8.55,8.97,8.31,8.7,39658.0
2019-07-26,7.9299,8.55,7.9299,8.49,24530.0
2019-07-25,8.21,8.27,7.93,7.96,12286.0
2019-07-24,8.03,8.3689,8.02,8.25,11350.0
2019-07-23,8.82,8.877,8.0,8.0,42838.0
2019-07-22,8.77,8.8165,8.515,8.675,8329.0
2019-07-19,8.92,8.9486,8.58,8.67,20755.0
2019-07-18,8.36,8.9561,8.32,8.8316,54182.0
2019-07-17,8.46,8.46,8.12,8.4,24579.0
2019-07-16,8.47,8.4999,8.0196,8.25,38351.0
2019-07-15,7.31,8.6699,7.25,8.4,100742.0
2019-07-12,7.11,7.15,7.01,7.02,10949.0
2019-07-11,7.46,7.5,7.07,7.16,9749.0
