date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,15.35,17.18,15.28,16.93,555586.0
2020-03-27,15.32,16.23,15.05,15.15,450393.0
2020-03-26,15.7,16.41,15.3912,15.91,371764.0
2020-03-25,14.65,16.22,14.65,15.53,466921.0
2020-03-24,14.89,15.5,13.8662,14.66,358820.0
2020-03-23,14.58,15.57,13.62,14.26,545176.0
2020-03-20,16.0,17.3399,14.19,14.58,793388.0
2020-03-19,14.57,16.0,14.43,15.62,489188.0
2020-03-18,14.64,15.67,13.01,14.55,577158.0
2020-03-17,13.74,16.02,13.05,15.51,568195.0
2020-03-16,13.76,14.63,13.19,13.56,573173.0
2020-03-13,16.5,17.05,14.18,15.2,637013.0
2020-03-12,15.68,16.79,14.86,15.82,997134.0
2020-03-11,17.53,18.13,16.16,16.62,558265.0
2020-03-10,18.02,18.3,17.27,17.98,474621.0
2020-03-09,18.0,18.4,16.71,17.51,532054.0
2020-03-06,17.7,19.41,17.46,18.21,674932.0
2020-03-05,17.45,17.79,17.02,17.37,301217.0
2020-03-04,17.41,17.96,17.1,17.84,259341.0
2020-03-03,17.21,17.63,16.67,17.01,295975.0
2020-03-02,16.82,17.38,16.465,17.3,362347.0
2020-02-28,15.73,16.82,15.48,16.7,361780.0
2020-02-27,16.43,17.165,15.95,16.37,318704.0
2020-02-26,17.05,17.8,16.58,16.87,244409.0
2020-02-25,18.63,18.63,16.67,16.96,325671.0
2020-02-24,17.48,18.505,17.48,18.22,437002.0
2020-02-21,18.52,18.75,18.16,18.27,246821.0
2020-02-20,18.68,18.9,18.36,18.53,196608.0
2020-02-19,18.0,18.97,17.81,18.78,289024.0
2020-02-18,18.65,18.7975,17.775,18.0,446713.0
2020-02-14,19.04,19.32,18.51,18.67,255510.0
2020-02-13,19.05,19.32,18.4,19.13,386904.0
2020-02-12,19.08,19.63,18.74,19.28,396931.0
2020-02-11,19.06,19.28,18.76,18.97,238214.0
2020-02-10,18.46,19.52,18.33,18.92,296697.0
2020-02-07,18.88,18.96,18.44,18.44,206416.0
2020-02-06,18.94,19.08,18.43,18.82,215170.0
2020-02-05,19.21,19.42,18.41,18.88,279679.0
2020-02-04,18.67,18.99,18.53,18.98,213946.0
2020-02-03,18.0,18.45,17.9,18.38,235830.0
2020-01-31,18.38,18.42,17.595,17.91,326953.0
2020-01-30,17.26,18.4,17.26,18.38,414961.0
2020-01-29,18.2,18.405,17.12,17.38,633048.0
2020-01-28,19.16,19.17,18.15,18.22,434640.0
2020-01-27,19.21,19.36,18.92,19.07,335954.0
2020-01-24,19.84,19.9395,19.31,19.43,247001.0
2020-01-23,19.73,19.93,19.36,19.74,248605.0
2020-01-22,19.52,19.905,19.33,19.77,296710.0
2020-01-21,19.06,19.59,19.01,19.41,388099.0
2020-01-17,19.19,19.445,18.94,19.27,481426.0
2020-01-16,19.07,19.2,18.86,19.0,414278.0
2020-01-15,19.16,19.64,18.62,18.91,572822.0
2020-01-14,18.39,19.27,18.19,19.23,476175.0
2020-01-13,17.01,18.35,16.405,18.31,793469.0
2020-01-10,15.8,17.45,14.025,16.99,2572123.0
2020-01-09,18.13,18.979,17.83,17.84,763246.0
2020-01-08,17.39,17.99,17.36,17.97,467077.0
2020-01-07,17.21,17.21,16.85,17.14,191706.0
2020-01-06,16.77,17.41,16.31,17.21,404094.0
2020-01-03,16.28,17.15,16.24,16.88,301462.0
2020-01-02,16.68,16.68,16.24,16.53,357491.0
2019-12-31,16.22,16.57,16.1704,16.46,249784.0
2019-12-30,16.24,16.36,15.86,16.27,175755.0
2019-12-27,16.2,16.39,15.44,16.23,305559.0
2019-12-26,16.47,16.47,15.96,16.38,229865.0
2019-12-24,16.4,16.47,15.9059,16.4,172779.0
2019-12-23,16.65,16.79,16.28,16.35,370264.0
2019-12-20,15.67,16.87,15.45,16.58,1236482.0
2019-12-19,15.23,15.62,14.67,15.51,446011.0
2019-12-18,15.12,15.24,14.88,14.99,269828.0
2019-12-17,15.25,15.295,14.82,15.08,295163.0
2019-12-16,15.21,15.88,15.09,15.23,326549.0
2019-12-13,14.73,15.1587,14.58,15.04,240845.0
2019-12-12,14.36,14.73,14.29,14.69,198428.0
2019-12-11,14.39,14.425,14.07,14.34,175065.0
2019-12-10,14.31,14.62,14.13,14.36,217114.0
2019-12-09,14.6,14.61,14.18,14.335,340935.0
2019-12-06,14.52,14.8,14.43,14.62,308974.0
2019-12-05,14.99,15.12,14.41,14.52,263500.0
2019-12-04,15.19,15.2,14.97,14.98,369655.0
2019-12-03,14.96,15.34,14.9,15.1,260279.0
2019-12-02,15.74,15.8325,14.87,15.18,426440.0
2019-11-29,15.07,15.89,15.07,15.75,186682.0
2019-11-27,15.29,15.31,14.81,15.06,322521.0
2019-11-26,14.99,15.405,14.98,15.125,742533.0
2019-11-25,14.68,15.09,14.68,14.96,410905.0
2019-11-22,15.03,15.07,14.19,14.66,398168.0
2019-11-21,15.59,15.8307,14.56,14.935,706551.0
2019-11-20,14.89,15.54,14.25,15.53,371567.0
2019-11-19,15.27,15.27,14.625,14.92,432102.0
2019-11-18,15.52,15.61,15.1,15.27,368443.0
