date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,5.61,6.553,5.61,6.27,22376.0
2020-04-08,6.1737,6.45,6.12,6.15,15775.0
2020-04-07,5.85,6.1495,5.63,6.12,29815.0
2020-04-06,5.5,5.9,5.45,5.53,8809.0
2020-04-03,5.265,5.79,5.26,5.53,13283.0
2020-04-02,6.25,6.3004,5.5,5.62,38071.0
2020-04-01,6.05,6.17,5.71,5.95,10644.0
2020-03-31,6.37,6.65,6.37,6.45,10011.0
2020-03-30,6.9295,6.975,6.02,6.15,19864.0
2020-03-27,6.98,6.98,6.0,6.77,24278.0
2020-03-26,6.01,7.03,6.01,6.98,42958.0
2020-03-25,5.95,6.0,5.76,5.95,17036.0
2020-03-24,5.51,6.0474,5.51,5.96,15256.0
2020-03-23,6.61,6.666,5.57,5.57,27372.0
2020-03-20,6.65,6.94,6.01,6.94,33243.0
2020-03-19,6.58,7.3248,6.26,6.44,34240.0
2020-03-18,7.66,7.67,7.0,7.03,9034.0
2020-03-17,7.5147,8.16,7.37,7.82,9020.0
2020-03-16,8.0,8.45,7.0,8.07,55671.0
2020-03-13,9.25,9.4755,9.02,9.02,10104.0
2020-03-12,9.05,9.554,8.9,9.02,20663.0
2020-03-11,10.33,10.33,9.515,10.18,24586.0
2020-03-10,10.3,10.94,9.78,10.4,36131.0
2020-03-09,10.26,10.361,10.1,10.3,3726.0
2020-03-06,10.99,11.125,10.26,10.88,39512.0
2020-03-05,11.35,11.47,11.05,11.1,9394.0
2020-03-04,11.41,11.54,11.4,11.51,10542.0
2020-03-03,11.675,11.68,11.31,11.49,25600.0
2020-03-02,11.7123,11.73,11.51,11.59,5160.0
2020-02-28,11.515,11.765,11.4,11.62,39139.0
2020-02-27,11.82,11.88,11.61,11.75,21137.0
2020-02-26,11.86,11.93,11.82,11.93,10842.0
2020-02-25,11.9075,11.93,11.82,11.91,10476.0
2020-02-24,12.06,12.06,11.81,11.99,19050.0
2020-02-21,12.11,12.32,12.08,12.22,13885.0
2020-02-20,11.86,12.29,11.85,12.29,100438.0
2020-02-19,11.94,11.95,11.83,11.91,6642.0
2020-02-18,11.93,11.93,11.86,11.9,5466.0
2020-02-14,11.97,11.97,11.875,11.875,7141.0
2020-02-13,11.81,11.95,11.81,11.8578,1461.0
2020-02-12,11.9,11.9,11.8717,11.875,5054.0
2020-02-11,11.9327,11.935,11.8835,11.9,6899.0
2020-02-10,11.94,11.94,11.9,11.9,100165.0
2020-02-07,11.95,12.0,11.91,11.95,33816.0
2020-02-06,12.0,12.07,11.96,12.0,15925.0
2020-02-05,11.8332,12.1,11.8332,12.0,25233.0
2020-02-04,12.04,12.1,11.86,11.86,5449.0
2020-02-03,12.0,12.24,11.9,12.15,21868.0
2020-01-31,12.04,12.19,11.9,11.98,15652.0
2020-01-30,11.89,12.0,11.89,11.97,4522.0
2020-01-29,11.9361,11.99,11.9,11.97,1702.0
2020-01-28,11.82,12.035,11.82,11.98,16616.0
2020-01-27,12.02,12.05,11.82,11.82,4572.0
2020-01-24,11.97,12.09,11.95,11.95,5046.0
2020-01-23,12.0463,12.07,11.83,11.945,4616.0
2020-01-22,12.005,12.005,11.82,11.83,18180.0
2020-01-21,11.8237,12.17,11.82,11.85,7574.0
2020-01-17,11.9,12.21,11.9,11.9,3128.0
2020-01-16,11.9,12.0,11.88,11.9,4531.0
2020-01-15,11.92,11.98,11.87,11.88,9242.0
2020-01-14,12.03,12.05,11.93,11.93,26245.0
2020-01-13,12.12,12.15,12.02,12.02,14168.0
2020-01-10,12.185,12.185,12.07,12.07,5471.0
2020-01-09,12.13,12.15,12.06,12.15,1618.0
2020-01-08,12.08,12.16,12.06,12.06,4751.0
2020-01-07,12.12,12.17,12.06,12.08,22622.0
2020-01-06,12.2,12.2,12.15,12.15,637.0
2020-01-03,12.1408,12.41,12.12,12.12,9372.0
2020-01-02,12.22,12.365,12.17,12.22,31052.0
2019-12-31,12.26,12.37,12.17,12.22,26057.0
2019-12-30,12.25,12.56,12.16,12.24,35918.0
