date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,16.88,16.88,16.861,16.875,3068.0
2020-04-23,16.88,16.88,16.88,16.88,150.0
2020-04-22,16.91,16.91,16.82,16.82,4540.0
2020-04-21,16.87,16.901,16.87,16.9,1153.0
2020-04-20,16.83,16.84,16.8,16.825,12933.0
2020-04-17,16.95,16.95,16.82,16.82,3076.0
2020-04-16,16.895,16.9019,16.855,16.8681,6059.0
2020-04-15,16.76,16.86,16.76,16.86,6935.0
2020-04-14,16.84,16.84,16.745,16.745,17297.0
2020-04-13,16.74,16.74,16.73,16.74,891.0
2020-04-09,16.75,16.7967,16.69,16.795,51986.0
2020-04-08,16.62,16.62,16.57,16.575,47629.0
2020-04-07,16.52,16.54,16.52,16.535,46753.0
2020-04-06,16.62,16.62,16.54,16.545,5135.0
2020-04-03,16.55,16.55,16.49,16.5414,4722.0
2020-04-02,16.5401,16.58,16.5,16.5379,16754.0
2020-04-01,16.56,16.57,16.46,16.49,27897.0
2020-03-31,16.5531,16.59,16.5069,16.5069,3935.0
2020-03-30,16.639,16.6757,16.54,16.54,5020.0
2020-03-27,16.69,16.821,16.48,16.5725,26828.0
2020-03-26,16.5,16.98,16.5,16.925,2144522.0
2020-03-25,15.9,16.5552,15.61,16.1286,205730.0
2020-03-24,15.54,15.9568,15.43,15.9568,18521.0
2020-03-23,14.85,14.85,13.4,14.495,74749.0
2020-03-20,15.51,15.745,14.7938,14.7938,12168.0
2020-03-19,14.82,15.56,14.82,15.365,5943.0
2020-03-18,15.37,15.38,14.44,14.5609,37467.0
2020-03-17,15.25,16.09,14.85,15.9441,9514.0
2020-03-16,15.62,15.811,14.9596,14.9596,21393.0
2020-03-13,16.99,17.0499,15.835,17.0499,33814.0
2020-03-12,17.22,17.22,15.66,15.9722,13371.0
2020-03-11,18.15,18.299,17.4924,17.69,46301.0
2020-03-10,18.22,18.59,17.8516,18.24,27530.0
2020-03-09,18.16,18.61,17.93,17.9959,19678.0
2020-03-06,19.5896,19.5896,19.24,19.58,12676.0
2020-03-05,20.11,20.1901,19.92,19.9877,145175.0
2020-03-04,20.1383,20.6344,20.13,20.6344,5652.0
2020-03-03,20.69,20.69,19.7204,20.0,15008.0
2020-03-02,19.8,20.3972,19.64,20.3972,57250.0
2020-02-28,19.35,19.63,19.1934,19.61,60261.0
2020-02-27,20.2,20.526,19.92,20.18,47326.0
2020-02-26,20.85,21.09,20.64,20.6946,10648.0
2020-02-25,21.5218,21.5218,20.79,20.805,4641.0
2020-02-24,21.6135,21.6182,21.37,21.548,9094.0
2020-02-21,22.24,22.3012,22.135,22.1714,10756.0
2020-02-20,22.65,22.6573,22.285,22.54,21408.0
2020-02-19,22.61,22.67,22.59,22.67,6833.0
2020-02-18,22.44,22.4402,22.3799,22.4,12881.0
2020-02-14,22.4837,22.49,22.395,22.435,31948.0
2020-02-13,22.3465,22.4824,22.3465,22.4301,4272.0
2020-02-12,22.36,22.3601,22.27,22.355,169546.0
2020-02-11,22.25,22.2799,22.13,22.165,19132.0
2020-02-10,21.865,21.93,21.865,21.8662,5226.0
2020-02-07,21.8651,21.9128,21.79,21.795,17259.0
2020-02-06,21.984,22.034,21.98,22.0,1394.0
2020-02-05,21.97,21.97,21.85,21.935,8728.0
2020-02-04,21.62,21.895,21.62,21.895,22813.0
2020-02-03,21.28,21.51,21.28,21.505,1669.0
2020-01-31,21.34,21.35,21.21,21.24,138365.0
2020-01-30,21.43,21.68,21.4093,21.68,19816.0
2020-01-29,21.6487,21.6873,21.5716,21.5716,8406.0
2020-01-28,21.53,21.6627,21.53,21.6627,9370.0
2020-01-27,21.4276,21.47,21.37,21.4088,13835.0
2020-01-24,21.78,21.84,21.77,21.7777,28536.0
2020-01-23,21.8,21.92,21.8,21.92,8018.0
2020-01-22,22.0,22.01,21.8902,21.895,8450.0
2020-01-21,21.87,21.9,21.846,21.846,1500.0
2020-01-17,21.8701,21.93,21.8701,21.8809,6383.0
2020-01-16,21.7963,21.8123,21.7901,21.8123,1563.0
2020-01-15,21.6601,21.6811,21.566,21.6076,5049.0
2020-01-14,21.54,21.66,21.54,21.54,18571.0
2020-01-13,21.46,21.5699,21.46,21.555,14357.0
2020-01-10,21.44,21.48,21.36,21.37,7802.0
2020-01-09,21.38,21.48,21.38,21.441,11732.0
2020-01-08,21.2746,21.359,21.2246,21.34,2437.0
2020-01-07,21.11,21.2227,21.11,21.205,6433.0
2020-01-06,20.96,21.1722,20.96,21.1722,6368.0
2020-01-03,21.11,21.1832,21.0922,21.135,12096.0
2020-01-02,21.24,21.2626,21.08,21.14,18381.0
2019-12-31,21.02,21.13,20.99,21.13,12203.0
2019-12-30,20.98,21.08,20.97,20.9873,15758.0
2019-12-27,21.14,21.16,21.1301,21.135,2413.0
2019-12-26,21.18,21.18,21.14,21.145,623.0
2019-12-24,21.07,21.08,21.065,21.0695,2096.0
2019-12-23,21.07,21.11,21.0684,21.1,45684.0
2019-12-20,21.05,21.12,21.05,21.109,5207.0
2019-12-19,20.9296,21.025,20.92,21.0,10878.0
2019-12-18,20.8603,20.9119,20.8603,20.8901,4173.0
2019-12-17,20.8,20.87,20.8,20.855,18247.0
2019-12-16,20.81,20.8673,20.8,20.83,4842.0
2019-12-13,20.72,20.72,20.6119,20.6596,5527.0
2019-12-12,20.63,20.72,20.63,20.6723,28501.0
2019-12-11,20.48,20.58,20.4687,20.5242,10582.0
2019-12-10,20.52,20.53,20.44,20.44,5938.0
2019-12-09,20.57,20.57,20.499,20.505,1715.0
2019-12-06,20.6069,20.62,20.58,20.6,10883.0
2019-12-05,20.42,20.435,20.41,20.435,2164.0
2019-12-04,20.4701,20.4784,20.42,20.42,15424.0
2019-12-03,20.15,20.3198,20.15,20.3198,7342.0
2019-12-02,20.4091,20.46,20.3801,20.4,29206.0
2019-11-29,20.68,20.68,20.68,20.68,372.0
2019-11-27,20.7172,20.75,20.7172,20.74,9789.0
2019-11-26,20.6559,20.6652,20.6559,20.6652,2414.0
2019-11-25,20.52,20.62,20.52,20.615,14303.0
2019-11-22,20.41,20.41,20.315,20.3797,7586.0
2019-11-21,20.385,20.385,20.341,20.3436,6136.0
2019-11-20,20.41,20.545,20.32,20.4479,2023.0
2019-11-19,20.4712,20.569,20.4712,20.514,7983.0
2019-11-18,20.429,20.51,20.429,20.4634,10931.0
2019-11-15,20.392,20.45,20.392,20.4258,3162.0
2019-11-14,20.29,20.3068,20.2596,20.3,14416.0
2019-11-13,20.22,20.33,20.22,20.32,4139.0
2019-11-12,20.28,20.32,20.2796,20.31,81195.0
2019-11-11,20.224,20.24,20.22,20.2203,2696.0
2019-11-08,20.1,20.23,20.1,20.2001,8265.0
2019-11-07,20.3,20.31,20.1672,20.1672,4384.0
2019-11-06,20.1,20.16,20.1,20.1568,15017.0
2019-11-05,20.31,20.31,20.22,20.2302,1060.0
2019-11-04,20.3313,20.36,20.31,20.31,9090.0
2019-11-01,20.1512,20.21,20.14,20.189,9635.0
2019-10-31,20.02,20.06,20.0,20.0179,4523.0
2019-10-30,20.05,20.115,20.05,20.11,705.0
2019-10-29,20.12,20.12,20.12,20.12,556.0
2019-10-28,20.11,20.155,20.11,20.11,3653.0
2019-10-25,19.96,20.02,19.95,20.01,16318.0
2019-10-24,19.89,19.8901,19.88,19.8901,1286.0
2019-10-23,19.79,19.86,19.7285,19.82,11974.0
2019-10-22,19.98,19.98,19.85,19.86,6983.0
2019-10-21,19.9171,20.0,19.9171,19.99,27261.0
2019-10-18,19.86,19.86,19.7695,19.82,6537.0
2019-10-17,19.95,19.95,19.8699,19.93,13303.0
2019-10-16,19.885,19.885,19.84,19.84,2901.0
2019-10-15,19.95,19.98,19.9442,19.9442,8091.0
2019-10-14,19.76,19.79,19.71,19.77,4654.0
2019-10-11,19.73,19.94,19.73,19.86,8401.0
2019-10-10,19.58,19.621,19.5498,19.58,13957.0
2019-10-09,19.46,19.55,19.445,19.54,8036.0
2019-10-08,19.4,19.49,19.354,19.38,9553.0
2019-10-07,19.73,19.81,19.6901,19.73,6048.0
2019-10-04,19.57,19.68,19.57,19.68,591.0
2019-10-03,19.13,19.48,19.13,19.48,13691.0
2019-10-02,19.3877,19.3877,19.2664,19.28,10034.0
2019-10-01,19.809,19.81,19.5699,19.59,4178.0
2019-09-30,19.7998,19.9,19.7998,19.89,1691.0
2019-09-27,20.0,20.0,19.6706,19.75,8103.0
2019-09-26,20.03,20.03,20.03,20.03,769.0
2019-09-25,19.82,20.0601,19.7958,20.0601,2228.0
2019-09-24,20.3,20.3,19.92,19.97,5638.0
2019-09-23,20.13,20.25,20.13,20.22,22526.0
2019-09-20,20.31,20.31,20.22,20.24,2023.0
2019-09-19,20.38,20.42,20.3,20.3,6510.0
2019-09-18,20.29,20.36,20.13,20.36,23181.0
2019-09-17,20.27,20.34,20.232,20.34,12200.0
2019-09-16,20.22,20.3,20.21,20.29,3747.0
2019-09-13,20.34,20.4,20.3348,20.3348,1069.0
2019-09-12,20.41,20.41,20.3228,20.35,100639.0
2019-09-11,20.2032,20.3,20.2032,20.3,48407.0
2019-09-10,19.96,20.04,19.9501,19.96,3713.0
2019-09-09,20.102,20.13,19.99,19.99,1497.0
2019-09-06,20.174,20.26,20.13,20.14,17429.0
2019-09-05,20.22,20.22,20.22,20.22,299.0
2019-09-04,19.9,19.9451,19.8873,19.9368,6717.0
2019-09-03,19.83,19.9,19.68,19.6818,9057.0
2019-08-30,20.15,20.15,19.9368,19.9368,1560.0
2019-08-29,20.02,20.05,20.02,20.03,1765.0
2019-08-28,19.59,19.768,19.59,19.768,2275.0
2019-08-27,19.885,19.885,19.63,19.69,2602.0
