date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,22.01,22.3181,21.665,22.2133,10549.0
2020-04-08,21.47,21.57,21.06,21.525,21123.0
2020-04-07,21.87,21.87,21.28,21.29,72092.0
2020-04-06,20.6,21.0,20.568,20.9429,15185.0
2020-04-03,19.74,19.74,19.4,19.5969,168963.0
2020-04-02,20.0978,20.0978,19.5,19.7673,2323.0
2020-04-01,19.77,20.1347,19.53,19.601,7641.0
2020-03-31,20.74,20.77,20.34,20.595,18437.0
2020-03-30,20.17,20.76,20.11,20.6251,19027.0
2020-03-27,20.25,20.6589,20.0011,20.5,11197.0
2020-03-26,20.42,21.02,20.34,21.0178,22503.0
2020-03-25,19.98,20.6654,19.74,20.4,14766.0
2020-03-24,19.27,19.98,19.1932,19.7433,19170.0
2020-03-23,18.09,18.37,17.65,18.0049,12955.0
2020-03-20,18.08,18.48,17.62,17.635,12281.0
2020-03-19,17.26,17.81,17.09,17.61,14762.0
2020-03-18,17.67,17.95,17.0,17.3852,80767.0
2020-03-17,18.25,19.09,17.97,18.7944,26093.0
2020-03-16,17.96,19.13,17.87,18.29,81770.0
2020-03-13,20.74,20.74,19.287,20.3,21481.0
2020-03-12,20.39,21.55,19.26,19.66,31942.0
2020-03-11,22.76,22.7773,21.955,22.17,27009.0
2020-03-10,23.51,23.57,22.55,23.2953,12439.0
2020-03-09,22.98,23.48,22.6901,22.6901,23243.0
2020-03-06,24.8,24.899,24.57,24.8146,4074.0
2020-03-05,25.27,25.38,25.01,25.1488,5117.0
2020-03-04,25.57,25.72,25.46,25.72,1130.0
2020-03-03,25.72,25.75,25.0,25.0906,4863.0
2020-03-02,25.09,25.42,24.9054,25.36,3564.0
2020-02-28,24.51,24.9947,24.4729,24.95,6430.0
2020-02-27,25.62,26.0025,25.21,25.21,10688.0
2020-02-26,26.26,26.4638,26.1,26.17,3344.0
2020-02-25,26.8,26.8,26.1241,26.15,16867.0
2020-02-24,26.8,26.8692,26.2135,26.815,4923.0
2020-02-21,27.9418,27.9418,27.8387,27.92,893.0
2020-02-20,28.3,28.3,27.94,27.94,1820.0
2020-02-19,28.12,28.248,28.12,28.24,1299.0
2020-02-18,28.11,28.2,28.06,28.06,2450.0
2020-02-14,28.4,28.4,28.265,28.265,2555.0
2020-02-13,28.46,28.46,28.275,28.275,806.0
2020-02-12,28.36,28.5599,28.25,28.455,4867.0
2020-02-11,28.16,28.255,28.16,28.255,2702.0
2020-02-10,27.82,28.0174,27.82,27.975,12657.0
2020-02-07,28.04,28.04,27.8945,27.95,708.0
2020-02-06,28.39,28.39,28.2419,28.2419,1343.0
2020-02-05,28.12,28.17,28.12,28.17,210.0
2020-02-04,27.86,27.9281,27.75,27.82,1055.0
2020-02-03,27.23,27.4,27.23,27.385,2131.0
2020-01-31,27.38,27.38,27.1,27.1,16880.0
2020-01-30,27.56,27.705,27.5045,27.705,2177.0
2020-01-29,27.94,27.94,27.722,27.855,3789.0
2020-01-28,27.63,27.88,27.62,27.88,1756.0
2020-01-27,27.63,27.845,27.5,27.7064,7271.0
2020-01-24,28.56,28.6499,28.23,28.31,4873.0
2020-01-23,28.2,28.28,28.035,28.275,1860.0
2020-01-22,28.4,28.465,28.4,28.465,8182.0
2020-01-21,28.48,28.51,28.48,28.48,3597.0
2020-01-17,28.56,28.57,28.32,28.32,5418.0
2020-01-16,28.49,28.49,28.38,28.46,7588.0
2020-01-15,28.45,28.5,28.3158,28.38,18780.0
2020-01-14,28.3419,28.4803,28.3419,28.36,435.0
2020-01-13,28.24,28.53,28.225,28.45,2527.0
2020-01-10,28.5172,28.5172,28.5,28.5,786.0
2020-01-09,28.4297,28.51,28.36,28.45,5667.0
2020-01-08,28.17,28.26,28.155,28.26,1700.0
2020-01-07,28.04,28.0658,27.955,27.955,564.0
2020-01-06,27.8,28.005,27.8,28.005,639.0
2020-01-03,27.98,28.1114,27.9701,27.99,2740.0
2020-01-02,28.5375,28.6631,28.405,28.5001,1538.0
2019-12-31,27.86,28.1025,27.77,28.1025,6282.0
2019-12-30,28.04,28.04,27.7,27.7,4390.0
2019-12-27,28.26,28.3,28.14,28.14,2870.0
2019-12-26,28.03,28.19,27.98,28.055,175852.0
2019-12-24,27.93,27.93,27.93,27.93,185.0
2019-12-23,27.924,27.99,27.924,27.99,4611.0
2019-12-20,28.0,28.0,27.9,27.955,2640.0
2019-12-19,27.8124,27.835,27.8124,27.835,215.0
2019-12-18,27.98,28.01,27.9667,27.99,800.0
2019-12-17,28.21,28.3154,28.09,28.195,4730.0
