date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.51,0.53,0.4502,0.5,18352.0
2020-04-23,0.51,0.51,0.4603,0.4826,28248.0
2020-04-22,0.462,0.5024,0.44,0.5,93648.0
2020-04-21,0.465,0.465,0.4213,0.44,15268.0
2020-04-20,0.473,0.473,0.4422,0.4682,25594.0
2020-04-17,0.48,0.48,0.43,0.4799,67859.0
2020-04-16,0.4505,0.477,0.42,0.45,46178.0
2020-04-15,0.4799,0.4799,0.3921,0.4492,17287.0
2020-04-14,0.4925,0.5,0.4166,0.472,50865.0
2020-04-13,0.5025,0.5025,0.46,0.485,28475.0
2020-04-09,0.6,0.6,0.4879,0.5,78903.0
2020-04-08,0.5201,0.5201,0.4665,0.4665,34455.0
2020-04-07,0.5512,0.5512,0.49,0.5101,23177.0
2020-04-06,0.5733,0.5733,0.48,0.525,61273.0
2020-04-03,0.575,0.625,0.51,0.5395,47293.0
2020-04-02,0.59,0.59,0.5,0.5382,30114.0
2020-04-01,0.625,0.625,0.5102,0.59,51627.0
2020-03-31,0.63,0.63,0.51,0.5355,30934.0
2020-03-30,0.63,0.63,0.5449,0.63,18040.0
2020-03-27,0.56,0.6,0.5,0.6,15338.0
2020-03-26,0.57,0.58,0.5014,0.56,51195.0
2020-03-25,0.49,0.5496,0.4212,0.5001,92991.0
2020-03-24,0.4101,0.43,0.4011,0.4011,44913.0
2020-03-23,0.39,0.4,0.39,0.39,32461.0
2020-03-20,0.41,0.43,0.39,0.42,31963.0
2020-03-19,0.37,0.4305,0.35,0.3875,75383.0
2020-03-18,0.41,0.4305,0.36,0.3702,66357.0
2020-03-17,0.42,0.4345,0.35,0.4057,37599.0
2020-03-16,0.51,0.55,0.3268,0.4,90508.0
2020-03-13,0.5597,0.5597,0.5,0.5001,21782.0
2020-03-12,0.53,0.61,0.4122,0.5575,45781.0
2020-03-11,0.5415,0.63,0.502,0.55,25380.0
2020-03-10,0.5797,0.6359,0.5208,0.548,68979.0
2020-03-09,0.5928,0.6199,0.525,0.5521,51530.0
2020-03-06,0.6784,0.6784,0.6,0.608,97473.0
2020-03-05,0.71,0.71,0.62,0.6699,66197.0
2020-03-04,0.6401,0.6768,0.63,0.67,125379.0
2020-03-03,0.6699,0.68,0.62,0.6215,42208.0
2020-03-02,0.6392,0.6429,0.58,0.6398,151799.0
2020-02-28,0.598,0.6599,0.55,0.6584,185263.0
2020-02-27,0.6836,0.6836,0.5216,0.64,189790.0
2020-02-26,0.7218,0.7218,0.6496,0.6846,58271.0
2020-02-25,0.7552,0.76,0.666,0.7207,76356.0
2020-02-24,0.76,0.76,0.6611,0.75,78672.0
2020-02-21,0.76,0.8,0.72,0.75,195089.0
2020-02-20,0.788,0.788,0.725,0.778,116689.0
2020-02-19,0.7426,0.7808,0.68,0.7798,195949.0
2020-02-18,0.819,0.8191,0.72,0.753,200869.0
2020-02-14,0.84,0.89,0.77,0.794,222250.0
2020-02-13,0.85,0.85,0.7,0.8397,324710.0
2020-02-12,0.72,0.89,0.7,0.8439,515656.0
2020-02-11,0.74,0.75,0.67,0.71,81963.0
2020-02-10,0.7217,0.73,0.7035,0.7191,78739.0
2020-02-07,0.7588,0.77,0.671,0.6965,105993.0
2020-02-06,0.695,0.7412,0.67,0.7412,131433.0
2020-02-05,0.66,0.7001,0.6501,0.6614,22356.0
2020-02-04,0.66,0.7,0.636,0.6552,38522.0
2020-02-03,0.68,0.6971,0.6364,0.6551,26981.0
2020-01-31,0.6479,0.71,0.6345,0.6813,95634.0
2020-01-30,0.6461,0.6698,0.63,0.657,39750.0
2020-01-29,0.63,0.6633,0.63,0.6332,57453.0
2020-01-28,0.637,0.68,0.63,0.6597,44893.0
2020-01-27,0.67,0.67,0.6301,0.64,29301.0
2020-01-24,0.65,0.65,0.63,0.6486,45341.0
2020-01-23,0.6786,0.698,0.63,0.66,75470.0
2020-01-22,0.68,0.7088,0.67,0.6797,59227.0
