date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,44.33,45.0,43.905,44.89,43309.0
2020-04-23,44.38,44.86,43.83,44.07,21537.0
2020-04-22,43.78,44.059,43.5206,44.015,9762.0
2020-04-21,43.54,43.54,42.4401,43.04,21677.0
2020-04-20,43.53,44.6996,43.35,44.0969,17704.0
2020-04-17,43.97,44.12,43.28,44.03,29656.0
2020-04-16,42.72,42.8343,41.63,42.67,14698.0
2020-04-15,42.47,42.67,41.92,42.34,38661.0
2020-04-14,43.34,43.68,42.93,43.45,27683.0
2020-04-13,42.46,42.46,41.69,42.17,14485.0
2020-04-09,42.18,42.82,42.0,42.7303,21221.0
2020-04-08,40.44,41.63,40.1,41.39,9950.0
2020-04-07,41.68,41.68,39.88,40.1059,95030.0
2020-04-06,39.21,40.56,39.21,40.41,82304.0
2020-04-03,38.5,38.74,37.2468,37.84,39587.0
2020-04-02,38.33,38.84,37.64,38.617,44238.0
2020-04-01,39.64,39.7508,38.01,38.18,70251.0
2020-03-31,40.64,41.19,40.13,40.73,30153.0
2020-03-30,39.84,40.89,39.73,40.89,49673.0
2020-03-27,40.47,41.14,39.92,40.0076,51919.0
2020-03-26,40.01,41.961,40.01,41.63,122827.0
2020-03-25,38.9095,40.8291,38.43,39.52,56892.0
2020-03-24,37.8,39.08,37.48,39.0136,74501.0
2020-03-23,35.55,36.16,34.05,35.8495,62299.0
2020-03-20,37.07,38.0766,35.5936,35.6097,63132.0
2020-03-19,33.46,36.76,33.0111,36.3556,235073.0
2020-03-18,35.24,36.4382,32.0,32.0,92452.0
2020-03-17,36.2,38.254,34.84,37.82,166246.0
2020-03-16,37.37,38.51,34.85,35.97,50274.0
2020-03-13,42.12,42.25,38.79,42.25,103586.0
2020-03-12,41.35,42.53,39.7201,39.7201,93154.0
2020-03-11,46.82,47.3,44.273,45.14,34479.0
2020-03-10,48.53,48.53,45.94,48.04,36927.0
2020-03-09,49.0,49.0628,46.76,47.0,20912.0
2020-03-06,51.77,52.5798,50.71,51.8393,19430.0
2020-03-05,53.73,54.4237,53.017,53.3391,23313.0
2020-03-04,53.79,54.88,53.54,54.88,59505.0
2020-03-03,54.65,55.5699,52.77,53.3,8132.0
2020-03-02,53.24,54.5259,52.43,54.46,32808.0
2020-02-28,50.77,52.27,50.7318,52.27,54969.0
2020-02-27,53.17,54.1521,51.8317,52.31,62445.0
2020-02-26,54.75,55.5267,53.91,54.131,17889.0
2020-02-25,56.79,56.79,54.73,54.73,11372.0
2020-02-24,56.9,57.23,56.43,56.8176,16015.0
2020-02-21,59.11,59.11,58.555,58.77,5104.0
2020-02-20,59.4199,59.63,58.38,59.441,19736.0
2020-02-19,58.95,59.59,58.95,59.4278,21006.0
2020-02-18,58.44,58.64,58.33,58.5749,30255.0
2020-02-14,58.92,58.92,58.5,58.6432,10783.0
2020-02-13,58.4732,58.9599,58.4732,58.69,6184.0
2020-02-12,58.41,58.73,58.32,58.73,4536.0
2020-02-11,57.97,58.5054,57.97,58.2109,5360.0
2020-02-10,57.13,58.0026,57.13,58.0026,17951.0
2020-02-07,57.46,57.53,57.1688,57.3382,3245.0
2020-02-06,57.93,58.01,57.7117,57.86,14582.0
2020-02-05,57.64,57.93,57.428,57.8652,5213.0
2020-02-04,56.8,57.3599,56.8,57.35,10278.0
2020-02-03,55.76,56.44,55.76,56.37,36426.0
2020-01-31,55.9701,55.9701,55.47,55.47,10329.0
2020-01-30,56.91,56.91,56.132,56.6,6012.0
2020-01-29,57.19,57.65,56.94,57.05,18578.0
2020-01-28,57.2,57.405,57.165,57.21,15058.0
2020-01-27,56.19,57.08,55.9,56.86,9521.0
2020-01-24,58.52,58.52,57.09,57.3909,9959.0
2020-01-23,57.86,58.24,57.41,58.1228,28194.0
2020-01-22,58.41,58.41,57.8907,57.9524,30448.0
2020-01-21,58.08,58.24,57.89,57.9342,36370.0
2020-01-17,58.47,58.4961,58.19,58.28,7255.0
2020-01-16,57.74,58.13,57.64,58.13,6850.0
2020-01-15,57.07,57.4021,57.04,57.2202,12540.0
2020-01-14,56.81,57.35,56.4218,57.0446,25480.0
2020-01-13,56.57,56.8685,56.2,56.847,13098.0
2020-01-10,56.66,56.8897,56.3501,56.4737,116709.0
2020-01-09,57.23,57.27,56.81,56.87,10451.0
2020-01-08,56.47,56.96,56.381,56.7163,10109.0
2020-01-07,56.44,56.4475,56.06,56.3203,48923.0
2020-01-06,56.59,56.59,56.05,56.4734,50058.0
2020-01-03,56.11,56.87,56.11,56.69,18500.0
2020-01-02,57.54,57.54,56.4005,56.97,28408.0
2019-12-31,56.6831,57.3294,56.6831,57.08,12052.0
2019-12-30,57.31,57.31,56.73,56.8984,21306.0
2019-12-27,57.87,57.87,57.0376,57.1342,24582.0
2019-12-26,57.725,57.7878,57.64,57.7157,15584.0
2019-12-24,57.2366,57.6934,57.2366,57.6934,6983.0
2019-12-23,57.5,57.5,56.93,57.24,47143.0
2019-12-20,57.03,57.4099,57.03,57.4099,20149.0
