date,1. open,2. high,3. low,4. close,5. volume
2020-03-27,18.43,18.48,18.3,18.475,4646.0
2020-03-26,18.54,18.57,18.525,18.525,25977.0
2020-03-25,18.67,18.67,18.67,18.67,0.0
2020-03-24,18.67,18.67,18.65,18.65,110.0
2020-03-23,18.43,18.73,18.4,18.49,40065.0
2020-03-20,19.16,19.359,18.7368,18.7368,24037.0
2020-03-19,19.14,19.15,19.14,19.15,100.0
2020-03-18,18.66,18.7937,18.5,18.7937,11208.0
2020-03-17,19.12,19.1738,19.12,19.1738,100.0
2020-03-16,20.0,20.0,18.6218,18.6218,1746.0
2020-03-13,20.53,21.2988,20.4,21.2988,34861.0
2020-03-12,20.15,20.89,20.15,20.2191,7099.0
2020-03-11,22.28,22.28,22.2224,22.2224,373.0
2020-03-10,23.46,23.5,22.74,22.92,2819.0
2020-03-09,23.15,23.47,22.6494,22.7565,27469.0
2020-03-06,24.5,24.5065,23.9085,24.5065,9486.0
2020-03-05,25.42,25.42,24.98,25.0372,3148.0
2020-03-04,24.94,25.68,24.9109,25.6552,9097.0
2020-03-03,24.83,24.83,24.5992,24.5992,4141.0
2020-03-02,24.09,25.0456,24.03,25.0456,14860.0
2020-02-28,23.9398,24.1,23.76,24.0173,17542.0
2020-02-27,24.82,24.94,24.404,24.404,3800.0
2020-02-26,25.65,25.65,25.65,25.65,113.0
2020-02-25,26.0,26.0,25.4869,25.4869,7486.0
2020-02-24,26.385,26.5025,26.2734,26.2734,30782.0
2020-02-21,27.3091,27.3091,27.3091,27.3091,0.0
2020-02-20,27.45,27.45,27.3091,27.3452,11072.0
2020-02-19,27.4126,27.4126,27.4126,27.4126,0.0
2020-02-18,27.49,27.49,27.383,27.4273,6849.0
2020-02-14,27.3504,27.38,27.3504,27.38,100.0
2020-02-13,27.2,27.2,27.11,27.11,10942.0
2020-02-12,26.99,26.99,26.89,26.96,11653.0
2020-02-11,26.5969,26.5969,26.5969,26.5969,0.0
2020-02-10,26.6259,26.6285,26.59,26.6285,1086.0
2020-02-07,26.39,26.39,26.3825,26.3825,141.0
2020-02-06,26.53,26.53,26.485,26.485,2148.0
2020-02-05,26.53,26.53,26.53,26.53,100.0
2020-02-04,26.69,26.78,26.6719,26.6719,3837.0
2020-02-03,26.25,26.36,25.98,26.36,5730.0
2020-01-31,26.17,26.17,26.12,26.13,6169.0
2020-01-30,26.25,26.5221,26.25,26.5221,100.0
2020-01-29,26.4109,26.4109,26.4109,26.4109,0.0
2020-01-28,26.4109,26.4109,26.3746,26.3746,232.0
2020-01-27,26.03,26.1547,26.03,26.1101,9276.0
2020-01-24,26.3148,26.3529,26.3148,26.3529,174.0
2020-01-23,26.28,26.4199,26.2503,26.4199,1068.0
2020-01-22,26.3428,26.35,26.3428,26.35,200.0
2020-01-21,26.1447,26.16,26.1447,26.16,1823.0
2020-01-17,26.02,26.27,25.9951,26.1,9158.0
2020-01-16,25.7482,25.7482,25.7482,25.7482,0.0
2020-01-15,25.8422,25.8422,25.7482,25.7703,400.0
2020-01-14,26.0,26.0,25.7,25.7,7523.0
2020-01-13,25.63,25.92,25.63,25.85,24443.0
2020-01-10,25.6,25.62,25.5214,25.5214,2222.0
2020-01-09,25.56,25.5676,25.53,25.5676,2798.0
2020-01-08,25.45,25.47,25.27,25.36,1993.0
2020-01-07,25.23,25.32,25.22,25.3,2776.0
2020-01-06,25.17,25.2121,25.17,25.2121,562.0
2020-01-03,25.0119,25.1448,25.0119,25.1448,1242.0
2020-01-02,25.0545,25.1078,25.0545,25.1078,161.0
2019-12-31,24.96,25.1,24.95,25.05,51615.0
2019-12-30,24.8635,24.932,24.8635,24.932,100.0
2019-12-27,20.02,25.12,20.02,25.1037,1206368.0
