date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,5.0,5.5,5.0,5.5,200.0
2020-04-21,5.0,5.0,5.0,5.0,4.0
2020-04-20,5.0,5.0,5.0,5.0,8.0
2020-04-17,5.1,5.1,5.0,5.0,268.0
2020-04-15,6.16,6.16,6.16,6.16,100.0
2020-04-09,4.4,4.66,4.4,4.6,10250.0
2020-04-08,4.4,4.4,4.4,4.4,45.0
2020-04-07,3.65,4.4,3.65,4.4,2750.0
2020-04-03,3.6,4.4,3.59,4.4,10700.0
2020-03-30,3.9196,4.45,3.9196,4.4,2800.0
2020-03-26,4.3,4.4,4.3,4.4,5072.0
2020-03-23,4.41,4.45,4.41,4.45,200.0
2020-03-20,4.4,4.4,3.75,4.4,53008.0
2020-03-19,3.5,4.12,3.5,4.1,30737.0
2020-03-18,2.87,4.5,2.86,4.0,147153.0
2020-03-17,5.0,5.28,4.9,5.15,79689.0
2020-03-16,5.75,6.01,4.95,5.25,100700.0
2020-03-13,6.25,6.25,5.25,6.25,107442.0
2020-03-12,5.75,5.9,5.39,5.55,97553.0
2020-03-11,6.25,6.31,5.55,6.25,20500.0
2020-03-10,8.1,8.1,6.11,6.49,56745.0
2020-03-09,7.01,7.3,6.49,7.0,21984.0
2020-03-06,7.7,8.1,7.47,7.75,144474.0
2020-03-05,7.76,8.0,7.41,8.0,17120.0
2020-03-04,7.97,8.75,7.97,8.0,16100.0
2020-03-03,7.4,8.07,7.4,7.4,21225.0
2020-03-02,7.25,7.985,7.25,7.75,72646.0
2020-02-28,7.3,7.3,6.6,7.1,36495.0
2020-02-27,8.32,8.32,7.1,7.5,107267.0
2020-02-26,8.45,9.0,8.45,8.7,45519.0
2020-02-25,8.69,8.72,8.25,8.5,28535.0
2020-02-24,8.4,8.7,8.2,8.6,85825.0
2020-02-21,8.72,9.05,8.72,8.9501,12075.0
2020-02-20,8.25,8.71,8.23,8.7,13250.0
2020-02-19,8.8,8.8,8.3,8.4,32575.0
2020-02-18,8.4,8.81,8.4,8.8,40000.0
2020-02-14,8.8,9.0,8.3,8.5,41960.0
2020-02-13,8.6,8.8,8.6,8.8,2300.0
2020-02-12,8.5,8.65,8.4,8.4,40100.0
2020-02-11,8.5,8.5,8.5,8.5,1000.0
2020-02-10,8.93,8.93,8.5505,8.56,600.0
2020-02-07,9.84,9.84,9.0,9.0,84960.0
2020-02-06,10.4,10.4,10.4,10.4,313.0
2020-02-05,10.12,10.75,10.12,10.4,662.0
2020-01-30,10.4,10.4,10.4,10.4,1050.0
2020-01-29,10.4,10.4,10.4,10.4,1.0
2020-01-28,10.34,10.5,10.1145,10.4,5693.0
2020-01-27,10.19,10.8,10.19,10.345,17536.0
2020-01-23,10.35,10.35,10.33,10.33,700.0
2020-01-22,10.3,10.7,10.3,10.7,10600.0
2020-01-21,11.0,11.0,11.0,11.0,51.0
2020-01-17,10.0,11.0,10.0,11.0,5278.0
2020-01-16,10.0,10.25,9.7,10.25,11618.0
2020-01-15,10.0,10.01,9.25,9.62,37528.0
2020-01-14,10.11,10.45,9.997,10.15,19241.0
2020-01-08,10.9393,10.9393,10.9393,10.9393,14.0
2020-01-07,10.9393,10.9393,10.9393,10.9393,45.0
2020-01-06,10.66,11.0,10.66,10.9393,634.0
2020-01-03,11.25,11.25,11.25,11.25,217.0
2020-01-02,11.46,11.46,10.29,11.25,17675.0
2019-12-31,10.98,11.6,10.98,11.6,3856.0
2019-12-30,10.6,11.12,10.6,11.12,3089.0
2019-12-27,10.52,10.86,10.52,10.82,3380.0
2019-12-26,10.54,10.77,10.36,10.77,3221.0
2019-12-24,10.61,10.84,10.61,10.84,2200.0
2019-12-23,10.82,11.4,10.32,10.84,10575.0
2019-12-20,10.68,11.4,10.63,11.15,4000.0
2019-12-19,11.26,11.26,10.81,10.94,2700.0
2019-12-18,10.19,10.9,10.14,10.9,7141.0
2019-12-17,10.43,10.75,10.15,10.69,8600.0
2019-12-16,10.25,10.75,10.16,10.74,9398.0
2019-12-13,9.53,10.9,9.11,10.37,15925.0
2019-12-12,10.55,10.9,10.04,10.34,7029.0
2019-12-11,10.28,11.97,10.18,10.88,1400.0
2019-12-10,10.22,11.06,10.22,10.4,1700.0
2019-12-09,10.37,10.4,10.25,10.4,1796.0
2019-12-06,9.75,10.77,9.75,9.83,7326.0
2019-12-05,9.42,9.75,9.42,9.75,783.0
2019-12-04,9.11,10.93,9.11,9.74,11440.0
2019-12-03,8.32,9.39,8.32,9.39,7840.0
2019-12-02,8.7,8.83,8.6,8.65,6965.0
2019-11-29,8.65,9.06,8.65,9.06,224.0
2019-11-27,8.54,9.08,8.54,8.91,6100.0
2019-11-26,8.2,8.96,8.2,8.84,15979.0
2019-11-25,8.45,8.51,8.15,8.51,23300.0
2019-11-22,8.25,8.56,7.93,8.12,55032.0
2019-11-21,8.04,8.76,7.92,8.31,23362.0
2019-11-20,7.98,8.68,7.57,8.39,67129.0
2019-11-19,8.06,8.61,8.06,8.26,114821.0
2019-11-18,8.21,8.4,8.1,8.3,13228.0
2019-11-15,8.7,8.9,8.25,8.4,100309.0
2019-11-14,9.5,9.51,8.86,9.3,9817.0
2019-11-13,10.03,10.07,9.2,9.56,119636.0
2019-11-12,10.76,10.76,10.1,10.33,73319.0
2019-11-11,11.01,11.09,10.8,11.04,1200.0
2019-11-08,11.4,11.66,11.2,11.4,808.0
2019-11-07,11.7,11.7,11.09,11.66,12238.0
2019-11-06,11.72,11.75,11.55,11.73,2478.0
2019-11-05,11.19,11.56,11.19,11.24,2448.0
2019-11-04,11.56,11.57,11.09,11.09,4118.0
2019-11-01,8.5,13.0,8.5,11.5,3044.0
