date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,0.462,2.4,0.42,1.21,18598874.0
2020-03-27,0.4489,0.48,0.4,0.4035,276763.0
2020-03-26,0.47,0.4799,0.4263,0.465,232731.0
2020-03-25,0.4725,0.4799,0.39,0.43,204183.0
2020-03-24,0.46,0.46,0.4,0.45,247447.0
2020-03-23,0.5145,0.52,0.4022,0.4701,105023.0
2020-03-20,0.42,0.526,0.387,0.49,205961.0
2020-03-19,0.33,0.47,0.3284,0.4464,232714.0
2020-03-18,0.49,0.52,0.3201,0.3284,236631.0
2020-03-17,0.4953,0.5513,0.49,0.5,172068.0
2020-03-16,0.567,0.567,0.4322,0.4904,96991.0
2020-03-13,0.5195,0.6,0.4611,0.54,211477.0
2020-03-12,0.588,0.61,0.401,0.4732,475927.0
2020-03-11,0.5946,0.67,0.55,0.5874,201220.0
2020-03-10,0.69,0.6999,0.5178,0.601,225541.0
2020-03-09,0.61,0.69,0.424,0.6481,438434.0
2020-03-06,0.6366,0.69,0.61,0.6187,199774.0
2020-03-05,0.7382,0.7499,0.62,0.6391,327710.0
2020-03-04,0.7626,0.77,0.69,0.752,130055.0
2020-03-03,0.732,0.76,0.637,0.6922,135922.0
2020-03-02,0.74,0.75,0.662,0.733,194624.0
2020-02-28,0.8,0.82,0.7276,0.7301,274665.0
2020-02-27,0.9371,0.9371,0.725,0.78,421513.0
2020-02-26,0.9279,1.0,0.92,0.9559,114301.0
2020-02-25,1.01,1.05,0.911,0.9279,146139.0
2020-02-24,0.99,1.08,0.99,1.01,56655.0
2020-02-21,1.08,1.11,1.01,1.04,123360.0
2020-02-20,1.11,1.12,1.07,1.09,115221.0
2020-02-19,1.11,1.13,1.07,1.13,189675.0
2020-02-18,1.01,1.1299,0.99,1.11,268168.0
2020-02-14,0.95,1.09,0.9249,1.06,497159.0
2020-02-13,1.02,1.0301,0.902,0.9501,416767.0
2020-02-12,1.03,1.05,1.01,1.02,52808.0
2020-02-11,1.08,1.0849,0.95,1.03,261809.0
2020-02-10,1.13,1.13,1.06,1.07,104008.0
2020-02-07,1.24,1.24,1.09,1.14,296958.0
2020-02-06,1.24,1.25,1.17,1.23,70525.0
2020-02-05,1.22,1.25,1.18,1.25,193517.0
2020-02-04,1.23,1.25,1.17,1.25,77828.0
2020-02-03,1.26,1.26,1.15,1.22,143691.0
2020-01-31,1.35,1.35,1.17,1.26,285435.0
2020-01-30,1.27,1.31,1.2,1.21,127074.0
2020-01-29,1.26,1.3,1.25,1.28,80170.0
2020-01-28,1.25,1.27,1.23,1.27,113341.0
2020-01-27,1.27,1.329,1.23,1.24,67972.0
2020-01-24,1.27,1.32,1.21,1.26,99210.0
2020-01-23,1.29,1.32,1.24,1.29,93065.0
2020-01-22,1.36,1.3732,1.27,1.3,96409.0
2020-01-21,1.37,1.39,1.32,1.35,60089.0
2020-01-17,1.42,1.42,1.37,1.38,142535.0
2020-01-16,1.3,1.41,1.28,1.4,232891.0
2020-01-15,1.19,1.28,1.15,1.27,160288.0
2020-01-14,1.17,1.23,1.15,1.19,159111.0
2020-01-13,1.46,1.46,1.08,1.2,668966.0
2020-01-10,1.38,1.44,1.35,1.39,81905.0
2020-01-09,1.34,1.42,1.26,1.37,287705.0
2020-01-08,1.5,1.51,1.35,1.39,141668.0
2020-01-07,1.5,1.57,1.46,1.49,109283.0
2020-01-06,1.57,1.6,1.5,1.51,178346.0
2020-01-03,1.51,1.64,1.45,1.62,113938.0
2020-01-02,1.6,1.6418,1.453,1.53,101911.0
2019-12-31,1.49,1.6,1.42,1.59,289304.0
2019-12-30,1.29,1.49,1.28,1.48,272003.0
2019-12-27,1.34,1.3793,1.24,1.31,244995.0
2019-12-26,1.36,1.4301,1.31,1.33,161112.0
2019-12-24,1.4,1.4,1.32,1.39,101410.0
2019-12-23,1.34,1.38,1.29,1.36,349779.0
2019-12-20,1.29,1.32,1.16,1.23,267992.0
2019-12-19,1.28,1.31,1.22,1.29,224987.0
2019-12-18,1.24,1.34,1.21,1.285,219658.0
2019-12-17,1.49,1.5107,1.26,1.31,485300.0
2019-12-16,1.56,1.59,1.45,1.5,118574.0
2019-12-13,1.6,1.6,1.5,1.56,57275.0
2019-12-12,1.52,1.64,1.52,1.59,91366.0
2019-12-11,1.57,1.57,1.46,1.555,118428.0
2019-12-10,1.78,1.81,1.54,1.57,121928.0
2019-12-09,1.63,1.8,1.62,1.76,99089.0
2019-12-06,1.64,1.71,1.42,1.65,118032.0
2019-12-05,1.78,1.8,1.6,1.62,253227.0
2019-12-04,1.56,1.9,1.5,1.72,458060.0
2019-12-03,1.65,1.6981,1.48,1.53,169199.0
2019-12-02,1.51,1.53,1.44,1.5,153577.0
2019-11-29,1.5,1.56,1.45,1.51,67650.0
2019-11-27,1.51,1.55,1.47,1.48,74410.0
2019-11-26,1.53,1.55,1.47,1.48,67430.0
2019-11-25,1.53,1.58,1.47,1.55,102434.0
