date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,59.51,59.749,58.75,58.7897,26521.0
2020-04-08,58.62,59.18,58.24,59.03,46227.0
2020-04-07,60.13,60.13,58.401,58.59,14501.0
2020-04-06,57.12,58.1938,57.12,57.92,58030.0
2020-04-03,56.51,56.94,55.17,55.5418,37346.0
2020-04-02,55.53,56.68,55.53,56.47,119261.0
2020-04-01,55.4683,55.72,54.4833,54.84,68376.0
2020-03-31,57.49,57.6295,56.71,56.95,43819.0
2020-03-30,55.63,56.63,55.5399,56.585,301857.0
2020-03-27,55.68,56.24,55.295,55.46,63803.0
2020-03-26,57.04,58.96,56.62,58.96,190351.0
2020-03-25,55.2,57.0,54.8201,56.3261,83420.0
2020-03-24,53.75,54.9899,53.5601,54.71,113298.0
2020-03-23,51.51,52.02,50.16,51.01,84452.0
2020-03-20,53.39,54.449,52.1961,52.2625,32153.0
2020-03-19,51.01,51.9999,50.351,51.22,75143.0
2020-03-18,52.1,54.65,49.13,51.52,108427.0
2020-03-17,54.29,55.76,53.205,55.5808,71434.0
2020-03-16,55.0,56.39,52.5,53.19,206287.0
2020-03-13,60.96,60.96,57.409,60.18,100303.0
2020-03-12,57.26,57.59,55.2182,55.7814,149086.0
2020-03-11,62.81,63.05,61.9048,62.1647,48014.0
2020-03-10,64.2,64.52,63.13,64.46,32633.0
2020-03-09,61.79,63.0,60.23,61.99,104515.0
2020-03-06,65.51,65.56,64.62,65.3187,36081.0
2020-03-05,67.12,67.3575,66.315,66.57,22245.0
2020-03-04,66.99,67.48,66.94,67.3963,37661.0
2020-03-03,66.58,67.43,65.83,66.2396,38930.0
2020-03-02,65.56,66.45,65.1231,66.4068,67184.0
2020-02-28,63.9,65.36,63.25,65.2398,52139.0
2020-02-27,66.0,66.7,65.49,65.6219,74860.0
2020-02-26,67.28,67.3,66.63,66.63,60072.0
2020-02-25,67.53,67.64,66.07,66.265,155933.0
2020-02-24,65.98,66.8535,65.98,66.37,63438.0
2020-02-21,69.19,69.25,68.84,68.94,43805.0
2020-02-20,69.82,70.0075,69.2012,69.44,33566.0
2020-02-19,70.33,70.71,70.33,70.6312,23536.0
2020-02-18,70.02,70.33,69.85,70.0092,20941.0
2020-02-14,70.74,70.74,70.38,70.5,16080.0
2020-02-13,70.75,71.07,70.5259,70.63,17982.0
2020-02-12,70.86,71.419,70.86,71.3624,18126.0
2020-02-11,70.32,70.7588,70.3,70.33,30421.0
2020-02-10,69.1,69.65,69.1,69.65,20107.0
2020-02-07,68.97,69.29,68.76,68.98,24726.0
2020-02-06,70.13,70.2135,69.865,70.07,18200.0
2020-02-05,70.15,70.15,69.31,69.67,34073.0
2020-02-04,69.01,69.5288,69.01,69.09,73542.0
2020-02-03,66.66,67.37,66.66,67.19,27759.0
2020-01-31,66.89,66.89,66.1,66.37,29137.0
2020-01-30,67.42,68.1,67.125,68.1,41740.0
2020-01-29,69.15,69.36,68.8748,69.11,24786.0
2020-01-28,68.16,68.82,68.03,68.69,24273.0
2020-01-27,67.53,68.53,67.16,68.14,146169.0
2020-01-24,71.57,71.57,70.31,70.57,32126.0
2020-01-23,71.05,71.38,70.565,71.22,98675.0
2020-01-22,72.28,72.28,71.89,72.03,71268.0
2020-01-21,71.86,71.9067,71.34,71.34,56764.0
2020-01-17,73.46,73.53,73.27,73.44,45183.0
2020-01-16,73.08,73.28,73.0,73.1,158590.0
2020-01-15,73.05,73.05,72.61,72.73,1093391.0
2020-01-14,73.28,73.35,72.9282,73.29,68133.0
2020-01-13,73.04,73.71,72.9444,73.5944,32298.0
2020-01-10,72.23,72.59,72.05,72.49,41359.0
2020-01-09,72.1,72.1166,71.7624,71.95,18842.0
2020-01-08,70.92,71.63,70.705,71.48,82090.0
2020-01-07,70.69,71.0,70.69,70.9067,74637.0
2020-01-06,70.29,70.74,70.29,70.6615,44095.0
2020-01-03,71.37,71.52,71.0693,71.07,40822.0
2020-01-02,71.62,72.38,71.612,72.2496,39310.0
2019-12-31,70.84,70.85,70.562,70.7783,7699.0
2019-12-30,71.24,71.24,70.61,70.8,46015.0
2019-12-27,71.28,71.28,70.8668,71.03,52879.0
2019-12-26,70.2618,70.59,70.2618,70.59,6150.0
2019-12-24,70.0,70.2099,70.0,70.13,9351.0
2019-12-23,70.36,70.41,70.11,70.41,27883.0
2019-12-20,70.27,70.51,70.2321,70.51,20346.0
2019-12-19,70.06,70.18,69.79,69.86,19079.0
2019-12-18,70.22,70.3,70.1,70.3,11506.0
2019-12-17,70.0,70.0779,69.72,69.92,30555.0
2019-12-16,69.1,69.37,69.05,69.13,18800.0
2019-12-13,70.01,70.46,69.58,69.61,29043.0
2019-12-12,68.69,69.8386,68.69,69.7668,46152.0
2019-12-11,67.7701,68.47,67.7701,68.3994,19474.0
2019-12-10,67.36,67.64,67.36,67.64,4765.0
2019-12-09,67.47,67.5204,67.1704,67.1704,9749.0
2019-12-06,67.37,67.55,67.37,67.4905,22509.0
2019-12-05,66.77,67.1689,66.77,67.1001,11292.0
2019-12-04,66.88,66.88,66.76,66.76,7525.0
2019-12-03,65.85,66.48,65.85,66.48,16652.0
2019-12-02,66.83,66.93,66.63,66.7181,4309.0
2019-11-29,67.09,67.09,66.76,66.79,6594.0
2019-11-27,68.0,68.2191,67.901,68.17,9992.0
2019-11-26,67.79,68.16,67.539,68.16,36900.0
2019-11-25,67.6,67.98,67.6,67.96,27716.0
2019-11-22,67.02,67.04,66.892,66.96,25500.0
2019-11-21,66.81,67.13,66.77,67.13,10983.0
2019-11-20,67.42,67.5399,67.01,67.3,52420.0
2019-11-19,68.16,68.16,67.64,67.82,7423.0
2019-11-18,67.53,67.6006,67.37,67.48,11100.0
2019-11-15,67.36,67.52,67.13,67.52,13975.0
2019-11-14,67.03,67.03,66.71,66.92,10525.0
2019-11-13,66.79,67.08,66.79,66.8957,2865.0
2019-11-12,67.67,67.9477,67.51,67.55,4632.0
2019-11-11,67.7,67.88,67.535,67.76,16669.0
2019-11-08,68.84,68.84,68.48,68.51,5921.0
2019-11-07,68.92,69.26,68.92,69.005,8599.0
2019-11-06,68.73,68.73,68.34,68.52,13747.0
2019-11-05,68.55,68.74,68.41,68.64,11724.0
2019-11-04,68.11,68.22,68.08,68.15,7673.0
2019-11-01,67.05,67.47,67.05,67.27,5567.0
2019-10-31,66.54,66.54,66.1728,66.1979,13470.0
2019-10-30,66.44,66.77,66.23,66.67,11466.0
2019-10-29,66.57,66.61,66.45,66.54,5325.0
2019-10-28,66.43,66.9,66.43,66.75,12709.0
2019-10-25,65.99,66.35,65.88,66.35,5589.0
2019-10-24,65.93,66.0,65.79,65.87,41245.0
2019-10-23,65.5,65.88,65.5,65.815,9674.0
2019-10-22,65.97,66.18,65.78,65.86,11710.0
2019-10-21,65.82,66.08,65.7238,65.96,9879.0
2019-10-18,65.73,65.78,65.32,65.35,3098.0
2019-10-17,66.25,66.25,65.87,65.9,13086.0
2019-10-16,65.61,65.78,65.52,65.66,17043.0
2019-10-15,65.14,65.6293,65.1,65.53,26975.0
2019-10-14,65.01,65.127,64.89,64.89,6535.0
2019-10-11,64.95,65.53,64.95,65.22,12741.0
2019-10-10,64.04,64.33,63.9957,64.19,6415.0
2019-10-09,63.58,63.72,63.5011,63.6,7962.0
2019-10-08,63.1,63.4031,63.0495,63.07,25108.0
2019-10-07,63.59,63.69,63.37,63.42,20393.0
2019-10-04,63.5159,63.87,63.34,63.87,78186.0
2019-10-03,63.48,63.8,63.11,63.72,11253.0
2019-10-02,62.95,63.0366,62.67,62.94,45537.0
2019-10-01,64.01,64.01,63.27,63.4,38857.0
2019-09-30,63.82,64.05,63.74,63.74,27160.0
2019-09-27,64.1029,64.3062,63.02,63.2,16614.0
2019-09-26,64.26,64.45,64.14,64.21,2937.0
2019-09-25,64.02,64.23,63.7901,64.14,2872.0
2019-09-24,64.61,64.6125,64.12,64.12,7977.0
2019-09-23,64.87,65.0599,64.77,64.95,7450.0
2019-09-20,65.27,65.41,64.7903,64.99,22599.0
2019-09-19,64.96,65.12,64.71,64.85,90145.0
2019-09-18,65.03,65.03,64.5901,64.97,28274.0
2019-09-17,64.73,65.1,64.73,65.03,16184.0
2019-09-16,65.0,65.25,64.93,64.97,388520.0
2019-09-13,65.6542,65.81,65.6542,65.77,33651.0
2019-09-12,65.22,65.67,65.18,65.29,30837.0
2019-09-11,64.5503,64.9293,64.5503,64.91,12082.0
2019-09-10,64.51,64.51,64.165,64.38,18699.0
2019-09-09,64.2,64.48,64.16,64.2,18680.0
2019-09-06,64.4,64.57,64.07,64.07,14753.0
2019-09-05,63.85,64.028,63.85,63.96,49034.0
2019-09-04,62.8,63.11,62.8,63.1,16218.0
2019-09-03,61.91,62.0685,61.73,61.9,18083.0
2019-08-30,62.58,62.68,62.26,62.53,21580.0
2019-08-29,61.91,62.23,61.91,62.17,8773.0
