date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.2515,0.38,0.2515,0.38,931.0
2020-04-23,0.3699,0.3699,0.3699,0.3699,56.0
2020-04-22,0.2,0.38,0.2,0.3699,1449.0
2020-04-20,0.2516,0.38,0.2516,0.38,1033.0
2020-04-17,0.25,0.3599,0.25,0.3599,603.0
2020-04-16,0.25,0.36,0.25,0.36,1012.0
2020-04-15,0.36,0.36,0.36,0.36,100.0
2020-04-09,0.25,0.3598,0.25,0.3592,1225.0
2020-04-01,0.36,0.36,0.3593,0.3593,298.0
2020-03-27,0.25,0.3798,0.2457,0.3798,2100.0
2020-03-23,0.3688,0.3688,0.3688,0.3688,1000.0
2020-03-18,0.2113,0.3688,0.2113,0.3688,500.0
2020-03-17,0.25,0.3788,0.25,0.3788,625.0
2020-03-16,0.2113,0.37,0.2113,0.37,500.0
2020-03-13,0.3788,0.3788,0.3694,0.3782,2000.0
2020-03-11,0.3788,0.3788,0.3788,0.3788,200.0
2020-03-06,0.3787,0.3787,0.3787,0.3787,100.0
2020-03-05,0.25,0.3788,0.2,0.3788,4485.0
2020-02-28,0.3798,0.38,0.3789,0.3789,2910.0
2020-02-25,0.38,0.38,0.3,0.3799,10242.0
2020-02-24,0.37,0.3799,0.3697,0.3796,6000.0
2020-02-19,0.38,0.38,0.38,0.38,51.0
2020-02-18,0.38,0.38,0.38,0.38,1546.0
2020-02-14,0.21,0.38,0.21,0.38,600.0
2020-02-12,0.4,0.4,0.39,0.39,857.0
2020-02-11,0.4,0.4,0.35,0.3884,7350.0
2020-02-10,0.1242,0.1242,0.1242,0.1242,645.0
2020-02-07,0.43,0.43,0.43,0.43,28.0
2020-02-03,0.43,0.43,0.43,0.43,30.0
2020-01-31,0.5113,0.5113,0.43,0.43,600.0
2020-01-30,0.3638,0.3638,0.3638,0.3638,20.0
2020-01-29,0.07,0.5,0.07,0.3638,915.0
2020-01-28,0.4,0.4,0.4,0.4,977.0
2020-01-27,0.41,0.41,0.26,0.26,412.0
2020-01-24,0.2399,0.4199,0.2395,0.4199,10264.0
2020-01-23,0.15,0.22,0.15,0.22,1500.0
2020-01-22,0.085,0.23,0.085,0.23,994.0
2020-01-21,0.15,0.23,0.0551,0.2299,2590.0
2020-01-16,0.2396,0.2396,0.2396,0.2396,96.0
2020-01-10,0.23,0.2399,0.2297,0.2396,800.0
2020-01-07,0.1929,0.24,0.1929,0.24,700.0
2020-01-02,0.1899,0.193,0.1899,0.193,5000.0
2019-12-31,0.1001,0.2,0.0601,0.19,44334.0
2019-12-30,0.175,0.175,0.175,0.175,1000.0
2019-12-27,0.25,0.25,0.25,0.25,5200.0
2019-12-26,0.1394,0.2,0.1,0.18,2322.0
2019-12-18,0.0915,0.14,0.0915,0.14,1000.0
2019-12-16,0.0651,0.12,0.0502,0.12,800.0
2019-12-13,0.0701,0.1,0.0701,0.1,4201.0
2019-12-12,0.11,0.11,0.0471,0.1,9400.0
2019-12-10,0.11,0.11,0.11,0.11,248.0
2019-12-09,0.15,0.17,0.15,0.15,2170.0
2019-12-06,0.1509,0.17,0.1509,0.17,4300.0
2019-12-04,0.3794,0.3794,0.3794,0.3794,12.0
2019-11-12,0.3794,0.3794,0.3794,0.3794,63.0
2019-11-05,0.3794,0.3794,0.3794,0.3794,320.0
2019-10-30,0.3798,0.3798,0.2,0.2,1500.0
2019-10-29,0.39,0.48,0.0721,0.3899,7800.0
2019-10-23,0.2,0.2,0.2,0.2,500.0
2019-10-15,0.0316,0.3042,0.0316,0.2533,1600.0
2019-10-11,0.234,0.234,0.234,0.234,100.0
2019-10-10,0.5,0.5,0.5,0.5,101.0
2019-10-02,0.5,0.5,0.5,0.5,1.0
2019-10-01,0.5,0.5,0.5,0.5,31.0
2019-09-11,0.5,0.5,0.5,0.5,31.0
2019-09-06,0.5,0.5,0.5,0.5,31.0
2019-09-03,0.3,0.5,0.3,0.5,325.0
2019-08-19,0.5992,0.5992,0.5992,0.5992,1.0
2019-08-16,0.6,0.6,0.5992,0.5992,1000.0
2019-08-15,0.7,0.7,0.7,0.7,1.0
2019-08-08,0.5999,0.7,0.5999,0.7,500.0
2019-08-06,0.7,0.7,0.609,0.609,600.0
2019-08-02,0.36,0.5999,0.36,0.599,7251.0
2019-07-31,0.35,0.89,0.35,0.89,801.0
2019-07-23,0.64,0.8993,0.64,0.8993,2500.0
2019-07-19,0.635,0.7,0.5299,0.7,1075.0
2019-07-16,0.114,0.585,0.114,0.5399,7174.0
2019-07-15,0.65,0.65,0.65,0.65,33.0
2019-07-10,0.65,0.65,0.65,0.65,500.0
2019-07-01,0.3,0.41,0.3,0.41,35500.0
2019-06-27,0.413,0.413,0.413,0.413,200.0
2019-06-17,0.32,0.59,0.21,0.59,2200.0
2019-06-14,0.6,0.6,0.6,0.6,93.0
2019-06-12,0.6,0.6,0.6,0.6,100.0
2019-06-11,0.42,0.52,0.0711,0.52,1100.0
2019-05-21,0.8,0.8,0.8,0.8,200.0
2019-05-17,0.42,0.4612,0.42,0.4612,205.0
2019-05-08,0.68,0.68,0.68,0.68,269.0
2019-05-03,0.68,0.68,0.68,0.68,31.0
2019-04-25,0.51,0.68,0.51,0.68,3235.0
2019-04-18,0.52,0.69,0.52,0.69,400.0
2019-04-02,0.85,0.85,0.85,0.85,5430.0
2019-03-14,0.9,0.9,0.9,0.9,400.0
2019-03-13,0.66,0.9,0.6,0.9,3100.0
2019-03-06,1.0,1.0,1.0,1.0,200.0
2019-03-05,0.6301,0.8999,0.63,0.8999,760.0
2019-02-19,1.0,1.0,1.0,1.0,500.0
2019-02-15,0.71,0.9,0.71,0.9,1212.0
2019-02-14,1.0,1.0,1.0,1.0,100.0
2019-02-13,1.4,1.4,1.0,1.0,2358.0
2019-02-11,0.95,1.3,0.95,1.3,2352.0
2019-02-08,0.93,0.93,0.93,0.93,72.0
2019-02-07,0.93,0.93,0.93,0.93,500.0
2019-02-06,0.85,0.85,0.85,0.85,500.0
2019-02-05,0.85,0.85,0.75,0.75,17100.0
2019-01-31,0.87,0.95,0.87,0.95,1374.0
2019-01-30,0.96,0.96,0.96,0.96,700.0
2019-01-28,0.75,0.9,0.75,0.9,3125.0
2019-01-22,0.89,0.89,0.89,0.89,34.0
2019-01-16,0.8,0.89,0.8,0.89,500.0
2019-01-15,0.85,0.85,0.85,0.85,400.0
2019-01-14,0.75,0.75,0.75,0.75,976.0
2019-01-09,0.6,0.6,0.6,0.6,680.0
2019-01-08,0.32,0.75,0.32,0.75,2176.0
2018-12-19,0.98,0.98,0.98,0.98,1020.0
2018-12-17,0.3,0.98,0.3,0.98,800.0
2018-12-13,0.8392,0.98,0.8392,0.98,324.0
2018-12-12,0.82,0.82,0.82,0.82,3036.0
2018-12-11,0.8859,0.9,0.8,0.8225,3121.0
2018-12-04,0.9,0.9,0.9,0.9,79.0
2018-11-15,0.8,0.9,0.8,0.9,1580.0
2018-11-14,0.98,0.98,0.55,0.9,3402.0
2018-11-12,0.9,0.9,0.85,0.85,8301.0
2018-11-08,0.8399,0.9,0.8399,0.9,2513.0
2018-10-31,0.8,0.8,0.8,0.8,900.0
2018-10-23,0.7501,0.9499,0.75,0.9499,2900.0
2018-10-18,0.93,0.99,0.8996,0.9865,6320.0
2018-10-15,0.61,0.94,0.61,0.94,474.0
2018-10-08,0.95,0.95,0.95,0.95,225.0
2018-10-04,0.9464,0.9464,0.9464,0.9464,5.0
2018-10-03,0.6,0.95,0.6,0.9464,1454.0
2018-10-02,0.8899,0.8899,0.8899,0.8899,394.0
2018-10-01,0.88,0.88,0.88,0.88,1693.0
2018-09-28,0.63,0.84,0.6,0.84,3250.0
2018-09-27,0.88,0.88,0.88,0.88,200.0
2018-09-25,0.6,0.88,0.6,0.88,225.0
2018-09-19,0.72,0.89,0.72,0.89,732.0
2018-09-17,0.75,0.8799,0.75,0.8799,716.0
2018-09-14,0.94,0.94,0.94,0.94,31.0
2018-09-13,0.94,0.94,0.94,0.94,100.0
2018-09-12,0.72,0.72,0.72,0.72,101.0
2018-09-10,0.95,0.95,0.95,0.95,531.0
2018-09-07,0.72,0.8,0.72,0.8,1101.0
2018-09-04,0.9,0.9,0.9,0.9,4337.0
2018-08-31,0.62,0.95,0.62,0.95,1556.0
2018-08-27,0.8,0.89,0.8,0.89,1792.0
2018-08-21,0.99,0.99,0.8,0.94,739.0
2018-08-20,0.6,0.8,0.6,0.8,1261.0
2018-08-17,1.0,1.0,1.0,1.0,37.0
2018-08-16,0.63,1.0,0.63,1.0,224.0
2018-08-14,0.8,0.8,0.8,0.8,404.0
2018-08-10,1.0,1.0,0.99,0.99,301.0
2018-08-08,0.799,0.8,0.799,0.8,52927.0
2018-08-07,0.61,0.8,0.61,0.8,11432.0
2018-08-06,0.88,0.88,0.88,0.88,37.0
2018-08-01,0.84,0.88,0.84,0.88,7618.0
2018-07-27,0.82,1.0,0.82,1.0,555.0
2018-07-26,0.82,0.82,0.82,0.82,202.0
2018-07-25,0.5011,0.85,0.5011,0.79,9735.0
2018-07-24,0.65,1.0,0.65,1.0,3202.0
2018-07-20,0.9,0.9,0.86,0.88,1002.0
2018-07-19,0.52,0.85,0.52,0.85,4862.0
2018-07-18,0.65,0.8999,0.6101,0.8999,1982.0
2018-07-17,0.73,0.9499,0.7103,0.8899,16375.0
2018-07-16,1.0,1.0,0.53,0.87,20090.0
2018-07-13,0.92,0.9649,0.92,0.9649,2471.0
2018-07-12,0.94,0.962,0.9201,0.962,1485.0
2018-07-11,0.94,1.1182,0.92,1.05,4350.0
2018-07-10,1.0,1.0,1.0,1.0,6300.0
2018-07-09,0.94,1.16,0.92,1.0,8467.0
2018-07-06,1.1,1.1,1.1,1.1,555.0
2018-07-05,0.952,1.2,0.95,1.2,380.0
2018-07-03,0.76,1.15,0.76,1.15,2144.0
2018-07-02,1.2,1.2,0.9201,1.04,3818.0
2018-06-29,0.84,1.47,0.75,1.2,85714.0
2018-06-28,0.9551,1.0,0.6601,0.81,139774.0
